"state","budget","var","n_rules_using_var","share_flagged_gt90","share_caseload_gt90","share_errors_gt90","share_flagged_gt99","share_caseload_gt99","share_errors_gt99","share_flagged_p0","share_caseload_p0","share_benponly_err_gt90","share_shared_err_gt90"
"Louisiana",0.1,"rawearn_p",1,0,0.0619,0.125,0,0.0137,0.0104,0,0.6896,0.1111,0
"Louisiana",0.1,"rawunearn_p",1,0,0.0733,0.0729,0,0.0126,0,0.4,0.394,0.1111,0.0909
"Louisiana",0.1,"rawmedded_p",0,NA,0.0034,0,NA,0.0011,0,NA,0.9347,0,0
"Louisiana",0.1,"rawdepded_p",0,NA,0.008,0.0104,NA,0.0034,0,NA,0.9576,0,0
"Louisiana",0.1,"rawcsded_p",0,NA,0.0023,0.0104,NA,0.0023,0.0104,NA,0.9885,0.1111,0
"Louisiana",0.1,"rawrent_p",6,0.0435,0.0813,0.1146,0,0.0137,0,0.1087,0.3471,0.3333,0
"Maine",0.05,"rawgrinc_p",2,0,0.1304,0.1391,0,0.0248,0,0,0.1336,0.5,0
"Maine",0.05,"rawearn_p",2,0.2333,0.0388,0.0696,0.1,0.0119,0.0174,0,0.7575,0.5,0
"Maine",0.05,"rawunearn_p",0,NA,0.1024,0.0522,NA,0.0119,0,NA,0.2683,0,0.0909
"Maine",0.05,"rawmedded_p",0,NA,0.0032,0,NA,0.0022,0,NA,0.9731,0,0
"Maine",0.05,"rawdepded_p",0,NA,0,0,NA,0,0,NA,0.9925,0,0
"Maine",0.05,"rawcsded_p",0,NA,0.0011,0,NA,0,0,NA,0.9903,0,0
"Maine",0.05,"rawrent_p",0,NA,0.0894,0.1565,NA,0.014,0.0174,NA,0.2328,0.5,0
"Maine",0.1,"rawgrinc_p",3,0.0833,0.1304,0.1391,0,0.0248,0,0,0.1336,0.5,0.1333
"Maine",0.1,"rawearn_p",0,NA,0.0388,0.0696,NA,0.0119,0.0174,NA,0.7575,0.1667,0
"Maine",0.1,"rawunearn_p",0,NA,0.1024,0.0522,NA,0.0119,0,NA,0.2683,0.3333,0.0667
"Maine",0.1,"rawmedded_p",0,NA,0.0032,0,NA,0.0022,0,NA,0.9731,0,0
"Maine",0.1,"rawdepded_p",0,NA,0,0,NA,0,0,NA,0.9925,0,0
"Maine",0.1,"rawcsded_p",0,NA,0.0011,0,NA,0,0,NA,0.9903,0,0
"Maine",0.1,"rawrent_p",2,0.4318,0.0894,0.1565,0.0455,0.014,0.0174,0,0.2328,0.6667,0.2667
"Maryland",0.05,"rawgrinc_p",0,NA,0.0871,0.1237,NA,0.0118,0.0412,NA,0.1905,0,0.1
"Maryland",0.05,"rawearn_p",0,NA,0.0295,0.0619,NA,0.003,0,NA,0.7164,0,0.1
"Maryland",0.05,"rawunearn_p",1,0,0.062,0.0412,0,0.0059,0.0103,0.9091,0.4047,0,0
"Maryland",0.05,"rawmedded_p",0,NA,0,0,NA,0,0,NA,0.9321,0,0
"Maryland",0.05,"rawdepded_p",0,NA,0.0015,0,NA,0,0,NA,0.9764,0,0
"Maryland",0.05,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9911,0,0
"Maryland",0.05,"rawrent_p",1,0,0.062,0.1031,0,0.0103,0.0206,0.0909,0.4284,0,0.3
"Maryland",0.1,"rawgrinc_p",2,0,0.0871,0.1237,0,0.0118,0.0412,0,0.1905,0.1667,0.0714
"Maryland",0.1,"rawearn_p",1,0.1923,0.0295,0.0619,0.0769,0.003,0,0,0.7164,0.1667,0.0714
"Maryland",0.1,"rawunearn_p",1,0,0.062,0.0412,0,0.0059,0.0103,0.9091,0.4047,0,0
"Maryland",0.1,"rawmedded_p",0,NA,0,0,NA,0,0,NA,0.9321,0,0
"Maryland",0.1,"rawdepded_p",0,NA,0.0015,0,NA,0,0,NA,0.9764,0,0
"Maryland",0.1,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9911,0,0
"Maryland",0.1,"rawrent_p",3,0,0.062,0.1031,0,0.0103,0.0206,0.0541,0.4284,0.1667,0.2143
"Massachusetts",0.05,"rawgrinc_p",2,0,0.1165,0.1356,0,0.0196,0.0339,0,0.2264,0,0
"Massachusetts",0.05,"rawearn_p",0,NA,0.0314,0.0339,NA,0.0052,0,NA,0.7605,0,0
"Massachusetts",0.05,"rawunearn_p",0,NA,0.0942,0.0932,NA,0.0144,0.0169,NA,0.3783,0.1111,0
"Massachusetts",0.05,"rawmedded_p",0,NA,0.0157,0.0169,NA,0.0013,0,NA,0.8652,0,0
"Massachusetts",0.05,"rawdepded_p",0,NA,0.0039,0.0169,NA,0.0013,0.0085,NA,0.9804,0,0
"Massachusetts",0.05,"rawcsded_p",0,NA,0.0026,0.0085,NA,0.0026,0.0085,NA,0.9961,0,0
"Massachusetts",0.05,"rawrent_p",1,0.2069,0.0916,0.2034,0,0.017,0.0508,0,0.3181,0.3333,0.5
"Massachusetts",0.1,"rawgrinc_p",3,0,0.1165,0.1356,0,0.0196,0.0339,0,0.2264,0.2308,0
"Massachusetts",0.1,"rawearn_p",0,NA,0.0314,0.0339,NA,0.0052,0,NA,0.7605,0.1538,0
"Massachusetts",0.1,"rawunearn_p",1,0.04,0.0942,0.0932,0,0.0144,0.0169,0.28,0.3783,0,0.0909
"Massachusetts",0.1,"rawmedded_p",0,NA,0.0157,0.0169,NA,0.0013,0,NA,0.8652,0,0
"Massachusetts",0.1,"rawdepded_p",0,NA,0.0039,0.0169,NA,0.0013,0.0085,NA,0.9804,0,0
"Massachusetts",0.1,"rawcsded_p",1,0,0.0026,0.0085,0,0.0026,0.0085,1,0.9961,0,0
"Massachusetts",0.1,"rawrent_p",1,0.2069,0.0916,0.2034,0,0.017,0.0508,0,0.3181,0.3846,0.2727
"Michigan",0.05,"rawgrinc_p",0,NA,0.0897,0.0811,NA,0.0083,0,NA,0.1972,0.2222,0
"Michigan",0.05,"rawearn_p",1,0,0.0331,0.045,0,0.0083,0.009,0,0.7285,0.1111,0
"Michigan",0.05,"rawunearn_p",1,0.25,0.0779,0.0721,0,0.0153,0,0,0.379,0,0
"Michigan",0.05,"rawmedded_p",0,NA,0.0047,0.009,NA,0.0012,0,NA,0.8985,0,0
"Michigan",0.05,"rawdepded_p",0,NA,0.0012,0,NA,0,0,NA,0.9965,0,0
"Michigan",0.05,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9669,0,0
"Michigan",0.05,"rawrent_p",0,NA,0.0673,0.1441,NA,0.0083,0.018,NA,0.3105,0.4444,0
"Michigan",0.1,"rawgrinc_p",1,0,0.0897,0.0811,0,0.0083,0,0,0.1972,0,0.1176
"Michigan",0.1,"rawearn_p",2,0.2083,0.0331,0.045,0,0.0083,0.009,0,0.7285,0,0.0588
"Michigan",0.1,"rawunearn_p",1,0.25,0.0779,0.0721,0,0.0153,0,0,0.379,0,0.0588
"Michigan",0.1,"rawmedded_p",0,NA,0.0047,0.009,NA,0.0012,0,NA,0.8985,0,0
"Michigan",0.1,"rawdepded_p",0,NA,0.0012,0,NA,0,0,NA,0.9965,0,0
"Michigan",0.1,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9669,0,0
"Michigan",0.1,"rawrent_p",1,0,0.0673,0.1441,0,0.0083,0.018,0,0.3105,0.2,0.1176
"Minnesota",0.05,"rawgrinc_p",1,0,0.1026,0.0935,0,0.0113,0.0093,0,0.1439,0.1429,NA
"Minnesota",0.05,"rawearn_p",0,NA,0.035,0.0654,NA,0.0063,0.0093,NA,0.7372,0.1429,NA
"Minnesota",0.05,"rawunearn_p",1,0,0.0889,0.0093,0,0.0175,0,0,0.3091,0,NA
"Minnesota",0.05,"rawmedded_p",1,0,0.0038,0.0187,0,0.0025,0.0093,0.9524,0.9387,0,NA
"Minnesota",0.05,"rawdepded_p",0,NA,0.005,0.0093,NA,0.0038,0.0093,NA,0.98,0.1429,NA
"Minnesota",0.05,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.985,0,NA
"Minnesota",0.05,"rawrent_p",3,0.0385,0.0751,0.1028,0,0.0075,0.0187,0.6923,0.3104,0,NA
"Minnesota",0.1,"rawgrinc_p",2,0.0938,0.1026,0.0935,0.0312,0.0113,0.0093,0,0.1439,0.0833,0
"Minnesota",0.1,"rawearn_p",1,0,0.035,0.0654,0,0.0063,0.0093,1,0.7372,0.0833,0
"Minnesota",0.1,"rawunearn_p",2,0,0.0889,0.0093,0,0.0175,0,0.3529,0.3091,0,0
"Minnesota",0.1,"rawmedded_p",0,NA,0.0038,0.0187,NA,0.0025,0.0093,NA,0.9387,0,0
"Minnesota",0.1,"rawdepded_p",0,NA,0.005,0.0093,NA,0.0038,0.0093,NA,0.98,0.0833,0
"Minnesota",0.1,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.985,0,0
"Minnesota",0.1,"rawrent_p",4,0.0233,0.0751,0.1028,0,0.0075,0.0187,0.5814,0.3104,0,0.25
"Mississippi",0.05,"rawgrinc_p",2,0,0.0732,0.0866,0,0.0067,0.0079,0,0.2716,0,0
"Mississippi",0.05,"rawearn_p",0,NA,0.0222,0.0315,NA,0.0044,0.0079,NA,0.7583,0,0
"Mississippi",0.05,"rawunearn_p",0,NA,0.0621,0.0472,NA,0.0089,0,NA,0.449,0,0
"Mississippi",0.05,"rawmedded_p",0,NA,0.0033,0,NA,0.0022,0,NA,0.9745,0,0
"Mississippi",0.05,"rawdepded_p",0,NA,0.0044,0.0079,NA,0.0022,0.0079,NA,0.98,0.0667,0
"Mississippi",0.05,"rawcsded_p",0,NA,0.0011,0.0079,NA,0.0011,0.0079,NA,0.99,0,0
"Mississippi",0.05,"rawrent_p",1,0,0.0432,0.0709,0,0.0089,0.0079,0.65,0.5344,0,0
"Mississippi",0.1,"rawgrinc_p",4,0.1091,0.0732,0.0866,0,0.0067,0.0079,0,0.2716,0,0.04
"Mississippi",0.1,"rawearn_p",0,NA,0.0222,0.0315,NA,0.0044,0.0079,NA,0.7583,0,0
"Mississippi",0.1,"rawunearn_p",0,NA,0.0621,0.0472,NA,0.0089,0,NA,0.449,0,0
"Mississippi",0.1,"rawmedded_p",0,NA,0.0033,0,NA,0.0022,0,NA,0.9745,0,0
"Mississippi",0.1,"rawdepded_p",0,NA,0.0044,0.0079,NA,0.0022,0.0079,NA,0.98,0,0.04
"Mississippi",0.1,"rawcsded_p",1,0,0.0011,0.0079,0,0.0011,0.0079,1,0.99,0,0
"Mississippi",0.1,"rawrent_p",1,0,0.0432,0.0709,0,0.0089,0.0079,0.65,0.5344,0.125,0.04
"Missouri",0.05,"rawgrinc_p",2,0.1667,0.0873,0.1618,0,0.0106,0.0147,0,0.2196,0.3333,0.2222
"Missouri",0.05,"rawearn_p",0,NA,0.0251,0.0735,NA,0.004,0,NA,0.7844,0.3333,0.2222
"Missouri",0.05,"rawunearn_p",0,NA,0.0648,0.0588,NA,0.0079,0,NA,0.3492,0,0.2222
"Missouri",0.05,"rawmedded_p",0,NA,0.0172,0.0147,NA,0.004,0,NA,0.8571,0,0
"Missouri",0.05,"rawdepded_p",0,NA,0.0026,0,NA,0,0,NA,0.9616,0,0
"Missouri",0.05,"rawcsded_p",0,NA,0.0013,0,NA,0,0,NA,0.9881,0,0
"Missouri",0.05,"rawrent_p",2,0.04,0.0741,0.1618,0,0.0172,0.0294,0.04,0.3333,0,0.2222
"Missouri",0.1,"rawgrinc_p",1,0.1111,0.0873,0.1618,0,0.0106,0.0147,0,0.2196,0,0.1333
"Missouri",0.1,"rawearn_p",1,0,0.0251,0.0735,0,0.004,0,0.5625,0.7844,0,0.1333
"Missouri",0.1,"rawunearn_p",0,NA,0.0648,0.0588,NA,0.0079,0,NA,0.3492,0,0.1333
"Missouri",0.1,"rawmedded_p",1,0,0.0172,0.0147,0,0.004,0,1,0.8571,0,0
"Missouri",0.1,"rawdepded_p",0,NA,0.0026,0,NA,0,0,NA,0.9616,0,0
"Missouri",0.1,"rawcsded_p",0,NA,0.0013,0,NA,0,0,NA,0.9881,0,0
"Missouri",0.1,"rawrent_p",1,0,0.0741,0.1618,0,0.0172,0.0294,0.1111,0.3333,0,0.2
"Montana",0.05,"rawgrinc_p",0,NA,0.1026,0.125,NA,0.0157,0.0312,NA,0.1478,0,1
"Montana",0.05,"rawearn_p",0,NA,0.0261,0.0469,NA,0.0052,0.0156,NA,0.7617,0,0
"Montana",0.05,"rawunearn_p",0,NA,0.0974,0.1094,NA,0.0174,0,NA,0.2678,0,1
"Montana",0.05,"rawmedded_p",1,0,0.0139,0.0469,0,0.0052,0.0156,1,0.8678,0,0
"Montana",0.05,"rawdepded_p",1,0,0.0035,0,0,0.0017,0,1,0.9687,0,0
"Montana",0.05,"rawcsded_p",0,NA,0.0035,0,NA,0.0035,0,NA,0.993,0,0
"Montana",0.05,"rawrent_p",1,0,0.0661,0.0938,0,0.0104,0.0312,0.6667,0.3252,0,1
"Montana",0.1,"rawgrinc_p",0,NA,0.1026,0.125,NA,0.0157,0.0312,NA,0.1478,0.25,0.2
"Montana",0.1,"rawearn_p",0,NA,0.0261,0.0469,NA,0.0052,0.0156,NA,0.7617,0.25,0
"Montana",0.1,"rawunearn_p",0,NA,0.0974,0.1094,NA,0.0174,0,NA,0.2678,0,0.2
"Montana",0.1,"rawmedded_p",1,0,0.0139,0.0469,0,0.0052,0.0156,1,0.8678,0,0
"Montana",0.1,"rawdepded_p",2,0,0.0035,0,0,0.0017,0,1,0.9687,0,0
"Montana",0.1,"rawcsded_p",0,NA,0.0035,0,NA,0.0035,0,NA,0.993,0,0
"Montana",0.1,"rawrent_p",1,0,0.0661,0.0938,0,0.0104,0.0312,0.6667,0.3252,0,0.2
"Nebraska",0.05,"rawgrinc_p",1,0,0.0999,0.0741,0,0.0216,0.0185,0,0.168,0,0
"Nebraska",0.05,"rawearn_p",0,NA,0.0477,0.037,NA,0.0102,0,NA,0.6731,0,0
"Nebraska",0.05,"rawunearn_p",0,NA,0.0613,0.0926,NA,0.0068,0,NA,0.3655,0,0
"Nebraska",0.05,"rawmedded_p",0,NA,0.0068,0,NA,0,0,NA,0.9228,0,0
"Nebraska",0.05,"rawdepded_p",0,NA,0.0068,0.0185,NA,0.0045,0.0185,NA,0.9773,0,0
"Nebraska",0.05,"rawcsded_p",0,NA,0.0079,0,NA,0.0023,0,NA,0.9637,0,0
"Nebraska",0.05,"rawrent_p",2,0.08,0.1033,0.0741,0.04,0.0216,0.0185,0,0.2259,0.25,0
"Nebraska",0.1,"rawgrinc_p",1,0,0.0999,0.0741,0,0.0216,0.0185,0,0.168,0,0
"Nebraska",0.1,"rawearn_p",0,NA,0.0477,0.037,NA,0.0102,0,NA,0.6731,0,0
"Nebraska",0.1,"rawunearn_p",0,NA,0.0613,0.0926,NA,0.0068,0,NA,0.3655,0,0
"Nebraska",0.1,"rawmedded_p",0,NA,0.0068,0,NA,0,0,NA,0.9228,0,0
"Nebraska",0.1,"rawdepded_p",0,NA,0.0068,0.0185,NA,0.0045,0.0185,NA,0.9773,0,0
"Nebraska",0.1,"rawcsded_p",0,NA,0.0079,0,NA,0.0023,0,NA,0.9637,0,0
"Nebraska",0.1,"rawrent_p",3,0.2,0.1033,0.0741,0.08,0.0216,0.0185,0,0.2259,0.1667,0.2857
"Nevada",0.05,"rawgrinc_p",1,0.625,0.0856,0.0843,0.125,0.0099,0.012,0,0.3008,1,0.25
"Nevada",0.05,"rawearn_p",1,0.4444,0.0395,0.0602,0,0.0066,0.012,0,0.7113,1,0.25
"Nevada",0.05,"rawunearn_p",0,NA,0.0593,0.0482,NA,0.0055,0,NA,0.5302,0,0
"Nevada",0.05,"rawmedded_p",0,NA,0.0033,0,NA,0.0022,0,NA,0.9715,0,0
"Nevada",0.05,"rawdepded_p",1,0,0.0044,0.012,0,0.0044,0.012,0.875,0.9824,0,0
"Nevada",0.05,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9857,0,0
"Nevada",0.05,"rawrent_p",2,0.4706,0.0977,0.1566,0.0588,0.0099,0.0241,0,0.405,0,0
"Nevada",0.1,"rawgrinc_p",0,NA,0.0856,0.0843,NA,0.0099,0.012,NA,0.3008,0,0.125
"Nevada",0.1,"rawearn_p",1,0.4444,0.0395,0.0602,0,0.0066,0.012,0,0.7113,0,0.125
"Nevada",0.1,"rawunearn_p",1,0,0.0593,0.0482,0,0.0055,0,0.4,0.5302,0.25,0
"Nevada",0.1,"rawmedded_p",0,NA,0.0033,0,NA,0.0022,0,NA,0.9715,0,0
"Nevada",0.1,"rawdepded_p",2,0,0.0044,0.012,0,0.0044,0.012,0.9231,0.9824,0,0
"Nevada",0.1,"rawcsded_p",0,NA,0,0,NA,0,0,NA,0.9857,0,0
"Nevada",0.1,"rawrent_p",1,0.3333,0.0977,0.1566,0.0833,0.0099,0.0241,0,0.405,0.25,0.125
"New Hampshire",0.05,"rawgrinc_p",3,0,0.1339,0.2609,0,0.0145,0.029,0,0.129,0,0
"New Hampshire",0.05,"rawearn_p",1,0,0.0306,0.1014,0,0.0065,0.0145,0,0.779,0,0
"New Hampshire",0.05,"rawunearn_p",1,0,0.1129,0.1449,0,0.0177,0.0435,0.0909,0.2403,0,0
"New Hampshire",0.05,"rawmedded_p",0,NA,0.0113,0,NA,0.0032,0,NA,0.879,0,0
"New Hampshire",0.05,"rawdepded_p",0,NA,0.0081,0,NA,0.0032,0,NA,0.9774,0,0
"New Hampshire",0.05,"rawcsded_p",0,NA,0.0016,0.0145,NA,0,0,NA,0.9823,0,0
"New Hampshire",0.05,"rawrent_p",0,NA,0.1048,0.1304,NA,0.0242,0.029,NA,0.1565,0,0
"New Hampshire",0.1,"rawgrinc_p",3,0,0.1339,0.2609,0,0.0145,0.029,0,0.129,0,0.1667
"New Hampshire",0.1,"rawearn_p",2,0,0.0306,0.1014,0,0.0065,0.0145,0.5455,0.779,0,0.1667
"New Hampshire",0.1,"rawunearn_p",1,0,0.1129,0.1449,0,0.0177,0.0435,0.0909,0.2403,0,0
"New Hampshire",0.1,"rawmedded_p",0,NA,0.0113,0,NA,0.0032,0,NA,0.879,0,0
"New Hampshire",0.1,"rawdepded_p",0,NA,0.0081,0,NA,0.0032,0,NA,0.9774,0,0
"New Hampshire",0.1,"rawcsded_p",0,NA,0.0016,0.0145,NA,0,0,NA,0.9823,0,0
"New Hampshire",0.1,"rawrent_p",0,NA,0.1048,0.1304,NA,0.0242,0.029,NA,0.1565,0,0.1667
"New Jersey",0.05,"rawgrinc_p",1,0,0.1401,0.1864,0,0.0209,0.0339,0,0.1159,NA,0.3333
"New Jersey",0.05,"rawearn_p",0,NA,0.0386,0.0339,NA,0.0081,0,NA,0.7713,NA,0
"New Jersey",0.05,"rawunearn_p",0,NA,0.1159,0.1356,NA,0.0129,0.0339,NA,0.2625,NA,0
"New Jersey",0.05,"rawmedded_p",0,NA,0.0145,0,NA,0.0048,0,NA,0.8905,NA,0
"New Jersey",0.05,"rawdepded_p",0,NA,0.0032,0,NA,0.0016,0,NA,0.9823,NA,0
"New Jersey",0.05,"rawcsded_p",0,NA,0.0016,0,NA,0,0,NA,0.9968,NA,0
"New Jersey",0.05,"rawrent_p",0,NA,0.0982,0.1525,NA,0.0161,0.0169,NA,0.211,NA,0.3333
"New Jersey",0.1,"rawgrinc_p",1,0.05,0.1401,0.1864,0.05,0.0209,0.0339,0,0.1159,0,0.4
"New Jersey",0.1,"rawearn_p",2,0.0217,0.0386,0.0339,0.0217,0.0081,0,0.1522,0.7713,0,0
"New Jersey",0.1,"rawunearn_p",1,0,0.1159,0.1356,0,0.0129,0.0339,0.7308,0.2625,0,0
"New Jersey",0.1,"rawmedded_p",0,NA,0.0145,0,NA,0.0048,0,NA,0.8905,0,0
"New Jersey",0.1,"rawdepded_p",0,NA,0.0032,0,NA,0.0016,0,NA,0.9823,0,0
"New Jersey",0.1,"rawcsded_p",0,NA,0.0016,0,NA,0,0,NA,0.9968,0,0
"New Jersey",0.1,"rawrent_p",0,NA,0.0982,0.1525,NA,0.0161,0.0169,NA,0.211,0.1667,0.4
"New Mexico",0.05,"rawgrinc_p",0,NA,0.1303,0.1589,NA,0.0219,0.0132,NA,0.2231,0,0
"New Mexico",0.05,"rawearn_p",2,0,0.0647,0.0993,0,0.0063,0,0.2,0.659,0,0
"New Mexico",0.05,"rawunearn_p",0,NA,0.0636,0.0464,NA,0.0115,0,NA,0.4891,0.1667,0
"New Mexico",0.05,"rawmedded_p",0,NA,0.0042,0.0132,NA,0.001,0,NA,0.9666,0,0
"New Mexico",0.05,"rawdepded_p",0,NA,0.001,0.0066,NA,0,0,NA,0.9875,0,0
"New Mexico",0.05,"rawcsded_p",0,NA,0.0031,0.0066,NA,0,0,NA,0.9823,0,0
"New Mexico",0.05,"rawrent_p",0,NA,0.0688,0.1126,NA,0.0052,0.0132,NA,0.4317,0.0833,0.2
"New Mexico",0.1,"rawgrinc_p",1,0.5385,0.1303,0.1589,0.1282,0.0219,0.0132,0,0.2231,0.2857,0.1364
"New Mexico",0.1,"rawearn_p",2,0,0.0647,0.0993,0,0.0063,0,0.2,0.659,0.1429,0.0455
"New Mexico",0.1,"rawunearn_p",1,0,0.0636,0.0464,0,0.0115,0,0.7419,0.4891,0.2857,0
"New Mexico",0.1,"rawmedded_p",0,NA,0.0042,0.0132,NA,0.001,0,NA,0.9666,0,0
"New Mexico",0.1,"rawdepded_p",1,0,0.001,0.0066,0,0,0,0.8718,0.9875,0,0
"New Mexico",0.1,"rawcsded_p",0,NA,0.0031,0.0066,NA,0,0,NA,0.9823,0,0
"New Mexico",0.1,"rawrent_p",0,NA,0.0688,0.1126,NA,0.0052,0.0132,NA,0.4317,0.1429,0.1364
"New York",0.05,"rawgrinc_p",2,0.1034,0.0862,0.1327,0,0.0134,0.051,0,0.1144,0,0
"New York",0.05,"rawearn_p",0,NA,0.0253,0.0714,NA,0.0074,0.0408,NA,0.7593,0,0
"New York",0.05,"rawunearn_p",4,0,0.0713,0.0816,0,0.0119,0.0306,0.1875,0.2675,0,0
"New York",0.05,"rawmedded_p",0,NA,0.0045,0.0102,NA,0.0015,0,NA,0.8856,0,0
"New York",0.05,"rawdepded_p",0,NA,0.003,0,NA,0.0015,0,NA,0.9851,0,0
"New York",0.05,"rawcsded_p",1,0,0.003,0.0102,0,0.003,0.0102,1,0.9896,0,0
"New York",0.05,"rawrent_p",1,0.1667,0.1085,0.2041,0,0.0163,0.0204,0,0.2125,0,0.2
"New York",0.1,"rawgrinc_p",4,0.0612,0.0862,0.1327,0,0.0134,0.051,0,0.1144,0,0
"New York",0.1,"rawearn_p",1,0,0.0253,0.0714,0,0.0074,0.0408,0,0.7593,0,0
"New York",0.1,"rawunearn_p",4,0,0.0713,0.0816,0,0.0119,0.0306,0.1818,0.2675,0,0
"New York",0.1,"rawmedded_p",0,NA,0.0045,0.0102,NA,0.0015,0,NA,0.8856,0,0
"New York",0.1,"rawdepded_p",0,NA,0.003,0,NA,0.0015,0,NA,0.9851,0,0
"New York",0.1,"rawcsded_p",1,0,0.003,0.0102,0,0.003,0.0102,1,0.9896,0,0
"New York",0.1,"rawrent_p",1,0.1667,0.1085,0.2041,0,0.0163,0.0204,0,0.2125,0.1667,0.1667
"North Carolina",0.05,"rawgrinc_p",2,0,0.1424,0.2261,0,0.0114,0.0348,0,0.1583,0,0
"North Carolina",0.05,"rawearn_p",0,NA,0.0467,0.0696,NA,0.0057,0.0087,NA,0.6583,0,0
"North Carolina",0.05,"rawunearn_p",2,0,0.1002,0.0696,0,0.008,0.0174,0.8621,0.3998,1,0
"North Carolina",0.05,"rawmedded_p",0,NA,0.0046,0,NA,0,0,NA,0.8986,0,0
"North Carolina",0.05,"rawdepded_p",0,NA,0.0023,0.0174,NA,0.0011,0.0087,NA,0.9579,0,0
"North Carolina",0.05,"rawcsded_p",0,NA,0.0011,0.0087,NA,0.0011,0.0087,NA,0.9886,0,0
"North Carolina",0.05,"rawrent_p",2,0.25,0.1002,0.2087,0.0357,0.0159,0.0435,0,0.3462,1,0.25
"North Carolina",0.1,"rawgrinc_p",3,0,0.1424,0.2261,0,0.0114,0.0348,0,0.1583,0.25,0.1
"North Carolina",0.1,"rawearn_p",3,0,0.0467,0.0696,0,0.0057,0.0087,0.1538,0.6583,0.25,0
"North Carolina",0.1,"rawunearn_p",3,0,0.1002,0.0696,0,0.008,0.0174,0.623,0.3998,0.25,0
"North Carolina",0.1,"rawmedded_p",0,NA,0.0046,0,NA,0,0,NA,0.8986,0,0
"North Carolina",0.1,"rawdepded_p",0,NA,0.0023,0.0174,NA,0.0011,0.0087,NA,0.9579,0,0
"North Carolina",0.1,"rawcsded_p",0,NA,0.0011,0.0087,NA,0.0011,0.0087,NA,0.9886,0,0
"North Carolina",0.1,"rawrent_p",3,0.3333,0.1002,0.2087,0.0167,0.0159,0.0435,0,0.3462,0.5,0.3
"North Dakota",0.05,"rawgrinc_p",1,0,0.0691,0.119,0,0.0138,0.0714,0,0.2005,0,0
"North Dakota",0.05,"rawearn_p",0,NA,0.03,0.0714,NA,0.0115,0.0476,NA,0.7143,0,0
"North Dakota",0.05,"rawunearn_p",1,0,0.0553,0.0476,0,0.0069,0,0.8,0.3687,0,0
"North Dakota",0.05,"rawmedded_p",0,NA,0.0046,0,NA,0.0023,0,NA,0.8618,0,0
"North Dakota",0.05,"rawdepded_p",0,NA,0.0069,0.0238,NA,0.0069,0.0238,NA,0.97,0,0
"North Dakota",0.05,"rawcsded_p",0,NA,0.0046,0,NA,0.0023,0,NA,0.9562,0,0
"North Dakota",0.05,"rawrent_p",1,0.0833,0.0968,0.0952,0,0.0115,0.0476,0,0.3088,0,0
"North Dakota",0.1,"rawgrinc_p",2,0.1053,0.0691,0.119,0,0.0138,0.0714,0,0.2005,0,0
"North Dakota",0.1,"rawearn_p",0,NA,0.03,0.0714,NA,0.0115,0.0476,NA,0.7143,0,0
"North Dakota",0.1,"rawunearn_p",2,0,0.0553,0.0476,0,0.0069,0,0.3704,0.3687,0,0
"North Dakota",0.1,"rawmedded_p",0,NA,0.0046,0,NA,0.0023,0,NA,0.8618,0,0
"North Dakota",0.1,"rawdepded_p",0,NA,0.0069,0.0238,NA,0.0069,0.0238,NA,0.97,0,0
"North Dakota",0.1,"rawcsded_p",0,NA,0.0046,0,NA,0.0023,0,NA,0.9562,0,0
"North Dakota",0.1,"rawrent_p",1,0.0833,0.0968,0.0952,0,0.0115,0.0476,0,0.3088,0,0
"Ohio",0.05,"rawgrinc_p",0,NA,0.0872,0.0769,NA,0.0123,0.011,NA,0.1508,0.5,NA
"Ohio",0.05,"rawearn_p",0,NA,0.0279,0.0879,NA,0.0045,0.033,NA,0.7318,0.5,NA
"Ohio",0.05,"rawunearn_p",0,NA,0.0726,0.011,NA,0.0101,0,NA,0.3184,0,NA
"Ohio",0.05,"rawmedded_p",0,NA,0.0034,0,NA,0.0011,0,NA,0.9453,0,NA
"Ohio",0.05,"rawdepded_p",0,NA,0.0011,0,NA,0.0011,0,NA,0.9821,0,NA
"Ohio",0.05,"rawcsded_p",0,NA,0.0045,0,NA,0.0022,0,NA,0.9654,0,NA
"Ohio",0.05,"rawrent_p",0,NA,0.0849,0.033,NA,0.0134,0,NA,0.3162,0,NA
"Ohio",0.1,"rawgrinc_p",2,0,0.0872,0.0769,0,0.0123,0.011,0,0.1508,0.3333,0
"Ohio",0.1,"rawearn_p",0,NA,0.0279,0.0879,NA,0.0045,0.033,NA,0.7318,0.25,0
"Ohio",0.1,"rawunearn_p",0,NA,0.0726,0.011,NA,0.0101,0,NA,0.3184,0,0
"Ohio",0.1,"rawmedded_p",0,NA,0.0034,0,NA,0.0011,0,NA,0.9453,0,0
"Ohio",0.1,"rawdepded_p",0,NA,0.0011,0,NA,0.0011,0,NA,0.9821,0,0
"Ohio",0.1,"rawcsded_p",0,NA,0.0045,0,NA,0.0022,0,NA,0.9654,0,0
