"gross_by_hh_size","unc_rawben_rel_max","shelter_expenses","n_flagged","workload_pct","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","err_dollars_caught"
50,1.25,2000,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,2050,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,2100,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,2150,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
50,1.25,2200,33,6.2147,853,-820,25.8485,0.0642,0.0616,1.0329,31181
650,0.55,1750,69,12.9944,1783,-1714,25.8406,0.1342,0.0979,1.0326,49565
650,0.55,1700,68,12.806,1756,-1688,25.8235,0.1321,0.0962,1.0319,48728
650,0.35,2100,21,3.9548,542,-521,25.8095,0.0408,0.0278,1.0314,14058
650,0.55,1950,71,13.371,1832,-1761,25.8028,0.1379,0.0979,1.0311,49565
650,0.55,1800,70,13.1827,1806,-1736,25.8,0.1359,0.0979,1.031,49565
650,0.55,1850,70,13.1827,1806,-1736,25.8,0.1359,0.0979,1.031,49565
650,0.55,1900,70,13.1827,1806,-1736,25.8,0.1359,0.0979,1.031,49565
650,0.55,2200,77,14.5009,1986,-1909,25.7922,0.1495,0.1089,1.0307,55163
50,1.3,1250,32,6.0264,825,-793,25.7812,0.0621,0.0468,1.0302,23681
650,0.35,1700,18,3.3898,464,-446,25.7778,0.0349,0.0246,1.0301,12464
650,0.35,1750,18,3.3898,464,-446,25.7778,0.0349,0.0246,1.0301,12464
650,0.35,1800,18,3.3898,464,-446,25.7778,0.0349,0.0246,1.0301,12464
650,0.35,1850,18,3.3898,464,-446,25.7778,0.0349,0.0246,1.0301,12464
650,0.35,1900,18,3.3898,464,-446,25.7778,0.0349,0.0246,1.0301,12464
650,0.35,1950,18,3.3898,464,-446,25.7778,0.0349,0.0246,1.0301,12464
650,0.55,1600,65,12.2411,1675,-1610,25.7692,0.1261,0.0897,1.0298,45427
650,0.55,1650,65,12.2411,1675,-1610,25.7692,0.1261,0.0897,1.0298,45427
650,0.55,2150,76,14.3126,1958,-1882,25.7632,0.1474,0.1022,1.0295,51747
600,0.55,2200,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2250,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2300,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2350,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2400,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2450,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2500,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2550,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2600,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
600,0.55,2650,58,10.9228,1494,-1436,25.7586,0.1124,0.0873,1.0293,44204
650,0.55,2050,74,13.936,1906,-1832,25.7568,0.1434,0.1022,1.0293,51747
650,0.55,2250,78,14.6893,2009,-1931,25.7564,0.1512,0.1098,1.0292,55600
650,0.55,2300,78,14.6893,2009,-1931,25.7564,0.1512,0.1098,1.0292,55600
650,0.55,2350,78,14.6893,2009,-1931,25.7564,0.1512,0.1098,1.0292,55600
650,0.55,2400,78,14.6893,2009,-1931,25.7564,0.1512,0.1098,1.0292,55600
650,0.55,2450,78,14.6893,2009,-1931,25.7564,0.1512,0.1098,1.0292,55600
650,0.55,2500,78,14.6893,2009,-1931,25.7564,0.1512,0.1098,1.0292,55600
650,0.55,2550,78,14.6893,2009,-1931,25.7564,0.1512,0.1098,1.0292,55600
450,0.6,800,12,2.2599,309,-297,25.75,0.0233,0.0338,1.029,17141
