"rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"rule2806","count_divisible_by_100 > 1.5 & earned_by_hh_size <= 8.33333333333333",2,"INCLUDE",32.377,1.142,0.1,46,28,18,0.609,0.008,0.001,6.09,0.034
"rule719","utilities > 474 & shelter_expenses > 2816",2,"INCLUDE",3.57,0.185,0.3,100,38,62,0.38,0.01,0.003,3.8,0.034
"rule8762","cat_elig > 1.5 & shelter_expenses > 2000.5",2,"INCLUDE",6.039,0.603,1,372,120,252,0.323,0.032,0.013,3.23,0.034
"rule8488","months_since_cert_n <= 12.5 & earned_by_hh_size > 0.291666666666667 & shelter_expenses > 1382",3,"INCLUDE",-0.661,0.164,6.6,2435,744,1691,0.306,0.201,0.067,3.06,0.034
"rule5179","unc_rawben_rel_max <= 1.26798692810458 & shelter_expenses > 1774.5",2,"INCLUDE",2.664,0.53,4.1,1527,450,1077,0.295,0.122,0.046,2.95,0.034
"rule6059","shelter_expenses > 1762.5 & months_since_cert_n > 3.5",2,"INCLUDE",2.651,0.436,2.8,1028,299,729,0.291,0.081,0.029,2.91,0.034
"rule5608","rawben_rel_max <= 0.970759233926129 & gross_by_hh_size <= 411.583333333333",2,"INCLUDE",20.8,5.898,8.8,3258,945,2313,0.29,0.256,0.093,2.9,0.034
"rule15112","children_i %in% c(TRUE) & utilities > 960.5",2,"INCLUDE",1.167,0.107,0.9,316,91,225,0.288,0.025,0.009,2.88,0.034
"rule2748","shelter_expenses > 1278.5 & unearned_by_hh_size <= 313.125",2,"INCLUDE",0.897,0.263,9.5,3495,1003,2492,0.287,0.271,0.095,2.87,0.034
"rule8949","shelter_expenses > 1516.5 & elderly_disabled_i %in% c(FALSE)",2,"INCLUDE",-2.793,0.663,6,2215,632,1583,0.285,0.171,0.063,2.85,0.034
"rule11470","shelter_expenses > 1865.5 & gross_by_hh_size > 38.5",2,"INCLUDE",1.446,0.264,3.5,1276,361,915,0.283,0.098,0.035,2.83,0.034
"rule671","gross_by_hh_size <= 477.166666666667 & unc_rawben_rel_max <= 0.955893549716901",2,"INCLUDE",1.136,0.356,11,4077,1120,2957,0.275,0.303,0.122,2.75,0.034
"rule9979","gross_by_hh_size <= 152.083333333333 & rawben_rel_max <= 0.961238255650567",2,"INCLUDE",19.548,1.483,0.6,214,58,156,0.271,0.016,0.006,2.71,0.034
"rule8098","rawben_rel_max <= 0.971981308411215 & gross_by_hh_size <= 513.083333333333",2,"INCLUDE",7.105,2.417,13.4,4933,1321,3612,0.268,0.358,0.14,2.68,0.034
"rule9114","cat_elig > 0.5 & rawben_rel_max <= 0.977224578199225 & cert_HH_size_FS_n > 3.5",3,"INCLUDE",5.345,1.524,8.9,3297,877,2420,0.266,0.237,0.095,2.66,0.034
"rule3025","shelter_expenses > 1300.5 & gross_by_hh_size <= 482.166666666667",2,"INCLUDE",7.765,1.636,4.7,1721,452,1269,0.263,0.122,0.047,2.63,0.034
"rule1485","cert_HH_size_FS_n > 4.5 & utilities > 307",2,"INCLUDE",-1.858,0.418,5.3,1974,517,1457,0.262,0.14,0.056,2.62,0.034
"rule12013","utilities > 18.5 & children_i %in% c(TRUE) & earned_by_hh_size > 100.333333333333",3,"INCLUDE",-2.715,0.986,15.6,5780,1505,4275,0.26,0.407,0.157,2.6,0.034
"rule14151","shelter_expenses > 1261.5 & utilities <= 470",2,"INCLUDE",1.218,0.255,4.6,1703,442,1261,0.26,0.12,0.047,2.6,0.034
