hh,rule,era,basis,n_cases_flagged,n_error_cases,n_variances,mode_element,mode_element_share,mode_nature,mode_nature_share,agency_agency,agency_client,agency_third_party,agency_other,agency_UNDOCUMENTED,agency_unknown,timeper_before_action,timeper_at_action,timeper_after_action,timeper_undetermined,findg_overissuance,findg_underissuance,findg_ineligible,n_desk_closable,n_catchable_at_action,share_agency,share_desk_closable,share_catchable_at_action,amterr_total,amount_total,n_pre_auth,share_pre_auth,review_mode
4+,HH_size_n >   4.50 & rawben_rel_max <=   0.88 & shelter_expenses_by_hh_size <= 268.00 & total_deductions_by_hh_size > 222.00,test_2024,national,28,11,15,363.0,0.3333333333333333,56.0,0.26666666666666666,7,7,0,0,1,0,0,13,2,0,6,2,0,3,13,0.4666666666666667,0.2,0.8666666666666667,3562.0,1982.0,2,0.13333333333333333,post_authorization
4+,HH_size_n >   4.50 & rawben_rel_max <=   0.88 & shelter_expenses_by_hh_size <= 268.00 & total_deductions_by_hh_size > 222.00,test_2024,deployed,13,5,7,311.0,0.2857142857142857,53.0,0.42857142857142855,5,2,0,0,0,0,0,6,1,0,2,1,0,1,6,0.7142857142857143,0.14285714285714285,0.8571428571428571,1053.0,532.0,1,0.14285714285714285,post_authorization
1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,train_2022_23,national,303,130,211,363.0,0.3886255924170616,53.0,0.5876777251184834,101,98,4,8,0,0,32,132,47,0,159,7,0,28,164,0.4786729857819905,0.13270142180094788,0.7772511848341233,30977.0,19381.0,12,0.05687203791469194,post_authorization
1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,test_2024,national,226,87,148,363.0,0.4391891891891892,53.0,0.43243243243243246,72,71,0,2,3,0,12,96,40,0,114,8,0,23,108,0.4864864864864865,0.1554054054054054,0.7297297297297297,25362.0,18169.0,13,0.08783783783783784,post_authorization
1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,test_2024,deployed,147,52,80,363.0,0.475,53.0,0.475,37,43,0,0,0,0,8,52,20,0,61,4,0,7,60,0.4625,0.0875,0.75,14043.0,10338.0,4,0.05,post_authorization
1,rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000,train_2022_23,national,256,109,183,363.0,0.47540983606557374,53.0,0.5901639344262295,74,100,3,6,0,0,23,115,45,0,137,11,1,14,138,0.40437158469945356,0.07650273224043716,0.7540983606557377,26194.0,16918.0,5,0.0273224043715847,post_authorization
1,rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000,test_2024,national,231,83,144,363.0,0.4930555555555556,53.0,0.4375,66,75,0,2,1,0,12,98,34,0,116,1,0,22,110,0.4583333333333333,0.1527777777777778,0.7638888888888888,24025.0,16299.0,11,0.0763888888888889,post_authorization
1,rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000,test_2024,deployed,106,23,36,363.0,0.6111111111111112,53.0,0.5,12,24,0,0,0,0,4,28,4,0,32,0,0,2,32,0.3333333333333333,0.05555555555555555,0.8888888888888888,5969.0,4573.0,2,0.05555555555555555,post_authorization
1,elderly_disabled_i >   0.500 & rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 676.000 & unc_rawben_rel_max >   1.790,train_2022_23,national,109,50,77,331.0,0.4675324675324675,37.0,0.2727272727272727,53,19,3,2,0,0,8,20,49,0,62,2,0,20,28,0.6883116883116883,0.2597402597402597,0.36363636363636365,12124.0,7794.0,6,0.07792207792207792,post_authorization
1,elderly_disabled_i >   0.500 & rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 676.000 & unc_rawben_rel_max >   1.790,test_2024,national,41,22,32,331.0,0.4375,35.0,0.4375,11,17,1,0,3,0,6,9,16,0,23,0,0,4,15,0.34375,0.125,0.46875,6678.0,3725.0,2,0.0625,post_authorization
1,elderly_disabled_i >   0.500 & rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 676.000 & unc_rawben_rel_max >   1.790,test_2024,deployed,14,4,7,331.0,0.42857142857142855,35.0,0.42857142857142855,1,4,0,0,2,0,2,1,3,0,5,0,0,1,3,0.14285714285714285,0.14285714285714285,0.42857142857142855,1309.0,705.0,0,0.0,post_authorization
2-3,months_since_cert_n <=  25 & shelter_expenses_by_hh_size > 499 & shelter_expenses_by_hh_size <= 679 & total_deductions_by_hh_size > 644,train_2022_23,national,56,28,52,311.0,0.19230769230769232,53.0,0.19230769230769232,24,27,0,1,0,0,6,31,15,0,33,2,0,12,37,0.46153846153846156,0.23076923076923078,0.7115384615384616,10114.0,4898.0,10,0.19230769230769232,post_authorization
2-3,months_since_cert_n <=  25 & shelter_expenses_by_hh_size > 499 & shelter_expenses_by_hh_size <= 679 & total_deductions_by_hh_size > 644,test_2024,national,26,8,12,323.0,0.5,56.0,0.25,2,5,0,0,5,0,2,7,3,0,7,1,0,3,9,0.16666666666666666,0.25,0.75,2484.0,819.0,1,0.08333333333333333,post_authorization
2-3,months_since_cert_n <=  25 & shelter_expenses_by_hh_size > 499 & shelter_expenses_by_hh_size <= 679 & total_deductions_by_hh_size > 644,test_2024,deployed,8,1,1,323.0,1.0,56.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.0,1.0,112.0,112.0,0,0.0,insufficient
2-3,HH_size_n >   2.500 & total_deductions_by_hh_size > 440.000 & unc_rawben_rel_max >   0.640 & unc_rawben_rel_max <=   0.996,train_2022_23,national,72,34,54,311.0,0.24074074074074073,53.0,0.24074074074074073,26,27,0,1,0,0,5,35,14,0,20,10,0,7,40,0.48148148148148145,0.12962962962962962,0.7407407407407407,10544.0,5177.0,6,0.1111111111111111,post_authorization
2-3,HH_size_n >   2.500 & total_deductions_by_hh_size > 440.000 & unc_rawben_rel_max >   0.640 & unc_rawben_rel_max <=   0.996,test_2024,national,46,14,18,311.0,0.4444444444444444,35.0,0.2222222222222222,9,8,0,1,0,0,1,12,5,0,10,7,0,2,13,0.5,0.1111111111111111,0.7222222222222222,2806.0,2068.0,2,0.1111111111111111,post_authorization
2-3,HH_size_n >   2.500 & total_deductions_by_hh_size > 440.000 & unc_rawben_rel_max >   0.640 & unc_rawben_rel_max <=   0.996,test_2024,deployed,31,8,9,311.0,0.5555555555555556,38.0,0.2222222222222222,4,4,0,1,0,0,1,6,2,0,7,1,0,1,7,0.4444444444444444,0.1111111111111111,0.7777777777777778,1432.0,1200.0,1,0.1111111111111111,post_authorization
1,cat_elig >=    1.00 & shelter_expenses_by_hh_size < 1720.00 & unc_rawben_rel_max >=    2.49 & utilities <  875.00,train_2022_23,national,104,46,75,331.0,0.3333333333333333,35.0,0.26666666666666666,41,33,0,1,0,0,9,31,35,0,55,2,0,18,40,0.5466666666666666,0.24,0.5333333333333333,13450.0,10371.0,9,0.12,post_authorization
1,cat_elig >=    1.00 & shelter_expenses_by_hh_size < 1720.00 & unc_rawben_rel_max >=    2.49 & utilities <  875.00,test_2024,national,58,22,33,331.0,0.2727272727272727,35.0,0.3333333333333333,15,12,0,2,4,0,3,18,12,0,30,0,0,7,21,0.45454545454545453,0.21212121212121213,0.6363636363636364,6605.0,5241.0,3,0.09090909090909091,post_authorization
1,cat_elig >=    1.00 & shelter_expenses_by_hh_size < 1720.00 & unc_rawben_rel_max >=    2.49 & utilities <  875.00,test_2024,deployed,37,12,16,331.0,0.375,38.0,0.4375,6,5,0,1,4,0,1,12,3,0,14,0,0,2,13,0.375,0.125,0.8125,2717.0,1889.0,1,0.0625,post_authorization
4+,months_since_cert_n >   5.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size <= 494.000 & total_deductions_by_hh_size > 227.000,train_2022_23,national,311,122,198,311.0,0.3181818181818182,38.0,0.18686868686868688,99,85,0,14,0,0,15,107,76,0,110,45,0,47,122,0.5,0.23737373737373738,0.6161616161616161,42267.0,27096.0,26,0.13131313131313133,post_authorization
4+,months_since_cert_n >   5.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size <= 494.000 & total_deductions_by_hh_size > 227.000,test_2024,national,202,58,97,311.0,0.38144329896907214,38.0,0.16494845360824742,53,37,0,0,7,0,3,40,53,0,54,15,0,25,43,0.5463917525773195,0.25773195876288657,0.44329896907216493,22617.0,13226.0,13,0.13402061855670103,post_authorization
4+,months_since_cert_n >   5.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size <= 494.000 & total_deductions_by_hh_size > 227.000,test_2024,deployed,92,26,44,311.0,0.29545454545454547,38.0,0.1590909090909091,29,11,0,0,4,0,2,24,18,0,20,7,0,17,26,0.6590909090909091,0.38636363636363635,0.5909090909090909,11288.0,5984.0,10,0.22727272727272727,post_authorization
4+,months_since_cert_n >=   8.000 & rawben_rel_max <   0.965 & total_deductions_by_hh_size >= 178.000 & unc_rawben_rel_max >=   0.793,train_2022_23,national,122,52,77,311.0,0.35064935064935066,38.0,0.22077922077922077,39,31,1,6,0,0,12,34,31,0,46,16,0,20,46,0.5064935064935064,0.2597402597402597,0.5974025974025974,18218.0,8857.0,9,0.11688311688311688,post_authorization
4+,months_since_cert_n >=   8.000 & rawben_rel_max <   0.965 & total_deductions_by_hh_size >= 178.000 & unc_rawben_rel_max >=   0.793,test_2024,national,54,21,31,311.0,0.3548387096774194,56.0,0.16129032258064516,15,11,0,0,5,0,1,19,10,0,18,4,0,9,20,0.4838709677419355,0.2903225806451613,0.6451612903225806,7498.0,4190.0,2,0.06451612903225806,post_authorization
4+,months_since_cert_n >=   8.000 & rawben_rel_max <   0.965 & total_deductions_by_hh_size >= 178.000 & unc_rawben_rel_max >=   0.793,test_2024,deployed,25,10,14,311.0,0.2857142857142857,38.0,0.2857142857142857,9,4,0,0,1,0,1,8,5,0,7,1,0,6,9,0.6428571428571429,0.42857142857142855,0.6428571428571429,3373.0,1443.0,1,0.07142857142857142,post_authorization
2-3,shelter_expenses_by_hh_size < 650 & total_deductions_by_hh_size >= 625,train_2022_23,national,96,42,76,363.0,0.19736842105263158,53.0,0.32894736842105265,37,39,0,0,0,0,13,45,18,0,54,3,0,18,58,0.4868421052631579,0.23684210526315788,0.7631578947368421,15389.0,8559.0,15,0.19736842105263158,post_authorization
