hh,rule,era,basis,n_cases_flagged,n_error_cases,n_variances,mode_element,mode_element_share,mode_nature,mode_nature_share,agency_agency,agency_client,agency_third_party,agency_other,agency_UNDOCUMENTED,agency_unknown,timeper_before_action,timeper_at_action,timeper_after_action,timeper_undetermined,findg_overissuance,findg_underissuance,findg_ineligible,n_desk_closable,n_catchable_at_action,share_agency,share_desk_closable,share_catchable_at_action,amterr_total,amount_total,n_pre_auth,share_pre_auth,review_mode
1,rawben_rel_max >=   0.280 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 471.000 & utilities < 347.000,test_2024,deployed,30,4,4,363.0,0.75,53.0,0.5,3,1,0,0,0,0,1,2,1,0,4,0,0,1,3,0.75,0.25,0.75,661.0,661.0,1,0.25,insufficient
4+,shelter_expenses_by_hh_size <= 494.000 & total_deductions_by_hh_size > 235.000 & unc_rawben_rel_max <=   0.997,train_2022_23,national,864,253,405,311.0,0.3160493827160494,53.0,0.18024691358024691,223,163,0,19,0,0,26,277,102,0,197,88,0,109,303,0.5506172839506173,0.2691358024691358,0.7481481481481481,80230.0,53495.0,81,0.2,post_authorization
4+,shelter_expenses_by_hh_size <= 494.000 & total_deductions_by_hh_size > 235.000 & unc_rawben_rel_max <=   0.997,test_2024,national,631,181,296,311.0,0.34459459459459457,56.0,0.17905405405405406,157,108,1,2,28,0,20,191,81,0,146,47,0,74,211,0.5304054054054054,0.25,0.7128378378378378,62426.0,33934.0,45,0.15202702702702703,post_authorization
4+,shelter_expenses_by_hh_size <= 494.000 & total_deductions_by_hh_size > 235.000 & unc_rawben_rel_max <=   0.997,test_2024,deployed,4,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
4+,rawben_rel_max <  0.879 & total_deductions_by_hh_size >= 11.200 & total_deductions_by_hh_size < 20.600,train_2022_23,national,110,39,52,311.0,0.21153846153846154,52.0,0.19230769230769232,30,20,0,1,0,1,7,27,17,0,17,17,0,14,34,0.5769230769230769,0.2692307692307692,0.6538461538461539,11570.0,5660.0,9,0.17307692307692307,post_authorization
4+,rawben_rel_max <  0.879 & total_deductions_by_hh_size >= 11.200 & total_deductions_by_hh_size < 20.600,test_2024,national,42,12,18,311.0,0.2777777777777778,38.0,0.3333333333333333,13,4,0,0,1,0,0,13,5,0,4,6,0,9,13,0.7222222222222222,0.5,0.7222222222222222,3977.0,1678.0,7,0.3888888888888889,mixed
4+,rawben_rel_max <  0.879 & total_deductions_by_hh_size >= 11.200 & total_deductions_by_hh_size < 20.600,test_2024,deployed,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
4+,rawben_rel_max <   0.988 & shelter_expenses_by_hh_size < 293.000 & total_deductions_by_hh_size >= 200.000 & utilities < 645.000,train_2022_23,national,305,96,173,311.0,0.2774566473988439,53.0,0.21965317919075145,101,59,1,12,0,0,13,122,38,0,72,31,0,46,135,0.5838150289017341,0.2658959537572254,0.7803468208092486,39172.0,19604.0,33,0.1907514450867052,post_authorization
4+,rawben_rel_max <   0.988 & shelter_expenses_by_hh_size < 293.000 & total_deductions_by_hh_size >= 200.000 & utilities < 645.000,test_2024,national,142,40,61,311.0,0.3114754098360656,99.0,0.14754098360655737,33,24,0,1,3,0,3,43,15,0,33,13,0,14,46,0.5409836065573771,0.22950819672131148,0.7540983606557377,12888.0,8421.0,9,0.14754098360655737,post_authorization
4+,rawben_rel_max <   0.988 & shelter_expenses_by_hh_size < 293.000 & total_deductions_by_hh_size >= 200.000 & utilities < 645.000,test_2024,deployed,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
2-3,elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.550,train_2022_23,national,51,31,42,331.0,0.2619047619047619,38.0,0.2619047619047619,27,14,0,1,0,0,6,25,11,0,36,0,0,14,31,0.6428571428571429,0.3333333333333333,0.7380952380952381,9760.0,9072.0,10,0.23809523809523808,post_authorization
2-3,elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.550,test_2024,national,30,9,13,363.0,0.23076923076923078,99.0,0.3076923076923077,5,5,0,0,3,0,0,10,3,0,8,0,0,3,10,0.38461538461538464,0.23076923076923078,0.7692307692307693,4689.0,2160.0,2,0.15384615384615385,post_authorization
2-3,elderly_disabled_i > 0.500 & married <= 0.500 & rawben_rel_max > 0.996 & unc_rawben_rel_max > 1.550,test_2024,deployed,17,6,8,363.0,0.25,99.0,0.375,3,2,0,0,3,0,0,5,3,0,6,0,0,1,5,0.375,0.125,0.625,3212.0,1772.0,0,0.0,post_authorization
2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00,train_2022_23,national,83,45,61,331.0,0.22950819672131148,38.0,0.21311475409836064,34,26,0,1,0,0,3,33,25,0,48,0,0,17,36,0.5573770491803278,0.2786885245901639,0.5901639344262295,15483.0,13807.0,12,0.19672131147540983,post_authorization
2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00,test_2024,national,41,16,29,331.0,0.1724137931034483,37.0,0.2413793103448276,12,13,0,0,4,0,2,15,12,0,15,1,0,5,17,0.41379310344827586,0.1724137931034483,0.5862068965517241,10887.0,4782.0,2,0.06896551724137931,post_authorization
2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00,test_2024,deployed,18,8,15,363.0,0.2,37.0,0.26666666666666666,7,6,0,0,2,0,0,7,8,0,9,1,0,2,7,0.4666666666666667,0.13333333333333333,0.4666666666666667,5079.0,2600.0,0,0.0,post_authorization
1,count_divisible_by_100 <=   0.50 & months_since_cert_n >   3.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.93,train_2022_23,national,86,45,66,331.0,0.48484848484848486,38.0,0.25757575757575757,45,18,1,2,0,0,7,18,41,0,60,0,0,27,25,0.6818181818181818,0.4090909090909091,0.3787878787878788,9072.0,6242.0,11,0.16666666666666666,post_authorization
1,count_divisible_by_100 <=   0.50 & months_since_cert_n >   3.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.93,test_2024,national,29,14,22,331.0,0.36363636363636365,37.0,0.3181818181818182,16,6,0,0,0,0,2,9,11,0,15,0,0,10,11,0.7272727272727273,0.45454545454545453,0.5,3042.0,2506.0,6,0.2727272727272727,mixed
1,count_divisible_by_100 <=   0.50 & months_since_cert_n >   3.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.93,test_2024,deployed,20,8,15,331.0,0.3333333333333333,37.0,0.3333333333333333,12,3,0,0,0,0,1,6,8,0,11,0,0,7,7,0.8,0.4666666666666667,0.4666666666666667,2241.0,1925.0,4,0.26666666666666666,mixed
4+,count_divisible_by_100 >   0.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.947 & total_deductions_by_hh_size > 218.000,train_2022_23,national,45,25,46,311.0,0.21739130434782608,53.0,0.15217391304347827,21,22,0,3,0,0,1,37,8,0,25,6,2,13,38,0.45652173913043476,0.2826086956521739,0.8260869565217391,12456.0,9209.0,7,0.15217391304347827,post_authorization
4+,count_divisible_by_100 >   0.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.947 & total_deductions_by_hh_size > 218.000,test_2024,national,22,5,6,311.0,0.5,35.0,0.3333333333333333,2,4,0,0,0,0,0,4,2,0,6,0,0,0,4,0.3333333333333333,0.0,0.6666666666666666,1553.0,1553.0,0,0.0,post_authorization
4+,count_divisible_by_100 >   0.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.947 & total_deductions_by_hh_size > 218.000,test_2024,deployed,8,2,2,311.0,0.5,35.0,0.5,0,2,0,0,0,0,0,1,1,0,2,0,0,0,1,0.0,0.0,0.5,420.0,420.0,0,0.0,insufficient
4+,months_since_cert_n >=  11 & total_deductions_by_hh_size >= 238 & total_deductions_by_hh_size < 272,train_2022_23,national,37,21,37,311.0,0.32432432432432434,38.0,0.16216216216216217,18,15,0,4,0,0,2,20,15,0,19,10,2,9,22,0.4864864864864865,0.24324324324324326,0.5945945945945946,8799.0,7877.0,5,0.13513513513513514,post_authorization
4+,months_since_cert_n >=  11 & total_deductions_by_hh_size >= 238 & total_deductions_by_hh_size < 272,test_2024,national,13,3,5,311.0,0.6,35.0,0.4,3,2,0,0,0,0,0,3,2,0,3,0,0,2,3,0.6,0.4,0.6,1481.0,1273.0,2,0.4,mixed
4+,months_since_cert_n >=  11 & total_deductions_by_hh_size >= 238 & total_deductions_by_hh_size < 272,test_2024,deployed,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
4+,HH_size_n >   4.500 & months_since_cert_n >   5.500 & total_deductions_by_hh_size > 231.000 & unc_rawben_rel_max <=   0.998,train_2022_23,national,95,45,82,311.0,0.25609756097560976,38.0,0.17073170731707318,42,38,0,2,0,0,5,52,25,0,46,15,0,17,57,0.5121951219512195,0.2073170731707317,0.6951219512195121,17216.0,9925.0,13,0.15853658536585366,post_authorization
4+,HH_size_n >   4.500 & months_since_cert_n >   5.500 & total_deductions_by_hh_size > 231.000 & unc_rawben_rel_max <=   0.998,test_2024,national,78,25,36,311.0,0.5277777777777778,38.0,0.25,20,15,0,0,1,0,1,13,22,0,20,6,0,10,14,0.5555555555555556,0.2777777777777778,0.3888888888888889,10813.0,5975.0,7,0.19444444444444445,post_authorization
4+,HH_size_n >   4.500 & months_since_cert_n >   5.500 & total_deductions_by_hh_size > 231.000 & unc_rawben_rel_max <=   0.998,test_2024,deployed,43,15,20,311.0,0.55,35.0,0.25,9,10,0,0,1,0,0,6,14,0,14,4,0,3,6,0.45,0.15,0.3,6218.0,4289.0,1,0.05,post_authorization
2-3,children_i <=   0.5 & months_since_cert_n <=  16.5 & total_deductions_by_hh_size > 200.0 & utilities <= 524.0,train_2022_23,national,1062,232,352,363.0,0.25,53.0,0.2528409090909091,170,171,0,11,0,0,56,198,98,0,220,45,0,56,254,0.48295454545454547,0.1590909090909091,0.7215909090909091,69605.0,44579.0,30,0.08522727272727272,post_authorization
2-3,children_i <=   0.5 & months_since_cert_n <=  16.5 & total_deductions_by_hh_size > 200.0 & utilities <= 524.0,test_2024,national,452,108,153,363.0,0.2875816993464052,53.0,0.1830065359477124,66,71,1,2,13,0,17,104,31,1,85,18,0,29,121,0.43137254901960786,0.1895424836601307,0.7908496732026143,31152.0,16406.0,14,0.0915032679738562,post_authorization
2-3,children_i <=   0.5 & months_since_cert_n <=  16.5 & total_deductions_by_hh_size > 200.0 & utilities <= 524.0,test_2024,deployed,2,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,insufficient
4+,months_since_cert_n >=   9.000 & rawben_rel_max <   0.822 & total_deductions_by_hh_size >= 109.000 & unc_rawben_rel_max >=   0.725,train_2022_23,national,111,49,73,311.0,0.2876712328767123,53.0,0.1643835616438356,41,31,0,1,0,0,6,29,38,0,33,21,0,19,35,0.5616438356164384,0.2602739726027397,0.4794520547945205,16140.0,9105.0,9,0.1232876712328767,post_authorization
4+,months_since_cert_n >=   9.000 & rawben_rel_max <   0.822 & total_deductions_by_hh_size >= 109.000 & unc_rawben_rel_max >=   0.725,test_2024,national,48,16,28,311.0,0.32142857142857145,35.0,0.14285714285714285,10,14,0,1,3,0,2,6,20,0,14,4,0,7,8,0.35714285714285715,0.25,0.2857142857142857,8159.0,4062.0,0,0.0,post_authorization
4+,months_since_cert_n >=   9.000 & rawben_rel_max <   0.822 & total_deductions_by_hh_size >= 109.000 & unc_rawben_rel_max >=   0.725,test_2024,deployed,26,8,14,363.0,0.21428571428571427,53.0,0.14285714285714285,5,8,0,1,0,0,0,3,11,0,10,0,0,1,3,0.35714285714285715,0.07142857142857142,0.21428571428571427,4818.0,2166.0,0,0.0,post_authorization
2-3,married <=   0.5 & months_since_cert_n >   6.5 & total_deductions_by_hh_size > 637.0 & utilities <= 756.0,train_2022_23,national,37,19,37,311.0,0.21621621621621623,53.0,0.24324324324324326,21,14,0,2,0,0,7,11,19,0,30,0,0,4,18,0.5675675675675675,0.10810810810810811,0.4864864864864865,8181.0,5546.0,0,0.0,post_authorization
2-3,married <=   0.5 & months_since_cert_n >   6.5 & total_deductions_by_hh_size > 637.0 & utilities <= 756.0,test_2024,national,25,6,8,363.0,0.375,52.0,0.375,3,2,0,0,3,0,1,6,1,0,2,2,0,4,7,0.375,0.5,0.875,2602.0,1366.0,3,0.375,mixed
2-3,married <=   0.5 & months_since_cert_n >   6.5 & total_deductions_by_hh_size > 637.0 & utilities <= 756.0,test_2024,deployed,6,1,1,311.0,1.0,35.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.0,1.0,512.0,512.0,0,0.0,insufficient
1,rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 602.000 & utilities <= 272.000,train_2022_23,national,247,99,166,363.0,0.3614457831325301,53.0,0.5421686746987951,81,73,4,8,0,0,26,97,43,0,120,7,0,20,123,0.4879518072289157,0.12048192771084337,0.7409638554216867,26082.0,15569.0,8,0.04819277108433735,post_authorization
1,rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 602.000 & utilities <= 272.000,test_2024,national,189,74,130,363.0,0.4461538461538462,53.0,0.4307692307692308,64,62,0,2,2,0,8,85,37,0,104,4,0,21,93,0.49230769230769234,0.16153846153846155,0.7153846153846154,23265.0,17032.0,11,0.08461538461538462,post_authorization
1,rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 602.000 & utilities <= 272.000,test_2024,deployed,63,25,41,363.0,0.4634146341463415,53.0,0.3902439024390244,23,18,0,0,0,0,1,30,10,0,31,0,0,5,31,0.5609756097560976,0.12195121951219512,0.7560975609756098,7158.0,5409.0,3,0.07317073170731707,post_authorization
4+,rawben_rel_max >   0.501 & shelter_expenses_by_hh_size > 303.000 & utilities > 524.000,train_2022_23,national,840,203,283,311.0,0.3462897526501767,35.0,0.1872791519434629,161,112,0,8,0,2,29,175,77,0,175,66,0,85,204,0.568904593639576,0.3003533568904594,0.7208480565371025,62392.0,41259.0,53,0.1872791519434629,post_authorization
4+,rawben_rel_max >   0.501 & shelter_expenses_by_hh_size > 303.000 & utilities > 524.000,test_2024,national,625,175,253,311.0,0.3794466403162055,35.0,0.17391304347826086,123,103,1,2,24,0,13,149,84,1,149,45,0,60,162,0.48616600790513836,0.23715415019762845,0.6403162055335968,62988.0,38833.0,33,0.13043478260869565,post_authorization
4+,rawben_rel_max >   0.501 & shelter_expenses_by_hh_size > 303.000 & utilities > 524.000,test_2024,deployed,35,10,11,311.0,0.36363636363636365,44.0,0.36363636363636365,6,3,0,1,1,0,1,8,2,0,7,4,0,3,9,0.5454545454545454,0.2727272727272727,0.8181818181818182,4592.0,3549.0,2,0.18181818181818182,post_authorization
4+,rawben_rel_max >   0.502 & shelter_expenses_by_hh_size > 247.000 & shelter_expenses_by_hh_size <= 512.000 & utilities > 524.000,train_2022_23,national,1026,251,363,311.0,0.3526170798898072,35.0,0.15151515151515152,214,134,0,13,0,2,30,235,96,0,216,88,0,113,265,0.5895316804407713,0.31129476584022037,0.7300275482093664,76525.0,48654.0,72,0.19834710743801653,post_authorization
4+,rawben_rel_max >   0.502 & shelter_expenses_by_hh_size > 247.000 & shelter_expenses_by_hh_size <= 512.000 & utilities > 524.000,test_2024,national,717,190,276,311.0,0.3804347826086957,38.0,0.16666666666666666,139,107,1,1,28,0,14,166,88,1,152,58,0,70,180,0.5036231884057971,0.2536231884057971,0.6521739130434783,68132.0,43133.0,37,0.13405797101449277,post_authorization
4+,rawben_rel_max >   0.502 & shelter_expenses_by_hh_size > 247.000 & shelter_expenses_by_hh_size <= 512.000 & utilities > 524.000,test_2024,deployed,28,8,8,311.0,0.375,44.0,0.5,6,1,0,0,1,0,1,6,1,0,4,4,0,4,7,0.75,0.5,0.875,2021.0,2021.0,2,0.25,mixed
1,cat_elig >   0.500 & expedited_i >   0.500 & total_deductions_by_hh_size > 991.000 & unc_rawben_rel_max <=   0.991,train_2022_23,national,33,17,23,311.0,0.34782608695652173,53.0,0.43478260869565216,12,10,1,0,0,0,5,11,7,0,15,1,0,5,16,0.5217391304347826,0.21739130434782608,0.6956521739130435,3448.0,2582.0,3,0.13043478260869565,post_authorization
1,cat_elig >   0.500 & expedited_i >   0.500 & total_deductions_by_hh_size > 991.000 & unc_rawben_rel_max <=   0.991,test_2024,national,49,23,38,311.0,0.2894736842105263,38.0,0.18421052631578946,15,21,0,0,2,0,3,21,14,0,29,1,0,5,24,0.39473684210526316,0.13157894736842105,0.631578947368421,7362.0,4690.0,2,0.05263157894736842,post_authorization
1,cat_elig >   0.500 & expedited_i >   0.500 & total_deductions_by_hh_size > 991.000 & unc_rawben_rel_max <=   0.991,test_2024,deployed,23,10,15,311.0,0.26666666666666666,56.0,0.26666666666666666,8,7,0,0,0,0,2,5,8,0,13,1,0,3,7,0.5333333333333333,0.2,0.4666666666666667,2587.0,1659.0,1,0.06666666666666667,post_authorization
2-3,HH_size_n >=   3 & shelter_expenses_by_hh_size < 700 & total_deductions_by_hh_size >= 510,train_2022_23,national,99,43,80,311.0,0.225,53.0,0.2625,37,40,0,3,0,0,8,51,21,0,46,5,0,11,59,0.4625,0.1375,0.7375,17754.0,8905.0,9,0.1125,post_authorization
2-3,HH_size_n >=   3 & shelter_expenses_by_hh_size < 700 & total_deductions_by_hh_size >= 510,test_2024,national,56,15,26,323.0,0.3076923076923077,56.0,0.15384615384615385,14,10,1,0,1,0,3,19,4,0,12,10,0,7,22,0.5384615384615384,0.2692307692307692,0.8461538461538461,7384.0,3106.0,7,0.2692307692307692,mixed
2-3,HH_size_n >=   3 & shelter_expenses_by_hh_size < 700 & total_deductions_by_hh_size >= 510,test_2024,deployed,8,1,1,323.0,1.0,56.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,326.0,326.0,1,1.0,insufficient
4+,percent_abawd <=   0.450 & total_deductions_by_hh_size > 154.000 & total_deductions_by_hh_size <= 326.000 & unc_rawben_rel_max >   0.509,train_2022_23,national,2408,549,809,311.0,0.3362175525339926,38.0,0.20395550061804696,449,331,3,26,0,0,72,509,228,0,433,152,0,217,581,0.5550061804697157,0.26823238566131025,0.7181705809641533,181283.0,100204.0,134,0.16563658838071693,post_authorization
4+,percent_abawd <=   0.450 & total_deductions_by_hh_size > 154.000 & total_deductions_by_hh_size <= 326.000 & unc_rawben_rel_max >   0.509,test_2024,national,1541,367,536,311.0,0.373134328358209,35.0,0.15671641791044777,270,222,1,3,40,0,35,340,154,2,280,106,2,123,375,0.503731343283582,0.2294776119402985,0.6996268656716418,129304.0,72012.0,65,0.12126865671641791,post_authorization
4+,percent_abawd <=   0.450 & total_deductions_by_hh_size > 154.000 & total_deductions_by_hh_size <= 326.000 & unc_rawben_rel_max >   0.509,test_2024,deployed,25,6,7,311.0,0.2857142857142857,44.0,0.42857142857142855,5,2,0,0,0,0,0,5,2,0,4,3,0,2,5,0.7142857142857143,0.2857142857142857,0.7142857142857143,2935.0,1892.0,2,0.2857142857142857,mixed
1,married <=   0.500 & total_deductions_by_hh_size > 505.000 & unc_rawben_rel_max <=   0.992 & utilities <=  29.500,train_2022_23,national,255,98,161,363.0,0.36024844720496896,53.0,0.5652173913043478,74,78,4,5,0,0,24,90,47,0,129,5,0,24,114,0.45962732919254656,0.14906832298136646,0.7080745341614907,25098.0,16638.0,10,0.062111801242236024,post_authorization
1,married <=   0.500 & total_deductions_by_hh_size > 505.000 & unc_rawben_rel_max <=   0.992 & utilities <=  29.500,test_2024,national,179,65,114,363.0,0.41228070175438597,53.0,0.41228070175438597,47,63,0,2,2,0,9,71,34,0,95,8,0,15,80,0.41228070175438597,0.13157894736842105,0.7017543859649122,19687.0,14918.0,7,0.06140350877192982,post_authorization
1,married <=   0.500 & total_deductions_by_hh_size > 505.000 & unc_rawben_rel_max <=   0.992 & utilities <=  29.500,test_2024,deployed,27,6,8,363.0,0.5,53.0,0.375,3,5,0,0,0,0,0,4,4,0,8,0,0,0,4,0.375,0.0,0.5,2188.0,2188.0,0,0.0,post_authorization
1,medical_deductions > 506.000 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 282.000 & unc_rawben_rel_max >   0.761,train_2022_23,national,30,20,30,365.0,0.6333333333333333,53.0,0.6666666666666666,23,4,2,1,0,0,5,20,5,0,21,1,0,10,25,0.7666666666666667,0.3333333333333333,0.8333333333333334,6341.0,3666.0,5,0.16666666666666666,post_authorization
1,medical_deductions > 506.000 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 282.000 & unc_rawben_rel_max >   0.761,test_2024,national,19,8,15,365.0,0.5333333333333333,53.0,0.4,9,4,0,2,0,0,1,13,1,0,11,2,0,7,14,0.6,0.4666666666666667,0.9333333333333333,3161.0,1894.0,4,0.26666666666666666,mixed
1,medical_deductions > 506.000 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 282.000 & unc_rawben_rel_max >   0.761,test_2024,deployed,6,3,5,365.0,0.6,57.0,0.4,3,2,0,0,0,0,0,4,1,0,3,2,0,1,4,0.6,0.2,0.8,936.0,536.0,0,0.0,post_authorization
2-3,medical_deductions > 143 & shelter_expenses_by_hh_size <= 738 & total_deductions_by_hh_size > 503,train_2022_23,national,36,23,45,365.0,0.4888888888888889,53.0,0.4666666666666667,29,16,0,0,0,0,9,27,9,0,37,3,0,18,36,0.6444444444444445,0.4,0.8,8079.0,4706.0,14,0.3111111111111111,mixed
2-3,medical_deductions > 143 & shelter_expenses_by_hh_size <= 738 & total_deductions_by_hh_size > 503,test_2024,national,16,8,10,365.0,0.6,53.0,0.3,4,2,1,0,3,0,2,5,3,0,7,1,0,7,7,0.4,0.7,0.7,2945.0,886.0,1,0.1,post_authorization
2-3,medical_deductions > 143 & shelter_expenses_by_hh_size <= 738 & total_deductions_by_hh_size > 503,test_2024,deployed,10,6,7,365.0,0.7142857142857143,53.0,0.42857142857142855,3,2,1,0,1,0,2,3,2,0,6,1,0,6,5,0.42857142857142855,0.8571428571428571,0.7142857142857143,1951.0,820.0,1,0.14285714285714285,post_authorization
1,rawben_rel_max >   0.345 & shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max <=   0.991 & utilities <=  14.500,train_2022_23,national,114,58,106,363.0,0.49056603773584906,53.0,0.6226415094339622,45,54,2,5,0,0,13,59,34,0,89,3,1,10,72,0.42452830188679247,0.09433962264150944,0.6792452830188679,16256.0,11154.0,2,0.018867924528301886,post_authorization
1,rawben_rel_max >   0.345 & shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max <=   0.991 & utilities <=  14.500,test_2024,national,97,51,94,363.0,0.4787234042553192,53.0,0.4787234042553192,37,55,0,2,0,0,6,62,26,0,81,1,0,13,68,0.39361702127659576,0.13829787234042554,0.723404255319149,16739.0,12262.0,4,0.0425531914893617,post_authorization
1,rawben_rel_max >   0.345 & shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max <=   0.991 & utilities <=  14.500,test_2024,deployed,4,3,5,363.0,0.6,53.0,0.6,1,4,0,0,0,0,0,4,1,0,1,0,0,0,4,0.2,0.0,0.8,580.0,0.0,0,0.0,post_authorization
1,total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.93 & utilities <= 606.00,train_2022_23,national,97,49,72,331.0,0.5138888888888888,38.0,0.2361111111111111,46,21,2,3,0,0,6,26,40,0,59,0,0,25,32,0.6388888888888888,0.3472222222222222,0.4444444444444444,10345.0,6593.0,9,0.125,post_authorization
1,total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.93 & utilities <= 606.00,test_2024,national,24,14,22,331.0,0.2727272727272727,37.0,0.3181818181818182,16,5,0,0,1,0,1,13,8,0,15,0,0,11,14,0.7272727272727273,0.5,0.6363636363636364,4143.0,2354.0,7,0.3181818181818182,mixed
1,total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.93 & utilities <= 606.00,test_2024,deployed,6,4,4,331.0,0.75,37.0,0.75,4,0,0,0,0,0,0,0,4,0,3,0,0,3,0,1.0,0.75,0.0,683.0,581.0,0,0.0,insufficient
1,rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 692.000 & utilities < 580.000,train_2022_23,national,263,111,149,363.0,0.697986577181208,53.0,0.6577181208053692,66,82,1,0,0,0,20,103,26,0,106,2,0,17,123,0.4429530201342282,0.11409395973154363,0.825503355704698,22174.0,12127.0,10,0.06711409395973154,post_authorization
1,rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 692.000 & utilities < 580.000,test_2024,national,136,66,96,363.0,0.65625,56.0,0.4166666666666667,49,45,0,2,0,0,7,61,28,0,74,0,0,14,68,0.5104166666666666,0.14583333333333334,0.7083333333333334,15371.0,10819.0,7,0.07291666666666667,post_authorization
1,rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 692.000 & utilities < 580.000,test_2024,deployed,47,20,26,363.0,0.7307692307692307,56.0,0.5384615384615384,14,12,0,0,0,0,2,18,6,0,18,0,0,3,20,0.5384615384615384,0.11538461538461539,0.7692307692307693,3554.0,1907.0,2,0.07692307692307693,post_authorization
4+,HH_size_n >   4.5 & medical_deductions <= 157.0 & total_deductions_by_hh_size > 362.0,train_2022_23,national,31,17,29,311.0,0.3103448275862069,52.0,0.2413793103448276,18,8,0,3,0,0,4,24,1,0,8,9,0,9,28,0.6206896551724138,0.3103448275862069,0.9655172413793104,6006.0,6891.0,8,0.27586206896551724,mixed
4+,HH_size_n >   4.5 & medical_deductions <= 157.0 & total_deductions_by_hh_size > 362.0,test_2024,national,31,13,20,323.0,0.4,56.0,0.35,7,11,0,0,2,0,1,13,6,0,12,0,0,3,14,0.35,0.15,0.7,3672.0,1610.0,1,0.05,post_authorization
4+,HH_size_n >   4.5 & medical_deductions <= 157.0 & total_deductions_by_hh_size > 362.0,test_2024,deployed,6,1,1,323.0,1.0,53.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0,0.0,1.0,545.0,0.0,0,0.0,insufficient
1,months_since_cert_n >=   5.00 & percent_abawd <   0.50 & unc_rawben_rel_max >=   1.82 & utilities < 366.00,train_2022_23,national,116,51,80,331.0,0.3125,39.0,0.1625,35,38,1,6,0,0,4,14,62,0,66,0,0,9,18,0.4375,0.1125,0.225,15168.0,11828.0,4,0.05,post_authorization
1,months_since_cert_n >=   5.00 & percent_abawd <   0.50 & unc_rawben_rel_max >=   1.82 & utilities < 366.00,test_2024,national,53,24,33,311.0,0.24242424242424243,35.0,0.42424242424242425,16,17,0,0,0,0,2,14,17,0,30,0,0,6,16,0.48484848484848486,0.18181818181818182,0.48484848484848486,7589.0,5690.0,3,0.09090909090909091,post_authorization
1,months_since_cert_n >=   5.00 & percent_abawd <   0.50 & unc_rawben_rel_max >=   1.82 & utilities < 366.00,test_2024,deployed,9,6,6,346.0,0.3333333333333333,35.0,0.6666666666666666,2,4,0,0,0,0,1,2,3,0,5,0,0,0,3,0.3333333333333333,0.0,0.5,1489.0,1221.0,0,0.0,post_authorization
