state,budget,rank,role,hh,rule,n_flagged_state_2024
Idaho,10,66,core,1,count_divisible_by_100 <=   0.5 & shelter_expenses_by_hh_size > 544.0 & shelter_expenses_by_hh_size <= 862.0 & total_deductions_by_hh_size > 539.0,25
Idaho,10,67,core,4+,HH_size_n >   4.500 & married <=   0.500 & shelter_expenses_by_hh_size > 251.000 & unc_rawben_rel_max <=   0.976,8
Illinois,5,1,core,1,medical_deductions > 83.900 & unc_rawben_rel_max >  0.452 & unc_rawben_rel_max <=  1.010 & utilities > 22.000,10
Illinois,5,2,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,3
Illinois,5,5,core,1,medical_deductions >  92.900 & rawben_rel_max >   0.460 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 544.000,14
Illinois,5,6,core,1,medical_deductions >   93.000 & shelter_expenses_by_hh_size <= 1400.000 & unc_rawben_rel_max >    0.257 & unc_rawben_rel_max <=    0.982,21
Illinois,5,9,core,1,medical_deductions >   84.000 & rawben_rel_max <=    0.991 & total_deductions_by_hh_size <= 1730.000 & unc_rawben_rel_max >    0.243,22
Illinois,5,12,core,1,medical_deductions > 93.000 & rawben_rel_max >  0.307 & utilities > 22.000,15
Illinois,5,14,buffer,1,married <=   0.500 & rawben_rel_max <=   0.989 & shelter_expenses_by_hh_size <= 851.000 & total_deductions_by_hh_size > 535.000,11
Illinois,5,17,buffer,1,medical_deductions >= 18.000 & rawben_rel_max >=  0.747 & rawben_rel_max <  0.993,10
Illinois,5,19,buffer,4+,months_since_cert_n >=  11 & total_deductions_by_hh_size >= 228 & total_deductions_by_hh_size < 261,1
Illinois,5,20,buffer,1,months_since_cert_n >=   8.00 & shelter_expenses_by_hh_size < 648.00 & unc_rawben_rel_max >=   1.82 & utilities < 493.00,2
Illinois,5,21,buffer,1,medical_deductions >   93.000 & total_deductions_by_hh_size >  466.000 & total_deductions_by_hh_size <= 1070.000 & unc_rawben_rel_max >    0.243,13
Illinois,5,23,buffer,1,elderly_disabled_i >    0.500 & medical_deductions >   58.500 & shelter_expenses_by_hh_size <= 1050.000 & unc_rawben_rel_max >    0.488,16
Illinois,5,26,buffer,1,medical_deductions >  170.000 & rawben_rel_max <=    0.955 & total_deductions_by_hh_size <= 1660.000 & unc_rawben_rel_max <=    1.010,12
Illinois,5,27,buffer,1,medical_deductions >=  117.0000 & rawben_rel_max >=    0.0996 & shelter_expenses_by_hh_size < 1530.0000 & unc_rawben_rel_max <    1.2500,26
Illinois,5,29,buffer,2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00,2
Illinois,10,1,core,1,medical_deductions > 83.900 & unc_rawben_rel_max >  0.452 & unc_rawben_rel_max <=  1.010 & utilities > 22.000,10
Illinois,10,2,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,3
Illinois,10,5,core,1,medical_deductions >  92.900 & rawben_rel_max >   0.460 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 544.000,14
Illinois,10,6,core,1,medical_deductions >   93.000 & shelter_expenses_by_hh_size <= 1400.000 & unc_rawben_rel_max >    0.257 & unc_rawben_rel_max <=    0.982,21
Illinois,10,9,core,1,medical_deductions >   84.000 & rawben_rel_max <=    0.991 & total_deductions_by_hh_size <= 1730.000 & unc_rawben_rel_max >    0.243,22
Illinois,10,12,core,1,medical_deductions > 93.000 & rawben_rel_max >  0.307 & utilities > 22.000,15
Illinois,10,14,core,1,married <=   0.500 & rawben_rel_max <=   0.989 & shelter_expenses_by_hh_size <= 851.000 & total_deductions_by_hh_size > 535.000,11
Illinois,10,17,core,1,medical_deductions >= 18.000 & rawben_rel_max >=  0.747 & rawben_rel_max <  0.993,10
Illinois,10,19,core,4+,months_since_cert_n >=  11 & total_deductions_by_hh_size >= 228 & total_deductions_by_hh_size < 261,1
Illinois,10,20,core,1,months_since_cert_n >=   8.00 & shelter_expenses_by_hh_size < 648.00 & unc_rawben_rel_max >=   1.82 & utilities < 493.00,2
Illinois,10,21,core,1,medical_deductions >   93.000 & total_deductions_by_hh_size >  466.000 & total_deductions_by_hh_size <= 1070.000 & unc_rawben_rel_max >    0.243,13
Illinois,10,23,core,1,elderly_disabled_i >    0.500 & medical_deductions >   58.500 & shelter_expenses_by_hh_size <= 1050.000 & unc_rawben_rel_max >    0.488,16
Illinois,10,24,core,1,married <=   0.500 & rawben_rel_max >   0.746 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 628.000,42
Illinois,10,26,core,1,medical_deductions >  170.000 & rawben_rel_max <=    0.955 & total_deductions_by_hh_size <= 1660.000 & unc_rawben_rel_max <=    1.010,12
Illinois,10,27,core,1,medical_deductions >=  117.0000 & rawben_rel_max >=    0.0996 & shelter_expenses_by_hh_size < 1530.0000 & unc_rawben_rel_max <    1.2500,26
Illinois,10,28,core,1,count_divisible_by_100 <=   0.50 & medical_deductions >  93.00 & total_deductions_by_hh_size > 554.00 & unc_rawben_rel_max <=   0.99,21
Illinois,10,29,core,2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00,2
Illinois,10,30,core,1,total_deductions_by_hh_size > 628.00 & unc_rawben_rel_max >   0.75 & unc_rawben_rel_max <=   1.01,44
Illinois,10,35,core,2-3,married <= 0.500 & months_since_cert_n > 1.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.520,2
Illinois,10,36,buffer,1,count_divisible_by_100 <=   0.50 & months_since_cert_n >   3.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.93,1
Illinois,10,39,buffer,4+,HH_size_n >=   6.000 & months_since_cert_n >=  11.000 & rawben_rel_max <   0.887 & utilities < 388.000,1
Indiana,5,1,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Indiana,5,2,core,1,rawben_rel_max >   0.751 & rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 832.000 & utilities <=  29.500,1
Indiana,5,8,core,2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00,1
Indiana,5,9,core,1,shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Indiana,5,10,core,1,count_divisible_by_100 <=   0.50 & months_since_cert_n >   3.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.93,1
Indiana,5,11,core,4+,months_since_cert_n >   4.5 & shelter_expenses_by_hh_size > 101.0 & total_deductions_by_hh_size <= 125.0,23
Indiana,5,14,core,1,total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.93 & utilities <= 606.00,2
Indiana,5,15,core,1,expedited_i <=   0.50 & total_deductions_by_hh_size <= 920.00 & unc_rawben_rel_max >   1.93 & utilities <= 684.00,3
Indiana,5,18,core,4+,months_since_cert_n >   5.5 & months_since_cert_n <=  11.5 & shelter_expenses_by_hh_size > 103.0 & total_deductions_by_hh_size <= 141.0,15
Indiana,5,19,core,4+,months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 100.0 & total_deductions_by_hh_size <= 125.0,16
Indiana,5,21,buffer,4+,count_divisible_by_100 <=   0.500 & months_since_cert_n >   5.500 & total_deductions_by_hh_size <= 123.000 & unc_rawben_rel_max <=   0.901,19
Indiana,5,22,buffer,4+,HH_size_n <=   9.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 102.0 & shelter_expenses_by_hh_size <= 212.0,14
Indiana,5,24,buffer,4+,months_since_cert_n >   5.500 & rawben_rel_max >   0.794 & rawben_rel_max <=   0.975 & total_deductions_by_hh_size > 229.000,1
Indiana,5,25,buffer,4+,expedited_i <=   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 103.0 & total_deductions_by_hh_size <= 150.0,19
Indiana,10,1,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Indiana,10,2,core,1,rawben_rel_max >   0.751 & rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 832.000 & utilities <=  29.500,1
Indiana,10,8,core,2-3,cat_elig >   0.50 & shelter_expenses_by_hh_size > 246.00 & unc_rawben_rel_max >   1.63 & utilities <= 748.00,1
Indiana,10,9,core,1,shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Indiana,10,10,core,1,count_divisible_by_100 <=   0.50 & months_since_cert_n >   3.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.93,1
Indiana,10,11,core,4+,months_since_cert_n >   4.5 & shelter_expenses_by_hh_size > 101.0 & total_deductions_by_hh_size <= 125.0,23
Indiana,10,14,core,1,total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.93 & utilities <= 606.00,2
Indiana,10,15,core,1,expedited_i <=   0.50 & total_deductions_by_hh_size <= 920.00 & unc_rawben_rel_max >   1.93 & utilities <= 684.00,3
Indiana,10,18,core,4+,months_since_cert_n >   5.5 & months_since_cert_n <=  11.5 & shelter_expenses_by_hh_size > 103.0 & total_deductions_by_hh_size <= 141.0,15
Indiana,10,19,core,4+,months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 100.0 & total_deductions_by_hh_size <= 125.0,16
Indiana,10,21,core,4+,count_divisible_by_100 <=   0.500 & months_since_cert_n >   5.500 & total_deductions_by_hh_size <= 123.000 & unc_rawben_rel_max <=   0.901,19
Indiana,10,22,core,4+,HH_size_n <=   9.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 102.0 & shelter_expenses_by_hh_size <= 212.0,14
Indiana,10,23,core,1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,7
Indiana,10,24,core,4+,months_since_cert_n >   5.500 & rawben_rel_max >   0.794 & rawben_rel_max <=   0.975 & total_deductions_by_hh_size > 229.000,1
Indiana,10,25,core,4+,expedited_i <=   0.5 & months_since_cert_n >   5.5 & shelter_expenses_by_hh_size > 103.0 & total_deductions_by_hh_size <= 150.0,19
Indiana,10,26,core,1,rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000,7
Indiana,10,28,core,1,elderly_disabled_i >   0.500 & rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 676.000 & unc_rawben_rel_max >   1.790,1
Indiana,10,30,core,2-3,children_i > 0.500 & months_since_cert_n > 4.500 & months_since_cert_n <= 6.500 & rawben_rel_max <= 0.931,12
Indiana,10,31,core,4+,months_since_cert_n >   1.500 & percent_abawd <=   0.292 & shelter_expenses_by_hh_size > 101.000 & total_deductions_by_hh_size <=  97.300,30
Indiana,10,32,core,4+,months_since_cert_n >=   5 & shelter_expenses_by_hh_size >= 106 & shelter_expenses_by_hh_size < 169,14
Indiana,10,35,buffer,4+,months_since_cert_n >=   6 & shelter_expenses_by_hh_size >=  71 & total_deductions_by_hh_size < 122,18
Indiana,10,40,buffer,1,elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 860.00 & unc_rawben_rel_max >=   1.45 & utilities < 462.00,1
Indiana,10,41,buffer,4+,months_since_cert_n >=   5.000 & rawben_rel_max <   0.901 & total_deductions_by_hh_size < 126.000,27
Indiana,10,45,buffer,4+,months_since_cert_n >=   6.0 & total_deductions_by_hh_size >=  24.8 & total_deductions_by_hh_size < 115.0,18
Iowa,5,1,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Iowa,5,7,core,2-3,medical_deductions > 366.000 & months_since_cert_n <=  13.500 & rawben_rel_max >   0.301,2
Iowa,5,12,core,1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,3
Iowa,5,13,core,1,rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000,2
Iowa,5,16,core,2-3,HH_size_n >   2.500 & total_deductions_by_hh_size > 440.000 & unc_rawben_rel_max >   0.640 & unc_rawben_rel_max <=   0.996,1
Iowa,5,17,core,4+,HH_size_n >=   5 & married <   1 & shelter_expenses_by_hh_size < 293 & total_deductions_by_hh_size >= 212,1
Iowa,5,18,core,1,cat_elig >=    1.00 & shelter_expenses_by_hh_size < 1720.00 & unc_rawben_rel_max >=    2.49 & utilities <  875.00,2
Iowa,5,19,core,4+,shelter_expenses_by_hh_size < 341.00 & total_deductions_by_hh_size >= 323.00 & unc_rawben_rel_max <   1.02 & utilities >= 368.00,1
Iowa,5,21,core,2-3,shelter_expenses_by_hh_size < 650 & total_deductions_by_hh_size >= 625,1
Iowa,5,25,core,2-3,elderly_disabled_i >=   1 & shelter_expenses_by_hh_size < 640 & total_deductions_by_hh_size >= 493,1
Iowa,5,26,core,1,rawben_rel_max >   0.727 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 413.000 & utilities <=  28.500,3
Iowa,5,29,core,4+,HH_size_n >   4.500 & rawben_rel_max >   0.478 & total_deductions_by_hh_size > 233.000 & unc_rawben_rel_max <=   0.997,1
Iowa,5,30,core,1,married <=   0.500 & total_deductions_by_hh_size > 505.000 & unc_rawben_rel_max <=   0.992 & utilities <=  29.500,2
Iowa,5,31,core,2-3,HH_size_n >   2.5 & total_deductions_by_hh_size > 437.0 & utilities <= 722.0,2
Iowa,5,38,core,2-3,rawben_rel_max <=   0.93 & total_deductions_by_hh_size > 519.00 & utilities <= 560.00,4
Iowa,5,40,core,1,elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000,3
Iowa,5,42,core,1,months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00,3
Iowa,5,47,core,2-3,rawben_rel_max <   0.904 & total_deductions_by_hh_size >= 353.000 & utilities < 347.000,1
Iowa,5,49,core,1,elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size <= 850.0 & unc_rawben_rel_max >   1.7,2
Iowa,5,50,buffer,1,medical_deductions >= 111.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.274 & shelter_expenses_by_hh_size < 868.000,1
Iowa,5,51,buffer,4+,expedited_i >   0.500 & rawben_rel_max <=   0.932 & shelter_expenses_by_hh_size <= 155.000 & unc_rawben_rel_max >   0.654,1
Iowa,5,55,buffer,4+,shelter_expenses_by_hh_size <= 341.000 & total_deductions_by_hh_size > 233.000 & unc_rawben_rel_max <=   0.976,5
Iowa,5,60,buffer,2-3,HH_size_n >=   3.000 & rawben_rel_max >=   0.705 & total_deductions_by_hh_size >= 347.000 & utilities >= 361.000,5
Iowa,5,61,buffer,4+,medical_deductions <= 179.000 & rawben_rel_max >   0.777 & rawben_rel_max <=   0.817 & total_deductions_by_hh_size > 204.000,1
Iowa,5,62,buffer,4+,expedited_i >   0.500 & shelter_expenses_by_hh_size <= 295.000 & total_deductions_by_hh_size >   6.940 & unc_rawben_rel_max <=   0.937,1
Iowa,5,63,buffer,2-3,married >=   1.000 & rawben_rel_max >=   0.523 & total_deductions_by_hh_size >= 154.000 & utilities <  29.000,1
Iowa,5,65,buffer,4+,HH_size_n >   4.500 & married <=   0.500 & total_deductions_by_hh_size > 223.000 & unc_rawben_rel_max <=   0.983,1
Iowa,5,66,buffer,1,cat_elig >=   1 & rawben_rel_max <   1 & total_deductions_by_hh_size >= 450 & utilities < 277,6
Iowa,5,67,buffer,4+,rawben_rel_max >=   0.832 & rawben_rel_max <   0.843 & utilities >= 410.000,1
Iowa,5,71,buffer,2-3,total_deductions_by_hh_size > 519 & utilities <= 560,8
Iowa,5,72,buffer,4+,count_divisible_by_100 >=   1.000 & married >=   1.000 & rawben_rel_max >=   0.511 & utilities >= 367.000,1
Iowa,10,1,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Iowa,10,7,core,2-3,medical_deductions > 366.000 & months_since_cert_n <=  13.500 & rawben_rel_max >   0.301,2
Iowa,10,12,core,1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,3
Iowa,10,13,core,1,rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000,2
Iowa,10,16,core,2-3,HH_size_n >   2.500 & total_deductions_by_hh_size > 440.000 & unc_rawben_rel_max >   0.640 & unc_rawben_rel_max <=   0.996,1
Iowa,10,17,core,4+,HH_size_n >=   5 & married <   1 & shelter_expenses_by_hh_size < 293 & total_deductions_by_hh_size >= 212,1
Iowa,10,18,core,1,cat_elig >=    1.00 & shelter_expenses_by_hh_size < 1720.00 & unc_rawben_rel_max >=    2.49 & utilities <  875.00,2
Iowa,10,19,core,4+,shelter_expenses_by_hh_size < 341.00 & total_deductions_by_hh_size >= 323.00 & unc_rawben_rel_max <   1.02 & utilities >= 368.00,1
Iowa,10,21,core,2-3,shelter_expenses_by_hh_size < 650 & total_deductions_by_hh_size >= 625,1
Iowa,10,25,core,2-3,elderly_disabled_i >=   1 & shelter_expenses_by_hh_size < 640 & total_deductions_by_hh_size >= 493,1
Iowa,10,26,core,1,rawben_rel_max >   0.727 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 413.000 & utilities <=  28.500,3
Iowa,10,29,core,4+,HH_size_n >   4.500 & rawben_rel_max >   0.478 & total_deductions_by_hh_size > 233.000 & unc_rawben_rel_max <=   0.997,1
Iowa,10,30,core,1,married <=   0.500 & total_deductions_by_hh_size > 505.000 & unc_rawben_rel_max <=   0.992 & utilities <=  29.500,2
Iowa,10,31,core,2-3,HH_size_n >   2.5 & total_deductions_by_hh_size > 437.0 & utilities <= 722.0,2
Iowa,10,38,core,2-3,rawben_rel_max <=   0.93 & total_deductions_by_hh_size > 519.00 & utilities <= 560.00,4
Iowa,10,40,core,1,elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000,3
Iowa,10,42,core,1,months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00,3
Iowa,10,47,core,2-3,rawben_rel_max <   0.904 & total_deductions_by_hh_size >= 353.000 & utilities < 347.000,1
Iowa,10,49,core,1,elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size <= 850.0 & unc_rawben_rel_max >   1.7,2
Iowa,10,50,core,1,medical_deductions >= 111.000 & medical_deductions < 130.000 & rawben_rel_max >=   0.274 & shelter_expenses_by_hh_size < 868.000,1
Iowa,10,51,core,4+,expedited_i >   0.500 & rawben_rel_max <=   0.932 & shelter_expenses_by_hh_size <= 155.000 & unc_rawben_rel_max >   0.654,1
Iowa,10,55,core,4+,shelter_expenses_by_hh_size <= 341.000 & total_deductions_by_hh_size > 233.000 & unc_rawben_rel_max <=   0.976,5
Iowa,10,60,core,2-3,HH_size_n >=   3.000 & rawben_rel_max >=   0.705 & total_deductions_by_hh_size >= 347.000 & utilities >= 361.000,5
Iowa,10,61,core,4+,medical_deductions <= 179.000 & rawben_rel_max >   0.777 & rawben_rel_max <=   0.817 & total_deductions_by_hh_size > 204.000,1
Iowa,10,62,core,4+,expedited_i >   0.500 & shelter_expenses_by_hh_size <= 295.000 & total_deductions_by_hh_size >   6.940 & unc_rawben_rel_max <=   0.937,1
Iowa,10,63,core,2-3,married >=   1.000 & rawben_rel_max >=   0.523 & total_deductions_by_hh_size >= 154.000 & utilities <  29.000,1
Iowa,10,65,core,4+,HH_size_n >   4.500 & married <=   0.500 & total_deductions_by_hh_size > 223.000 & unc_rawben_rel_max <=   0.983,1
Iowa,10,66,core,1,cat_elig >=   1 & rawben_rel_max <   1 & total_deductions_by_hh_size >= 450 & utilities < 277,6
Iowa,10,67,core,4+,rawben_rel_max >=   0.832 & rawben_rel_max <   0.843 & utilities >= 410.000,1
Iowa,10,71,core,2-3,total_deductions_by_hh_size > 519 & utilities <= 560,8
Iowa,10,72,core,4+,count_divisible_by_100 >=   1.000 & married >=   1.000 & rawben_rel_max >=   0.511 & utilities >= 367.000,1
Iowa,10,74,core,4+,months_since_cert_n >=   2.000 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size < 428.000 & total_deductions_by_hh_size >= 243.000,6
Iowa,10,75,core,4+,count_divisible_by_100 >   0.500 & HH_size_n >   4.500 & rawben_rel_max <=   0.948 & shelter_expenses_by_hh_size > 178.000,2
Iowa,10,76,core,2-3,elderly_disabled_i >=   1.000 & HH_size_n >=   3.000 & total_deductions_by_hh_size >= 290.000 & unc_rawben_rel_max <   0.976,1
Iowa,10,77,core,4+,rawben_rel_max <   0.873 & shelter_expenses_by_hh_size < 486.000 & total_deductions_by_hh_size >= 286.000,5
Iowa,10,78,core,1,medical_deductions > 96.200 & rawben_rel_max >  0.885 & rawben_rel_max <=  0.998 & unc_rawben_rel_max >  0.279,2
Iowa,10,79,core,1,rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 535.000 & unc_rawben_rel_max >=   0.964 & utilities < 645.000,1
Iowa,10,81,core,4+,months_since_cert_n >=   4 & total_deductions_by_hh_size >= 217 & total_deductions_by_hh_size < 261,2
Iowa,10,82,core,4+,HH_size_n >   4.500 & married <=   0.500 & shelter_expenses_by_hh_size > 251.000 & unc_rawben_rel_max <=   0.976,5
Iowa,10,83,core,4+,months_since_cert_n >=  3.000 & rawben_rel_max >=  0.794 & total_deductions_by_hh_size >= 27.000 & unc_rawben_rel_max <  0.821,2
Iowa,10,85,core,2-3,HH_size_n >   2.500 & rawben_rel_max >   0.581 & total_deductions_by_hh_size > 338.000 & utilities >  29.500,7
Iowa,10,86,core,4+,homeless <=  0.5 & utilities > 30.5 & utilities <= 35.5,5
Iowa,10,88,core,1,months_since_cert_n >=   7.00000 & shelter_expenses_by_hh_size >= 405.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00356,2
Iowa,10,89,core,4+,HH_size_n >   4.500 & shelter_expenses_by_hh_size > 239.000 & unc_rawben_rel_max >   0.734 & unc_rawben_rel_max <=   0.997,6
Iowa,10,94,core,2-3,percent_abawd >=  0.500 & rawben_rel_max <  0.739 & total_deductions_by_hh_size >=  8.500 & utilities < 44.000,1
Iowa,10,98,buffer,4+,rawben_rel_max >=   0.477 & rawben_rel_max <   0.718 & shelter_expenses_by_hh_size < 454.000 & total_deductions_by_hh_size >= 268.000,6
Iowa,10,99,buffer,4+,months_since_cert_n >   5.50 & months_since_cert_n <=  17.50 & shelter_expenses_by_hh_size > 254.00 & unc_rawben_rel_max <=   0.99,1
Iowa,10,102,buffer,4+,cat_elig > 0.5 & HH_size_n > 5.5 & married <= 0.5 & rawben_rel_max <= 0.9,10
Iowa,10,104,buffer,4+,shelter_expenses_by_hh_size <= 494.000 & total_deductions_by_hh_size > 235.000 & unc_rawben_rel_max <=   0.997 & utilities > 373.000,18
Iowa,10,107,buffer,4+,HH_size_n >=   5.000 & rawben_rel_max <   0.837 & shelter_expenses_by_hh_size < 268.000 & total_deductions_by_hh_size >= 176.000,5
Iowa,10,111,buffer,4+,months_since_cert_n >=   5.000 & rawben_rel_max <   0.613 & utilities < 303.000,2
Iowa,10,112,buffer,2-3,medical_deductions > 128.000 & rawben_rel_max >   0.156 & shelter_expenses_by_hh_size > 249.000 & utilities > 434.000,5
Iowa,10,113,buffer,2-3,shelter_expenses_by_hh_size < 622 & total_deductions_by_hh_size >= 466 & utilities < 612,5
Kansas,5,1,core,1,total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,2
Kansas,5,7,core,1,shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500,1
Kansas,5,8,core,1,elderly_disabled_i >=   1.00 & rawben_rel_max >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 313.00,1
Kansas,5,12,core,2-3,elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 676.00 & unc_rawben_rel_max >   1.59,1
Kansas,5,13,core,1,rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 198.000 & utilities < 452.000,2
Kansas,5,14,core,1,rawben_rel_max <=   0.994 & total_deductions_by_hh_size > 534.000 & unc_rawben_rel_max >   0.987 & utilities <= 466.000,6
Kansas,5,15,core,1,medical_deductions > 200.000 & rawben_rel_max >   0.473 & rawben_rel_max <=   0.991 & utilities <= 392.000,4
Kansas,5,17,core,1,count_divisible_by_100 <   1.00 & months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.63 & utilities < 353.00,2
Kansas,5,20,core,4+,HH_size_n >   4.50 & rawben_rel_max <=   0.88 & shelter_expenses_by_hh_size <= 268.00 & total_deductions_by_hh_size > 222.00,1
Kansas,5,21,core,1,rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000,8
Kansas,5,24,core,1,rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000,6
Kansas,5,26,core,1,rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 692.000 & utilities < 580.000,6
Kansas,5,27,core,1,elderly_disabled_i >   0.500 & rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 676.000 & unc_rawben_rel_max >   1.790,1
Kansas,5,29,core,1,rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 942.000 & unc_rawben_rel_max >   1.930 & utilities <= 680.000,2
Kansas,5,34,core,4+,months_since_cert_n >=   9.000 & rawben_rel_max <   0.822 & total_deductions_by_hh_size >= 109.000 & unc_rawben_rel_max >=   0.725,4
Kansas,5,35,core,2-3,married <=   0.5 & months_since_cert_n >   6.5 & total_deductions_by_hh_size > 637.0 & utilities <= 756.0,1
Kansas,5,37,core,4+,months_since_cert_n >=   8.000 & rawben_rel_max <   0.965 & total_deductions_by_hh_size >= 178.000 & unc_rawben_rel_max >=   0.793,1
Kansas,5,38,core,4+,count_divisible_by_100 >   1.5 & HH_size_n <=   4.5 & months_since_cert_n <=  10.5 & utilities <= 588.0,1
Kansas,5,39,core,4+,expedited_i >   0.500 & months_since_cert_n >   5.500 & unc_rawben_rel_max <=   0.912 & utilities <= 356.000,2
Kansas,5,40,core,4+,HH_size_n >=   5 & shelter_expenses_by_hh_size < 293 & total_deductions_by_hh_size >= 212,2
Kansas,5,41,core,1,rawben_rel_max >   0.727 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 413.000 & utilities <=  28.500,7
Kansas,5,47,buffer,1,rawben_rel_max >=    0.236 & shelter_expenses_by_hh_size < 1680.000 & total_deductions_by_hh_size >= 1280.000 & unc_rawben_rel_max >=    2.490,1
Kansas,5,49,buffer,4+,expedited_i > 0.500 & months_since_cert_n > 4.500 & rawben_rel_max <= 0.921 & unc_rawben_rel_max > 0.766,1
Kansas,5,52,buffer,1,medical_deductions >= 5.000 & medical_deductions < 9.000 & rawben_rel_max < 0.488,2
