state,budget,rank,role,hh,rule,n_flagged_state_2024
Alabama,10,56,core,1,months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00,2
Alabama,10,58,core,2-3,months_since_cert_n <=  0.500 & total_deductions_by_hh_size > 83.500 & unc_rawben_rel_max <=  0.999 & utilities <= 22.000,1
Alabama,10,60,core,2-3,shelter_expenses_by_hh_size <= 592.0 & total_deductions_by_hh_size > 522.0 & utilities >  37.5,4
Alabama,10,63,core,2-3,rawben_rel_max <   0.904 & total_deductions_by_hh_size >= 353.000 & utilities < 347.000,1
Alabama,10,64,core,2-3,expedited_i <=   0.500 & medical_deductions > 128.000 & rawben_rel_max >   0.803 & unc_rawben_rel_max >   0.324,1
Alabama,10,65,core,4+,expedited_i >   0.500 & rawben_rel_max <=   0.932 & shelter_expenses_by_hh_size <= 155.000 & unc_rawben_rel_max >   0.654,1
Alabama,10,66,core,4+,HH_size_n >   4.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 263.000,4
Alabama,10,67,core,2-3,rawben_rel_max <   0.703 & total_deductions_by_hh_size < 201.000 & unc_rawben_rel_max >=   0.698 & utilities < 586.000,1
Alabama,10,68,core,4+,months_since_cert_n >= 5.000 & rawben_rel_max >= 0.607 & rawben_rel_max < 0.625,3
Alabama,10,69,core,1,cat_elig >   0.500 & medical_deductions > 226.000 & unc_rawben_rel_max >   0.316 & unc_rawben_rel_max <=   0.991,2
Alabama,10,75,core,2-3,HH_size_n >=   3.000 & rawben_rel_max >=   0.705 & total_deductions_by_hh_size >= 347.000 & utilities >= 361.000,6
Alabama,10,76,core,4+,medical_deductions <= 179.000 & rawben_rel_max >   0.777 & rawben_rel_max <=   0.817 & total_deductions_by_hh_size > 204.000,1
Alabama,10,77,core,2-3,cat_elig >=   1.000 & medical_deductions >= 190.000 & rawben_rel_max >=   0.321 & total_deductions_by_hh_size >=  34.000,1
Alabama,10,78,core,4+,months_since_cert_n >   5.500 & rawben_rel_max >   0.724 & rawben_rel_max <=   0.974 & shelter_expenses_by_hh_size > 162.000,10
Alabama,10,81,core,4+,rawben_rel_max >=   0.832 & rawben_rel_max <   0.843 & utilities >= 410.000,2
Alabama,10,82,core,4+,months_since_cert_n >   6.500 & rawben_rel_max <=   0.998 & shelter_expenses_by_hh_size > 255.000 & unc_rawben_rel_max >   0.605,9
Alabama,10,83,core,4+,months_since_cert_n >=  6.000 & rawben_rel_max <  0.997 & total_deductions_by_hh_size >= 88.400 & unc_rawben_rel_max >=  0.709,14
Alabama,10,84,core,1,rawben_rel_max >=   0.484 & shelter_expenses_by_hh_size >= 879.000 & utilities <  31.000,5
Alabama,10,85,core,2-3,percent_abawd >= 1.000 & rawben_rel_max >= 0.360 & rawben_rel_max < 0.784,1
Alabama,10,86,core,2-3,medical_deductions > 131.000 & rawben_rel_max >   0.643 & unc_rawben_rel_max >   0.130,4
Alabama,10,89,core,4+,count_divisible_by_100 >=   1.000 & married >=   1.000 & rawben_rel_max >=   0.511 & utilities >= 367.000,1
Alabama,10,91,core,2-3,elderly_disabled_i >=   1.000 & total_deductions_by_hh_size >= 524.000 & unc_rawben_rel_max <   0.943,1
Alabama,10,92,core,2-3,medical_deductions > 131.000 & rawben_rel_max >   0.148 & unc_rawben_rel_max >   0.494,7
Alabama,10,94,core,4+,months_since_cert_n >=   2.000 & rawben_rel_max <   0.997 & shelter_expenses_by_hh_size < 428.000 & total_deductions_by_hh_size >= 243.000,10
Alabama,10,95,core,4+,count_divisible_by_100 >   0.500 & HH_size_n >   4.500 & rawben_rel_max <=   0.948 & shelter_expenses_by_hh_size > 178.000,1
Alabama,10,96,core,4+,expedited_i <=   0.5 & months_since_cert_n >   5.5 & total_deductions_by_hh_size > 208.0,12
Alabama,10,100,core,1,medical_deductions > 96.200 & rawben_rel_max >  0.885 & rawben_rel_max <=  0.998 & unc_rawben_rel_max >  0.279,2
Alabama,10,102,core,1,rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 535.000 & unc_rawben_rel_max >=   0.964 & utilities < 645.000,14
Arizona,5,1,core,1,rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 604.000 & unc_rawben_rel_max >   0.985 & utilities <= 368.000,3
Arizona,5,2,core,4+,elderly_disabled_i <=   0.5 & medical_deductions <=  67.0 & shelter_expenses_by_hh_size > 263.0 & total_deductions_by_hh_size > 244.0,20
Arizona,5,4,core,4+,elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size <= 471.0 & total_deductions_by_hh_size > 244.0,12
Arizona,5,5,core,4+,HH_size_n <=   6.500 & shelter_expenses_by_hh_size <= 461.000 & total_deductions_by_hh_size > 221.000 & unc_rawben_rel_max <=   0.831,16
Arizona,5,6,core,4+,rawben_rel_max <=   0.983 & shelter_expenses_by_hh_size > 260.000 & total_deductions_by_hh_size > 244.000,22
Arizona,5,8,core,4+,percent_abawd <=   0.183 & shelter_expenses_by_hh_size > 260.000 & total_deductions_by_hh_size > 244.000,23
Arizona,5,9,core,4+,elderly_disabled_i <=   0.5 & HH_size_n <=   5.5 & total_deductions_by_hh_size > 236.0,21
Arizona,5,10,core,4+,elderly_disabled_i <=   0.5 & HH_size_n <=   5.5 & total_deductions_by_hh_size > 229.0,24
Arizona,5,16,core,1,months_since_cert_n >=   8.00 & unc_rawben_rel_max >=   1.93 & utilities < 366.00,1
Arizona,5,17,core,4+,elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 163.0 & total_deductions_by_hh_size > 221.0,29
Arizona,5,21,core,4+,HH_size_n <=   5.5 & months_since_cert_n >   2.5 & shelter_expenses_by_hh_size > 338.0 & total_deductions_by_hh_size > 153.0,17
Arizona,5,22,core,2-3,married <= 0.500 & months_since_cert_n > 1.500 & rawben_rel_max > 0.997 & unc_rawben_rel_max > 1.520,1
Arizona,5,24,core,4+,HH_size_n <=   6.50 & rawben_rel_max <=   0.91 & shelter_expenses_by_hh_size > 338.00 & total_deductions_by_hh_size > 197.00,22
Arizona,10,1,core,1,rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 604.000 & unc_rawben_rel_max >   0.985 & utilities <= 368.000,3
Arizona,10,2,core,4+,elderly_disabled_i <=   0.5 & medical_deductions <=  67.0 & shelter_expenses_by_hh_size > 263.0 & total_deductions_by_hh_size > 244.0,20
Arizona,10,4,core,4+,elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size <= 471.0 & total_deductions_by_hh_size > 244.0,12
