"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Michigan","earned_income","2-3","elderly_disabled_i <=   0.500 & months_since_cert_n >   9.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 442.000","elderly_disabled_i <=   0.4500 & months_since_cert_n >   8.5500 & percent_abawd <=   0.1503 & total_deductions_by_hh_size > 486.2000",FALSE,FALSE,1,1,1,108,1,0,0,NA
"Michigan","earned_income","4+","rawben_rel_max >   0.972 & shelter_expenses_by_hh_size > 463.000 & unc_rawben_rel_max >   1.200 & utilities > 508.000","rawben_rel_max >   0.972 & shelter_expenses_by_hh_size > 463.000 & unc_rawben_rel_max >   1.200 & utilities > 508.000",TRUE,FALSE,1,1,1,252,2,0,2,0
"Michigan","earned_income","1","rawben_rel_max <=    0.643 & shelter_expenses_by_hh_size > 1410.000 & total_deductions_by_hh_size >  847.000 & unc_rawben_rel_max <=   -0.462","rawben_rel_max <=    0.5787 & shelter_expenses_by_hh_size > 1269.0000 & total_deductions_by_hh_size >  762.3000 & unc_rawben_rel_max <=   -0.4158",FALSE,FALSE,2,0,0,0,3,0,0,NA
"Michigan","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 221.4 & total_deductions_by_hh_size > 142.5",FALSE,FALSE,3,1,0.333,247,2,0,1,0
"Michigan","earned_income","2-3","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970",TRUE,FALSE,1,1,1,171,1,0,1,0
"Michigan","earned_income","2-3","shelter_expenses_by_hh_size >= 942 & total_deductions_by_hh_size >= 446 & total_deductions_by_hh_size < 530 & utilities >= 723","shelter_expenses_by_hh_size >= 847.8 & total_deductions_by_hh_size >= 401.4 & total_deductions_by_hh_size < 477.0 & utilities >= 650.7",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Michigan","earned_income","4+","HH_size_n >   4.5 & months_since_cert_n >   5.5 & utilities > 902.0","HH_size_n >   5.625 & months_since_cert_n >   4.125 & utilities > 676.500",FALSE,FALSE,5,2,0.4,1226,0,NA,0,NA
"Michigan","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0 & unc_rawben_rel_max <=   2.5","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0 & unc_rawben_rel_max <=   2.5",TRUE,FALSE,3,1,0.333,82,1,0,1,0
"Michigan","earned_income","2-3","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 703.0 & total_deductions_by_hh_size > 331.0 & utilities <= 366.0","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 703.0 & total_deductions_by_hh_size > 331.0 & utilities <= 366.0",TRUE,FALSE,1,1,1,165,0,NA,0,NA
"Michigan","earned_income","4+","months_since_cert_n >   6.500 & rawben_rel_max <=   0.952 & utilities > 902.000","months_since_cert_n >   8.1250 & rawben_rel_max <=   0.8568 & utilities > 676.5000",FALSE,FALSE,7,1,0.143,412,0,NA,0,NA
"Michigan","earned_income","1","elderly_disabled_i <=   0.500 & months_since_cert_n >   8.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 671.000","elderly_disabled_i <=   0.4500 & months_since_cert_n >   9.3500 & rawben_rel_max <=   0.8784 & total_deductions_by_hh_size > 603.9000",FALSE,FALSE,2,2,1,299,0,NA,0,NA
"Michigan","earned_income","4+","rawben_rel_max >=   0.784 & rawben_rel_max <   0.944 & shelter_expenses_by_hh_size >= 325.000 & shelter_expenses_by_hh_size < 370.000","rawben_rel_max >=   0.784 & rawben_rel_max <   1.038 & shelter_expenses_by_hh_size >= 325.000 & shelter_expenses_by_hh_size < 333.000",FALSE,FALSE,1,1,1,590,2,0,2,0.5
"Michigan","unearned_income","1","expedited_i <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.17 & utilities <= 364.00","expedited_i <=   0.450 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   1.953 & utilities <= 327.600",FALSE,FALSE,2,0,0,0,0,NA,3,0.667
"Michigan","unearned_income","1","children_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 312.00","children_i <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.737 & utilities <= 280.800",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Michigan","unearned_income","1","total_deductions_by_hh_size <= 1590.00 & unc_rawben_rel_max >    2.67 & utilities >  598.00","total_deductions_by_hh_size <= 1590.00 & unc_rawben_rel_max >    2.67 & utilities >  598.00",TRUE,FALSE,1,1,1,234,0,NA,0,NA
"Michigan","unearned_income","1","count_divisible_by_100 <=   0.50 & medical_deductions > 132.00 & unc_rawben_rel_max >   2.98","count_divisible_by_100 <=   0.50 & medical_deductions > 132.00 & unc_rawben_rel_max >   2.98",TRUE,FALSE,1,1,1,230,0,NA,0,NA
"Michigan","unearned_income","1","medical_deductions >  112.0 & total_deductions_by_hh_size > 1780.0 & unc_rawben_rel_max >    2.9","medical_deductions >  112.0 & total_deductions_by_hh_size > 1780.0 & unc_rawben_rel_max >    2.9",TRUE,FALSE,1,1,1,230,1,0,1,0
"Michigan","unearned_income","1","months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 302.00","months_since_cert_n >   4.875 & unc_rawben_rel_max >   1.462 & utilities <= 226.500",FALSE,FALSE,3,0,0,0,2,0,0,NA
"Michigan","unearned_income","1","cat_elig >   0.500 & medical_deductions > 134.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max >   2.750","cat_elig >   0.500 & medical_deductions > 134.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max >   2.750",TRUE,FALSE,1,1,1,230,1,0,1,0
"Michigan","unearned_income","2-3","shelter_expenses_by_hh_size <= 1100.00 & unc_rawben_rel_max >    1.78 & utilities >  628.00","shelter_expenses_by_hh_size <= 825.000 & unc_rawben_rel_max >   1.335 & utilities > 471.000",FALSE,FALSE,46,5,0.109,1094,18,0.056,0,NA
"Michigan","unearned_income","1","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","count_divisible_by_100 <=   0.450 & shelter_expenses_by_hh_size <= 577.800 & total_deductions_by_hh_size <= 682.200 & unc_rawben_rel_max >   1.737",FALSE,FALSE,14,2,0.143,460,0,NA,0,NA
"Michigan","unearned_income","1","medical_deductions > 130.00 & unc_rawben_rel_max >   2.75","medical_deductions > 130.00 & unc_rawben_rel_max >   2.75",TRUE,FALSE,1,1,1,230,1,0,1,0
"Michigan","unearned_income","1","medical_deductions > 9.5 & unc_rawben_rel_max > 3.0","medical_deductions > 9.5 & unc_rawben_rel_max > 3.0",TRUE,FALSE,1,1,1,230,1,0,1,0
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 785.00 & unc_rawben_rel_max >   1.95 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 981.200 & unc_rawben_rel_max >   2.145 & unc_rawben_rel_max <=   2.475",FALSE,FALSE,2,2,1,325,2,0,1,0
"Michigan","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities <= 364.00","expedited_i <=   0.450 & months_since_cert_n >   2.250 & unc_rawben_rel_max >   1.737 & utilities <= 327.600",FALSE,FALSE,2,0,0,0,2,0.5,2,0.5
"Michigan","unearned_income","1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","total_deductions_by_hh_size <= 975.000 & unc_rawben_rel_max >   2.156 & unc_rawben_rel_max <=   2.475",FALSE,FALSE,2,2,1,325,1,0,1,0
"Michigan","unearned_income","2-3","expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 668.0 & unc_rawben_rel_max >   1.8","expedited_i <=   0.375 & shelter_expenses_by_hh_size <= 734.800 & unc_rawben_rel_max >   1.350",FALSE,FALSE,23,2,0.087,325,14,0,0,NA
"Michigan","unearned_income","2-3","percent_abawd <=   0.25 & unc_rawben_rel_max >   1.77 & utilities > 590.00","percent_abawd <=   0.1875 & unc_rawben_rel_max >   1.3280 & utilities > 442.5000",FALSE,FALSE,45,5,0.111,1094,22,0.136,1,1
"Michigan","unearned_income","2-3","children_i <= 0.500 & expedited_i <= 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.770","children_i <= 0.4500 & expedited_i <= 0.4500 & percent_abawd <= 0.1503 & unc_rawben_rel_max > 1.5930",FALSE,FALSE,1,0,0,0,1,1,1,1
"Michigan","unearned_income","1","elderly_disabled_i >   0.50 & percent_abawd <=   0.75 & unc_rawben_rel_max >   1.46 & utilities <= 290.00","elderly_disabled_i >   0.450 & percent_abawd <=   0.675 & unc_rawben_rel_max >   1.314 & utilities <= 261.000",FALSE,FALSE,1,0,0,0,2,1,2,1
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 2190.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.26 & utilities <=  301.00","shelter_expenses_by_hh_size <= 1971.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.034 & utilities <=  270.900",FALSE,FALSE,2,0,0,0,1,1,3,0.667
"Michigan","unearned_income","1","medical_deductions > 130.00 & percent_abawd <=   0.25 & unc_rawben_rel_max >   2.58 & utilities >  12.50","medical_deductions > 130.00 & percent_abawd <=   0.25 & unc_rawben_rel_max >   2.58 & utilities >  12.50",TRUE,FALSE,1,1,1,230,1,0,1,0
"Michigan","unearned_income","1","medical_deductions > 15.50 & percent_abawd <=  0.50 & unc_rawben_rel_max >  2.75","medical_deductions > 15.50 & percent_abawd <=  0.50 & unc_rawben_rel_max >  2.75",TRUE,FALSE,1,1,1,230,1,0,1,0
"Michigan","unearned_income","2-3","elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.52","elderly_disabled_i > 0.375 & HH_size_n > 2.250 & unc_rawben_rel_max > 1.140",FALSE,FALSE,1,1,1,576,1,0,1,0
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   2.00 & unc_rawben_rel_max <=   2.54 & utilities > 462.00","unc_rawben_rel_max >   1.500 & unc_rawben_rel_max <=   1.905 & utilities > 346.500",FALSE,FALSE,11,2,0.182,259,3,0.333,0,NA
"Michigan","unearned_income","1","cat_elig <=   1.50 & count_divisible_by_100 <=   0.50 & unc_rawben_rel_max >   1.93 & utilities <= 288.00","cat_elig <=   1.350 & count_divisible_by_100 <=   0.450 & unc_rawben_rel_max >   1.737 & utilities <= 259.200",FALSE,FALSE,2,0,0,0,4,0.5,4,0.5
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 577.800 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   1.980",FALSE,FALSE,14,2,0.143,460,0,NA,0,NA
"Michigan","unearned_income","2-3","total_deductions_by_hh_size >  881.00 & total_deductions_by_hh_size <= 1390.00 & unc_rawben_rel_max >    1.75","total_deductions_by_hh_size >  660.800 & total_deductions_by_hh_size <= 1042.000 & unc_rawben_rel_max >    1.312",FALSE,FALSE,1,0,0,0,2,0.5,1,1
"Michigan","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.97 & utilities <= 606.00","expedited_i <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   2.167 & utilities <= 606.000",FALSE,FALSE,3,2,0.667,330,0,NA,0,NA
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 1170.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.98 & utilities <=  286.00","shelter_expenses_by_hh_size <= 1053.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.682 & utilities <=  257.400",FALSE,FALSE,2,0,0,0,4,0.5,4,0.5
"Michigan","unearned_income","2-3","elderly_disabled_i > 0.500 & expedited_i <= 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.760","elderly_disabled_i > 0.4500 & expedited_i <= 0.4500 & percent_abawd <= 0.1503 & unc_rawben_rel_max > 1.5840",FALSE,FALSE,1,0,0,0,1,1,1,1
"Michigan","unearned_income","2-3","children_i <= 0.50 & count_divisible_by_100 <= 0.50 & months_since_cert_n > 6.50 & unc_rawben_rel_max > 1.74","children_i <= 0.50 & count_divisible_by_100 <= 0.50 & months_since_cert_n > 6.50 & unc_rawben_rel_max > 1.74",TRUE,FALSE,1,0,0,0,1,1,1,1
"Michigan","unearned_income","2-3","married >   0.50 & unc_rawben_rel_max >   1.76 & utilities > 590.00","married >   0.375 & unc_rawben_rel_max >   1.320 & utilities > 442.500",FALSE,FALSE,3,1,0.333,91,5,0.2,1,1
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   1.98 & unc_rawben_rel_max <=   2.30 & utilities > 462.00","unc_rawben_rel_max >   1.485 & unc_rawben_rel_max <=   1.725 & utilities > 346.500",FALSE,FALSE,20,3,0.15,730,2,0,0,NA
"Michigan","unearned_income","2-3","unc_rawben_rel_max >   1.98 & utilities > 590.00","unc_rawben_rel_max >   1.485 & utilities > 442.500",FALSE,FALSE,21,3,0.143,730,3,0.333,0,NA
"Michigan","unearned_income","1","homeless <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.96 & utilities <= 302.00","homeless <=   0.450 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.664 & utilities <= 271.800",FALSE,FALSE,2,0,0,0,4,0.5,4,0.5
"Michigan","unearned_income","1","months_since_cert_n >   6.50 & percent_abawd <=   0.50 & unc_rawben_rel_max >   1.95 & utilities <= 606.00","months_since_cert_n >   5.850 & percent_abawd <=   0.450 & unc_rawben_rel_max >   2.145 & utilities <= 606.000",FALSE,FALSE,3,2,0.667,330,0,NA,0,NA
"Michigan","unearned_income","1","months_since_cert_n >    7.50 & shelter_expenses_by_hh_size <= 1330.00 & unc_rawben_rel_max >    1.93 & utilities <=  678.00","months_since_cert_n >    6.750 & shelter_expenses_by_hh_size <= 1197.000 & unc_rawben_rel_max >    2.123 & utilities <=  610.200",FALSE,FALSE,3,2,0.667,330,0,NA,5,0
"Michigan","unearned_income","1","married <=   0.50 & unc_rawben_rel_max >   1.93 & utilities >  14.50 & utilities <= 302.00","married <=   0.450 & unc_rawben_rel_max >   1.737 & utilities >  13.050 & utilities <= 271.800",FALSE,FALSE,2,0,0,0,0,NA,0,NA
"Michigan","unearned_income","1","count_divisible_by_100 <   1.00 & months_since_cert_n >=  13.00 & unc_rawben_rel_max >=   2.45 & utilities >= 676.00","count_divisible_by_100 <   1.00 & months_since_cert_n >=  13.00 & unc_rawben_rel_max >=   2.45 & utilities >= 676.00",TRUE,FALSE,1,1,1,234,0,NA,0,NA
"Michigan","unearned_income","1","medical_deductions > 130.00 & unc_rawben_rel_max >   2.58","medical_deductions > 130.00 & unc_rawben_rel_max >   2.58",TRUE,FALSE,1,1,1,230,1,0,1,0
"Michigan","unearned_income","1","shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","shelter_expenses_by_hh_size <= 577.800 & total_deductions_by_hh_size <= 568.500 & unc_rawben_rel_max >   1.737",FALSE,FALSE,13,2,0.154,460,0,NA,0,NA
"Michigan","unearned_income","2-3","count_divisible_by_100 <=   1.00 & unc_rawben_rel_max >   2.02 & utilities > 472.00","count_divisible_by_100 <=   0.750 & unc_rawben_rel_max >   1.515 & utilities > 354.000",FALSE,FALSE,4,0,0,0,2,0.5,0,NA
"Michigan","unearned_income","2-3","months_since_cert_n > 5.5 & unc_rawben_rel_max > 1.8","months_since_cert_n > 5.50 & unc_rawben_rel_max > 1.35",FALSE,FALSE,19,1,0.053,91,5,0.2,1,1
"Michigan","unearned_income","2-3","cat_elig > 0.50 & expedited_i <= 0.50 & months_since_cert_n > 2.00 & unc_rawben_rel_max > 1.77","cat_elig > 0.50 & expedited_i <= 0.50 & months_since_cert_n > 2.00 & unc_rawben_rel_max > 1.77",TRUE,FALSE,1,0,0,0,1,1,1,1
"Michigan","unearned_income","1","count_divisible_by_100 <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 664.00","count_divisible_by_100 <=   0.450 & months_since_cert_n >   5.850 & unc_rawben_rel_max >   1.737 & utilities <= 730.400",FALSE,TRUE,39,8,0.205,1480,19,0.158,4,0
"Michigan","unearned_income","1","expedited_i <=   0.50 & total_deductions_by_hh_size <= 639.00 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   3.19","expedited_i <=   0.450 & total_deductions_by_hh_size <= 575.100 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.871",FALSE,FALSE,8,2,0.25,460,0,NA,0,NA
"Michigan","unearned_income","1","medical_deductions >  132.0 & medical_deductions <=  174.0 & months_since_cert_n >    4.5 & total_deductions_by_hh_size > 1780.0","medical_deductions >  132.0 & medical_deductions <=  174.0 & months_since_cert_n >    4.5 & total_deductions_by_hh_size > 1780.0",TRUE,FALSE,1,1,1,230,0,NA,0,NA
"Michigan","unearned_income","2-3","children_i <=    0.50 & total_deductions_by_hh_size <= 1000.00 & unc_rawben_rel_max >    1.74 & utilities >  590.00","children_i <=    0.50 & total_deductions_by_hh_size <= 1000.00 & unc_rawben_rel_max >    1.74 & utilities >  590.00",TRUE,FALSE,1,0,0,0,1,1,1,1
"Michigan","underissuance","1","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172 & utilities <=  3.00000","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172 & utilities <=  3.00000",TRUE,FALSE,2,1,0.5,139,0,NA,0,NA
"Michigan","underissuance","1","total_deductions_by_hh_size > 62.20000 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172","total_deductions_by_hh_size > 62.20000 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172",TRUE,FALSE,3,2,0.667,369,3,0.667,3,0.667
"Michigan","underissuance","1","months_since_cert_n <= 29.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172","months_since_cert_n <= 26.550000 & rawben_rel_max <=  0.721800 & unc_rawben_rel_max > -0.006696 & unc_rawben_rel_max <= -0.001548",FALSE,FALSE,3,2,0.667,369,3,0.667,4,0.75
"Michigan","underissuance","1","percent_abawd >  0.75000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <=  0.00228","percent_abawd >  0.75000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <=  0.00228",TRUE,FALSE,2,1,0.5,230,0,NA,0,NA
"Michigan","underissuance","1","shelter_expenses_by_hh_size <=  7.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","shelter_expenses_by_hh_size <=  7.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172",TRUE,FALSE,1,1,1,139,0,NA,0,NA
"Michigan","other_error","2-3","medical_deductions <= 747.000 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 466.000 & unc_rawben_rel_max >   0.993","medical_deductions <= 672.3000 & rawben_rel_max <=   0.9960 & total_deductions_by_hh_size > 419.4000 & unc_rawben_rel_max >   0.8937",FALSE,FALSE,6,0,0,0,4,0,0,NA
