"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   4.125 & shelter_expenses_by_hh_size <= 307.500 & total_deductions_by_hh_size > 142.500",FALSE,TRUE,32,11,0.344,2631,19,0.263,1,0
"Arizona","earned_income","2-3","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970","elderly_disabled_i <=   0.500 & rawben_rel_max >   0.938 & shelter_expenses_by_hh_size > 639.000 & unc_rawben_rel_max <=   0.970",TRUE,FALSE,1,1,1,251,0,NA,0,NA
"Arizona","earned_income","2-3","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 703.0 & total_deductions_by_hh_size > 331.0 & utilities <= 366.0","elderly_disabled_i <=   0.45 & shelter_expenses_by_hh_size > 632.70 & total_deductions_by_hh_size > 297.90 & utilities <= 329.40",FALSE,FALSE,18,7,0.389,2007,12,0.417,6,0.333
"Arizona","earned_income","1","elderly_disabled_i <=   0.500 & months_since_cert_n >   8.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size > 671.000","elderly_disabled_i <=   0.450 & months_since_cert_n >   8.500 & rawben_rel_max <=   1.074 & total_deductions_by_hh_size > 671.000",FALSE,FALSE,6,1,0.167,268,2,0.5,2,0.5
"Arizona","earned_income","4+","rawben_rel_max >=   0.784 & rawben_rel_max <   0.944 & shelter_expenses_by_hh_size >= 325.000 & shelter_expenses_by_hh_size < 370.000","rawben_rel_max >=   0.784 & rawben_rel_max <   1.038 & shelter_expenses_by_hh_size >= 292.500 & shelter_expenses_by_hh_size < 370.000",FALSE,TRUE,20,4,0.2,1752,7,0.143,1,0
"Arizona","unearned_income","1","expedited_i <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.17 & utilities <= 364.00","expedited_i <=   0.450 & unc_rawben_rel_max >   1.737 & unc_rawben_rel_max <=   2.387 & utilities <= 327.600",FALSE,TRUE,26,8,0.308,1801,6,0.333,0,NA
"Arizona","unearned_income","1","children_i <=   0.50 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.93 & utilities <= 312.00","children_i <=   0.450 & months_since_cert_n >   6.500 & unc_rawben_rel_max >   1.737 & utilities <= 280.800",FALSE,FALSE,1,1,1,268,1,0,1,0
"Arizona","unearned_income","1","medical_deductions <= 148.00 & months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 340.00","medical_deductions <= 133.20 & months_since_cert_n >   5.85 & unc_rawben_rel_max >   1.95 & utilities <= 306.00",FALSE,FALSE,1,1,1,230,1,0,1,0
"Arizona","unearned_income","1","months_since_cert_n >   6.50 & unc_rawben_rel_max >   1.95 & utilities <= 302.00","months_since_cert_n >   4.875 & unc_rawben_rel_max >   1.462 & utilities <= 332.200",FALSE,TRUE,27,11,0.407,2543,12,0.333,1,0
"Arizona","unearned_income","1","months_since_cert_n >   6.50 & months_since_cert_n <=  24.50 & unc_rawben_rel_max >   1.95 & utilities <= 288.00","months_since_cert_n >   6.500 & months_since_cert_n <=  24.500 & unc_rawben_rel_max >   1.755 & utilities <= 259.200",FALSE,FALSE,1,1,1,268,1,0,1,0
"Arizona","unearned_income","1","elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 874.00 & unc_rawben_rel_max >   1.81 & utilities <= 364.00","elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 874.00 & unc_rawben_rel_max >   1.81 & utilities <= 364.00",TRUE,FALSE,4,2,0.5,498,2,0.5,2,0.5
"Arizona","unearned_income","1","elderly_disabled_i >    0.50 & shelter_expenses_by_hh_size <= 1570.00 & unc_rawben_rel_max >    1.93 & utilities <=  301.00","elderly_disabled_i >    0.450 & shelter_expenses_by_hh_size <= 1413.000 & unc_rawben_rel_max >    2.123 & utilities <=  301.000",FALSE,FALSE,1,1,1,230,0,NA,1,0
"Arizona","unearned_income","1","count_divisible_by_100 <=   0.50 & shelter_expenses_by_hh_size <= 642.00 & total_deductions_by_hh_size <= 758.00 & unc_rawben_rel_max >   1.93","count_divisible_by_100 <=   0.450 & shelter_expenses_by_hh_size <= 577.800 & total_deductions_by_hh_size <= 682.200 & unc_rawben_rel_max >   1.737",FALSE,FALSE,2,1,0.5,230,2,0.5,0,NA
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 785.00 & unc_rawben_rel_max >   1.95 & unc_rawben_rel_max <=   1.98","shelter_expenses_by_hh_size <= 863.500 & unc_rawben_rel_max >   1.462 & unc_rawben_rel_max <=   2.475",FALSE,TRUE,37,12,0.324,2649,13,0.231,1,0
"Arizona","unearned_income","2-3","children_i > 0.50 & elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.39","children_i > 0.50 & elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.39",TRUE,FALSE,2,2,1,764,0,NA,0,NA
"Arizona","unearned_income","1","expedited_i <=   0.50 & months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities <= 364.00","expedited_i <=   0.450 & months_since_cert_n >   2.250 & unc_rawben_rel_max >   1.737 & utilities <= 327.600",FALSE,FALSE,16,8,0.5,1801,7,0.286,1,0
"Arizona","unearned_income","1","total_deductions_by_hh_size <= 780.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   1.98","total_deductions_by_hh_size <= 858.000 & unc_rawben_rel_max >   1.470 & unc_rawben_rel_max <=   2.475",FALSE,TRUE,54,14,0.259,3152,24,0.167,0,NA
"Arizona","unearned_income","1","unc_rawben_rel_max >   1.95 & utilities >  55.50 & utilities <= 288.00","unc_rawben_rel_max >   1.462 & utilities >  41.620 & utilities <= 360.000",FALSE,TRUE,49,10,0.204,2156,22,0.227,1,0
"Arizona","unearned_income","2-3","HH_size_n >   2.50 & shelter_expenses_by_hh_size <= 554.00 & unc_rawben_rel_max >   1.54 & utilities <= 710.00","HH_size_n >   2.50 & shelter_expenses_by_hh_size <= 554.00 & unc_rawben_rel_max >   1.54 & utilities <= 710.00",TRUE,FALSE,1,1,1,399,0,NA,0,NA
"Arizona","unearned_income","2-3","expedited_i <=   0.5 & shelter_expenses_by_hh_size <= 668.0 & unc_rawben_rel_max >   1.8","expedited_i <=   0.375 & shelter_expenses_by_hh_size <= 501.000 & unc_rawben_rel_max >   1.620",FALSE,FALSE,1,1,1,399,1,1,2,0.5
"Arizona","unearned_income","1","elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.79 & utilities >  67.00 & utilities <= 364.00","elderly_disabled_i >   0.450 & unc_rawben_rel_max >   1.969 & utilities >  60.300 & utilities <= 327.600",FALSE,FALSE,5,1,0.2,230,2,0.5,4,0.5
"Arizona","unearned_income","2-3","children_i <= 0.500 & expedited_i <= 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.770","children_i <= 0.4500 & expedited_i <= 0.4500 & percent_abawd <= 0.1503 & unc_rawben_rel_max > 1.5930",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Arizona","unearned_income","1","elderly_disabled_i >   0.50 & percent_abawd <=   0.75 & unc_rawben_rel_max >   1.46 & utilities <= 290.00","elderly_disabled_i >   0.450 & percent_abawd <=   0.675 & unc_rawben_rel_max >   1.460 & utilities <= 261.000",FALSE,FALSE,5,3,0.6,804,2,0,2,0
"Arizona","unearned_income","1","shelter_expenses_by_hh_size <= 2190.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.26 & utilities <=  301.00","shelter_expenses_by_hh_size <= 2190.000 & unc_rawben_rel_max >    1.737 & unc_rawben_rel_max <=    2.260 & utilities <=  331.100",FALSE,TRUE,32,8,0.25,1801,16,0.25,0,NA
"Arizona","unearned_income","2-3","elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.52","elderly_disabled_i > 0.50 & HH_size_n > 2.50 & unc_rawben_rel_max > 1.52",TRUE,FALSE,3,2,0.667,764,0,NA,0,NA
"Arizona","unearned_income","2-3","unc_rawben_rel_max >   2.00 & unc_rawben_rel_max <=   2.54 & utilities > 462.00","unc_rawben_rel_max >   1.500 & unc_rawben_rel_max <=   1.905 & utilities > 346.500",FALSE,FALSE,1,1,1,399,0,NA,0,NA
"Arizona","unearned_income","1","cat_elig <=   1.50 & count_divisible_by_100 <=   0.50 & unc_rawben_rel_max >   1.93 & utilities <= 288.00","cat_elig <=   1.350 & count_divisible_by_100 <=   0.450 & unc_rawben_rel_max >   1.737 & utilities <= 288.000",FALSE,TRUE,20,5,0.25,1030,5,0,1,0
