hh_size,rule_id,optimize_for,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule,original_rule
1,rule6608,recall,10,4,4,26,11,15,1.87,0.423,0.113,0.117,6.08,0.143,0.336,rawgross >= 850 & rawunearn < 1050 & unc_rawben_rel_max >= 0.8 & total_deductions < 750,rawgross >= 1244 & rawunearn < 1383 & unc_rawben_rel_max >= -0.03937 & total_deductions < 682.2
1,rule3231,recall,10,4,3,10,4,6,0.72,0.4,0.041,0.045,5.75,0.132,0.312,"unc_rawben_rel_max < 1.964 & unc_rawben_rel_max >= 1.5 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses < 1050","unc_rawben_rel_max < 1.964 & unc_rawben_rel_max >= 0.5584 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses < 602.5"
1,rule455,recall,10,3,2,15,5,10,1.08,0.333,0.052,0.07,4.79,0.167,0.791,"unc_rawben_rel_max >= 1.35 & rawgross < 550 & elderly_disabled_i %in% c(""TRUE"")","unc_rawben_rel_max >= 1.235 & rawgross < 4.5 & elderly_disabled_i %in% c(""TRUE"")"
1,rule202,recall,10,3,2,15,5,10,1.08,0.333,0.052,0.07,4.79,0.273,0.766,"unc_rawben_rel_max >= 1.35 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 500","unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5"
1,rule2532,recall,10,4,3,15,5,10,1.08,0.333,0.052,0.07,4.79,0.2,0.742,"rawgross < 550 & elderly_disabled_i %in% c(""TRUE"") & utilities < 425 & unc_rawben_rel_max >= 1.35","rawgross < 741 & elderly_disabled_i %in% c(""TRUE"") & utilities < 503.5 & unc_rawben_rel_max >= 1.23"
1,rule2181,recall,10,3,3,16,5,11,1.15,0.312,0.052,0.118,4.49,0.088,0.285,unc_rawben_rel_max >= 1.65 & utilities >= 325 & rawunearn < 4.5,unc_rawben_rel_max >= 1.234 & utilities >= 28 & rawunearn < 4.5
1,rule4299,recall,10,3,3,13,4,9,0.93,0.308,0.041,0.077,4.42,0.333,0.391,unc_rawben_rel_max < 1.9 & months_since_cert_n >= 8 & unc_rawben_rel_max >= 1.35,unc_rawben_rel_max < 1.912 & months_since_cert_n >= 5.5 & unc_rawben_rel_max >= 1.806
1,rule8463,recall,10,3,3,10,3,7,0.72,0.3,0.031,0.041,4.31,0.091,0.331,shelter_expenses < 2034 & unc_rawben_rel_max >= 1.9 & cat_elig >= 1,shelter_expenses < 2034 & unc_rawben_rel_max >= 1.801 & cat_elig >= 1.5
1,rule2287,recall,10,4,4,10,3,7,0.72,0.3,0.031,0.056,4.31,0.2,0.328,unc_rawben_rel_max >= 1.5 & utilities < 75 & total_deductions < 650 & utilities >= 0,unc_rawben_rel_max >= 1.872 & utilities < 604 & total_deductions < 903 & utilities >= 413
1,rule2943,recall,10,3,3,10,3,7,0.72,0.3,0.031,0.054,4.31,0.2,0.205,unc_rawben_rel_max < 1.1 & total_deductions >= 897.1 & utilities < 375,unc_rawben_rel_max < 1.217 & total_deductions >= 897.1 & utilities < 679.5
