"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","R701","children_i <= 0 & total_deductions <= 916.2 & cat_elig > 0 & rawben_rel_max > 0.2846975 & rawben_rel_max <= 0.9608541 & shelter_expenses <= 918 & utilities <= 600 & rawearn > 3 & rawunearn <= 841 & count_divisible_by_100 <= 0",10,"INCLUDE",0.591,0.591,1.7,198,96,102,0.485,0.121,0.103,7.27,0.067,"earned_overissuance"
"1","R171","elderly_disabled_i <= 0 & expedited_i > 0 & rawben_rel_max <= 0.9679715",3,"INCLUDE",0.671,0.671,0.7,85,41,44,0.482,0.052,0.054,7.24,0.067,"earned_overissuance"
"1","R14","total_deductions <= 916.2 & cat_elig > 0 & rawgross <= 2 & unc_rawben_rel_max > 1.94 & count_divisible_by_100 <= 0",5,"INCLUDE",0.758,0.758,0.2,27,13,14,0.481,0.016,0.017,7.22,0.067,"earned_overissuance"
"1","R762","total_deductions > 4.2 & expedited_i <= 0 & cat_elig > 0 & cat_elig <= 2 & utilities <= 860 & homeless == FALSE & rawearn <= 0 & rawunearn <= 2 & unc_rawben_rel_max <= 2.264605 & months_since_cert_n > 5",10,"INCLUDE",0.577,0.577,1.3,160,77,83,0.481,0.097,0.112,7.22,0.067,"earned_overissuance"
"1","R575","children_i <= 0 & cat_elig > 0 & shelter_expenses <= 902 & utilities <= 505 & unc_rawben_rel_max > 1.92 & months_since_cert_n <= 9",6,"INCLUDE",0.693,0.693,0.4,46,22,24,0.478,0.028,0.027,7.17,0.067,"earned_overissuance"
"1","R135","total_deductions <= 1724 & cat_elig > 0 & medical_deductions <= 6 & rawearn > 1332 & rawunearn <= 893 & months_since_cert_n > 5",6,"INCLUDE",0.683,0.683,0.8,90,43,47,0.478,0.054,0.054,7.17,0.067,"earned_overissuance"
"1","R736","total_deductions <= 906 & cat_elig > 0 & rawben_rel_max > 0.4 & shelter_expenses > 1025 & rawunearn <= 11 & percent_abawd <= 1 & months_since_cert_n > 5",7,"INCLUDE",0.632,0.632,0.9,103,49,54,0.476,0.062,0.067,7.14,0.067,"earned_overissuance"
"1","R295","expedited_i <= 0 & shelter_expenses <= 844 & utilities <= 50 & married <= 0 & homeless == FALSE & percent_abawd <= 0 & unc_rawben_rel_max > 1.236 & count_divisible_by_100 <= 0",8,"INCLUDE",0.702,0.702,0.5,59,28,31,0.475,0.035,0.041,7.12,0.067,"earned_overissuance"
"1","R47","children_i <= 0 & total_deductions <= 1724 & cat_elig > 0 & rawben_rel_max > 0.264 & utilities <= 1011 & rawearn > 1379",6,"INCLUDE",0.572,0.572,0.8,91,43,48,0.473,0.054,0.037,7.09,0.067,"earned_overissuance"
"1","R487","total_deductions > 1120 & total_deductions <= 1136 & cat_elig <= 1 & utilities <= 1011 & rawunearn <= 1291",5,"INCLUDE",0.879,0.879,0.1,17,8,9,0.471,0.01,0.011,7.06,0.067,"earned_overissuance"
"1","R180","elderly_disabled_i > 0 & medical_deductions <= 165 & shelter_expenses > 2008 & shelter_expenses <= 2180 & utilities <= 1011",5,"INCLUDE",0.788,0.788,0.1,17,8,9,0.471,0.01,0.011,7.06,0.067,"earned_overissuance"
"1","R692","elderly_disabled_i > 0 & total_deductions > 29 & cat_elig > 0 & utilities <= 48 & rawunearn <= 87 & count_divisible_by_100 <= 0",6,"INCLUDE",0.712,0.712,0.3,34,16,18,0.471,0.02,0.024,7.06,0.067,"earned_overissuance"
"1","R812","total_deductions > 108.2 & rawben_rel_max > 0.3780069 & rawben_rel_max <= 0.8434164 & medical_deductions <= 163 & utilities <= 1002 & rawearn > 60 & months_since_cert_n > 2",7,"INCLUDE",0.602,0.602,1.8,210,99,111,0.471,0.125,0.102,7.07,0.067,"earned_overissuance"
"1","R732","total_deductions > 4.2 & cat_elig > 0 & rawunearn > 0 & rawunearn <= 11",4,"INCLUDE",0.707,0.707,0.1,15,7,8,0.467,0.009,0.012,7,0.067,"earned_overissuance"
"1","R168","total_deductions <= 1724 & shelter_expenses > 1939 & rawunearn <= 893",3,"INCLUDE",0.66,0.66,0.5,58,27,31,0.466,0.034,0.04,6.98,0.067,"earned_overissuance"
"1","R284","total_deductions > 1109 & expedited_i > 0 & cat_elig > 0 & shelter_expenses <= 2875 & utilities <= 679",5,"INCLUDE",0.769,0.769,0.2,28,13,15,0.464,0.016,0.017,6.96,0.067,"earned_overissuance"
"1","R221","cat_elig > 0 & shelter_expenses <= 1209 & rawearn <= 7 & unc_rawben_rel_max > 1.824 & unc_rawben_rel_max <= 1.854092",5,"INCLUDE",0.782,0.782,0.1,13,6,7,0.462,0.008,0.009,6.92,0.067,"earned_overissuance"
"1","R748","total_deductions > 18.4 & cat_elig > 0 & shelter_expenses <= 1939 & rawunearn > 0 & rawunearn <= 11",5,"INCLUDE",0.749,0.749,0.1,13,6,7,0.462,0.008,0.01,6.92,0.067,"earned_overissuance"
"1","R752","total_deductions <= 1720 & cat_elig > 0 & shelter_expenses > 1939 & utilities <= 1020 & rawunearn <= 499",5,"INCLUDE",0.59,0.59,0.4,52,24,28,0.462,0.03,0.036,6.92,0.067,"earned_overissuance"
"1","R800","children_i <= 0 & total_deductions <= 906 & cat_elig > 0 & medical_deductions <= 4 & shelter_expenses > 948 & rawunearn <= 183 & percent_abawd <= 1 & unc_rawben_rel_max > -0.404 & months_since_cert_n > 5 & months_since_cert_n <= 20",10,"INCLUDE",0.681,0.681,1.1,136,62,74,0.456,0.078,0.083,6.84,0.067,"earned_overissuance"
"1","R351","children_i <= 0 & elderly_disabled_i <= 0 & cat_elig <= 1 & unc_rawben_rel_max <= -1.044674 & months_since_cert_n <= 5",5,"INCLUDE",0.726,0.726,0.1,11,5,6,0.455,0.006,0.008,6.82,0.067,"earned_overissuance"
