"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",1,"elderly_disabled_i <= 0 & unc_rawben_rel_max > -0.007117438 & unc_rawben_rel_max <= -0.003436426",26,0.7252,1,0.1708,0.1088,0.1708,26,"underissuance"
"1",2,"elderly_disabled_i <= 0 & rawben_rel_max > 0.08934708 & rawben_rel_max <= 0.8007118 & utilities <= 559 & rawunearn > 693 & rawunearn <= 1461",51,1.4226,1,0.2947,0.2134,0.2947,51,"underissuance"
"1",3,"elderly_disabled_i > 0 & rawben_rel_max > 0.08934708 & rawben_rel_max <= 0.656 & rawearn > 138 & rawunearn <= 850 & rawgross <= 1823",68,1.8968,1,0.3646,0.2845,0.3646,68,"underissuance"
"1",4,"elderly_disabled_i <= 0 & total_deductions <= 421 & cat_elig > 0 & rawben_rel_max <= 0.8007118 & unc_rawben_rel_max > 0.0137457 & months_since_cert_n > 5",88,2.4547,1,0.4249,0.3682,0.4249,88,"underissuance"
"1",5,"rawearn <= 743 & rawunearn <= 1087 & unc_rawben_rel_max > -0.01030928 & unc_rawben_rel_max <= -0.003436426",102,2.8452,1,0.4828,0.4268,0.4828,102,"underissuance"
"1",6,"medical_deductions > 66 & unc_rawben_rel_max > -0.01030928 & unc_rawben_rel_max <= -0.003436426",108,3.0126,1,0.5216,0.4519,0.5216,108,"underissuance"
"4+",1,"rawben_rel_max <= 0.9566841 & utilities > 350 & utilities <= 368 & rawunearn <= 149 & months_since_cert_n > 5",12,0.203,0.5833,0.0232,0.0178,0.0232,7,"underissuance"
"4+",2,"rawben_rel_max > 0.3652695 & utilities <= 287 & married <= 0 & rawearn > 2814 & rawgross <= 3354",22,0.3723,0.5455,0.0439,0.0305,0.0439,12,"underissuance"
"4+",3,"rawben_rel_max <= 0.9566841 & utilities > 1030 & months_since_cert_n > 4",34,0.5753,0.5294,0.0641,0.0457,0.0641,18,"underissuance"
"4+",4,"total_deductions > 1155 & total_deductions <= 1172.6 & rawben_rel_max <= 0.9566841 & shelter_expenses <= 2193 & utilities > 424 & utilities <= 586 & months_since_cert_n > 0",45,0.7614,0.5111,0.0815,0.0584,0.0815,23,"underissuance"
"4+",5,"rawben_rel_max <= 0.9566841 & rawearn > 325 & rawearn <= 373",54,0.9137,0.537,0.0897,0.0736,0.0897,29,"underissuance"
"4+",6,"cat_elig > 1 & married <= 0 & rawearn > 4596",64,1.0829,0.5312,0.0997,0.0863,0.0997,34,"underissuance"
"4+",7,"utilities > 302 & homeless == TRUE & months_since_cert_n > 5",67,1.1337,0.5373,0.1027,0.0914,0.1027,36,"underissuance"
"4+",8,"elderly_disabled_i <= 0 & total_deductions > 1108.6 & total_deductions <= 1127.2 & cat_elig <= 1 & rawben_rel_max <= 0.9566841 & utilities > 302",99,1.6751,0.4545,0.1371,0.1142,0.1371,45,"underissuance"
"4+",9,"rawben_rel_max <= 0.8958084 & shelter_expenses > 1261 & shelter_expenses <= 1267 & months_since_cert_n <= 4",112,1.8951,0.4464,0.149,0.1269,0.149,50,"underissuance"
"4+",10,"rawben_rel_max <= 0.9566841 & utilities > 392 & utilities <= 414 & rawgross > 1075 & months_since_cert_n > 4",149,2.5212,0.4295,0.1755,0.1624,0.1755,64,"underissuance"
"4+",11,"rawben_rel_max <= 0.9566841 & shelter_expenses > 2812 & utilities <= 770 & married <= 0 & count_divisible_by_100 <= 0",158,2.6734,0.4304,0.1817,0.1726,0.1817,68,"underissuance"
"4+",12,"elderly_disabled_i <= 0 & shelter_expenses <= 814 & utilities <= 274 & homeless == FALSE & rawunearn > 956",210,3.5533,0.3905,0.2202,0.2081,0.2202,82,"underissuance"
"4+",13,"total_deductions <= 749.2 & expedited_i <= 0 & rawben_rel_max <= 0.8958084 & shelter_expenses > 850 & shelter_expenses <= 896 & rawearn <= 3294 & months_since_cert_n <= 4 & count_divisible_by_100 <= 0",262,4.4332,0.355,0.2586,0.236,0.2586,93,"underissuance"
"4+",14,"expedited_i > 0 & rawben_rel_max <= 0.9566841 & utilities > 302 & rawunearn <= 392 & months_since_cert_n > 6",281,4.7547,0.3452,0.2729,0.2462,0.2729,97,"underissuance"
"4+",15,"elderly_disabled_i <= 0 & rawben_rel_max <= 0.9566841 & rawgross > 1075 & rawgross <= 1160 & months_since_cert_n > 4",296,5.0085,0.3446,0.2821,0.2589,0.2821,102,"underissuance"
"4+",16,"total_deductions <= 749.2 & shelter_expenses <= 815 & homeless == FALSE & rawearn <= 3294 & rawgross > 3111 & months_since_cert_n <= 4 & count_divisible_by_100 <= 0",327,5.533,0.3425,0.3005,0.2843,0.3005,112,"underissuance"
"4+",17,"total_deductions <= 835 & rawben_rel_max <= 0.8812547 & utilities > 626 & rawearn > 373 & months_since_cert_n > 1 & months_since_cert_n <= 10",448,7.5804,0.2969,0.3689,0.3376,0.3689,133,"underissuance"
"4+",18,"elderly_disabled_i > 0 & rawben_rel_max <= 0.9566841 & medical_deductions <= 1 & utilities > 428 & rawunearn <= 1319 & rawgross > 1075 & months_since_cert_n > 4",485,8.2064,0.2887,0.3926,0.3553,0.3926,140,"underissuance"
"4+",19,"shelter_expenses <= 2511 & utilities > 39 & utilities <= 1020 & rawearn > 4702 & percent_abawd <= 0.2 & months_since_cert_n <= 6",516,8.731,0.281,0.4105,0.368,0.4105,145,"underissuance"
"4+",20,"children_i > 0 & elderly_disabled_i <= 0 & cat_elig > 0 & rawben_rel_max > 0.0628328 & rawben_rel_max <= 0.9566841 & homeless == FALSE & rawearn > 325 & rawunearn > 437",753,12.7411,0.2523,0.5317,0.4822,0.5317,190,"underissuance"
