hh_size,rule_id,optimize_for,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall (within HH size),lift,precision_national_csv,optimized_rule,original_rule
1,rule15469,precision,10,4,4,10,3,7,0.54,0.3,0.052,0.035,9.5,0.428,count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.9 & utilities < 350 & rawgross < 1,count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.234 & utilities < 411 & rawgross < 1
1,rule10125,precision,10,4,4,10,3,7,0.54,0.3,0.052,0.035,9.5,0.5,count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.801 & utilities < 350 & shelter_expenses < 1000,count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.801 & utilities < 606.5 & shelter_expenses < 1038
1,rule4426,precision,10,3,3,10,3,7,0.54,0.3,0.052,0.07,9.5,0.507,unc_rawben_rel_max >= 1.792 & shelter_expenses >= 0 & months_since_cert_n >= 10,unc_rawben_rel_max >= 1.792 & shelter_expenses >= 744 & months_since_cert_n >= 7.5
1,rule1259,precision,10,3,3,10,3,7,0.54,0.3,0.052,0.035,9.5,0.345,unc_rawben_rel_max >= 1.9 & months_since_cert_n >= 3.5 & utilities < 375,unc_rawben_rel_max >= 1.755 & months_since_cert_n >= 3.5 & utilities < 886
1,rule405,precision,10,4,3,10,3,7,0.54,0.3,0.052,0.061,9.5,0.65,"unc_rawben_rel_max < 1.97 & unc_rawben_rel_max >= 1.3 & utilities < 350 & elderly_disabled_i %in% c(""TRUE"")","unc_rawben_rel_max < 1.97 & unc_rawben_rel_max >= 1.344 & utilities < 496 & elderly_disabled_i %in% c(""TRUE"")"
1,rule19623,precision,10,3,3,10,3,7,0.54,0.3,0.052,0.07,9.5,0.515,rawunearn < 0.5 & months_since_cert_n >= 10 & unc_rawben_rel_max >= 1.8,rawunearn < 0.5 & months_since_cert_n >= 6.5 & unc_rawben_rel_max >= 1.351
1,rule13488,precision,10,3,3,10,3,7,0.54,0.3,0.052,0.039,9.5,0.489,rawearn >= 1000 & rawben_rel_max >= 0.35 & rawben_rel_max < 0.75,rawearn >= 463.5 & rawben_rel_max >= 0.2835 & rawben_rel_max < 0.6581
2,rule3467,precision,10,3,3,12,6,6,2.3,0.5,0.194,0.341,8.4,0.239,rawearn >= 1100 & total_deductions < 1000 & shelter_expenses >= 1150,rawearn >= 238 & total_deductions < 709.5 & shelter_expenses >= 728.5
2,rule14634,precision,10,3,3,11,5,6,2.11,0.455,0.161,0.169,7.64,0.242,rawearn >= 1700 & utilities < 425 & rawben_rel_max >= 0.25,rawearn >= 1198 & utilities < 466.5 & rawben_rel_max >= 0.1211
2,rule24524,precision,10,3,3,10,4,6,1.92,0.4,0.129,0.154,6.72,0.256,total_deductions < 1000 & months_since_cert_n >= 3 & rawearn >= 1700,total_deductions < 1111 & months_since_cert_n >= 7.5 & rawearn >= 213
2,rule24040,precision,10,3,3,10,4,6,1.92,0.4,0.129,0.154,6.72,0.317,rawunearn < 300 & months_since_cert_n >= 3 & rawgross >= 1750,rawunearn < 972 & months_since_cert_n >= 7.5 & rawgross >= 1070
2,rule7523,precision,10,3,3,13,5,8,2.5,0.385,0.161,0.169,6.46,0.204,rawearn >= 1700 & rawben_rel_max < 0.7 & rawgross < 2350,rawearn >= 3 & rawben_rel_max < 0.9835 & rawgross < 1548
2,rule17969,precision,10,3,2,13,5,8,2.5,0.385,0.161,0.133,6.46,0.275,"unc_rawben_rel_max < 0.55 & unc_rawben_rel_max >= 0.5 & children_i %in% c(""TRUE"")","unc_rawben_rel_max < 0.2304 & unc_rawben_rel_max >= -0.01324 & children_i %in% c(""TRUE"")"
2,rule28470,precision,10,3,3,13,5,8,2.5,0.385,0.161,0.169,6.46,0.342,rawearn >= 1700 & rawunearn >= 0 & rawgross < 2350,rawearn >= 195 & rawunearn >= 334 & rawgross < 2019
2,rule9480,precision,10,3,3,13,4,9,2.5,0.308,0.129,0.138,5.17,0.32,rawearn < 2120 & rawearn >= 1700 & rawunearn >= 0,rawearn < 2120 & rawearn >= 410.5 & rawunearn >= 337.5
2,rule5727,precision,10,4,4,20,6,14,3.84,0.3,0.194,0.178,5.04,0.205,percent_abawd < 0.25 & rawearn >= 1600 & rawben_rel_max < 0.75 & rawgross < 2350,percent_abawd < 0.75 & rawearn >= 14 & rawben_rel_max < 0.9874 & rawgross < 1538
3,rule17509,precision,10,3,3,10,4,6,2.16,0.4,0.16,0.101,7.39,0.212,rawunearn >= 600 & rawearn >= 27 & rawben_rel_max >= 0.4602,rawunearn >= 102 & rawearn >= 27 & rawben_rel_max >= 0.4602
3,rule9115,precision,10,3,3,10,4,6,2.16,0.4,0.16,0.115,7.39,0.215,shelter_expenses >= 750 & rawben_rel_max >= 0.45 & unc_rawben_rel_max < 0.6,shelter_expenses >= 1816 & rawben_rel_max >= 0.6403 & unc_rawben_rel_max < 1.196
3,rule2830,precision,10,3,3,10,4,6,2.16,0.4,0.16,0.119,7.39,0.224,rawearn >= 1700 & rawearn < 2300 & months_since_cert_n >= 5,rawearn >= 1042 & rawearn < 1235 & months_since_cert_n >= 3.5
3,rule6727,precision,10,3,3,10,4,6,2.16,0.4,0.16,0.151,7.39,0.217,unc_rawben_rel_max < 1.1 & shelter_expenses >= 1450 & cat_elig >= 1.5,unc_rawben_rel_max < 1.305 & shelter_expenses >= 1898 & cat_elig >= 1.5
3,rule2260,precision,10,3,3,11,4,7,2.38,0.364,0.16,0.075,6.72,0.214,shelter_expenses >= 1200 & unc_rawben_rel_max >= 0.35 & unc_rawben_rel_max < 0.7,shelter_expenses >= 1860 & unc_rawben_rel_max >= 0.6412 & unc_rawben_rel_max < 1.336
3,rule2046,precision,10,3,3,11,4,7,2.38,0.364,0.16,0.185,6.72,0.284,rawearn >= 1350 & rawben_rel_max >= 0.7 & rawben_rel_max < 0.8231,rawearn >= 1165 & rawben_rel_max >= 0.7962 & rawben_rel_max < 0.8231
3,rule3889,precision,10,3,3,11,4,7,2.38,0.364,0.16,0.101,6.72,0.208,rawearn >= 250 & rawben_rel_max >= 0.45 & rawunearn >= 600,rawearn >= 1852 & rawben_rel_max >= 0.3778 & rawunearn >= 11.5
3,rule13044,precision,10,3,3,12,4,8,2.6,0.333,0.16,0.101,6.16,0.274,rawearn >= 350 & rawearn < 921 & rawben_rel_max < 0.8,rawearn >= 47.5 & rawearn < 921 & rawben_rel_max < 0.9186
3,rule7899,precision,10,3,3,12,4,8,2.6,0.333,0.16,0.185,6.16,0.215,unc_rawben_rel_max >= 0.7 & unc_rawben_rel_max < 0.8365 & rawearn >= 1350,unc_rawben_rel_max >= 0.789 & unc_rawben_rel_max < 0.8365 & rawearn >= 17
3,rule7621,precision,10,3,3,12,4,8,2.6,0.333,0.16,0.121,6.16,0.226,rawearn >= 1350 & rawben_rel_max >= 0.7 & rawgross < 1650,rawearn >= 1678 & rawben_rel_max >= 0.5651 & rawgross < 1801
3,rule763,precision,10,2,2,13,4,9,2.81,0.308,0.16,0.151,5.69,0.209,shelter_expenses >= 1450 & cat_elig >= 1.5,shelter_expenses >= 1862 & cat_elig >= 1.5
3,rule7390,precision,10,3,3,10,3,7,2.16,0.3,0.12,0.134,5.54,0.253,utilities >= 375 & rawgross < 2150 & shelter_expenses >= 1436,utilities >= 851 & rawgross < 1062 & shelter_expenses >= 1436
3,rule6519,precision,10,3,3,10,3,7,2.16,0.3,0.12,0.146,5.54,0.221,shelter_expenses >= 150 & rawgross < 2000 & rawearn >= 1700,shelter_expenses >= 1272 & rawgross < 1827 & rawearn >= 891.5
3,rule12598,precision,10,3,3,10,3,7,2.16,0.3,0.12,0.136,5.54,0.333,rawunearn < 500 & rawunearn >= 0 & shelter_expenses >= 1450,rawunearn < 846.5 & rawunearn >= 831.5 & shelter_expenses >= 785.5
4,rule7139,precision,10,3,3,12,5,7,4.38,0.417,0.167,0.082,3.81,0.209,unc_rawben_rel_max < 0.85 & rawearn >= 1300 & rawgross < 1600,unc_rawben_rel_max < 0.9927 & rawearn >= 4.5 & rawgross < 1195
4,rule7256,precision,10,3,3,10,4,6,3.65,0.4,0.133,0.068,3.65,0.217,unc_rawben_rel_max < 1 & utilities < 275 & utilities >= 25,unc_rawben_rel_max < 0.9389 & utilities < 303.5 & utilities >= 67.5
4,rule3661,precision,10,3,3,10,4,6,3.65,0.4,0.133,0.068,3.65,0.233,rawgross >= 300 & utilities < 225 & utilities >= 25,rawgross >= 1188 & utilities < 292.5 & utilities >= 50.5
4,rule5396,precision,10,3,3,10,4,6,3.65,0.4,0.133,0.106,3.65,0.207,shelter_expenses >= 1100 & total_deductions < 1250 & total_deductions >= 850,shelter_expenses >= 1440 & total_deductions < 1046 & total_deductions >= 943.5
4,rule2574,precision,10,3,3,10,4,6,3.65,0.4,0.133,0.098,3.65,0.214,shelter_expenses >= 1200 & total_deductions < 1250 & rawearn >= 150,shelter_expenses >= 1614 & total_deductions < 1004 & rawearn >= 399.5
4,rule25351,precision,10,2,2,12,4,8,4.38,0.333,0.133,0.068,3.04,0.2,utilities < 75 & utilities >= 25,utilities < 298.5 & utilities >= 275.5
4,rule8622,precision,10,3,3,10,3,7,3.65,0.3,0.1,0.05,2.74,0.224,rawunearn >= 0 & rawgross >= 765.5 & shelter_expenses < 350,rawunearn >= 200.5 & rawgross >= 765.5 & shelter_expenses < 337
5+,rule2536,precision,10,3,3,15,7,8,7.08,0.467,0.28,0.326,3.96,0.433,total_deductions >= 750 & utilities < 375 & utilities >= 350,total_deductions >= 352.3 & utilities < 292.5 & utilities >= 285.5
5+,rule3648,precision,10,3,3,11,5,6,5.19,0.455,0.2,0.176,3.85,0.219,rawgross >= 2350 & rawben_rel_max < 0.75 & rawben_rel_max >= 0.55,rawgross >= 142.5 & rawben_rel_max < 0.8993 & rawben_rel_max >= 0.8882
5+,rule700,precision,10,2,2,16,7,9,7.55,0.438,0.28,0.186,3.71,0.208,rawearn < 2580 & rawearn >= 2100,rawearn < 2580 & rawearn >= 2492
5+,rule6141,precision,10,3,3,12,5,7,5.66,0.417,0.2,0.138,3.53,0.218,rawearn >= 2100 & rawearn < 2550 & rawgross >= 0,rawearn >= 1306 & rawearn < 1482 & rawgross >= 1444
5+,rule1763,precision,10,3,3,10,4,6,4.72,0.4,0.16,0.114,3.39,0.229,rawearn >= 2250 & months_since_cert_n >= 6 & utilities >= 350,rawearn >= 1106 & months_since_cert_n >= 6.5 & utilities >= 740
5+,rule5742,precision,10,3,3,19,7,12,8.96,0.368,0.28,0.202,3.12,0.212,rawearn >= 2100 & utilities >= 25 & rawgross < 2900,rawearn >= 1338 & utilities >= 841.5 & rawgross < 3724
5+,rule14272,precision,10,3,3,13,4,9,6.13,0.308,0.16,0.138,2.61,0.246,cat_elig >= 1 & rawben_rel_max < 0.8 & rawben_rel_max >= 0.7,cat_elig >= 1.5 & rawben_rel_max < 0.3909 & rawben_rel_max >= 0.3416
5+,rule12764,precision,10,3,3,10,3,7,4.72,0.3,0.12,0.095,2.54,0.218,shelter_expenses >= 0 & rawgross < 3450 & rawben_rel_max < 0.45,shelter_expenses >= 1590 & rawgross < 1648 & rawben_rel_max < 0.9903
