"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","rule14952","rawgross >= 1032 & unc_rawben_rel_max >= -0.006995 & unc_rawben_rel_max < -0.001718",3,"INCLUDE",-0.327,0.047,2.1,75,65,10,0.867,0.272,0.355,13,0.067,"underissuance"
"1","rule6212","rawben_rel_max < 0.5581 & unc_rawben_rel_max >= -0.006995 & unc_rawben_rel_max < 0",3,"INCLUDE",-1.017,0.152,2.3,82,71,11,0.866,0.297,0.39,12.99,0.067,"underissuance"
"1","rule12790","rawgross < 2008 & unc_rawben_rel_max < 0 & unc_rawben_rel_max >= -0.008",3,"INCLUDE",-0.82,0.127,2.5,88,73,15,0.83,0.305,0.402,12.44,0.067,"underissuance"
"1","rule1792","rawben_rel_max < 0.794 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 114.4",3,"INCLUDE",-0.359,0.044,1.5,55,40,15,0.727,0.167,0.172,10.91,0.067,"underissuance"
"1","rule2285","unc_rawben_rel_max < 0.7637 & elderly_disabled_i %in% c(""FALSE"") & rawgross < 1139",3,"INCLUDE",-0.358,0.063,3.2,116,70,46,0.603,0.293,0.269,9.05,0.067,"underissuance"
"1","rule17301","rawunearn >= 206 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.8041",3,"INCLUDE",-0.226,0.038,2.9,103,61,42,0.592,0.255,0.263,8.88,0.067,"underissuance"
"1","rule1798","unc_rawben_rel_max < 0.8024 & elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 6.5",3,"INCLUDE",-0.258,0.036,2,72,42,30,0.583,0.176,0.163,8.75,0.067,"underissuance"
"1","rule16776","rawearn < 911.5 & rawben_rel_max < 0.8043 & elderly_disabled_i %in% c(""FALSE"")",3,"INCLUDE",-0.244,0.047,3.8,137,76,61,0.555,0.318,0.299,8.32,0.067,"underissuance"
"1","rule263","rawben_rel_max < 0.7928 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 402.6",3,"INCLUDE",-0.004,0.001,4.6,164,89,75,0.543,0.372,0.386,8.14,0.067,"underissuance"
"1","rule14925","rawearn < 934 & rawearn >= 165 & rawben_rel_max < 0.6587",3,"INCLUDE",-0.293,0.042,2.1,74,40,34,0.541,0.167,0.139,8.11,0.067,"underissuance"
"1","rule5870","unc_rawben_rel_max < 0.8008 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 422.5",3,"INCLUDE",-0.256,0.055,4.9,174,92,82,0.529,0.385,0.392,7.93,0.067,"underissuance"
"1","rule13488","rawearn >= 463.5 & rawben_rel_max >= 0.2835 & rawben_rel_max < 0.6581",3,"INCLUDE",-0.042,0.007,2.5,90,44,46,0.489,0.184,0.156,7.33,0.067,"underissuance"
"1","rule548","rawben_rel_max < 0.7928 & rawunearn < 582.5 & total_deductions < 477",3,"INCLUDE",-0.132,0.027,4.3,155,71,84,0.458,0.297,0.278,6.87,0.067,"underissuance"
"1","rule2762","unc_rawben_rel_max < 0.8023 & rawunearn < 671.9 & rawben_rel_max >= 0.5892",3,"INCLUDE",-0.686,0.115,2.9,103,46,57,0.447,0.192,0.116,6.7,0.067,"underissuance"
"1","rule29093","rawgross < 1008 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 384",3,"INCLUDE",-0.694,0.107,2.4,87,37,50,0.425,0.155,0.15,6.38,0.067,"underissuance"
"1","rule4722","unc_rawben_rel_max < 0.782 & months_since_cert_n < 2.5 & shelter_expenses < 471.5",3,"INCLUDE",-0.016,0.003,4.3,154,44,110,0.286,0.184,0.203,4.29,0.067,"underissuance"
"1","rule27660","rawgross < 1846 & shelter_expenses >= 1224 & rawben_rel_max < 0.816",3,"INCLUDE",-0.13,0.023,3.3,117,33,84,0.282,0.138,0.123,4.23,0.067,"underissuance"
"1","rule17208","rawunearn < 1132 & rawgross >= 1041 & cat_elig < 1.5",3,"INCLUDE",-0.103,0.028,7.8,280,67,213,0.239,0.28,0.292,3.59,0.067,"underissuance"
"1","rule13598","rawben_rel_max < 0.8043 & shelter_expenses < 136.5 & total_deductions < 115.1",3,"INCLUDE",-0.273,0.058,4.8,173,40,133,0.231,0.167,0.157,3.47,0.067,"underissuance"
"1","rule14482","rawgross >= 977.5 & unc_rawben_rel_max >= -0.007155 & total_deductions < 624.5",3,"INCLUDE",-0.139,0.049,14.5,519,118,401,0.227,0.494,0.558,3.41,0.067,"underissuance"
"1","rule20409","rawben_rel_max < 0.2354 & unc_rawben_rel_max >= -0.006 & total_deductions < 306",3,"INCLUDE",-0.001,0,8.6,308,67,241,0.218,0.28,0.322,3.26,0.067,"underissuance"
"1","rule10030","unc_rawben_rel_max < 0.8043 & cat_elig < 1.5 & total_deductions >= 598.9",3,"INCLUDE",-0.051,0.011,5.2,187,39,148,0.209,0.163,0.154,3.13,0.067,"underissuance"
"1","rule13608","rawearn >= 194.5 & elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n < 6.5",3,"INCLUDE",0.072,0.018,6.3,226,47,179,0.208,0.197,0.196,3.12,0.067,"underissuance"
"2","rule28470","rawearn >= 195 & rawunearn >= 334 & rawgross < 2019",3,"INCLUDE",-0.078,0.013,2.9,79,27,52,0.342,0.151,0.158,5.13,0.067,"underissuance"
"2","rule19173","shelter_expenses < 1.5 & rawben_rel_max < 0.8892 & rawben_rel_max >= 0.4001",3,"INCLUDE",-0.082,0.016,3.8,103,33,70,0.32,0.184,0.166,4.81,0.067,"underissuance"
"2","rule9480","rawearn < 2120 & rawearn >= 410.5 & rawunearn >= 337.5",3,"INCLUDE",-0.041,0.008,3.8,103,33,70,0.32,0.184,0.212,4.81,0.067,"underissuance"
"2","rule24040","rawunearn < 972 & months_since_cert_n >= 7.5 & rawgross >= 1070",3,"INCLUDE",-0.061,0.012,3.9,104,33,71,0.317,0.184,0.187,4.76,0.067,"underissuance"
"2","rule2475","unc_rawben_rel_max < 0.8951 & rawearn >= 0.5 & rawearn < 934",3,"INCLUDE",-0.063,0.013,4.3,115,35,80,0.304,0.196,0.19,4.57,0.067,"underissuance"
"2","rule28299","rawearn >= 1478 & percent_abawd < 0.25 & rawearn < 1835",3,"INCLUDE",-0.04,0.008,4.5,121,35,86,0.289,0.196,0.185,4.34,0.067,"underissuance"
"2","rule17969","unc_rawben_rel_max < 0.2304 & unc_rawben_rel_max >= -0.01324 & children_i %in% c(""TRUE"")",3,"INCLUDE",-0.1,0.019,3.8,102,28,74,0.275,0.156,0.228,4.12,0.067,"underissuance"
