"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","R1475","cat_elig <= 1 & rawben_rel_max > 0.3780069 & rawben_rel_max <= 0.8007118 & medical_deductions <= 0 & shelter_expenses > 699 & rawearn <= 170 & rawunearn > 957",7,"INCLUDE",0.537,0.537,4.1,147,22,125,0.15,0.092,0.065,2.24,0.067,"underissuance"
"1","R173","children_i <= 0 & shelter_expenses > 1541 & rawunearn <= 1836",3,"INCLUDE",0.629,0.629,3.2,114,17,97,0.149,0.071,0.066,2.24,0.067,"underissuance"
"1","R140","elderly_disabled_i > 0 & expedited_i <= 0 & cat_elig <= 1 & rawben_rel_max <= 0.752 & shelter_expenses > 683 & rawearn <= 1 & rawunearn > 958 & unc_rawben_rel_max > -0.01030928 & months_since_cert_n > 0 & months_since_cert_n <= 4",10,"INCLUDE",0.593,0.593,2.1,74,11,63,0.149,0.046,0.046,2.23,0.067,"underissuance"
"1","R1294","total_deductions <= 606 & medical_deductions <= 0 & shelter_expenses > 480 & utilities <= 33 & homeless == FALSE & rawunearn > 816 & unc_rawben_rel_max > -0.01030928",7,"INCLUDE",0.668,0.668,1.5,54,8,46,0.148,0.033,0.032,2.22,0.067,"underissuance"
"1","R823","cat_elig > 0 & rawben_rel_max <= 0.8007118 & medical_deductions <= 0 & shelter_expenses <= 847 & utilities > 560 & rawunearn <= 1115 & months_since_cert_n > 0",7,"INCLUDE",0.608,0.608,1.7,62,9,53,0.145,0.038,0.029,2.18,0.067,"underissuance"
"1","R771","medical_deductions > 150 & rawearn <= 743 & unc_rawben_rel_max <= -0.003436426",3,"INCLUDE",0.883,0.883,0.8,28,4,24,0.143,0.017,0.029,2.14,0.067,"underissuance"
"1","R830","elderly_disabled_i > 0 & rawben_rel_max > 0.6405694 & rawben_rel_max <= 0.7010676 & utilities <= 488 & rawearn <= 538 & months_since_cert_n <= 3",6,"INCLUDE",0.86,0.86,0.2,7,1,6,0.143,0.004,0.003,2.14,0.067,"underissuance"
"1","R1211","cat_elig > 0 & rawben_rel_max <= 0.2577319 & medical_deductions > 150 & homeless == FALSE & rawearn <= 170 & months_since_cert_n <= 24",6,"INCLUDE",0.793,0.793,1,35,5,30,0.143,0.021,0.034,2.14,0.067,"underissuance"
"1","R1228","shelter_expenses > 299 & shelter_expenses <= 302 & rawunearn > 816 & unc_rawben_rel_max > -0.01030928",4,"INCLUDE",0.782,0.782,0.4,14,2,12,0.143,0.008,0.006,2.14,0.067,"underissuance"
"1","R361","total_deductions > 416 & rawben_rel_max <= 0.8007118 & medical_deductions <= 0 & shelter_expenses <= 805 & utilities <= 583 & rawearn <= 451",6,"INCLUDE",0.749,0.749,0.6,21,3,18,0.143,0.013,0.009,2.14,0.067,"underissuance"
"1","R595","rawben_rel_max <= 0.8007118 & rawunearn > 900 & rawunearn <= 911 & unc_rawben_rel_max > -0.01030928",4,"INCLUDE",0.743,0.743,0.6,21,3,18,0.143,0.013,0.011,2.14,0.067,"underissuance"
"1","R1396","rawben_rel_max > 0.137457 & rawben_rel_max <= 0.8007118 & medical_deductions <= 0 & shelter_expenses > 298 & rawunearn > 932 & months_since_cert_n > 5 & months_since_cert_n <= 6 & count_divisible_by_100 <= 0",8,"INCLUDE",0.688,0.688,0.6,21,3,18,0.143,0.013,0.013,2.14,0.067,"underissuance"
"1","R821","rawben_rel_max <= 0.7250859 & medical_deductions <= 0 & shelter_expenses > 687 & shelter_expenses <= 847 & utilities <= 391 & rawearn <= 167 & rawunearn <= 1104 & months_since_cert_n > 0",8,"INCLUDE",0.651,0.651,1.6,56,8,48,0.143,0.033,0.027,2.14,0.067,"underissuance"
