hh_size,rule_id,optimize_for,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule,original_rule
1,rule4127,precision,20,4,4,25,13,12,1.7,0.52,0.098,0.124,5.81,0.182,0.371,rawgross < 1750 & utilities < 150 & shelter_expenses >= 600 & months_since_cert_n >= 4.5,rawgross < 0.5 & utilities < 793 & shelter_expenses >= 27 & months_since_cert_n >= 4.5
1,rule4912,precision,20,4,3,20,10,10,1.36,0.5,0.076,0.108,5.58,0.146,0.57,"elderly_disabled_i %in% c(""TRUE"") & rawgross < 250 & shelter_expenses < 1950 & total_deductions >= 26","elderly_disabled_i %in% c(""TRUE"") & rawgross < 598.5 & shelter_expenses < 969.5 & total_deductions >= 26"
1,rule4755,precision,20,4,4,25,12,13,1.7,0.48,0.091,0.116,5.36,0.75,0.407,percent_abawd >= 0 & total_deductions >= 602 & months_since_cert_n >= 5 & utilities < 650,percent_abawd >= 0.5 & total_deductions >= 602 & months_since_cert_n >= 2.5 & utilities < 680
1,rule9498,precision,20,3,3,23,11,12,1.56,0.478,0.083,0.088,5.34,0.128,0.282,shelter_expenses >= 600 & rawben_rel_max >= 0.05 & utilities < 50,shelter_expenses >= 1544 & rawben_rel_max >= 0.31 & utilities < 766.5
1,rule2943,precision,20,3,3,23,11,12,1.56,0.478,0.083,0.088,5.34,0.571,0.205,unc_rawben_rel_max < 2 & total_deductions >= 550 & utilities < 50,unc_rawben_rel_max < 1.217 & total_deductions >= 897.1 & utilities < 679.5
1,rule7736,precision,20,3,3,22,10,12,1.49,0.455,0.076,0.095,5.08,0.333,0.229,unc_rawben_rel_max >= 0.05 & utilities < 100 & total_deductions >= 650,unc_rawben_rel_max >= 1.627 & utilities < 604.5 & total_deductions >= 438.5
1,rule394,precision,20,3,3,20,9,11,1.36,0.45,0.068,0.06,5.03,0.349,0.358,rawearn >= 1200 & months_since_cert_n >= 3.5 & rawben_rel_max < 0.35,rawearn >= 526 & months_since_cert_n >= 3.5 & rawben_rel_max < 0.8274
1,rule635,precision,20,4,4,34,15,19,2.31,0.441,0.114,0.149,4.93,0.3,0.346,rawunearn < 1850 & total_deductions >= 450 & months_since_cert_n >= 3.5 & utilities < 106,rawunearn < 1.5 & total_deductions >= 56.5 & months_since_cert_n >= 3.5 & utilities < 106
1,rule6692,precision,20,4,4,23,10,13,1.56,0.435,0.076,0.053,4.86,0.273,0.484,months_since_cert_n >= 4.5 & rawearn >= 750 & rawben_rel_max < 0.75 & rawben_rel_max >= 0.2,months_since_cert_n >= 4.5 & rawearn >= 50.5 & rawben_rel_max < 0.9737 & rawben_rel_max >= 0.4124
1,rule3217,precision,20,4,4,21,9,12,1.42,0.429,0.068,0.052,4.79,0.333,0.418,shelter_expenses < 1850 & rawearn >= 300 & rawben_rel_max < 0.75 & rawben_rel_max >= 0.45,shelter_expenses < 1906 & rawearn >= 1.5 & rawben_rel_max < 0.97 & rawben_rel_max >= 0.5326
