"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","rule3800","unc_rawben_rel_max >= 1.808 & months_since_cert_n >= 1.5 & utilities < 606",3,"INCLUDE",1.382,0.246,3.3,277,123,154,0.444,0.219,0.24,6.66,0.067,"unearned_overissuance"
"1","rule13556","unc_rawben_rel_max < 2.891 & shelter_expenses >= 229.5 & rawgross < 607.5 & rawben_rel_max < 0.9758",4,"INCLUDE",9.019,0.699,0.6,51,22,29,0.431,0.039,0.041,6.47,0.067,"unearned_overissuance"
"1","rule13499","unc_rawben_rel_max < 1.708 & rawgross < 13 & elderly_disabled_i %in% c(""TRUE"") & cat_elig < 1.5",4,"INCLUDE",8.897,1.307,2.2,186,80,106,0.43,0.142,0.181,6.45,0.067,"unearned_overissuance"
"1","rule11440","unc_rawben_rel_max < 2.838 & months_since_cert_n >= 7.5 & unc_rawben_rel_max >= 1.458",3,"INCLUDE",1.666,0.309,3.6,300,129,171,0.43,0.23,0.255,6.45,0.067,"unearned_overissuance"
"1","rule5422","total_deductions < 1458 & unc_rawben_rel_max >= 1.222 & utilities < 413 & percent_abawd < 0.5",4,"INCLUDE",3.295,0.655,4.1,347,138,209,0.398,0.246,0.284,5.97,0.067,"unearned_overissuance"
"1","rule12645","rawgross < 2176 & shelter_expenses >= 1707 & rawunearn < 100",3,"INCLUDE",2.391,0.226,0.9,76,30,46,0.395,0.053,0.075,5.92,0.067,"unearned_overissuance"
"1","rule11490","rawgross < 648.5 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n < 21.5",3,"INCLUDE",2.828,0.788,8.5,714,276,438,0.387,0.491,0.561,5.8,0.067,"unearned_overissuance"
"1","rule5911","unc_rawben_rel_max >= 1.214 & rawgross < 12.5 & utilities < 727",3,"INCLUDE",8.113,2.186,7.9,664,239,425,0.36,0.425,0.487,5.4,0.067,"unearned_overissuance"
"1","rule2528","rawgross < 741 & elderly_disabled_i %in% c(""TRUE"")",2,"INCLUDE",0.068,0.021,10.7,905,324,581,0.358,0.577,0.644,5.37,0.067,"unearned_overissuance"
"1","rule4440","count_divisible_by_100 >= 0.5 & unc_rawben_rel_max < 1.643 & rawben_rel_max < 0.8368 & rawben_rel_max >= 0.4425",4,"INCLUDE",0.816,0.066,0.7,56,20,36,0.357,0.036,0.034,5.36,0.067,"unearned_overissuance"
"1","rule12960","total_deductions < 1432 & unc_rawben_rel_max < 2.096 & unc_rawben_rel_max >= 1.276 & utilities < 323.5",4,"INCLUDE",0.025,0.004,2.7,226,79,147,0.35,0.141,0.172,5.24,0.067,"unearned_overissuance"
"1","rule7639","unc_rawben_rel_max < 2.234 & utilities < 327 & unc_rawben_rel_max >= 1.218",3,"INCLUDE",1.03,0.19,3.5,297,102,195,0.343,0.181,0.216,5.15,0.067,"unearned_overissuance"
"1","rule9083","unc_rawben_rel_max < 1.912 & count_divisible_by_100 >= 0.5 & total_deductions >= 401.5 & utilities < 420.5",4,"INCLUDE",6.512,0.529,0.7,56,19,37,0.339,0.034,0.038,5.09,0.067,"unearned_overissuance"
"1","rule2416","unc_rawben_rel_max < 1.972 & count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.8259 & rawben_rel_max >= 0.3782",4,"INCLUDE",6.148,0.542,0.8,66,22,44,0.333,0.039,0.036,5,0.067,"unearned_overissuance"
"1","rule8463","shelter_expenses < 2034 & unc_rawben_rel_max >= 1.801 & cat_elig >= 1.5",3,"INCLUDE",12.035,1.432,1.4,121,40,81,0.331,0.071,0.093,4.96,0.067,"unearned_overissuance"
"1","rule2931","unc_rawben_rel_max < 2.331 & rawunearn < 801.5 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 406.1",4,"INCLUDE",-4.36,0.943,4.9,415,131,284,0.316,0.233,0.234,4.73,0.067,"unearned_overissuance"
"1","rule5401","unc_rawben_rel_max >= 1.891 & months_since_cert_n < 15.5 & shelter_expenses < 1753",3,"INCLUDE",-1.684,0.325,3.9,326,103,223,0.316,0.183,0.188,4.74,0.067,"unearned_overissuance"
"1","rule3231","unc_rawben_rel_max < 1.964 & unc_rawben_rel_max >= 0.5584 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses < 602.5",4,"INCLUDE",3.404,0.872,7.1,596,186,410,0.312,0.331,0.381,4.68,0.067,"unearned_overissuance"
"1","rule3718","unc_rawben_rel_max >= 1.22 & total_deductions >= 71.5 & rawunearn < 0.5",3,"INCLUDE",2.362,0.72,10.4,873,263,610,0.301,0.468,0.536,4.52,0.067,"unearned_overissuance"
"1","rule10094","unc_rawben_rel_max >= 1.673 & utilities < 606.5 & months_since_cert_n < 10.5",3,"INCLUDE",1.059,0.22,4.5,380,112,268,0.295,0.199,0.227,4.42,0.067,"unearned_overissuance"
"1","rule2181","unc_rawben_rel_max >= 1.234 & utilities >= 28 & rawunearn < 4.5",3,"INCLUDE",0.043,0.012,9.4,789,225,564,0.285,0.4,0.461,4.28,0.067,"unearned_overissuance"
"1","rule9498","shelter_expenses >= 1544 & rawben_rel_max >= 0.31 & utilities < 766.5",3,"INCLUDE",10.485,1.349,1.7,142,40,102,0.282,0.071,0.092,4.23,0.067,"unearned_overissuance"
"1","rule5240","unc_rawben_rel_max < 2.231 & months_since_cert_n >= 4.5 & rawgross < 650 & total_deductions >= 16",4,"INCLUDE",0.401,0.104,7.2,608,166,442,0.273,0.295,0.323,4.1,0.067,"unearned_overissuance"
"1","rule5150","unc_rawben_rel_max < 1.979 & count_divisible_by_100 >= 0.5 & rawunearn < 50",3,"INCLUDE",7.379,0.783,1.1,96,26,70,0.271,0.046,0.053,4.06,0.067,"unearned_overissuance"
"1","rule13614","unc_rawben_rel_max < 2.016 & count_divisible_by_100 >= 0.5 & total_deductions >= 401.5 & total_deductions < 796.5",4,"INCLUDE",6.445,0.698,1.2,100,27,73,0.27,0.048,0.052,4.05,0.067,"unearned_overissuance"
