"hh_size","rule_id","optimize_for","min_flagged_req","n_conditions","n_optimized","n_flagged","errors_caught","clean_flagged","workload_pct","precision","recall","dollar_recall","lift","precision_state_orig","precision_national_csv","optimized_rule","original_rule","rule_text","imp","rule"
"1","rule24","recall",10,3,3,55,14,41,3.93,0.255,0.114,0.124,2.89,0.245,0.509,"rawearn >= 550 & rawben_rel_max < 0.75 & rawgross < 2000","rawearn >= 447 & rawben_rel_max < 0.8037 & rawgross < 1709","rawearn >= 550 & rawben_rel_max < 0.75 & rawgross < 2000",0,"rawearn >= 550 & rawben_rel_max < 0.75 & rawgross < 2000"
"1","rule2343","recall",10,3,3,59,15,44,4.22,0.254,0.122,0.164,2.89,0.231,0.3,"rawunearn < 200 & shelter_expenses >= 700 & rawearn < 15","rawunearn < 718 & shelter_expenses >= 1216 & rawearn < 15","rawunearn < 200 & shelter_expenses >= 700 & rawearn < 15",0,"rawunearn < 200 & shelter_expenses >= 700 & rawearn < 15"
"1","rule6019","recall",10,4,3,12,3,9,0.86,0.25,0.024,0.027,2.84,0.167,0.865,"rawgross < 1750 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 1.15 & total_deductions >= 1000","rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 2.012 & total_deductions >= 21","rawgross < 1750 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 1.15 & total_deductions >= 1000",0,"rawgross < 1750 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 1.15 & total_deductions >= 1000"
"1","rule455","recall",10,3,2,48,12,36,3.43,0.25,0.098,0.135,2.84,0.296,0.791,"unc_rawben_rel_max >= -0.65 & rawgross < 100 & elderly_disabled_i %in% c(""TRUE"")","unc_rawben_rel_max >= 1.235 & rawgross < 4.5 & elderly_disabled_i %in% c(""TRUE"")","unc_rawben_rel_max >= -0.65 & rawgross < 100 & elderly_disabled_i %in% c(""TRUE"")",0,"unc_rawben_rel_max >= -0.65 & rawgross < 100 & elderly_disabled_i %in% c(""TRUE"")"
"1","rule202","recall",10,3,2,40,10,30,2.86,0.25,0.081,0.106,2.84,0.267,0.766,"unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 700","unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5","unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 700",0,"unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 700"
"1","rule6832","recall",10,4,2,32,8,24,2.29,0.25,0.065,0.079,2.84,0.205,0.534,"rawearn < 100 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 50 & expedited_i %in% c(""FALSE"")","rawearn < 1906 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 50 & expedited_i %in% c(""FALSE"")","rawearn < 100 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 50 & expedited_i %in% c(""FALSE"")",0,"rawearn < 100 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 50 & expedited_i %in% c(""FALSE"")"
"1","rule230","recall",10,4,4,28,7,21,2,0.25,0.057,0.075,2.84,0.235,0.505,"unc_rawben_rel_max >= -0.65 & rawearn >= 450 & rawben_rel_max < 0.2 & rawben_rel_max >= 0.05","unc_rawben_rel_max >= 0.008958 & rawearn >= 461 & rawben_rel_max < 0.8316 & rawben_rel_max >= 0.3329","unc_rawben_rel_max >= -0.65 & rawearn >= 450 & rawben_rel_max < 0.2 & rawben_rel_max >= 0.05",0,"unc_rawben_rel_max >= -0.65 & rawearn >= 450 & rawben_rel_max < 0.2 & rawben_rel_max >= 0.05"
"1","rule4127","recall",10,4,4,64,16,48,4.58,0.25,0.13,0.191,2.84,0.25,0.371,"rawgross < 0.5 & utilities < 700 & shelter_expenses >= 27 & months_since_cert_n >= 4.5","rawgross < 0.5 & utilities < 793 & shelter_expenses >= 27 & months_since_cert_n >= 4.5","rawgross < 0.5 & utilities < 700 & shelter_expenses >= 27 & months_since_cert_n >= 4.5",0,"rawgross < 0.5 & utilities < 700 & shelter_expenses >= 27 & months_since_cert_n >= 4.5"
"1","rule13499","recall",10,4,2,20,5,15,1.43,0.25,0.041,0.039,2.84,0.167,0.43,"unc_rawben_rel_max < 1 & rawgross < 750 & elderly_disabled_i %in% c(""TRUE"") & cat_elig < 1.5","unc_rawben_rel_max < 1.708 & rawgross < 13 & elderly_disabled_i %in% c(""TRUE"") & cat_elig < 1.5","unc_rawben_rel_max < 1 & rawgross < 750 & elderly_disabled_i %in% c(""TRUE"") & cat_elig < 1.5",0,"unc_rawben_rel_max < 1 & rawgross < 750 & elderly_disabled_i %in% c(""TRUE"") & cat_elig < 1.5"
"1","rule2523","recall",10,3,2,12,3,9,0.86,0.25,0.024,0.026,2.84,0.15,0.382,"cat_elig >= 1.5 & rawearn >= 1350 & months_since_cert_n >= 3","cat_elig >= 1.5 & rawearn >= 793.5 & months_since_cert_n >= 1.5","cat_elig >= 1.5 & rawearn >= 1350 & months_since_cert_n >= 3",0,"cat_elig >= 1.5 & rawearn >= 1350 & months_since_cert_n >= 3"
"1","rule2931","recall",10,4,3,16,4,12,1.14,0.25,0.033,0.03,2.84,0.121,0.316,"unc_rawben_rel_max < 2.331 & rawunearn < 200 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 650","unc_rawben_rel_max < 2.331 & rawunearn < 801.5 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 406.1","unc_rawben_rel_max < 2.331 & rawunearn < 200 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 650",0,"unc_rawben_rel_max < 2.331 & rawunearn < 200 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 650"
