hh_size,rule_id,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule (state),original_rule (national)
1,rule3202,10,3,3,10,3,7,0.89,0.3,0.054,0.084,5.99,0.167,0.408,unc_rawben_rel_max >= 1.8 & utilities < 475 & months_since_cert_n >= 7,unc_rawben_rel_max >= 1.229 & utilities < 346 & months_since_cert_n >= 7.5
2-3,rule1211,10,3,3,10,6,4,2.14,0.6,0.15,0.073,7.02,0.429,0.223,count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.65 & rawgross < 2450,count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.9602 & rawgross < 1220
2-3,rule1781,10,3,3,10,5,5,2.14,0.5,0.125,0.055,5.85,0.2,0.311,count_divisible_by_100 >= 0.5 & rawunearn < 2200 & unc_rawben_rel_max < 0.6,count_divisible_by_100 >= 0.5 & rawunearn < 96.5 & unc_rawben_rel_max < 1.138
2-3,rule65,10,4,4,14,7,7,2.99,0.5,0.175,0.252,5.85,NA,0.404,rawearn >= 0 & unc_rawben_rel_max >= 0.7 & shelter_expenses >= 1350 & rawben_rel_max < 1,rawearn >= 1050 & unc_rawben_rel_max >= 0.7612 & shelter_expenses >= 1574 & rawben_rel_max < 0.8335
2-3,rule898,10,3,3,10,5,5,2.14,0.5,0.125,0.223,5.85,0.571,0.299,total_deductions >= 1000 & rawgross < 2450 & months_since_cert_n < 4,total_deductions >= 1205 & rawgross < 2684 & months_since_cert_n < 5.5
2-3,rule1850,10,3,3,13,6,7,2.78,0.462,0.15,0.073,5.4,NA,0.377,count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.6 & utilities >= 0,count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.9641 & utilities >= 589
2-3,rule12894,10,3,3,11,5,6,2.35,0.455,0.125,0.215,5.32,0,0.25,rawearn >= 0 & rawearn < 2250 & total_deductions >= 1200,rawearn >= 827 & rawearn < 922 & total_deductions >= 251.8
2-3,rule301,10,3,3,14,6,8,2.99,0.429,0.15,0.216,5.01,0.273,0.231,shelter_expenses >= 1350 & rawben_rel_max < 1 & rawgross < 1750,shelter_expenses >= 1752 & rawben_rel_max < 0.9903 & rawgross < 2415
2-3,rule1670,10,3,3,12,5,7,2.56,0.417,0.125,0.171,4.88,0.5,0.371,rawearn >= 1300 & rawearn < 2550 & shelter_expenses >= 1500,rawearn >= 1122 & rawearn < 2124 & shelter_expenses >= 1949
2-3,rule625,10,3,2,10,4,6,2.14,0.4,0.1,0.223,4.68,0.6,0.671,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 750 & unc_rawben_rel_max >= 1.152","elderly_disabled_i %in% c(""TRUE"") & rawunearn < 7.5 & unc_rawben_rel_max >= 1.152"
