"hh_size","recall_floor","precision","recall_obj","n_flagged","workload_pct","errors_caught","n_rules","net","error_tag"
"1",0.2,0.8658,0.2692,149,1.7675,129,2,"rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 332.5 & total_deductions >= 57  OR  rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 2.012 & total_deductions >= 21","unearned_overissuance"
"1",0.3,0.7887,0.4493,284,3.3689,224,3,"rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 332.5 & total_deductions >= 57  OR  rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 2.012 & total_deductions >= 21  OR  unc_rawben_rel_max >= 1.235 & rawgross < 4.5 & elderly_disabled_i %in% c(""TRUE"")","unearned_overissuance"
"1",0.4,0.7887,0.4493,284,3.3689,224,3,"rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 332.5 & total_deductions >= 57  OR  rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 2.012 & total_deductions >= 21  OR  unc_rawben_rel_max >= 1.235 & rawgross < 4.5 & elderly_disabled_i %in% c(""TRUE"")","unearned_overissuance"
"1",0.5,0.7213,0.5034,348,4.1281,251,5,"rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & utilities < 332.5 & total_deductions >= 57  OR  rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 2.012 & total_deductions >= 21  OR  unc_rawben_rel_max >= 1.235 & rawgross < 4.5 & elderly_disabled_i %in% c(""TRUE"")  OR  unc_rawben_rel_max >= 1.505 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5  OR  unc_rawben_rel_max < 2.891 & shelter_expenses >= 229.5 & rawgross < 607.5 & rawben_rel_max < 0.9758","unearned_overissuance"
"2",0.2,0.5352,0.2038,71,1.715,38,2,"utilities >= 408.5 & unc_rawben_rel_max >= 1.679  OR  unc_rawben_rel_max >= 1.135 & rawunearn < 0.5 & elderly_disabled_i %in% c(""TRUE"")","unearned_overissuance"
"2",0.3,0.3536,0.3197,181,4.372,64,4,"utilities >= 408.5 & unc_rawben_rel_max >= 1.679  OR  unc_rawben_rel_max >= 1.135 & rawunearn < 0.5 & elderly_disabled_i %in% c(""TRUE"")  OR  shelter_expenses >= 1685 & rawgross < 172  OR  shelter_expenses >= 1694 & utilities < 606.5","unearned_overissuance"
"2",0.4,0.2763,0.4305,304,7.343,84,6,"utilities >= 408.5 & unc_rawben_rel_max >= 1.679  OR  unc_rawben_rel_max >= 1.135 & rawunearn < 0.5 & elderly_disabled_i %in% c(""TRUE"")  OR  shelter_expenses >= 1685 & rawgross < 172  OR  shelter_expenses >= 1694 & utilities < 606.5  OR  unc_rawben_rel_max < 1.607 & utilities < 377.5 & rawunearn >= 708 & rawben_rel_max >= 0.7473  OR  elderly_disabled_i %in% c(""TRUE"") & rawben_rel_max >= 0.7241 & married < 0.5 & rawgross < 690.5","unearned_overissuance"
"2",0.5,0.2577,0.5102,423,10.2174,109,7,"utilities >= 408.5 & unc_rawben_rel_max >= 1.679  OR  unc_rawben_rel_max >= 1.135 & rawunearn < 0.5 & elderly_disabled_i %in% c(""TRUE"")  OR  shelter_expenses >= 1685 & rawgross < 172  OR  shelter_expenses >= 1694 & utilities < 606.5  OR  unc_rawben_rel_max < 1.607 & utilities < 377.5 & rawunearn >= 708 & rawben_rel_max >= 0.7473  OR  elderly_disabled_i %in% c(""TRUE"") & rawben_rel_max >= 0.7241 & married < 0.5 & rawgross < 690.5  OR  unc_rawben_rel_max < 1.561 & married < 0.5 & count_divisible_by_100 >= 0.5 & rawunearn < 258","unearned_overissuance"
"3",0.2,0.407,0.2751,86,3.1676,35,2,"shelter_expenses < 2074 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 193  OR  count_divisible_by_100 >= 0.5 & rawearn < 1317 & rawunearn < 100","unearned_overissuance"
"3",0.3,0.3185,0.3495,135,4.9724,43,3,"shelter_expenses < 2074 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 193  OR  count_divisible_by_100 >= 0.5 & rawearn < 1317 & rawunearn < 100  OR  total_deductions >= 692.6 & rawearn < 763.5 & shelter_expenses >= 1631","unearned_overissuance"
"3",0.4,0.2706,0.4672,218,8.0295,59,4,"shelter_expenses < 2074 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 193  OR  count_divisible_by_100 >= 0.5 & rawearn < 1317 & rawunearn < 100  OR  total_deductions >= 692.6 & rawearn < 763.5 & shelter_expenses >= 1631  OR  shelter_expenses < 583 & rawunearn >= 510 & rawben_rel_max >= 0.6547 & utilities >= 163.5","unearned_overissuance"
