"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"3","rule464","utilities >= 783.5 & months_since_cert_n < 5.5",2,"INCLUDE",-1.752,0.405,5.7,389,33,356,0.085,0.072,0.062,1.27,0.067,"earned_overissuance"
"3","rule11589","rawben_rel_max < 0.9934 & rawben_rel_max >= 0.8287",2,"INCLUDE",0.925,0.32,13.9,955,81,874,0.085,0.177,0.185,1.27,0.067,"earned_overissuance"
"3","rule948","total_deductions < 1756 & unc_rawben_rel_max >= 1.064 & rawunearn >= 149",3,"INCLUDE",6.475,1.614,6.7,456,38,418,0.083,0.083,0.107,1.25,0.067,"earned_overissuance"
"3","rule8142","unc_rawben_rel_max < 1.353 & utilities < 327 & utilities >= 40.5",3,"INCLUDE",1.508,0.479,11.4,779,65,714,0.083,0.142,0.154,1.25,0.067,"earned_overissuance"
"3","rule6950","shelter_expenses < 673 & total_deductions >= 328.5",2,"INCLUDE",2.952,1.003,13.3,912,75,837,0.082,0.164,0.183,1.23,0.067,"earned_overissuance"
"3","rule1741","rawunearn < 731.5 & expedited_i %in% c(""FALSE"") & rawben_rel_max >= 0.6846",3,"INCLUDE",0.556,0.277,46.4,3182,252,2930,0.079,0.551,0.628,1.19,0.067,"earned_overissuance"
"3","rule3099","rawunearn < 0.5 & children_i %in% c(""TRUE"") & shelter_expenses < 2196",3,"INCLUDE",-0.705,0.353,50.7,3477,269,3208,0.077,0.589,0.586,1.16,0.067,"earned_overissuance"
"3","rule8082","unc_rawben_rel_max < 1.436 & utilities < 448.5 & utilities >= 414.5",3,"INCLUDE",0.763,0.187,6.4,442,34,408,0.077,0.074,0.074,1.15,0.067,"earned_overissuance"
"3","rule5397","shelter_expenses < 2605 & utilities >= 502.5",2,"INCLUDE",-0.28,0.128,29.6,2026,155,1871,0.077,0.339,0.312,1.15,0.067,"earned_overissuance"
"3","rule1498","utilities < 530.5 & cat_elig >= 1.5 & rawgross < 667.5",3,"INCLUDE",3.145,0.885,8.7,595,45,550,0.076,0.098,0.166,1.13,0.067,"earned_overissuance"
"3","rule10082","months_since_cert_n < 7.5 & shelter_expenses >= 377.5",2,"INCLUDE",1.071,0.53,57,3907,295,3612,0.076,0.646,0.627,1.13,0.067,"earned_overissuance"
"3","rule1832","total_deductions >= 127.1 & utilities >= 448.5",2,"INCLUDE",-1.178,0.574,38.7,2652,198,2454,0.075,0.433,0.405,1.12,0.067,"earned_overissuance"
"3","rule4793","utilities < 508 & shelter_expenses >= 414.5",2,"INCLUDE",1.023,0.502,40.3,2762,205,2557,0.074,0.449,0.423,1.11,0.067,"earned_overissuance"
"3","rule6930","months_since_cert_n >= 3.5 & months_since_cert_n < 8.5",2,"INCLUDE",0.555,0.267,36.1,2473,184,2289,0.074,0.403,0.438,1.12,0.067,"earned_overissuance"
"3","rule10117","total_deductions < 674.8 & shelter_expenses < 1718 & shelter_expenses >= 756",3,"INCLUDE",3.133,1.274,20.9,1434,104,1330,0.073,0.228,0.243,1.09,0.067,"earned_overissuance"
"3","rule8677","rawunearn < 0.5 & utilities < 606.5",2,"INCLUDE",-0.045,0.022,44.7,3063,218,2845,0.071,0.477,0.491,1.07,0.067,"earned_overissuance"
"3","rule726","cat_elig >= 0.5",1,"INCLUDE",3.525,1.305,83.6,5732,403,5329,0.07,0.882,0.908,1.05,0.067,"earned_overissuance"
"3","rule3837","cat_elig >= 1.5 & shelter_expenses < 1902 & elderly_disabled_i %in% c(""FALSE"")",3,"INCLUDE",-0.336,0.135,20.3,1394,95,1299,0.068,0.208,0.238,1.02,0.067,"earned_overissuance"
"3","rule8623","unc_rawben_rel_max < 1.368 & rawgross >= 299 & rawgross < 663 & rawunearn >= 550",4,"INCLUDE",1.073,0.15,2,137,9,128,0.066,0.02,0.037,0.99,0.067,"earned_overissuance"
"3","rule3955","shelter_expenses < 2604 & rawearn < 835.8 & total_deductions >= 460.5",3,"INCLUDE",-1.545,0.692,27.7,1901,124,1777,0.065,0.271,0.335,0.98,0.067,"earned_overissuance"
"3","rule2878","months_since_cert_n < 5.5 & rawben_rel_max >= 0.9845 & total_deductions >= 382.5",3,"INCLUDE",-1.612,0.611,17.4,1190,76,1114,0.064,0.166,0.206,0.96,0.067,"earned_overissuance"
