"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"2-3","rule12759","shelter_expenses < 1858 & unc_rawben_rel_max >= 0.2623",2,"SKIP",0.056,0.02,84.5,5085,305,4780,0.06,0.761,0.706,0.9,0.067,"underissuance"
"2-3","rule12907","months_since_cert_n < 3.5 & unc_rawben_rel_max >= 0.1933 & rawben_rel_max >= 0.2374",3,"SKIP",0.011,0.005,41,2468,137,2331,0.056,0.342,0.33,0.83,0.067,"underissuance"
"2-3","rule9346","utilities >= 360.5 & rawearn < 2038",2,"SKIP",0.126,0.063,51.3,3085,165,2920,0.053,0.411,0.402,0.8,0.067,"underissuance"
"2-3","rule12298","rawunearn < 336.5 & unc_rawben_rel_max >= 0.4271",2,"SKIP",0.35,0.175,48.8,2936,137,2799,0.047,0.342,0.307,0.7,0.067,"underissuance"
"2-3","rule7934","rawgross < 1610 & percent_abawd < 0.5833",2,"SKIP",0.22,0.099,71.7,4314,189,4125,0.044,0.471,0.431,0.66,0.067,"underissuance"
"2-3","rule9098","utilities < 574 & rawben_rel_max >= 0.6133 & rawgross < 2014",3,"SKIP",0.058,0.029,50.5,3035,119,2916,0.039,0.297,0.226,0.59,0.067,"underissuance"
"2-3","rule9973","rawunearn >= 753.5 & elderly_disabled_i %in% c(""TRUE"") & utilities >= 327",3,"SKIP",0.407,0.163,20,1206,36,1170,0.03,0.09,0.085,0.45,0.067,"underissuance"
"2-3","rule3693","rawearn < 898 & unc_rawben_rel_max >= 0.7878",2,"SKIP",0.011,0.006,49.7,2989,32,2957,0.011,0.08,0.048,0.16,0.067,"underissuance"
"2-3","rule1384","rawearn < 460 & rawben_rel_max >= 0.7877",2,"SKIP",0.011,0.006,45.5,2739,18,2721,0.007,0.045,0.028,0.1,0.067,"underissuance"
"4+","rule1807","rawearn >= 1246 & rawunearn >= 136.5 & rawgross < 1928",3,"INCLUDE",-0.175,0.014,0.6,37,13,24,0.351,0.033,0.02,5.27,0.067,"underissuance"
"4+","rule7194","rawben_rel_max >= 0.2111 & rawearn >= 350 & total_deductions < 141.6",3,"INCLUDE",-0.053,0.005,0.8,46,16,30,0.348,0.041,0.038,5.22,0.067,"underissuance"
"4+","rule2873","rawearn >= 348 & total_deductions < 142.8",2,"INCLUDE",-0.425,0.039,0.8,50,17,33,0.34,0.043,0.039,5.1,0.067,"underissuance"
"4+","rule4311","rawearn >= 352 & total_deductions < 321.3 & total_deductions >= 299",3,"INCLUDE",-0.199,0.018,0.8,47,15,32,0.319,0.038,0.042,4.79,0.067,"underissuance"
"4+","rule7570","rawearn >= 4093 & utilities >= 591 & rawben_rel_max >= 0.2061",3,"INCLUDE",-0.061,0.005,0.6,38,12,26,0.316,0.03,0.03,4.74,0.067,"underissuance"
"4+","rule2414","rawben_rel_max < 0.6274 & rawgross < 2159 & shelter_expenses < 346",3,"INCLUDE",-0.075,0.007,0.9,55,16,39,0.291,0.041,0.045,4.36,0.067,"underissuance"
"4+","rule6739","rawearn >= 500.5 & rawunearn >= 734.5 & rawben_rel_max >= 0.6744",3,"INCLUDE",-0.087,0.009,1.2,69,20,49,0.29,0.051,0.05,4.35,0.067,"underissuance"
"4+","rule7851","rawgross >= 954 & shelter_expenses < 712.5 & shelter_expenses >= 687.5",3,"INCLUDE",-0.11,0.009,0.6,38,11,27,0.289,0.028,0.018,4.34,0.067,"underissuance"
"4+","rule7655","rawearn >= 350 & rawunearn >= 724 & rawben_rel_max >= 0.6758",3,"INCLUDE",-0.199,0.024,1.4,84,23,61,0.274,0.058,0.054,4.11,0.067,"underissuance"
"4+","rule5638","rawben_rel_max < 0.5833 & shelter_expenses < 391.5 & total_deductions < 437.3",3,"INCLUDE",-0.096,0.011,1.3,78,20,58,0.256,0.051,0.065,3.85,0.067,"underissuance"
"4+","rule4048","rawben_rel_max < 0.9359 & shelter_expenses < 713 & shelter_expenses >= 675.5",3,"INCLUDE",-0.262,0.025,0.9,55,14,41,0.255,0.036,0.029,3.82,0.067,"underissuance"
"4+","rule1699","rawben_rel_max < 0.9549 & shelter_expenses < 707.5 & shelter_expenses >= 675.5",3,"INCLUDE",-0.037,0.003,0.9,51,13,38,0.255,0.033,0.028,3.82,0.067,"underissuance"
"4+","rule6744","rawearn >= 346.5 & rawunearn >= 737 & rawben_rel_max >= 0.5974",3,"INCLUDE",-0.164,0.024,2.2,130,32,98,0.246,0.081,0.073,3.69,0.067,"underissuance"
"4+","rule136","rawearn >= 451 & total_deductions < 352.4 & total_deductions >= 298.5",3,"INCLUDE",-0.21,0.026,1.6,93,22,71,0.237,0.056,0.065,3.55,0.067,"underissuance"
"4+","rule3198","rawgross >= 1649 & utilities < 344.5 & rawgross < 1991",3,"INCLUDE",-0.039,0.005,1.8,107,25,82,0.234,0.063,0.066,3.5,0.067,"underissuance"
"4+","rule1295","rawgross >= 1609 & rawgross < 1972 & utilities < 352.5",3,"INCLUDE",-0.138,0.02,2.1,123,28,95,0.228,0.071,0.071,3.41,0.067,"underissuance"
"4+","rule1215","rawben_rel_max < 0.9357 & utilities < 302.5 & utilities >= 275.5",3,"INCLUDE",-0.349,0.059,3,177,39,138,0.22,0.099,0.082,3.31,0.067,"underissuance"
"4+","rule8154","total_deductions >= 940.4 & total_deductions < 989.5 & months_since_cert_n < 2.5",3,"INCLUDE",-0.068,0.007,1.1,64,14,50,0.219,0.036,0.026,3.28,0.067,"underissuance"
"4+","rule3744","rawgross >= 3166 & cat_elig >= 1.5 & rawearn < 3314",3,"INCLUDE",-0.289,0.039,1.8,107,23,84,0.215,0.058,0.076,3.22,0.067,"underissuance"
"4+","rule7743","rawgross >= 1100 & utilities < 301.5 & cat_elig < 0.5",3,"INCLUDE",-0.328,0.061,3.6,210,45,165,0.214,0.114,0.106,3.21,0.067,"underissuance"
"4+","rule5789","months_since_cert_n >= 5.5 & shelter_expenses >= 1546 & months_since_cert_n < 7.5",3,"INCLUDE",-0.545,0.078,2.1,124,26,98,0.21,0.066,0.077,3.15,0.067,"underissuance"
"4+","rule4851","rawunearn >= 162 & shelter_expenses >= 1928 & utilities < 732.5",3,"INCLUDE",-0.425,0.059,1.9,115,24,91,0.209,0.061,0.044,3.13,0.067,"underissuance"
"4+","rule5497","rawgross >= 1304 & rawunearn >= 138 & rawunearn < 253.5",3,"INCLUDE",-0.149,0.019,1.6,97,20,77,0.206,0.051,0.051,3.09,0.067,"underissuance"
"4+","rule7039","rawunearn >= 418.5 & shelter_expenses >= 1862 & utilities < 719",3,"INCLUDE",-0.177,0.024,1.9,115,23,92,0.2,0.058,0.045,3,0.067,"underissuance"
"4+","rule7231","rawben_rel_max < 0.8883 & rawben_rel_max >= 0.8201 & cat_elig >= 1.5",3,"INCLUDE",-0.135,0.017,1.6,95,19,76,0.2,0.048,0.03,3,0.067,"underissuance"
"4+","rule1893","rawben_rel_max < 0.922 & rawgross < 907.5 & total_deductions >= 113.5",3,"INCLUDE",-0.245,0.027,1.2,71,14,57,0.197,0.036,0.018,2.96,0.067,"underissuance"
"4+","rule7294","cat_elig < 0.5 & rawben_rel_max < 0.8959 & utilities < 294",3,"INCLUDE",-0.07,0.013,3.8,227,44,183,0.194,0.112,0.105,2.91,0.067,"underissuance"
"4+","rule3618","rawgross >= 2378 & rawearn < 2590 & total_deductions >= 769.4",3,"INCLUDE",-0.064,0.012,3.9,228,44,184,0.193,0.112,0.099,2.89,0.067,"underissuance"
"4+","rule6701","rawunearn >= 1062 & rawgross >= 1870 & rawben_rel_max >= 0.569",3,"INCLUDE",-0.333,0.046,2,116,22,94,0.19,0.056,0.052,2.84,0.067,"underissuance"
"4+","rule6640","rawgross >= 2379 & rawgross < 2670 & total_deductions >= 750.8",3,"INCLUDE",-0.557,0.099,3.2,192,36,156,0.188,0.091,0.084,2.81,0.067,"underissuance"
"4+","rule7997","rawgross >= 2018 & rawgross < 2171 & married >= 0.5",3,"INCLUDE",-0.176,0.021,1.4,85,16,69,0.188,0.041,0.048,2.82,0.067,"underissuance"
"4+","rule8013","rawgross >= 1357 & utilities < 346 & rawgross < 1954",3,"INCLUDE",-0.22,0.042,3.7,221,41,180,0.186,0.104,0.089,2.78,0.067,"underissuance"
"4+","rule7924","rawgross >= 3184 & married < 0.5 & cat_elig >= 1.5",3,"INCLUDE",-0.029,0.004,1.9,113,21,92,0.186,0.053,0.061,2.79,0.067,"underissuance"
"4+","rule2009","rawben_rel_max < 0.8882 & rawben_rel_max >= 0.8573 & rawgross >= 974.5",3,"INCLUDE",-0.188,0.025,1.7,103,19,84,0.184,0.048,0.029,2.77,0.067,"underissuance"
