"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"2","rule2748","rawunearn < 802.5 & months_since_cert_n >= 3.5 & rawben_rel_max >= 0.3168 & rawben_rel_max < 0.6212",4,"INCLUDE",1.564,0.271,3.1,243,59,184,0.243,0.113,0.096,3.64,0.067,"earned_overissuance"
"2","rule10893","rawben_rel_max >= 0.8823 & unc_rawben_rel_max < 0.9826 & rawearn >= 2.5",3,"INCLUDE",18.956,3.015,2.6,203,49,154,0.241,0.094,0.108,3.62,0.067,"earned_overissuance"
"2","rule9504","utilities < 363.5 & shelter_expenses >= 886.5 & rawunearn < 841.5",3,"INCLUDE",5.061,0.817,2.7,209,47,162,0.225,0.09,0.109,3.37,0.067,"earned_overissuance"
"2","rule5980","rawearn < 3470 & rawearn >= 1137 & months_since_cert_n >= 2.5 & rawben_rel_max >= 0.4764",4,"INCLUDE",2.871,0.601,4.6,359,80,279,0.223,0.154,0.147,3.34,0.067,"earned_overissuance"
"2","rule4148","total_deductions < 1732 & rawearn >= 716 & rawben_rel_max >= 0.478 & utilities < 436",4,"INCLUDE",4.852,1.083,5.3,411,82,329,0.2,0.157,0.15,2.99,0.067,"earned_overissuance"
"3","rule4593","shelter_expenses < 1170 & unc_rawben_rel_max >= 1.34 & utilities < 327",3,"INCLUDE",3.663,0.254,0.5,33,11,22,0.333,0.024,0.047,5,0.067,"earned_overissuance"
"3","rule5250","months_since_cert_n >= 2.5 & unc_rawben_rel_max >= 1.33 & utilities < 326.5",3,"INCLUDE",1.646,0.128,0.6,42,14,28,0.333,0.031,0.054,5,0.067,"earned_overissuance"
"3","rule423","unc_rawben_rel_max < 1.222 & utilities >= 902 & utilities < 939.5",3,"INCLUDE",2.811,0.258,0.8,58,19,39,0.328,0.042,0.039,4.91,0.067,"earned_overissuance"
"3","rule2236","unc_rawben_rel_max >= 1.34 & months_since_cert_n >= 3.5 & months_since_cert_n < 4.5",3,"INCLUDE",26.662,2.223,0.7,48,15,33,0.312,0.033,0.055,4.69,0.067,"earned_overissuance"
"3","rule1308","utilities >= 606.5 & rawearn >= 1050 & rawgross < 1317",3,"INCLUDE",10.204,0.824,0.7,45,14,31,0.311,0.031,0.039,4.67,0.067,"earned_overissuance"
"3","rule4462","shelter_expenses >= 848 & utilities < 301.5 & rawgross < 389.5",3,"INCLUDE",4.618,0.36,0.6,42,13,29,0.31,0.028,0.047,4.64,0.067,"earned_overissuance"
"3","rule11572","total_deductions < 965.2 & shelter_expenses >= 857.5 & utilities < 301.5 & rawgross < 402.5",4,"INCLUDE",0.466,0.034,0.5,36,11,25,0.306,0.024,0.043,4.58,0.067,"earned_overissuance"
"3","rule1356","unc_rawben_rel_max >= 1.209 & utilities < 339.5 & utilities >= 286",3,"INCLUDE",2.41,0.213,0.8,54,16,38,0.296,0.035,0.054,4.44,0.067,"earned_overissuance"
"3","rule2753","shelter_expenses >= 1056 & total_deductions < 630.9 & rawgross < 134.5 & utilities >= 632.5",4,"INCLUDE",0.68,0.055,0.7,45,13,32,0.289,0.028,0.041,4.33,0.067,"earned_overissuance"
"3","rule11692","total_deductions < 1797 & cat_elig >= 1.5 & unc_rawben_rel_max >= 1.253 & months_since_cert_n >= 3.5",4,"INCLUDE",28.8,3.074,1.2,79,22,57,0.278,0.048,0.077,4.18,0.067,"earned_overissuance"
"3","rule3160","utilities < 363.5 & unc_rawben_rel_max >= 1.208 & months_since_cert_n < 4.5 & months_since_cert_n >= 2.5",4,"INCLUDE",3.443,0.296,0.7,51,13,38,0.255,0.028,0.056,3.82,0.067,"earned_overissuance"
"3","rule590","unc_rawben_rel_max >= 1.26 & months_since_cert_n >= 2.5 & total_deductions >= 665.6 & shelter_expenses < 1074",4,"INCLUDE",10.519,0.996,0.9,62,15,47,0.242,0.033,0.054,3.63,0.067,"earned_overissuance"
"3","rule958","total_deductions >= 796.7 & rawgross < 1792 & shelter_expenses >= 1414 & months_since_cert_n >= 3.5",4,"INCLUDE",8.029,1.027,1.7,114,27,87,0.237,0.059,0.063,3.55,0.067,"earned_overissuance"
"3","rule1850","shelter_expenses >= 1910 & unc_rawben_rel_max < 1.336 & rawben_rel_max >= 0.6304",3,"INCLUDE",15.967,2.628,2.8,191,44,147,0.23,0.096,0.102,3.46,0.067,"earned_overissuance"
"3","rule579","unc_rawben_rel_max >= 0.7736 & shelter_expenses >= 1392 & utilities >= 847 & rawben_rel_max >= 0.9824",4,"INCLUDE",2.51,0.281,1.3,87,20,67,0.23,0.044,0.062,3.45,0.067,"earned_overissuance"
"3","rule577","unc_rawben_rel_max >= 0.7736 & shelter_expenses >= 1392 & utilities >= 847",3,"INCLUDE",3.495,0.501,2.1,144,33,111,0.229,0.072,0.084,3.44,0.067,"earned_overissuance"
"3","rule6670","percent_abawd < 0.5 & unc_rawben_rel_max >= 1.08 & utilities < 303.5 & shelter_expenses >= 856",4,"INCLUDE",1.343,0.127,0.9,62,14,48,0.226,0.031,0.049,3.39,0.067,"earned_overissuance"
"3","rule4897","shelter_expenses >= 1604 & rawgross < 940 & utilities >= 682.5",3,"INCLUDE",7.143,0.791,1.2,85,18,67,0.212,0.039,0.06,3.18,0.067,"earned_overissuance"
"3","rule1089","unc_rawben_rel_max >= 1.194 & utilities < 353 & shelter_expenses < 1119 & months_since_cert_n >= 2.5",4,"INCLUDE",23.849,2.86,1.5,100,21,79,0.21,0.046,0.089,3.15,0.067,"earned_overissuance"
"4","rule7113","rawgross < 144 & cat_elig >= 0.5 & total_deductions >= 613.5 & utilities < 545",4,"INCLUDE",6.249,0.855,1.9,101,23,78,0.228,0.065,0.089,3.42,0.067,"earned_overissuance"
"4","rule10939","unc_rawben_rel_max < 0.9374 & rawgross < 1158 & rawearn >= 3",3,"INCLUDE",7.359,1.012,1.9,102,23,79,0.225,0.065,0.094,3.38,0.067,"earned_overissuance"
"4","rule8619","total_deductions < 1027 & months_since_cert_n >= 5.5 & rawearn >= 1000 & rawben_rel_max >= 0.6007",4,"INCLUDE",7.387,1.388,3.7,194,39,155,0.201,0.11,0.121,3.02,0.067,"earned_overissuance"
