"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","shelter_expenses_by_hh_size >= 676.00 & unc_rawben_rel_max >=   2.49",171,0.2807,0.2084
"1","shelter_expenses_by_hh_size >= 676.00 & unc_rawben_rel_max >=   1.55 & unc_rawben_rel_max <   2.49 & utilities < 583.00",1025,0.0654,0.0496
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 388.00",256,0.375,0.3079
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.49 & utilities < 366.00",207,0.4058,0.3298
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.49 & utilities >= 366.00",1052,0.1131,0.0924
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   7.00 & unc_rawben_rel_max >=   1.49 & utilities < 366.00",108,0.2593,0.1743
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.49 & utilities < 366.00",99,0.5657,0.4494
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.49 & utilities >= 366.00 & utilities < 827.00",703,0.1607,0.1311
"1","months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.73 & utilities < 405.00",157,0.3057,0.2279
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size < 786.00 & unc_rawben_rel_max >=   1.73 & utilities >= 405.00",395,0.0506,0.0305
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size >= 786.00 & unc_rawben_rel_max >=   1.73 & utilities >= 405.00",291,0.1718,0.1265
"1","total_deductions_by_hh_size >= 617.00 & unc_rawben_rel_max >=   1.87",1317,0.1139,0.0951
"1","total_deductions_by_hh_size >= 617.00 & unc_rawben_rel_max >=   1.87 & utilities < 679.00",776,0.1585,0.1304
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.55",369,0.29,0.2384
"1","elderly_disabled_i >=   1.00 & months_since_cert_n <   4.00 & total_deductions_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.55",102,0.1863,0.1133
"1","elderly_disabled_i >=   1.00 & months_since_cert_n >=   4.00 & total_deductions_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.55",267,0.3296,0.2666
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 810.00 & unc_rawben_rel_max >=   1.55 & unc_rawben_rel_max <   2.49",592,0.0693,0.0487
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size >= 810.00 & unc_rawben_rel_max >=   2.49",170,0.2824,0.2097
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.55 & utilities < 679.00",644,0.2671,0.2286
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size < 1220.00 & unc_rawben_rel_max >=    1.55 & utilities <  679.00",512,0.2969,0.2522
"1","elderly_disabled_i >=    1.00 & shelter_expenses_by_hh_size >= 1220.00 & unc_rawben_rel_max >=    1.55 & utilities <  679.00",132,0.1515,0.0928
