"hh","rule","n_flagged_train","precision_train","precision_train_lcb"
"1","shelter_expenses_by_hh_size < 2020.00 & total_deductions_by_hh_size >=  436.00 & unc_rawben_rel_max >=    2.49 & utilities >=  703.00",52,0.3269,0.1983
"1","elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.744 & shelter_expenses_by_hh_size < 548.000 & unc_rawben_rel_max >=   0.359",1755,0.0729,0.0598
"1","percent_abawd < 0.50 & unc_rawben_rel_max >= 2.49",172,0.2849,0.2124
"1","percent_abawd <    0.50 & shelter_expenses_by_hh_size < 1250.00 & unc_rawben_rel_max >=    2.49",40,0.45,0.2841
"1","percent_abawd <    0.50 & shelter_expenses_by_hh_size >= 1250.00 & unc_rawben_rel_max >=    2.49",132,0.2348,0.1605
"1","percent_abawd <   0.50 & unc_rawben_rel_max >=   2.01 & unc_rawben_rel_max <   2.49 & utilities < 284.00",23,0.5217,0.2996
"1","percent_abawd <   0.50 & unc_rawben_rel_max >=   2.01 & unc_rawben_rel_max <   2.49 & utilities >= 284.00",305,0.1639,0.1206
"1","percent_abawd <    0.50 & shelter_expenses_by_hh_size >= 1250.00 & total_deductions_by_hh_size < 1730.00 & unc_rawben_rel_max >=    2.49",74,0.2162,0.1264
"1","percent_abawd <    0.50 & shelter_expenses_by_hh_size >= 1250.00 & total_deductions_by_hh_size >= 1730.00 & unc_rawben_rel_max >=    2.49",58,0.2586,0.1497
"1","medical_deductions >= 166 & months_since_cert_n >=  19 & shelter_expenses_by_hh_size >=  55",123,0.0732,0.0348
"1","months_since_cert_n <  9.00 & shelter_expenses_by_hh_size >= 55.00 & unc_rawben_rel_max >=  2.23",192,0.1823,0.1265
"1","rawben_rel_max >=   0.984 & unc_rawben_rel_max >=   1.760 & utilities < 620.000",1458,0.0967,0.0802
"1","rawben_rel_max >=   0.644 & rawben_rel_max <   0.984 & shelter_expenses_by_hh_size >= 150.000 & total_deductions_by_hh_size < 140.000",82,0.1585,0.0864
"1","rawben_rel_max >=   0.984 & total_deductions_by_hh_size < 756.000 & unc_rawben_rel_max >=   1.760 & utilities < 620.000",1170,0.0641,0.0494
"1","rawben_rel_max >=   0.984 & total_deductions_by_hh_size >= 756.000 & unc_rawben_rel_max >=   1.760 & utilities < 620.000",288,0.2292,0.1769
"1","rawben_rel_max >=   0.968 & shelter_expenses_by_hh_size >= 452.000 & shelter_expenses_by_hh_size < 841.000 & utilities < 452.000",829,0.0832,0.0635
"1","rawben_rel_max >=   0.968 & shelter_expenses_by_hh_size >= 841.000 & unc_rawben_rel_max >=   2.230 & utilities >= 431.000",273,0.1978,0.1478
"1","elderly_disabled_i >=   1.000 & shelter_expenses_by_hh_size < 492.000 & unc_rawben_rel_max >=   0.516 & utilities < 347.000",1906,0.0603,0.0489
"1","count_divisible_by_100 <    1 & months_since_cert_n >=    4 & shelter_expenses_by_hh_size >= 1300 & total_deductions_by_hh_size >= 1410",215,0.0651,0.0357
"1","total_deductions_by_hh_size >= 1730",121,0.1322,0.0761
"1","shelter_expenses_by_hh_size < 1130 & total_deductions_by_hh_size >= 1040 & total_deductions_by_hh_size < 1730",126,0.0873,0.0445
"1","expedited_i >=  1.000 & months_since_cert_n >= 15.000 & months_since_cert_n < 25.000 & rawben_rel_max >=  0.306",277,0.0542,0.0302
"1","medical_deductions >= 196 & utilities < 345",158,0.0506,0.0229
"1","medical_deductions <  137 & months_since_cert_n <   10 & shelter_expenses_by_hh_size >= 1470 & utilities <  800",657,0.0548,0.0375
"1","months_since_cert_n >=   7.00 & shelter_expenses_by_hh_size >= 350.00 & unc_rawben_rel_max >=   1.63 & utilities <  31.00",46,0.2826,0.1576
"1","shelter_expenses_by_hh_size < 1030 & total_deductions_by_hh_size >=  894 & utilities >=  417",152,0.1184,0.0702
"1","count_divisible_by_100 >=    1.000 & rawben_rel_max >=    0.504 & shelter_expenses_by_hh_size >= 1030.000",294,0.0952,0.0624
"1","count_divisible_by_100 >=    1.000 & rawben_rel_max >=    0.504 & shelter_expenses_by_hh_size >= 1030.000 & shelter_expenses_by_hh_size < 1420.000",187,0.0588,0.0299
"1","count_divisible_by_100 >=    1.000 & rawben_rel_max >=    0.504 & shelter_expenses_by_hh_size >= 1420.000",107,0.1589,0.0934
"1","shelter_expenses_by_hh_size >= 1700 & utilities <  850",441,0.0612,0.0396
"1","shelter_expenses_by_hh_size >= 1700 & utilities >=  559 & utilities <  850",234,0.0769,0.0453
"1","shelter_expenses_by_hh_size < 1700.00 & total_deductions_by_hh_size >=  461.00 & unc_rawben_rel_max >=    2.49 & utilities >=  612.00",50,0.38,0.2396
"1","elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.508 & shelter_expenses_by_hh_size < 347.000 & unc_rawben_rel_max >=   1.270",89,0.3596,0.2524
"1","total_deductions_by_hh_size < 1410.00 & unc_rawben_rel_max >=    2.49",73,0.3151,0.2051
"1","shelter_expenses_by_hh_size < 1170.00 & total_deductions_by_hh_size < 1410.00 & unc_rawben_rel_max >=    2.49",23,0.4348,0.2305
"1","shelter_expenses_by_hh_size >= 1170.00 & total_deductions_by_hh_size < 1410.00 & unc_rawben_rel_max >=    2.49",50,0.26,0.1444
"1","elderly_disabled_i >=    1 & homeless <    1 & medical_deductions >=  155 & shelter_expenses_by_hh_size >= 1530",124,0.0645,0.0293
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 746.00 & unc_rawben_rel_max >=   1.26",433,0.2517,0.2065
"1","months_since_cert_n >= 19.000 & rawben_rel_max >=  0.851 & unc_rawben_rel_max >=  1.930",98,0.2551,0.1674
"1","months_since_cert_n >=   5 & total_deductions_by_hh_size >= 774 & utilities < 620",1053,0.057,0.0425
"1","rawben_rel_max >=   0.345 & utilities >= 342.000 & utilities < 347.000",247,0.0648,0.0369
"1","rawben_rel_max >=   0.345 & unc_rawben_rel_max >=   1.670 & utilities >= 347.000",2394,0.0614,0.0509
"1","total_deductions_by_hh_size >= 791.00 & unc_rawben_rel_max >=   2.49 & utilities >= 488.00",123,0.2846,0.2006
"1","medical_deductions >= 131.000 & rawben_rel_max >=   0.456 & shelter_expenses_by_hh_size < 658.000",179,0.067,0.0351
"1","medical_deductions >= 131.000 & rawben_rel_max >=   0.456 & shelter_expenses_by_hh_size >= 376.000 & shelter_expenses_by_hh_size < 658.000",128,0.0547,0.0235
"1","rawben_rel_max >=   0.456 & shelter_expenses_by_hh_size >= 658.000 & shelter_expenses_by_hh_size < 909.000 & total_deductions_by_hh_size >= 726.000",337,0.1187,0.0836
"1","months_since_cert_n >=    1 & total_deductions_by_hh_size >= 1280",572,0.0717,0.0504
"1","months_since_cert_n >=    1 & months_since_cert_n <    9 & total_deductions_by_hh_size >= 1280",299,0.0836,0.0534
"1","total_deductions_by_hh_size >= 549.00 & unc_rawben_rel_max >=   2.23 & utilities >= 600.00 & utilities < 730.00",55,0.2364,0.1307
"1","months_since_cert_n >= 2.00 & unc_rawben_rel_max >= 1.88",1098,0.1275,0.1059
"1","months_since_cert_n >=   2.00 & total_deductions_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.88",650,0.0908,0.0678
"1","months_since_cert_n >=   2.00 & total_deductions_by_hh_size >= 810.00 & unc_rawben_rel_max >=   1.88",448,0.1808,0.1424
"1","months_since_cert_n >=   2.00 & months_since_cert_n <   7.00 & total_deductions_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.88",393,0.056,0.0346
"1","months_since_cert_n >=   7.00 & total_deductions_by_hh_size < 810.00 & unc_rawben_rel_max >=   1.88",257,0.144,0.1004
"1","months_since_cert_n >=   2.00 & total_deductions_by_hh_size >= 810.00 & unc_rawben_rel_max >=   1.88 & utilities < 345.00",34,0.3235,0.1727
"1","months_since_cert_n >=   2.00 & total_deductions_by_hh_size >= 810.00 & unc_rawben_rel_max >=   1.88 & utilities >= 345.00",414,0.1691,0.1306
"1","months_since_cert_n >=    4 & shelter_expenses_by_hh_size >= 1560 & total_deductions_by_hh_size >= 1730",78,0.141,0.0727
"1","elderly_disabled_i >=    1.00 & months_since_cert_n <    4.00 & shelter_expenses_by_hh_size < 1140.00 & unc_rawben_rel_max >=    1.33",231,0.1126,0.0728
"1","months_since_cert_n <    4.00 & shelter_expenses_by_hh_size >= 1140.00 & unc_rawben_rel_max >=    1.33 & utilities <  456.00",131,0.0611,0.0277
"1","shelter_expenses_by_hh_size < 888 & total_deductions_by_hh_size >= 675 & utilities < 511",349,0.086,0.0571
"1","months_since_cert_n <   5 & shelter_expenses_by_hh_size < 888 & total_deductions_by_hh_size >= 675 & utilities < 511",168,0.0655,0.0333
"1","months_since_cert_n >=   5 & shelter_expenses_by_hh_size < 888 & total_deductions_by_hh_size >= 675 & utilities < 511",181,0.105,0.063
"1","shelter_expenses_by_hh_size >= 888.00 & unc_rawben_rel_max >=   2.49 & utilities < 391.00",24,0.4167,0.22
"1","unc_rawben_rel_max >=   2.49 & utilities >= 388.00 & utilities < 730.00",86,0.2558,0.1631
"1","months_since_cert_n <   8.00 & unc_rawben_rel_max >=   2.49 & utilities >= 388.00 & utilities < 730.00",49,0.2449,0.1323
"1","months_since_cert_n >=   8.00 & unc_rawben_rel_max >=   2.49 & utilities >= 388.00 & utilities < 730.00",37,0.2703,0.1383
"1","count_divisible_by_100 >=   1.000 & rawben_rel_max >=   0.388 & shelter_expenses_by_hh_size >= 968.000 & unc_rawben_rel_max <   2.490",347,0.0663,0.0414
"1","rawben_rel_max >=    0.388 & shelter_expenses_by_hh_size >=  968.000 & total_deductions_by_hh_size < 1730.000 & unc_rawben_rel_max >=    2.490",109,0.2936,0.2038
"1","rawben_rel_max >=    0.388 & shelter_expenses_by_hh_size >=  968.000 & total_deductions_by_hh_size >= 1730.000 & unc_rawben_rel_max >=    2.490",60,0.25,0.1444
"1","months_since_cert_n >=    5 & shelter_expenses_by_hh_size < 1430 & total_deductions_by_hh_size >= 1010",414,0.0725,0.048
"1","months_since_cert_n >=  10 & shelter_expenses_by_hh_size < 329 & total_deductions_by_hh_size >=  45",320,0.1,0.0674
"1","months_since_cert_n <  22.00 & total_deductions_by_hh_size >= 634.00 & unc_rawben_rel_max >=   2.49",155,0.2968,0.2195
"1","months_since_cert_n >=   4.00 & months_since_cert_n <  22.00 & total_deductions_by_hh_size >= 634.00 & unc_rawben_rel_max >=   2.49",96,0.3125,0.215
"1","months_since_cert_n >=  22.000 & rawben_rel_max >=   0.701 & total_deductions_by_hh_size < 183.000",179,0.0503,0.0238
"1","months_since_cert_n >=    8 & months_since_cert_n <   15 & shelter_expenses_by_hh_size >= 1670",219,0.0548,0.0286
"1","shelter_expenses_by_hh_size >= 1060 & shelter_expenses_by_hh_size < 1670 & total_deductions_by_hh_size >=  780 & utilities <  392",294,0.0578,0.0334
"1","shelter_expenses_by_hh_size < 637.00 & total_deductions_by_hh_size >= 542.00 & unc_rawben_rel_max >=   1.76 & unc_rawben_rel_max <   1.86",87,0.1494,0.0813
"1","shelter_expenses_by_hh_size >= 637 & shelter_expenses_by_hh_size < 810 & total_deductions_by_hh_size >= 650 & utilities >= 456",181,0.0829,0.0465
"1","rawben_rel_max >=    0.783 & shelter_expenses_by_hh_size >= 1130.000 & unc_rawben_rel_max >=    1.870",731,0.0793,0.0591
"1","rawben_rel_max >=    0.783 & shelter_expenses_by_hh_size >= 1130.000 & total_deductions_by_hh_size < 1410.000 & unc_rawben_rel_max >=    1.870",568,0.0546,0.0363
"1","rawben_rel_max >=    0.783 & shelter_expenses_by_hh_size >= 1130.000 & total_deductions_by_hh_size >= 1410.000 & unc_rawben_rel_max >=    1.870",163,0.1656,0.1089
"1","months_since_cert_n <    8.00 & shelter_expenses_by_hh_size < 1670.00 & unc_rawben_rel_max >=    2.49",59,0.322,0.2007
"1","rawben_rel_max >=   0.552 & total_deductions_by_hh_size >= 860.000 & unc_rawben_rel_max <   2.490 & utilities < 339.000",89,0.0899,0.041
"1","months_since_cert_n >=    8.00 & shelter_expenses_by_hh_size < 1670.00 & unc_rawben_rel_max >=    2.49 & utilities <  612.00",23,0.3043,0.1374
"1","months_since_cert_n >=    8.00 & shelter_expenses_by_hh_size < 1670.00 & unc_rawben_rel_max >=    2.49 & utilities >=  612.00",29,0.3793,0.205
"1","count_divisible_by_100 >=    1 & medical_deductions <  184 & shelter_expenses_by_hh_size >= 1470",112,0.1429,0.0824
"1","shelter_expenses_by_hh_size < 628.00 & unc_rawben_rel_max >=   1.58 & unc_rawben_rel_max <   2.23 & utilities < 347.00",320,0.1062,0.0725
"1","months_since_cert_n <   10.00 & shelter_expenses_by_hh_size < 1600.00 & unc_rawben_rel_max >=    2.23 & utilities >=  493.00",97,0.1959,0.1193
"1","months_since_cert_n >=  16.00 & unc_rawben_rel_max >=   2.23 & utilities >= 493.00",54,0.2778,0.1613
"1","expedited_i >=  1.00 & months_since_cert_n >= 11.00 & unc_rawben_rel_max >=  1.46",104,0.1731,0.1036
"1","shelter_expenses_by_hh_size < 1700.00 & unc_rawben_rel_max >=    2.49 & utilities >=  450.00",91,0.3077,0.2086
"1","unc_rawben_rel_max >=   1.88 & utilities >= 284.00 & utilities < 366.00",124,0.1613,0.0989
"1","shelter_expenses_by_hh_size < 590 & total_deductions_by_hh_size >= 555 & total_deductions_by_hh_size < 624",168,0.0655,0.0333
"1","months_since_cert_n >=    8.00 & shelter_expenses_by_hh_size < 2020.00 & total_deductions_by_hh_size >=  624.00 & unc_rawben_rel_max >=    1.86",414,0.186,0.1457
"1","count_divisible_by_100 >=    1 & total_deductions_by_hh_size >=  604 & utilities < 1000",434,0.0691,0.0458
"1","count_divisible_by_100 >=    1 & shelter_expenses_by_hh_size >= 1050 & total_deductions_by_hh_size >=  604 & utilities < 1000",266,0.0977,0.0631
"1","months_since_cert_n >=  15.00 & unc_rawben_rel_max >=   0.94 & utilities < 583.00",880,0.0625,0.0461
"1","shelter_expenses_by_hh_size >=  757 & total_deductions_by_hh_size >= 1230 & utilities >=  583 & utilities <  757",128,0.0859,0.0438
"1","shelter_expenses_by_hh_size >=  29 & total_deductions_by_hh_size >= 786 & utilities < 340",203,0.0985,0.0598
"1","shelter_expenses_by_hh_size >=  29.00 & total_deductions_by_hh_size < 786.00 & unc_rawben_rel_max >=   1.58 & utilities < 340.00",526,0.0779,0.0549
"1","shelter_expenses_by_hh_size >=   29 & shelter_expenses_by_hh_size < 1110 & total_deductions_by_hh_size >=  786 & utilities <  340",102,0.1471,0.0834
"1","shelter_expenses_by_hh_size < 1670.00 & total_deductions_by_hh_size >=  693.00 & unc_rawben_rel_max >=    2.23 & utilities >=  340.00",245,0.2082,0.1545
"1","shelter_expenses_by_hh_size >= 1670.00 & total_deductions_by_hh_size >=  693.00 & unc_rawben_rel_max >=    2.23 & utilities >=  340.00",74,0.1622,0.0863
"1","total_deductions_by_hh_size >= 752 & utilities < 441",814,0.0553,0.0394
"1","rawben_rel_max >=   0.92 & total_deductions_by_hh_size >= 752.00 & utilities < 441.00",476,0.0777,0.0537
"1","shelter_expenses_by_hh_size < 1470.00 & unc_rawben_rel_max >=    1.33 & utilities <  347.00",1156,0.077,0.0607
"1","medical_deductions >=    3 & rawben_rel_max <    1 & shelter_expenses_by_hh_size >= 1470",235,0.0553,0.0296
"1","shelter_expenses_by_hh_size >=  832.00 & shelter_expenses_by_hh_size < 1470.00 & unc_rawben_rel_max >=    1.33 & utilities <  347.00",190,0.0684,0.0367
"1","shelter_expenses_by_hh_size < 1470.00 & unc_rawben_rel_max >=    1.33 & utilities >=  347.00 & utilities <  441.00",680,0.0618,0.0436
"1","rawben_rel_max >=    1.00 & shelter_expenses_by_hh_size >= 1470.00 & shelter_expenses_by_hh_size < 1880.00 & unc_rawben_rel_max >=    1.93",72,0.2222,0.13
"1","count_divisible_by_100 >=    1.000 & rawben_rel_max >=    0.705 & shelter_expenses_by_hh_size >= 1160.000",186,0.1183,0.0737
"1","shelter_expenses_by_hh_size < 968 & total_deductions_by_hh_size >= 791 & utilities >= 417",203,0.1133,0.0713
"1","expedited_i >=    1 & months_since_cert_n >=   14 & total_deductions_by_hh_size < 1410 & utilities <  550",311,0.0579,0.034
"1","rawben_rel_max >=    0.808 & total_deductions_by_hh_size < 1410.000 & unc_rawben_rel_max >=    1.870 & utilities >=  550.000",990,0.0505,0.0366
"1","months_since_cert_n >=  20 & shelter_expenses_by_hh_size < 997 & total_deductions_by_hh_size >= 555",349,0.0544,0.0324
"1","medical_deductions >= 183 & shelter_expenses_by_hh_size >= 997 & total_deductions_by_hh_size >= 702",307,0.0619,0.0369
"1","count_divisible_by_100 >=   1 & expedited_i <   1 & total_deductions_by_hh_size >= 654 & utilities < 560",151,0.0728,0.0371
"1","shelter_expenses_by_hh_size >= 801.00 & total_deductions_by_hh_size >= 932.00 & unc_rawben_rel_max >=   1.81 & utilities >= 560.00",300,0.1333,0.0941
"1","shelter_expenses_by_hh_size < 1090 & total_deductions_by_hh_size >=  894",326,0.1043,0.0712
"1","shelter_expenses_by_hh_size < 1090 & total_deductions_by_hh_size >=  894 & utilities >=  447",219,0.1005,0.0624
"1","months_since_cert_n <    8 & shelter_expenses_by_hh_size < 1090 & total_deductions_by_hh_size >=  894 & utilities >=  447",106,0.0566,0.0228
"1","months_since_cert_n >=    8 & shelter_expenses_by_hh_size < 1090 & total_deductions_by_hh_size >=  894 & utilities >=  447",113,0.1416,0.0817
"1","medical_deductions < 137 & months_since_cert_n >=  21 & shelter_expenses_by_hh_size < 925 & total_deductions_by_hh_size >= 575",108,0.1204,0.0651
"1","medical_deductions < 137.00 & shelter_expenses_by_hh_size >= 925.00 & unc_rawben_rel_max >=   2.23 & utilities < 452.00",65,0.2462,0.1447
"1","count_divisible_by_100 <    1 & shelter_expenses_by_hh_size >= 1420 & total_deductions_by_hh_size >= 1520 & utilities <  612",55,0.1273,0.0555
"1","count_divisible_by_100 <    1 & shelter_expenses_by_hh_size >= 1420 & total_deductions_by_hh_size >= 1520 & utilities >=  612",143,0.0559,0.0254
"1","percent_abawd <   0.500 & rawben_rel_max >=   0.964 & shelter_expenses_by_hh_size >= 388.000 & shelter_expenses_by_hh_size < 658.000",1170,0.0556,0.0419
"1","months_since_cert_n <   14 & shelter_expenses_by_hh_size < 1040 & total_deductions_by_hh_size >=  741",634,0.0726,0.052
"1","cat_elig >=    1 & months_since_cert_n >=   14 & shelter_expenses_by_hh_size < 1150 & total_deductions_by_hh_size >=  953",53,0.1509,0.0696
"1","rawben_rel_max >=    0.698 & total_deductions_by_hh_size >= 1110.000 & utilities >=  580.000 & utilities <  669.000",75,0.1467,0.0756
"1","medical_deductions >= 116 & total_deductions_by_hh_size >= 496 & utilities < 388",239,0.0669,0.0381
"1","count_divisible_by_100 >=    1.0 & percent_abawd <    0.5 & shelter_expenses_by_hh_size >= 1470.0 & utilities >=  388.0",87,0.1379,0.073
"1","cat_elig < 2.00 & unc_rawben_rel_max >= 1.76",2341,0.079,0.067
"1","cat_elig <    2.00 & shelter_expenses_by_hh_size < 1160.00 & unc_rawben_rel_max >=    1.76",1613,0.0825,0.0679
"1","cat_elig <    2.00 & shelter_expenses_by_hh_size >= 1160.00 & unc_rawben_rel_max >=    1.76",728,0.0714,0.0522
"1","cat_elig <    2.00 & count_divisible_by_100 <    1.00 & shelter_expenses_by_hh_size < 1160.00 & unc_rawben_rel_max >=    1.76",1549,0.0833,0.0684
"1","cat_elig <    2.00 & count_divisible_by_100 >=    1.00 & shelter_expenses_by_hh_size < 1160.00 & unc_rawben_rel_max >=    1.76",64,0.0625,0.0209
"1","cat_elig <    2.00 & shelter_expenses_by_hh_size >= 1160.00 & total_deductions_by_hh_size >= 1410.00 & unc_rawben_rel_max >=    1.76",183,0.1475,0.0967
"1","rawben_rel_max >=    0.972 & shelter_expenses_by_hh_size >= 1010.000 & total_deductions_by_hh_size >= 1410.000",291,0.0962,0.0631
"1","rawben_rel_max >=    0.972 & shelter_expenses_by_hh_size >= 1010.000 & shelter_expenses_by_hh_size < 1600.000 & total_deductions_by_hh_size >= 1410.000",59,0.2373,0.1341
"1","months_since_cert_n >=   18.000 & months_since_cert_n <   22.000 & shelter_expenses_by_hh_size < 1090.000 & unc_rawben_rel_max >=    0.786",459,0.0501,0.0312
"1","shelter_expenses_by_hh_size < 852 & total_deductions_by_hh_size >= 650",571,0.0893,0.0653
"1","shelter_expenses_by_hh_size < 852 & total_deductions_by_hh_size >= 650 & utilities < 364",169,0.1065,0.063
"1","shelter_expenses_by_hh_size < 852 & total_deductions_by_hh_size >= 650 & utilities >= 364",402,0.0821,0.0555
"1","months_since_cert_n >=   14 & shelter_expenses_by_hh_size < 1140 & total_deductions_by_hh_size >=  791",191,0.0838,0.0478
"1","count_divisible_by_100 >=    1.000 & months_since_cert_n <   10.000 & rawben_rel_max >=    0.472 & shelter_expenses_by_hh_size >= 1140.000",159,0.1195,0.0719
"1","rawben_rel_max >=   0.508 & rawben_rel_max <   0.976 & total_deductions_by_hh_size >= 852.000 & utilities < 571.000",298,0.057,0.033
"1","rawben_rel_max >=    0.976 & shelter_expenses_by_hh_size >= 1630.000 & utilities >=  388.000 & utilities <  571.000",144,0.0556,0.0252
"1","shelter_expenses_by_hh_size < 1700.00 & unc_rawben_rel_max >=    2.01 & utilities >=  571.00 & utilities <  784.00",108,0.287,0.1979
"1","expedited_i >=   1.00 & total_deductions_by_hh_size < 293.00 & unc_rawben_rel_max >=   1.27",192,0.0573,0.0291
"1","months_since_cert_n >=   5 & shelter_expenses_by_hh_size < 783 & total_deductions_by_hh_size >= 480 & total_deductions_by_hh_size < 711",761,0.0723,0.0533
"1","expedited_i >=   1.000 & rawben_rel_max >=   0.796 & total_deductions_by_hh_size >= 711.000 & utilities < 586.000",262,0.0573,0.032
"1","shelter_expenses_by_hh_size >= 645.00 & unc_rawben_rel_max >=   1.88",1230,0.1081,0.0892
"1","months_since_cert_n >=   4.00 & shelter_expenses_by_hh_size >= 645.00 & unc_rawben_rel_max >=   1.88",735,0.1361,0.1093
"1","cat_elig >=   1 & shelter_expenses_by_hh_size >= 586 & shelter_expenses_by_hh_size < 645 & total_deductions_by_hh_size >= 293",589,0.0543,0.0364
"1","months_since_cert_n >=   4.00 & months_since_cert_n <  10.00 & shelter_expenses_by_hh_size >= 645.00 & unc_rawben_rel_max >=   1.88",426,0.1127,0.0818
"1","months_since_cert_n >=  10.00 & shelter_expenses_by_hh_size >= 645.00 & unc_rawben_rel_max >=   1.88",309,0.1683,0.1246
"1","shelter_expenses_by_hh_size >= 267.00 & unc_rawben_rel_max >=   1.76",2413,0.0758,0.0642
"1","months_since_cert_n <  12.00 & shelter_expenses_by_hh_size >= 267.00 & unc_rawben_rel_max >=   1.76",2136,0.0623,0.0512
"1","months_since_cert_n >=  12.00 & shelter_expenses_by_hh_size >= 267.00 & unc_rawben_rel_max >=   1.76",277,0.1805,0.133
"1","months_since_cert_n <  12.00 & shelter_expenses_by_hh_size >= 267.00 & unc_rawben_rel_max >=   1.76 & utilities < 586.00",1247,0.0802,0.0641
"1","months_since_cert_n >=  12.00 & months_since_cert_n <  18.00 & shelter_expenses_by_hh_size >= 267.00 & unc_rawben_rel_max >=   1.76",118,0.1441,0.0845
"1","months_since_cert_n >=   6.000 & shelter_expenses_by_hh_size < 528.000 & unc_rawben_rel_max >=   0.883 & utilities >=  27.000",554,0.0758,0.0536
"1","months_since_cert_n >=   3.00 & total_deductions_by_hh_size >= 171.00 & unc_rawben_rel_max >=   1.27",3728,0.0539,0.0459
"1","count_divisible_by_100 >=   1.0 & medical_deductions < 172.0 & months_since_cert_n >=   8.0 & unc_rawben_rel_max >=   1.2",156,0.0513,0.0232
"1","rawben_rel_max >=    0.285 & rawben_rel_max <    0.496 & shelter_expenses_by_hh_size >= 1420.000 & utilities >=  435.000",133,0.0602,0.0273
"1","total_deductions_by_hh_size < 562.00 & unc_rawben_rel_max >=   1.63 & utilities < 646.00",585,0.0598,0.0408
"1","shelter_expenses_by_hh_size >= 1760 & total_deductions_by_hh_size >=  562 & utilities <  646",240,0.0667,0.038
"1","total_deductions_by_hh_size < 562.00 & unc_rawben_rel_max >=   1.63 & utilities < 374.00",193,0.1192,0.0751
"1","rawben_rel_max >=   0.384 & shelter_expenses_by_hh_size >=  44.000 & total_deductions_by_hh_size < 383.000 & unc_rawben_rel_max >=   1.380",386,0.0648,0.0412
"1","shelter_expenses_by_hh_size >= 400.000 & total_deductions_by_hh_size < 353.000 & unc_rawben_rel_max >=   0.762",236,0.0551,0.0295
"1","shelter_expenses_by_hh_size < 1180.00 & unc_rawben_rel_max >=    2.49 & utilities >=  620.00",11,0.6364,0.3116
"1","shelter_expenses_by_hh_size >= 1180.00 & unc_rawben_rel_max >=    2.49 & utilities >=  620.00 & utilities <  784.00",25,0.36,0.1809
"1","months_since_cert_n >=   9 & total_deductions_by_hh_size >= 650 & utilities < 517",754,0.0504,0.0349
"1","shelter_expenses_by_hh_size < 987 & total_deductions_by_hh_size >= 683 & total_deductions_by_hh_size < 797",566,0.0548,0.0364
"1","shelter_expenses_by_hh_size >= 909 & shelter_expenses_by_hh_size < 987 & total_deductions_by_hh_size >= 797",160,0.075,0.0393
"1","shelter_expenses_by_hh_size < 987 & total_deductions_by_hh_size >= 683 & total_deductions_by_hh_size < 797 & utilities < 450",250,0.064,0.0364
"1","shelter_expenses_by_hh_size < 302.00 & unc_rawben_rel_max >=   1.26",560,0.0536,0.0354
"1","elderly_disabled_i >=   1.00 & shelter_expenses_by_hh_size < 302.00 & unc_rawben_rel_max >=   1.26",67,0.3582,0.2373
"1","shelter_expenses_by_hh_size >=  302.00 & shelter_expenses_by_hh_size < 1080.00 & total_deductions_by_hh_size >=  496.00 & unc_rawben_rel_max >=    1.26",2380,0.0542,0.0444
"1","months_since_cert_n >=    6 & months_since_cert_n <    9 & shelter_expenses_by_hh_size < 1600 & total_deductions_by_hh_size >=  921",287,0.0627,0.0369
"1","medical_deductions <   30.000 & shelter_expenses_by_hh_size >= 1880.000 & total_deductions_by_hh_size >= 1520.000 & unc_rawben_rel_max >=    0.556",93,0.0538,0.02
"1","medical_deductions >=  30.000 & rawben_rel_max >=   0.496 & total_deductions_by_hh_size >= 476.000 & utilities < 550.000",469,0.0597,0.0389
"1","shelter_expenses_by_hh_size < 1170.00 & unc_rawben_rel_max >=    1.93 & utilities >=  374.00",276,0.2174,0.1654
"1","shelter_expenses_by_hh_size < 1170.00 & total_deductions_by_hh_size <  810.00 & unc_rawben_rel_max >=    1.93 & utilities >=  374.00",84,0.2976,0.1967
"1","shelter_expenses_by_hh_size < 1170.00 & total_deductions_by_hh_size >=  810.00 & unc_rawben_rel_max >=    1.93 & utilities >=  374.00",192,0.1823,0.1265
"1","rawben_rel_max >=    0.968 & total_deductions_by_hh_size >= 1520.000 & unc_rawben_rel_max >=    0.488",212,0.0991,0.0609
"1","months_since_cert_n >=  24.000 & rawben_rel_max >=   0.345 & shelter_expenses_by_hh_size >=  55.000 & utilities < 435.000",404,0.0545,0.0336
"1","shelter_expenses_by_hh_size < 1220.00 & unc_rawben_rel_max >=    1.33",3757,0.0524,0.0446
"1","expedited_i <   1.00 & shelter_expenses_by_hh_size < 841.00 & unc_rawben_rel_max >=   1.33",1671,0.0652,0.0525
"1","shelter_expenses_by_hh_size >=  841.00 & shelter_expenses_by_hh_size < 1220.00 & unc_rawben_rel_max >=    2.49",32,0.4688,0.2834
"1","months_since_cert_n <    5.00 & rawben_rel_max >=    1.00 & shelter_expenses_by_hh_size >= 1220.00 & unc_rawben_rel_max >=    1.93",85,0.1647,0.0918
"1","months_since_cert_n >=    5 & rawben_rel_max >=    1 & shelter_expenses_by_hh_size >= 1220 & total_deductions_by_hh_size >= 1730",63,0.1111,0.0483
