"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Louisiana","earned_income","2-3","cat_elig >   1.5 & elderly_disabled_i <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 849.0","cat_elig >   1.35 & elderly_disabled_i <=   0.45 & months_since_cert_n >   7.65 & shelter_expenses_by_hh_size > 764.10",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Louisiana","earned_income","1","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0",TRUE,FALSE,2,1,0.5,113,0,NA,0,NA
"Louisiana","earned_income","1","months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.88 & utilities > 448.00 & utilities <= 466.00","months_since_cert_n >   3.150 & unc_rawben_rel_max >   1.692 & utilities > 403.200 & utilities <= 419.400",FALSE,FALSE,3,1,0.333,238,8,0.125,0,NA
"Louisiana","earned_income","2-3","HH_size_n >   2.50 & months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.34 & utilities <= 318.00","HH_size_n >   2.50 & months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.34 & utilities <= 318.00",TRUE,FALSE,1,0,0,0,0,NA,0,NA
"Louisiana","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.6974 & unc_rawben_rel_max <= 0.7051",FALSE,FALSE,1,1,1,95,1,0,0,NA
"Louisiana","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,FALSE,4,1,0.25,195,4,0.25,0,NA
"Louisiana","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,FALSE,4,1,0.25,195,4,0.25,0,NA
"Louisiana","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 147.400 & unc_rawben_rel_max >   1.251 & utilities <= 730.500",FALSE,FALSE,3,1,0.333,195,4,0.25,0,NA
"Louisiana","earned_income","2-3","medical_deductions <= 117.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 343.0 & total_deductions_by_hh_size > 468.0","medical_deductions <= 117.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 343.0 & total_deductions_by_hh_size > 468.0",TRUE,FALSE,1,0,0,0,0,NA,0,NA
"Louisiana","earned_income","1","months_since_cert_n >    4.50 & percent_abawd >    0.75 & shelter_expenses_by_hh_size >  948.00 & total_deductions_by_hh_size > 1010.00","months_since_cert_n >    4.50 & percent_abawd >    0.75 & shelter_expenses_by_hh_size >  948.00 & total_deductions_by_hh_size > 1010.00",TRUE,FALSE,1,0,0,0,0,NA,0,NA
"Louisiana","earned_income","2-3","total_deductions_by_hh_size > 442.000 & unc_rawben_rel_max >   0.461 & unc_rawben_rel_max <=   0.778 & utilities <= 366.000","total_deductions_by_hh_size > 442.0000 & unc_rawben_rel_max >   0.4149 & unc_rawben_rel_max <=   0.7002 & utilities <= 402.6000",FALSE,FALSE,2,1,0.5,66,0,NA,0,NA
"Louisiana","earned_income","4+","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5",TRUE,FALSE,1,1,1,298,0,NA,0,NA
"Louisiana","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.251",FALSE,FALSE,4,1,0.25,195,4,0.25,0,NA
"Louisiana","earned_income","1","medical_deductions <= 100.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","medical_deductions <=  90.00 & months_since_cert_n >   6.05 & unc_rawben_rel_max >   1.82 & utilities <= 277.20",FALSE,FALSE,1,1,1,97,0,NA,0,NA
"Louisiana","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   6.05 & unc_rawben_rel_max >   1.82 & utilities <= 231.00",FALSE,FALSE,1,1,1,97,0,NA,0,NA
"Louisiana","earned_income","1","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0","months_since_cert_n >   3.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 949.0",TRUE,FALSE,2,1,0.5,113,0,NA,0,NA
"Louisiana","earned_income","2-3","cat_elig >    1.5 & count_divisible_by_100 <=    0.5 & HH_size_n <=    2.5 & shelter_expenses_by_hh_size > 1340.0","cat_elig >    1.35 & count_divisible_by_100 <=    0.45 & HH_size_n <=    2.25 & shelter_expenses_by_hh_size > 1206.00",FALSE,FALSE,1,0,0,0,0,NA,0,NA
"Louisiana","earned_income","2-3","months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 295.0 & total_deductions_by_hh_size > 442.0","months_since_cert_n >   2.625 & shelter_expenses_by_hh_size <= 221.200 & total_deductions_by_hh_size > 331.500",FALSE,FALSE,1,0,0,0,0,NA,0,NA
