"target","rep","arm","variant","budget","n_admitted","n_scanned","base_rate","n_deployed","workload","precision","dollar_recall","n_core","n_buffer","slack"
"Arizona",2,"selfscored","common",0.05,36511,20000,0.112,16,0.0497,0.2558,0.1695,28,34,0
"Arizona",2,"selfscored","common",0.1,36511,20000,0.112,31,0.0993,0.2558,0.2857,52,88,0
"Arizona",2,"outoffold","own",0.05,36511,20000,0.112,18,0.0497,0.2558,0.1591,24,22,0
"Arizona",2,"outoffold","own",0.1,36511,20000,0.112,24,0.0993,0.2558,0.2576,33,88,0
"Arizona",2,"selfscored","own",0.05,41821,20000,0.112,16,0.0497,0.2791,0.1752,30,55,0
"Arizona",2,"selfscored","own",0.1,41821,20000,0.112,29,0.0993,0.2442,0.2455,55,111,0
"Arizona",3,"outoffold","common",0.05,38402,20000,0.112,14,0.0497,0.2791,0.1626,20,44,0
"Arizona",3,"outoffold","common",0.1,38402,20000,0.112,28,0.0993,0.2791,0.2998,47,77,0
"Arizona",3,"selfscored","common",0.05,38402,20000,0.112,24,0.0497,0.3023,0.1275,36,43,0
"Arizona",3,"selfscored","common",0.1,38402,20000,0.112,46,0.0993,0.3023,0.3145,59,97,0
"Arizona",3,"outoffold","own",0.05,38402,20000,0.112,14,0.0497,0.2791,0.1626,20,44,0
"Arizona",3,"outoffold","own",0.1,38402,20000,0.112,28,0.0993,0.2791,0.2998,47,77,0
"Arizona",3,"selfscored","own",0.05,40777,20000,0.112,25,0.0497,0.3256,0.1342,39,56,0
"Arizona",3,"selfscored","own",0.1,40777,20000,0.112,47,0.0993,0.314,0.3725,68,107,0
"Arizona",4,"outoffold","common",0.05,37609,20000,0.112,15,0.0497,0.2791,0.169,23,42,0
"Arizona",4,"outoffold","common",0.1,37609,20000,0.112,30,0.0993,0.2442,0.2562,37,109,0
"Arizona",4,"selfscored","common",0.05,37609,20000,0.112,16,0.0497,0.3023,0.1937,25,44,0
"Arizona",4,"selfscored","common",0.1,37609,20000,0.112,35,0.0993,0.314,0.3803,45,113,0
"Arizona",4,"outoffold","own",0.05,37609,20000,0.112,15,0.0497,0.2791,0.169,23,42,0
"Arizona",4,"outoffold","own",0.1,37609,20000,0.112,30,0.0993,0.2442,0.2562,37,109,0
"Arizona",4,"selfscored","own",0.05,41674,20000,0.112,19,0.0497,0.3256,0.2379,28,51,0
"Arizona",4,"selfscored","own",0.1,41674,20000,0.112,38,0.0993,0.314,0.3687,53,122,0
"Arizona",5,"outoffold","common",0.05,37278,20000,0.112,21,0.0497,0.3256,0.187,21,36,0
"Arizona",5,"outoffold","common",0.1,37278,20000,0.112,27,0.0993,0.2326,0.2305,34,101,0
"Arizona",5,"selfscored","common",0.05,37278,20000,0.112,18,0.0497,0.3256,0.2139,29,34,0
"Arizona",5,"selfscored","common",0.1,37278,20000,0.112,31,0.0993,0.3023,0.3083,50,89,0
