"instrument","form","budget","scope","n_instances","capacity","prec_t1","prec_t2","prec_t3","gap","perm_mean","perm_sd","perm_p95","share_null_ge_obs"
"i1_fresh_overlap","min",5,"all_capacity",735,1560,0.24455205811138,0.293423271500843,0.332129963898917,0.0875779057875368,0.0232361510560535,0.0249092415169842,0.0655979172322838,0.005
"i1_fresh_overlap","swm",5,"all_capacity",735,1560,0.24455205811138,0.293423271500843,0.332129963898917,0.0875779057875368,0.0232361510560535,0.0249092415169842,0.0655979172322838,0.005
"i1_fresh_overlap","min",5,"f_lt_099",365,855,0.220238095238095,0.257918552036199,0.300429184549356,0.080191089311261,-5.73551278248489e-05,0.0380854937221418,0.0674621642856291,0.01
"i1_fresh_overlap","swm",5,"f_lt_099",365,855,0.220238095238095,0.257918552036199,0.300429184549356,0.080191089311261,-5.73551278248489e-05,0.0380854937221418,0.0674621642856291,0.01
"i1_fresh_overlap","min",10,"all_capacity",1366,3555,0.220048899755501,0.25326695706285,0.301769911504425,0.0817210117489236,0.0137574538520855,0.0177776941658085,0.0427779585784134,0
"i1_fresh_overlap","swm",10,"all_capacity",1366,3555,0.220048899755501,0.25326695706285,0.301769911504425,0.0817210117489236,0.0137574538520855,0.0177776941658085,0.0427779585784134,0
"i1_fresh_overlap","min",10,"f_lt_099",827,2438,0.214117647058824,0.23206106870229,0.260677466863034,0.0465598198042104,0.0076292916842492,0.0242711875511259,0.0438348595978344,0.045
"i1_fresh_overlap","swm",10,"f_lt_099",827,2438,0.214117647058824,0.23206106870229,0.260677466863034,0.0465598198042104,0.0076292916842492,0.0242711875511259,0.0438348595978344,0.045
"i2_spectral","min",5,"all_capacity",735,1560,0.234762979683973,0.299645390070922,0.336347197106691,0.101584217422718,0.0354224332176601,0.0226281746492808,0.0711915583482815,0
"i2_spectral","min",5,"f_lt_099",365,855,0.245192307692308,0.249122807017544,0.30939226519337,0.0641999575010625,0.0444679241839705,0.0303990054203893,0.095075055224277,0.245
"i2_spectral","min",10,"all_capacity",1366,3555,0.23890462700661,0.230639730639731,0.306574923547401,0.0676702965407906,0.0525950789189505,0.0157430128777658,0.0796594119807729,0.175
"i2_spectral","min",10,"f_lt_099",827,2438,0.243722304283604,0.208053691275168,0.272637795275591,0.0289154909919864,0.0463574847324604,0.0180855361831489,0.076333628393445,0.835
"i2_spectral","swm",5,"all_capacity",735,1560,0.280487804878049,0.270992366412214,0.329044117647059,0.04855631276901,0.0147220154955696,0.0203112865310992,0.048770079347369,0.055
"i2_spectral","swm",5,"f_lt_099",365,855,0.274261603375527,0.268382352941176,0.277456647398844,0.0031950440233165,0.0115866859894323,0.0316590822464259,0.0629643379638671,0.615
"i2_spectral","swm",10,"all_capacity",1366,3555,0.265811182401467,0.240822320117474,0.281306715063521,0.0154955326620543,0.00553478764560007,0.0145482593836355,0.0284218660567372,0.26
"i2_spectral","swm",10,"f_lt_099",827,2438,0.251748251748252,0.243023255813953,0.241019698725377,-0.0107285530228752,0.00424463455502239,0.0198676317314855,0.0358578264321861,0.75
"i3_nb_hellinger","min",5,"all_capacity",735,1560,0.242424242424242,0.309941520467836,0.321367521367521,0.078943278943279,0.0540298535621534,0.0212302252862526,0.081622603203217,0.105
"i3_nb_hellinger","min",5,"f_lt_099",365,855,0.237885462555066,0.234657039711191,0.327635327635328,0.0897498650802616,0.0603097952533829,0.0342247495059605,0.114124071460221,0.185
"i3_nb_hellinger","min",10,"all_capacity",1366,3555,0.222748815165877,0.248847926267281,0.298939929328622,0.0761911141627451,0.0584509396058825,0.01627920965304,0.0852153085599183,0.14
"i3_nb_hellinger","min",10,"f_lt_099",827,2438,0.205651491365777,0.251351351351351,0.263901979264844,0.0582504878990674,0.0527786528420242,0.0210289899877806,0.0862715668741539,0.405
"i3_nb_hellinger","swm",5,"all_capacity",735,1560,0.241685144124169,0.313653136531365,0.317460317460317,0.0757751733361489,0.029764779521063,0.023480736722713,0.0651776634897896,0.02
"i3_nb_hellinger","swm",5,"f_lt_099",365,855,0.259414225941423,0.24,0.306010928961749,0.046596703020326,0.0201300793805304,0.0311563793649369,0.0689359901039174,0.24
"i3_nb_hellinger","swm",10,"all_capacity",1366,3555,0.228492136910268,0.264895330112721,0.285714285714286,0.0572221488040174,0.0195712422605169,0.0166456636049444,0.0453852151458189,0.01
"i3_nb_hellinger","swm",10,"f_lt_099",827,2438,0.229555236728838,0.248711340206186,0.252849740932643,0.0232945042038046,0.0124486270462566,0.0218269556149618,0.0475302321232865,0.32
"i4_profile_tv","min",5,"all_capacity",667,1444,0.23695652173913,0.297741273100616,0.3420523138833,0.105095792144169,0.0427478867118678,0.0256831436794328,0.0853296718145565,0.01
"i4_profile_tv","min",5,"f_lt_099",353,826,0.257028112449799,0.223826714801444,0.333333333333333,0.0763052208835341,0.0487811985586548,0.0362173144251175,0.105874445065997,0.23
"i4_profile_tv","min",10,"all_capacity",1257,3326,0.213574660633484,0.258355916892502,0.306104129263914,0.0925294686304297,0.0520506685458379,0.0179893872955723,0.0812809864688806,0.01
"i4_profile_tv","min",10,"f_lt_099",801,2363,0.202049780380674,0.260355029585799,0.268263473053892,0.0662136926732187,0.0436685557741169,0.0218644923570049,0.0831447918883952,0.16
"i4_profile_tv","swm",5,"all_capacity",667,1444,0.284164859002169,0.277665995975855,0.318930041152263,0.0347651821500942,0.00153717996875127,0.0227767987874444,0.0399828696858461,0.075
"i4_profile_tv","swm",5,"f_lt_099",353,826,0.313207547169811,0.237903225806452,0.268370607028754,-0.0448369401410573,-0.0106885970399513,0.031396244822939,0.0398265094001701,0.91
"i4_profile_tv","swm",10,"all_capacity",1257,3326,0.267736486486487,0.229186155285313,0.280521901211556,0.0127854147250699,0.00526644718218253,0.0156694953391791,0.0328969907947449,0.315
"i4_profile_tv","swm",10,"f_lt_099",801,2363,0.258191349934469,0.258454106280193,0.221502590673575,-0.036688759260894,-0.00434483703572515,0.0193508562432332,0.0280891789183547,0.945
"i5_signature","min",5,"all_capacity",735,1560,0.24950495049505,0.296610169491525,0.331046312178388,0.0815413616833381,0.0314925572040777,0.0240102714866722,0.0685955946881071,0.02
"i5_signature","min",5,"f_lt_099",365,855,0.25,0.249134948096886,0.313664596273292,0.0636645962732919,0.0372396988135487,0.0406512561702231,0.101232196777268,0.265
"i5_signature","min",10,"all_capacity",1366,3555,0.235132662397072,0.25355871886121,0.288490284005979,0.0533576216089068,0.0390332896657088,0.0156526546810265,0.0630011801143815,0.175
"i5_signature","min",10,"f_lt_099",827,2438,0.234493192133132,0.245006657789614,0.251461988304094,0.0169687961709619,0.0305053686338808,0.0210146371109568,0.0624114926205108,0.765
"i5_signature","swm",5,"all_capacity",735,1560,0.271428571428571,0.296812749003984,0.311619718309859,0.0401911468812877,0.0150556907845627,0.0263164959649256,0.0596438412021618,0.19
"i5_signature","swm",5,"f_lt_099",365,855,0.269961977186312,0.217712177121771,0.32398753894081,0.0540255617544982,0.0099117396719215,0.0372445548380104,0.0650817462677217,0.15
"i5_signature","swm",10,"all_capacity",1366,3555,0.266478342749529,0.251035625517813,0.265940902021773,-0.000537440727756244,0.00674534324314752,0.0169590042609978,0.0358561471292247,0.68
"i5_signature","swm",10,"f_lt_099",827,2438,0.261735419630156,0.241333333333333,0.235532994923858,-0.0262024247062986,0.00439057141369256,0.0225499191004989,0.0433293065954634,0.905
"i6_consensus","min",5,"all_capacity",735,1560,0.219148936170213,0.328214971209213,0.325131810193322,0.105982874023109,0.0509595865596904,0.0226143559472347,0.0866884565953845,0
"i6_consensus","min",5,"f_lt_099",365,855,0.227848101265823,0.249110320284698,0.326409495548961,0.0985613942831386,0.0594407591663282,0.0331609342819579,0.111771350912831,0.125
"i6_consensus","min",10,"all_capacity",1366,3555,0.213503649635036,0.25,0.310266159695818,0.096762510060781,0.0605351725250561,0.0170707205549815,0.0903495196370559,0.03
"i6_consensus","min",10,"f_lt_099",827,2438,0.20919175911252,0.237684729064039,0.273366834170854,0.0641750750583345,0.0511144237470861,0.0192458212977778,0.0811964070806075,0.305
