"instrument","form","budget","scope","n_instances","capacity","prec_t1","prec_t2","prec_t3","gap","perm_mean","perm_sd","perm_p95","share_null_ge_obs"
"i6_consensus","swm",5,"all_capacity",735,1560,0.256900212314225,0.296028880866426,0.325233644859813,0.068333432545588,0.0205312653626104,0.021629381224676,0.0565155468600009,0.01
"i6_consensus","swm",5,"f_lt_099",365,855,0.26,0.258181818181818,0.296969696969697,0.036969696969697,0.00987070286012746,0.0311676743928175,0.0571541164414186,0.185
"i6_consensus","swm",10,"all_capacity",1366,3555,0.248305084745763,0.255230125523013,0.279661016949153,0.0313559322033898,0.0170115626229166,0.0154681498253342,0.0397864834027757,0.19
"i6_consensus","swm",10,"f_lt_099",827,2438,0.246153846153846,0.245443499392467,0.243333333333333,-0.00282051282051282,0.00842272270245332,0.0206286641075011,0.0424391514740743,0.685
"sec_profile_tv_nature","min",5,"all_capacity",667,1444,0.239179954441913,0.277327935222672,0.356164383561644,0.11698442911973,0.0407555569755828,0.0237172026558252,0.0787061435121832,0
"sec_profile_tv_nature","min",5,"f_lt_099",353,826,0.235772357723577,0.238461538461538,0.33125,0.0954776422764227,0.0574743766885729,0.0372495798016655,0.11236807446304,0.175
"sec_profile_tv_nature","min",10,"all_capacity",1257,3326,0.210526315789474,0.253899480069324,0.31055900621118,0.100032690421706,0.0520557529254984,0.016579707969596,0.0799353096543068,0
"sec_profile_tv_nature","min",10,"f_lt_099",801,2363,0.189759036144578,0.256892230576441,0.27857935627081,0.0888203201262319,0.0447562558411812,0.0215322553181503,0.077555382324614,0.01
"sec_profile_tv_nature","swm",5,"all_capacity",667,1444,0.284810126582278,0.239583333333333,0.355102040816327,0.070291914234048,0.0224615950127542,0.0246582969725865,0.0630998430003531,0.025
"sec_profile_tv_nature","swm",5,"f_lt_099",353,826,0.280632411067194,0.224719101123595,0.310457516339869,0.0298251052726756,0.0222286032254427,0.0343256710720451,0.0827319927281995,0.35
"sec_profile_tv_nature","swm",10,"all_capacity",1257,3326,0.247431506849315,0.224183583406884,0.31219512195122,0.0647636151019045,0.01163581350881,0.0164804799782037,0.0387683267124217,0
"sec_profile_tv_nature","swm",10,"f_lt_099",801,2363,0.248256624825662,0.223170731707317,0.267554479418886,0.0192978545932237,0.0025575437926293,0.0197967752626795,0.0370229465425783,0.22
"sec_profile_tv_timing","min",5,"all_capacity",667,1444,0.224056603773585,0.295081967213115,0.347744360902256,0.123687757128671,0.0430234908415563,0.0235989778475654,0.082807802905165,0
"sec_profile_tv_timing","min",5,"f_lt_099",353,826,0.208144796380091,0.24187725631769,0.344512195121951,0.136367398741861,0.0565594738734854,0.0376952117706745,0.11499150718862,0.015
"sec_profile_tv_timing","min",10,"all_capacity",1257,3326,0.224202626641651,0.23015873015873,0.322380106571936,0.098177479930285,0.0571995813401039,0.0175286139268092,0.0855546284121563,0.02
"sec_profile_tv_timing","min",10,"f_lt_099",801,2363,0.219298245614035,0.241618497109827,0.273955773955774,0.0546575283417389,0.0485643588849129,0.0214632769087611,0.086887267357456,0.38
"sec_profile_tv_timing","swm",5,"all_capacity",667,1444,0.258426966292135,0.276073619631902,0.341176470588235,0.0827495042961005,0.0165741828691237,0.0236289573929247,0.0568595877518523,0
"sec_profile_tv_timing","swm",5,"f_lt_099",353,826,0.25,0.266666666666667,0.298701298701299,0.0487012987012987,0.0110051668048245,0.0333960799950662,0.0690463345599086,0.15
"sec_profile_tv_timing","swm",10,"all_capacity",1257,3326,0.244384546271339,0.236577181208054,0.302644466209598,0.0582599199382597,0.00659123179013379,0.0189976583238578,0.03672653089089,0
"sec_profile_tv_timing","swm",10,"f_lt_099",801,2363,0.234042553191489,0.249720044792833,0.254874651810585,0.0208320986190956,-0.00161403230797048,0.0227533039390458,0.0384812418571165,0.16
"sec_profile_tv_cause","min",5,"all_capacity",667,1444,0.259340659340659,0.283613445378151,0.333333333333333,0.073992673992674,0.0390754485005327,0.0240088539534799,0.0774775170783666,0.065
"sec_profile_tv_cause","min",5,"f_lt_099",353,826,0.275720164609054,0.22962962962963,0.309904153354633,0.034183988745579,0.0390647585031253,0.0362414148236412,0.0980868918931058,0.54
"sec_profile_tv_cause","min",10,"all_capacity",1257,3326,0.23048668503214,0.235597592433362,0.314711359404097,0.0842246743719573,0.0567581856595359,0.0175219039544629,0.0838798123096491,0.045
"sec_profile_tv_cause","min",10,"f_lt_099",801,2363,0.225531914893617,0.218434343434343,0.288683602771363,0.0631516878777456,0.0478230760046661,0.022053576068214,0.0785985635992014,0.26
"sec_profile_tv_cause","swm",5,"all_capacity",667,1444,0.283057851239669,0.247747747747748,0.343023255813953,0.0599654045742841,0.00957365753146045,0.0270132754561976,0.05207522802446,0.025
"sec_profile_tv_cause","swm",5,"f_lt_099",353,826,0.319066147859922,0.203187250996016,0.292452830188679,-0.0266133176712429,-0.0108021031225336,0.0365093003026207,0.0441069841031673,0.665
"sec_profile_tv_cause","swm",10,"all_capacity",1257,3326,0.252282157676349,0.24236641221374,0.284249767008388,0.0319676093320392,0.00321716854391007,0.0167118539920331,0.032732113915922,0.06
"sec_profile_tv_cause","swm",10,"f_lt_099",801,2363,0.260471204188482,0.231738035264484,0.247204968944099,-0.0132662352443823,-0.0066892403515916,0.0210521760685857,0.0272519534704847,0.615
