"state","budget","hh","rank","rule_id","rule","n_new","k_new","own_n_flagged","f","pred_n","dpred_i1_fresh_overlap","dpred_min_i2_spectral","dpred_swm_i2_spectral","dpred_min_i3_nb_hellinger","dpred_swm_i3_nb_hellinger","dpred_min_i4_profile_tv","dpred_swm_i4_profile_tv","dpred_min_i5_signature","dpred_swm_i5_signature","dpred_min_i6_consensus","dpred_swm_i6_consensus","dpred_min_sec_profile_tv_nature","dpred_swm_sec_profile_tv_nature","dpred_min_sec_profile_tv_timing","dpred_swm_sec_profile_tv_timing","dpred_min_sec_profile_tv_cause","dpred_swm_sec_profile_tv_cause"
"Alabama",5,"1",1,129,"total_deductions_by_hh_size > 336.000 & unc_rawben_rel_max >   0.891 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500",2,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",5,"1",2,107,"rawben_rel_max >   0.751 & rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 832.000 & utilities <=  29.500",3,2,4,0.75,1,0.75,0.00867618625741169,0.00867618625741169,0.0711428518153715,0.0711428518153715,0.153809523809524,0.153809523809524,0.857142857142857,0.857142857142857,0.190546102041443,0.190546102041443,0.0928571428571429,0.0928571428571429,0.101428571428571,0.101428571428571,0.0628571428571429,0.0628571428571429
"Alabama",5,"1",10,85,"rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1180.000 & unc_rawben_rel_max >=    0.986 & utilities <  645.000",4,3,4,1,2,1,0.0233958626045759,0.024248060420588,0.148727132785012,0.168394374277409,0.294545454545455,0.304272758871299,0.4,0.544038929440389,0.503024925956966,0.536034713213424,0.104242424242424,0.121358738585016,0.117575757575758,0.170397826018264,0.105627705627706,0.134532815116757
"Alabama",5,"1",13,125,"shelter_expenses_by_hh_size > 878.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=  29.500",1,0,5,0.2,3,0.2,0.0149432126383931,0.0244126543238425,0.0924717312457062,0.131498656523276,0.0290909090909091,0.16484596309839,0.4,0.481553398058253,0.0882102409184547,0.32529126446643,0.0703463203463203,0.103804900601017,0.0824242424242424,0.122443996133317,0.0454545454545455,0.0978817299205649
"Alabama",5,"1",19,111,"rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000",3,1,8,0.375,4,0.375,0.0119104171643349,0.0257607139776239,0.0820558659723516,0.125015760932531,0.0750394944707741,0.196184293345957,0.4,0.684185773074662,0.209945535787753,0.320382068226051,0.0771270593545475,0.114461786044198,0.0122590837282781,0.0839999116012807,0.0403972015346423,0.0768939273625951
"Alabama",5,"1",20,88,"rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 831.000 & unc_rawben_rel_max >=   0.270 & utilities < 277.000",4,1,12,0.333333333333333,5,0.333333333333333,0.00500034463096369,0.0152784203179834,0.0512496002795779,0.0837533970698209,0.0383507203179334,0.139606173687992,0,0.51632110579479,0.0334627987560438,0.210416295659457,0.0492839199233419,0.0756310721978209,0.0259757076632222,0.0566996183606724,0.0191753601589668,0.075405713110817
"Alabama",5,"1",23,26,"elderly_disabled_i >   0.500 & rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 676.000 & unc_rawben_rel_max >   1.790",4,1,4,1,6,1,0.176717079207742,0.188337705536877,0.222947061249581,0.237465644121182,0.60177263494799,0.640210389008638,0.857142857142857,0.857142857142857,0.865174494872128,0.884008441431734,0.270757678340617,0.307553773228085,0.327272727272727,0.398689154132324,0.171428571428571,0.264723662121142
"Alabama",5,"1",30,8,"cat_elig >=    1.00 & shelter_expenses_by_hh_size < 1720.00 & unc_rawben_rel_max >=    2.49 & utilities <  875.00",2,1,2,1,7,1,0.0601064057706477,0.138531552198558,0.101468395865306,0.213592450229163,0.141298701298701,0.532333722153438,0.666666666666667,0.736943164362519,0.480154218243914,0.807040996213013,0.184415584415584,0.395054717412962,0.159393939393939,0.22269315928219,0.0351515151515152,0.113099618041188
"Alabama",5,"1",35,89,"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 220.000 & unc_rawben_rel_max >=   0.986 & utilities < 688.000",6,1,10,0.6,8,0.6,0.0268970191304802,0.0620371280223454,0.080665205468681,0.175363259110795,0.0888888888888889,0.361126172665194,0.4,0.5148070907195,0.177054887953345,0.58190049001162,0.032280701754386,0.151680845787131,0.0473102186746487,0.135825362895568,0.0263157894736842,0.0844678491612004
"Alabama",5,"1",54,27,"elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000",1,0,11,0.0909090909090909,9,0.0909090909090909,0.0406646705943131,0.0642191971230535,0.0925828134363655,0.148482718535265,0.110983802926931,0.270555649269025,0.4,0.599532491818607,0.265840984115435,0.470242166183696,0.0373244449073833,0.123207533365752,0.0246753246753247,0.105414731919526,0.007864173740951,0.0701741799097992
"Alabama",5,"1",56,70,"months_since_cert_n >   2.50 & unc_rawben_rel_max >   1.93 & utilities >  14.00 & utilities <= 680.00",1,0,2,0.5,10,0.5,0.0104491157535404,0.174588939787078,0.0742241590799984,0.201718206327852,0.102629078238834,0.617889651071536,0.666666666666667,0.713962113857566,0.224010303076654,0.782982238917852,0.101219512195122,0.35062506905661,0.0509977827050998,0.316843315831841,0.0706208425720621,0.148918108348705
