"instrument","scope","n_pairs","spearman_raw","spearman_partial","perm_raw_mean","perm_raw_p95","perm_partial_mean","perm_partial_p95","share_null_ge_obs_partial"
"i1_fresh_overlap","all_pairs",6780,0.906785095060115,0.877569515280776,0.0358729510594759,0.0670357991369051,0.00964940134850271,0.0404771549787756,0
"i1_fresh_overlap","both_ge50_errcases",2764,0.954602204053422,0.940779572262523,0.0375770228323185,0.0899331800192473,-0.00907053815081687,0.0356948124873152,0
"i2_spectral","all_pairs",6780,0.44758298710096,0.360362469704393,0.0897271963126116,0.118031813419334,-0.00462298235569907,0.0243282347810069,0
"i2_spectral","both_ge50_errcases",2764,0.41834524459298,0.300988192328787,0.0277660828060698,0.0685341463294453,-0.0345859819796168,0.00250018991215,0
"i3_nb_hellinger","all_pairs",6780,0.706383362795839,0.652255911729563,0.0498961652622073,0.0863065061382239,-0.00677484044315914,0.0217496805660835,0
"i3_nb_hellinger","both_ge50_errcases",2764,0.796390550673665,0.736829911980822,0.0102814959004926,0.0613427485218855,-0.017961614606968,0.0209022447029201,0
"i4_profile_tv","all_pairs",5835,0.65447291366896,0.545664714805286,0.0839674956811495,0.116133078043737,0.0200059851585345,0.0513785975323107,0
"i4_profile_tv","both_ge50_errcases",2764,0.691638099096083,0.55695137449597,0.0757621584867864,0.125625877555715,-0.0302236996730715,0.0152023757590593,0
"i5_signature","all_pairs",6780,0.422984673727245,0.412483209977874,0.00209119801270451,0.0326883120222519,-0.00481780370033352,0.0247928041611952,0
"i5_signature","both_ge50_errcases",2764,0.417310006236408,0.484934450466766,-0.00945475001739839,0.0438470491499625,-0.0013262497076147,0.0401966296992147,0
"i6_consensus","all_pairs",6780,0.767865090748654,0.699532355116476,0.0776352489461352,0.105215035814039,0.00368808022230947,0.0291804847644115,0
"i6_consensus","both_ge50_errcases",2764,0.825064508727872,0.761740034506496,0.0423839002720008,0.0865867982120393,-0.0276369462315291,0.00986174606455237,0
"sec_profile_tv_nature","all_pairs",5835,0.714494775871341,0.627934395618496,0.0582859552692779,0.106409576733866,0.0110230756177118,0.0461903799365284,0
"sec_profile_tv_nature","both_ge50_errcases",2764,0.779407001479382,0.691747506669701,0.050708788530247,0.119115519368695,-0.0211963811109156,0.033093002055296,0
"sec_profile_tv_timing","all_pairs",5835,0.558198338902982,0.470492116739333,0.0175611973368414,0.0572921475655639,0.0136363131728399,0.0442640974104741,0
"sec_profile_tv_timing","both_ge50_errcases",2764,0.640582872927577,0.514537192162404,0.0406415230791721,0.101724525299548,-0.00596216733603693,0.042824353157241,0
"sec_profile_tv_cause","all_pairs",5835,0.472732075118495,0.348103312922749,0.0440999351514359,0.0833959764930979,0.0206874418086231,0.051609756828054,0
"sec_profile_tv_cause","both_ge50_errcases",2764,0.551709354478063,0.400524707891759,0.0651901523997057,0.119521443229353,-0.0144089179272566,0.0290595600432288,0
