"hh","id_i","id_j","n_lists_codeployed","n_catch_i","n_catch_j","catch_inter","complementarity","n_flag_tr_i","n_flag_tr_j","n_errcase_tr_i","n_errcase_tr_j","d_i1_fresh_overlap","d_i2_spectral","d_i3_nb_hellinger","d_i4_profile_tv","d_i5_signature","d_i6_consensus","d_sec_profile_tv_nature","d_sec_profile_tv_timing","d_sec_profile_tv_cause","rule_i","rule_j"
"1",1,2,1,47,3,3,0,1885,36,241,22,0.0277777777777778,0.0929443934414431,0.181646174000296,0.411051693404635,0.833333333333333,0.525022107396652,0.244563279857397,0.160071301247772,0.101069518716578,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","cat_elig <=   1.50 & total_deductions_by_hh_size <= 754.00 & unc_rawben_rel_max >   1.93 & utilities <= 451.00"
"1",1,11,1,47,69,2,0.957446808510638,1885,321,241,118,0.97196261682243,0.111003108876235,0.246987419583931,0.689277389277389,1,0.82632471227039,0.332983682983683,0.271678321678322,0.202097902097902,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","cat_elig >=   1.000 & rawben_rel_max <   0.992 & unc_rawben_rel_max >=   0.986 & utilities < 626.000"
"1",1,14,1,47,137,38,0.191489361702128,1885,2001,241,254,0.141114058355438,0.00471259584060653,0.0218448904031314,0.0477842003853564,0.6,0.0404748407695712,0.0227185146260291,0.0298300928358732,0.0352075669994745,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","count_divisible_by_100 <=   0.5 & shelter_expenses_by_hh_size > 544.0 & shelter_expenses_by_hh_size <= 862.0 & total_deductions_by_hh_size > 539.0"
"1",1,21,1,47,15,3,0.8,1885,79,241,39,0.607594936708861,0.0785117454412513,0.232221135631548,0.356862745098039,0.833333333333333,0.636506613950545,0.201069518716578,0.0427807486631016,0.0618538324420678,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 852.00 & unc_rawben_rel_max >   1.46 & utilities <=  29.50"
"1",1,27,1,47,111,10,0.787234042553192,1885,487,241,174,0.7782340862423,0.0582266089638288,0.215954529837518,0.46033966033966,0.833333333333333,0.664767833100488,0.265101565101565,0.171861471861472,0.135298035298035,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000"
"1",1,30,1,47,31,7,0.774193548387097,1885,142,241,69,0.647887323943662,0.101155486138627,0.221342119677125,0.367585972080354,1,0.641339292988416,0.125161729656112,0.115457950289411,0.0308818522301668,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","elderly_disabled_i >=   1.00 & rawben_rel_max >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 313.00"
"1",1,33,1,47,39,10,0.743589743589744,1885,259,241,110,0.691119691119691,0.117483081555708,0.20870703422231,0.365726227795193,1,0.63926853510545,0.11128526645768,0.0596656217345873,0.0265412748171369,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.52 & utilities < 379.00"
"1",1,54,1,47,14,4,0.714285714285714,1885,77,241,39,0.532467532467533,0.0837539641852809,0.261168410622731,0.439851343624929,1,0.664432993301113,0.356775300171527,0.287764436821041,0.109948542024014,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","medical_deductions > 200.000 & rawben_rel_max >   0.473 & rawben_rel_max <=   0.991 & utilities <= 392.000"
"1",1,59,1,47,36,7,0.805555555555556,1885,249,241,86,0.759036144578313,0.0951151880117078,0.218749629266334,0.488429752066116,1,0.685286546703522,0.299449035812672,0.265909090909091,0.107438016528926,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","medical_deductions > 96.200 & rawben_rel_max >  0.885 & rawben_rel_max <=  0.998 & unc_rawben_rel_max >  0.279"
"1",1,85,1,47,23,0,1,1885,69,241,38,1,0.0976521778283495,0.258532036272301,0.593939393939394,1,0.867180347443344,0.415151515151515,0.348484848484849,0.0818181818181818,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1180.000 & unc_rawben_rel_max >=    0.986 & utilities <  645.000"
"1",1,90,1,47,84,3,0.936170212765957,1885,454,241,149,0.933920704845815,0.102739334540041,0.229791109858178,0.587878787878788,0.833333333333333,0.776586517796024,0.309090909090909,0.275757575757576,0.173737373737374,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 535.000 & unc_rawben_rel_max >=   0.964 & utilities < 645.000"
"1",1,93,1,47,45,2,0.955555555555556,1885,168,241,62,0.851190476190476,0.0909211165424913,0.217824095133852,0.406324110671937,0.833333333333333,0.697888121591702,0.245191040843215,0.316271409749671,0.055467720685112,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 968.000 & unc_rawben_rel_max >=   0.304 & utilities < 511.000"
"1",1,99,1,47,43,0,1,1885,73,241,44,1,0.0853811458598653,0.271982025336579,0.70530303030303,1,0.883006685508456,0.352651515151515,0.182575757575758,0.179924242424242,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 906.000 & unc_rawben_rel_max >   0.557 & utilities <=  29.500"
"1",1,111,1,47,87,5,0.893617021276596,1885,303,241,130,0.693069306930693,0.100522841137894,0.219525325885223,0.49381013930777,0.833333333333333,0.670863789887149,0.268232083871894,0.234826942409881,0.138733304610082,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","rawben_rel_max >=   0.236 & rawben_rel_max <   1.000 & total_deductions_by_hh_size >= 511.000 & utilities < 249.000"
"1",1,128,1,47,14,8,0.428571428571429,1885,97,241,49,0.0515463917525774,0.135111338625763,0.141261661941528,0.407323232323232,1,0.473026312128594,0.135606060606061,0.097979797979798,0.0446969696969697,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0","total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.93 & utilities <= 606.00"
"1",2,11,2,3,69,0,1,36,321,22,118,1,0.202324428029296,0.240969649521041,0.782428355957768,0.666666666666667,0.903801761191729,0.418929110105581,0.431749622926094,0.30316742081448,"cat_elig <=   1.50 & total_deductions_by_hh_size <= 754.00 & unc_rawben_rel_max >   1.93 & utilities <= 451.00","cat_elig >=   1.000 & rawben_rel_max <   0.992 & unc_rawben_rel_max >=   0.986 & utilities < 626.000"
