"instrument","median_rho","min_rho","max_rho","eligible"
"i1_fresh_overlap",0.951074893337057,0.948828504622572,0.95211813309848,TRUE
"i2_spectral",0.981302630265915,0.970446649716365,0.983345757022422,TRUE
"i3_nb_hellinger",0.963404300986512,0.962572588049785,0.969936534918966,TRUE
"i4_profile_tv",0.854822548813038,0.8423480171487,0.859636655872142,TRUE
"i5_signature",1,1,1,TRUE
"i6_consensus",0.9637294916403,0.961846712046545,0.9683764189992,TRUE
