"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 523.000 & unc_rawben_rel_max <=   0.996 & utilities <= 548.000","2-3","national","ranger","other_error",123,0.5041,0.4013,4,3,40,"core"
"children_i <=   0.500 & medical_deductions <= 300.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 685.000","2-3","national","ranger","any_error",71,0.5352,0.4,2,1,41,"core"
"rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 712.000 & total_deductions_by_hh_size > 602.000 & utilities <=  29.500","1","national","ranger","other_error",193,0.4819,0.3998,6,1,42,"core"
"homeless >   0.500 & shelter_expenses_by_hh_size > 616.000 & unc_rawben_rel_max <=   0.998 & utilities <= 360.000","1","national","ranger","other_error",40,0.575,0.3952,4,3,43,"core"
"HH_size_n <=   2.5 & months_since_cert_n >  11.5 & total_deductions_by_hh_size > 688.0 & utilities <= 956.0","2-3","national","ranger","other_error",36,0.5833,0.3939,1,1,44,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & rawben_rel_max <= 0.998","4+","national","ranger","any_error+other_error",34,0.5882,0.3934,1,1,45,"core"
"shelter_expenses_by_hh_size > 1220.000 & unc_rawben_rel_max >    0.325 & unc_rawben_rel_max <=    0.993 & utilities <=  316.000","1","national","ranger","any_error",99,0.5051,0.391,4,1,46,"core"
"expedited_i <=    0.5 & shelter_expenses_by_hh_size > 2500.0 & unc_rawben_rel_max <=    1.0","1","national","ranger","other_error",47,0.5532,0.3879,5,1,47,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & months_since_cert_n <=   9.5 & total_deductions_by_hh_size > 269.0","4+","national","ranger","other_error",45,0.5556,0.3867,3,1,48,"core"
"cat_elig >   0.500 & medical_deductions > 219.000 & rawben_rel_max <=   0.998 & unc_rawben_rel_max >   0.827","1","national","ranger","other_error",116,0.4914,0.3862,5,3,49,"core"
"cat_elig >   0.50 & elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.52 & utilities <= 719.00","2-3","national","ranger","unearned_overissuance",128,0.4844,0.3844,6,4,50,"core"
"rawben_rel_max >=    0.263 & shelter_expenses_by_hh_size >= 1060.000 & unc_rawben_rel_max <    1.510 & utilities <   27.000","1","national","xgboost","any_error",119,0.4874,0.3837,5,2,51,"core"
"shelter_expenses_by_hh_size < 488 & total_deductions_by_hh_size >= 320 & total_deductions_by_hh_size < 349 & utilities >= 391","4+","national","xgboost","any_error",72,0.5139,0.3808,1,1,52,"core"
"count_divisible_by_100 >   0.50 & months_since_cert_n <=   5.50 & shelter_expenses_by_hh_size > 281.00 & unc_rawben_rel_max >   1.47","2-3","national","ranger","any_error",35,0.5714,0.3805,3,1,53,"core"
"rawben_rel_max <=   0.637 & total_deductions_by_hh_size > 456.000 & unc_rawben_rel_max <=   0.938","4+","national","ranger","underissuance",35,0.5714,0.3805,2,1,54,"core"
"months_since_cert_n >  14.5 & total_deductions_by_hh_size > 534.0 & utilities <=  10.5","1","national","ranger","any_error",86,0.5,0.3784,3,2,55,"core"
"total_deductions_by_hh_size >= 605.000 & unc_rawben_rel_max <   0.769 & utilities < 545.000","2-3","national","xgboost","earned_overissuance",123,0.4797,0.378,2,1,56,"core"
"cat_elig > 0.500 & percent_abawd <= 0.167 & unc_rawben_rel_max > 1.590","2-3","national","ranger","other_error",178,0.4607,0.3762,5,1,57,"core"
"count_divisible_by_100 <=   1.500 & expedited_i >   0.500 & rawben_rel_max <=   0.968 & total_deductions_by_hh_size > 991.000","1","national","ranger","earned_overissuance",69,0.5072,0.3719,1,1,58,"core"
"rawben_rel_max >   0.994 & rawben_rel_max <=   0.995 & total_deductions_by_hh_size > 235.000","2-3","national","ranger","any_error",60,0.5167,0.3716,3,1,59,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 578.000","2-3","national","ranger","any_error+other_error",229,0.4454,0.3712,6,1,60,"core"
"elderly_disabled_i <=   0.500 & shelter_expenses_by_hh_size <= 474.000 & total_deductions_by_hh_size > 442.000 & unc_rawben_rel_max <=   0.942","4+","national","ranger","underissuance",58,0.5172,0.3698,3,1,61,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national","xgboost","any_error",364,0.4286,0.3697,20,3,62,"core"
"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 646.000 & utilities < 277.000","1","national","xgboost","any_error",345,0.429,0.3686,20,7,63,"core"
"total_deductions_by_hh_size >= 457 & utilities >= 447 & utilities < 839","4+","national","xgboost","other_error",47,0.5319,0.3683,6,2,64,"core"
"rawben_rel_max <   1 & total_deductions_by_hh_size >= 672","2-3","national","xgboost","other_error",278,0.4353,0.368,4,1,65,"core"
"rawben_rel_max >   0.997 & shelter_expenses_by_hh_size <= 679.000 & total_deductions_by_hh_size > 638.000 & unc_rawben_rel_max >   1.100","2-3","national","ranger","any_error",54,0.5185,0.366,3,1,66,"core"
"elderly_disabled_i >   0.50 & medical_deductions <= 282.00 & unc_rawben_rel_max >   1.26 & utilities <=  29.50","1","national","ranger","any_error",182,0.4451,0.3622,7,3,67,"core"
"cat_elig <   2 & expedited_i <   1 & shelter_expenses_by_hh_size < 635 & total_deductions_by_hh_size >= 615","2-3","national","xgboost","other_error",104,0.4712,0.3616,5,1,68,"core"
"shelter_expenses_by_hh_size >= 482 & total_deductions_by_hh_size >= 243 & total_deductions_by_hh_size < 257","4+","national","xgboost","earned_overissuance",55,0.5091,0.3587,2,2,69,"core"
"months_since_cert_n >   9.5 & shelter_expenses_by_hh_size > 941.0 & utilities <=  28.5","1","national","ranger","other_error",98,0.4694,0.3568,3,2,70,"core"
"elderly_disabled_i >    0.5 & total_deductions_by_hh_size >  597.0 & total_deductions_by_hh_size <= 1170.0 & utilities <=  284.0","1","national","ranger","earned_overissuance",425,0.4094,0.3554,19,2,71,"core"
"shelter_expenses_by_hh_size <= 413 & total_deductions_by_hh_size > 221","4+","state","ranger","underissuance",35,0.5429,0.3548,35,32,72,"buffer"
"medical_deductions > 216.000 & rawben_rel_max >   0.315 & rawben_rel_max <=   0.997 & utilities <= 414.000","1","national","ranger","any_error",143,0.4476,0.3545,2,1,73,"buffer"
"children_i <=   0.500 & HH_size_n <=   2.500 & total_deductions_by_hh_size > 565.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","other_error",260,0.4231,0.3541,7,1,74,"buffer"
"months_since_cert_n >   7.50 & shelter_expenses_by_hh_size <= 314.00 & unc_rawben_rel_max >   1.49 & unc_rawben_rel_max <=   1.97","1","national","ranger","unearned_overissuance",33,0.5455,0.3521,2,1,75,"buffer"
"elderly_disabled_i >   0.5 & months_since_cert_n >   6.5 & shelter_expenses_by_hh_size <= 646.0 & unc_rawben_rel_max >   1.7","1","national","ranger","unearned_overissuance",119,0.4538,0.352,4,4,76,"buffer"
"married >   0.500 & rawben_rel_max <=   0.605 & total_deductions_by_hh_size > 546.000","2-3","national","ranger","any_error",124,0.4516,0.3519,5,1,77,"buffer"
"rawben_rel_max >=    0.753 & rawben_rel_max <    0.996 & shelter_expenses_by_hh_size >= 1130.000","2-3","national","xgboost","any_error",49,0.5102,0.3516,1,1,78,"buffer"
"medical_deductions <= 132.00 & unc_rawben_rel_max >   1.96 & unc_rawben_rel_max <=   2.22 & utilities <= 660.00","1","national","ranger","unearned_overissuance",190,0.4316,0.351,4,2,79,"buffer"
"homeless >=   1 & medical_deductions < 110 & shelter_expenses_by_hh_size >= 852 & utilities < 800","1","national","xgboost","any_error",80,0.475,0.3509,3,1,80,"buffer"
"shelter_expenses_by_hh_size >= 970.000 & unc_rawben_rel_max <   0.998 & utilities < 505.000","2-3","national","xgboost","any_error",85,0.4706,0.3502,2,1,81,"buffer"
"HH_size_n <   3.000 & rawben_rel_max <   0.794 & total_deductions_by_hh_size >= 577.000 & utilities < 580.000","2-3","national","xgboost","any_error",163,0.4356,0.3488,8,3,82,"buffer"
"months_since_cert_n >    5.50 & shelter_expenses_by_hh_size <= 2010.00 & unc_rawben_rel_max >    1.54 & utilities <=  302.00","1","national","ranger","earned_overissuance",220,0.4227,0.348,4,1,83,"buffer"
