"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
62,"core","elderly_disabled_i <= 0 & HH_size_n >= 6 & months_since_cert_n >= 7 & unearned_by_hh_size >= 83.6","4+","national","xgboost","any_error",127,0.4094,0.3137,97.94,0.0236,0.0385,0.0157,1,1,52,"unearned income 0.37; earned income 0.31; other element 0.18","wrong amount, known item 0.33; wrong include/exclude decision 0.17; other 0.11; household composition 0.11; change in circumstances 0.08",0.511904761904762,0.711538461538462,0.523809523809524,0.642857142857143
63,"buffer","earned_by_hh_size > 82.9 & earned_by_hh_size <= 344 & months_since_cert_n > 5.5 & unc_rawben_rel_max <= 0.959","4+","national","ranger","any_error",696,0.3592,0.3181,78.2,0.0115,0.032,0.0115,40,21,250,"earned income 0.47; unearned income 0.16; shelter deduction 0.16","wrong amount, known item 0.32; wrong include/exclude decision 0.18; change in circumstances 0.14; other 0.10; unreported source of income 0.09",0.458646616541353,0.648,0.433583959899749,0.566084788029925
64,"buffer","married >= 1 & rawben_rel_max <= 0.857 & shelter_expenses_by_hh_size > 347 & utilities > 335","2-3","state","ranger","any_error",34,0.5,0.3147,98.44,0,0,0,34,23,462,"shelter deduction 0.27; unearned income 0.22; earned income 0.22; other element 0.14","wrong include/exclude decision 0.34; wrong amount, known item 0.25; unreported source of income 0.11; household composition 0.10",0.368349249658936,0.746753246753247,0.587994542974079,0.502046384720327
65,"buffer","earned_by_hh_size > 37.9 & elderly_disabled_i >= 1 & rawben_rel_max > 0.49 & shelter_expenses_by_hh_size > 255","4+","national","ranger","any_error",267,0.3783,0.3123,78.29,0,0,0,2,1,101,"earned income 0.41; unearned income 0.24; shelter deduction 0.19","wrong amount, known item 0.43; wrong include/exclude decision 0.18; unreported source of income 0.09; change in circumstances 0.09",0.430379746835443,0.683168316831683,0.569620253164557,0.55
66,"buffer","children_i >= 1 & gross_by_hh_size >= 217 & unc_rawben_rel_max >= 1.1 & utilities < 347","2-3","national","xgboost","any_error",173,0.3931,0.3112,126.13,0,0,0,8,6,68,"earned income 0.56; unearned income 0.18; shelter deduction 0.11","wrong include/exclude decision 0.27; wrong amount, known item 0.25; unreported source of income 0.23",0.284313725490196,1,0.5,0.529411764705882
67,"buffer","gross_by_hh_size <= 190 & married >= 1 & shelter_expenses_by_hh_size > 255 & unc_rawben_rel_max <= 1.09","4+","national","ranger","any_error",84,0.4286,0.3111,125.2,0.0119,0.0278,0.0119,1,1,36,"earned income 0.62; unearned income 0.17","unreported source of income 0.25; wrong amount, known item 0.25; change in circumstances 0.17; wrong include/exclude decision 0.15",0.375,0.972222222222222,0.583333333333333,0.5625
68,"buffer","rawben_rel_max <= 0.983 & shelter_expenses_by_hh_size > 702 & utilities <= 362","2-3","national","ranger","any_error",117,0.4103,0.3107,86.03,0.0513,0.125,0.0513,2,1,48,"earned income 0.37; shelter deduction 0.26; unearned income 0.15","wrong include/exclude decision 0.29; wrong amount, known item 0.27; other 0.12; unreported source of income 0.10",0.328767123287671,0.8125,0.698630136986301,0.520547945205479
69,"buffer","earned_by_hh_size < 15 & gross_by_hh_size >= 285 & rawben_rel_max >= 0.69 & utilities < 388","2-3","state","xgboost","any_error",32,0.5,0.3099,67.34,0.0312,0.0625,0.0312,32,16,215,"unearned income 0.35; shelter deduction 0.26; utility allowance 0.14; other element 0.12","wrong include/exclude decision 0.43; wrong amount, known item 0.18; unreported source of income 0.17",0.34375,0.786046511627907,0.628125,0.510903426791277
70,"buffer","bbce_state_i >= 1 & unc_rawben_rel_max > 0.999 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",240,0.375,0.3058,70.24,0,0,0,10,5,90,"shelter deduction 0.55; dep care or child support deduction 0.11; medical deduction 0.10","wrong include/exclude decision 0.52; wrong amount, known item 0.29",0.325581395348837,0.977777777777778,0.767441860465116,0.51937984496124
71,"buffer","earned_by_hh_size >= 32.5 & months_since_cert_n >= 6 & shelter_expenses_by_hh_size >= 459 & utilities < 366","2-3","national","xgboost","any_error",116,0.4052,0.3057,99.12,0.0345,0.0851,0.0345,5,3,47,"earned income 0.59; shelter deduction 0.13; other element 0.08","change in circumstances 0.25; wrong include/exclude decision 0.21; unreported source of income 0.15; wrong amount, known item 0.15",0.352112676056338,0.851063829787234,0.422535211267606,0.422535211267606
