"rule","hh","source","n_flagged_train","precision_train","precision_train_lcb","rank","role"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 626.000 & utilities <= 382.000","1","national",119,0.6639,0.558,1,"core"
"months_since_cert_n >   6.50 & shelter_expenses_by_hh_size >  14.50 & unc_rawben_rel_max >   1.93 & utilities <= 302.00","1","national",33,0.7576,0.5564,2,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national",137,0.6423,0.5433,3,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 371.000","2-3","national",35,0.7143,0.5178,4,"core"
"expedited_i >   0.500 & months_since_cert_n <=   4.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 987.000","1","national",31,0.7097,0.5008,5,"core"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.993 & total_deductions_by_hh_size > 348.000 & unc_rawben_rel_max <=   0.997","2-3","national",54,0.6481,0.4899,6,"core"
"rawben_rel_max >    0.987 & shelter_expenses_by_hh_size > 1660.000 & unc_rawben_rel_max <=    0.998","1","national",52,0.6154,0.4548,7,"core"
"elderly_disabled_i >    0.500 & rawben_rel_max <=    0.995 & shelter_expenses_by_hh_size > 2490.000 & unc_rawben_rel_max <=    1.790","1","national",33,0.6364,0.4356,8,"core"
"rawben_rel_max >=   0.841 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 673.000 & total_deductions_by_hh_size >= 653.000","2-3","national",54,0.5926,0.4356,9,"core"
"shelter_expenses_by_hh_size <= 455.0 & total_deductions_by_hh_size > 442.0 & unc_rawben_rel_max <=   0.8","4+","national",41,0.6098,0.4299,10,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national",296,0.4932,0.4264,11,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 312.000 & utilities < 475.000","1","national",290,0.4931,0.4256,12,"core"
"married <=   0.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 625.0 & utilities >  22.0","2-3","national",34,0.6176,0.4207,13,"core"
"HH_size_n >= 5 & months_since_cert_n >= 5 & months_since_cert_n < 8","4+","state",36,0.6111,0.4198,14,"core"
"children_i <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size > 1370.000","1","national",114,0.5263,0.4188,15,"core"
"medical_deductions >=   5.000 & medical_deductions <   7.000 & rawben_rel_max <   0.753 & utilities >= 347.000","1","national",40,0.6,0.4186,16,"core"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national",110,0.5273,0.4179,17,"core"
"shelter_expenses_by_hh_size <= 1010.00 & total_deductions_by_hh_size >  471.00 & unc_rawben_rel_max >    1.72 & utilities >  490.00","2-3","national",65,0.5538,0.4119,18,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.993 & rawben_rel_max <= 0.997","2-3","national",101,0.5248,0.4109,19,"core"
"months_since_cert_n >=  11 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 261","4+","national",43,0.5814,0.4071,20,"core"
"cat_elig <= 1.500 & months_since_cert_n > 3.500 & unc_rawben_rel_max > 0.312 & unc_rawben_rel_max <= 0.928","4+","state",75,0.5333,0.4017,21,"core"
"rawben_rel_max >    0.0441 & total_deductions_by_hh_size >  468.0000 & total_deductions_by_hh_size <= 1340.0000 & unc_rawben_rel_max >    1.9600","2-3","national",54,0.5556,0.4005,22,"core"
"children_i <=   0.500 & medical_deductions <= 300.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 685.000","2-3","national",71,0.5352,0.4,23,"core"
"HH_size_n >  4.500 & months_since_cert_n >  4.500 & total_deductions_by_hh_size > 51.200 & unc_rawben_rel_max <=  0.927","4+","state",67,0.5373,0.3982,24,"core"
"rawben_rel_max >   0.997 & total_deductions_by_hh_size > 631.000 & unc_rawben_rel_max >   1.980 & utilities > 446.000","2-3","national",42,0.5714,0.3959,25,"core"
"months_since_cert_n >=    4.000 & rawben_rel_max <    0.385 & shelter_expenses_by_hh_size >= 2100.000","1","national",34,0.5882,0.3934,26,"core"
"elderly_disabled_i > 0.500 & rawben_rel_max > 0.996 & rawben_rel_max <= 0.998","4+","national",34,0.5882,0.3934,27,"core"
"rawben_rel_max <=    0.993 & shelter_expenses_by_hh_size > 1380.000 & total_deductions_by_hh_size >    3.900 & unc_rawben_rel_max >    0.987","1","national",112,0.5,0.3927,28,"core"
"children_i <=   0.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.996","2-3","national",112,0.5,0.3927,29,"core"
"shelter_expenses_by_hh_size > 1220.000 & unc_rawben_rel_max >    0.325 & unc_rawben_rel_max <=    0.993 & utilities <=  316.000","1","national",99,0.5051,0.391,30,"core"
"HH_size_n >= 5 & HH_size_n < 7 & months_since_cert_n >= 5","4+","state",60,0.5333,0.3871,31,"core"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national",209,0.4641,0.3858,32,"core"
"HH_size_n > 4.5 & months_since_cert_n > 4.5 & months_since_cert_n <= 9.5","4+","state",58,0.5345,0.3858,33,"core"
"medical_deductions > 105.00 & months_since_cert_n >   0.50 & unc_rawben_rel_max >   2.58","1","national",39,0.5641,0.383,34,"core"
"cat_elig >   0.500 & rawben_rel_max >   0.997 & unc_rawben_rel_max >   1.620 & utilities <= 856.000","2-3","national",147,0.4762,0.3829,35,"core"
"months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.87 & utilities < 369.00","1","national",143,0.4755,0.3811,36,"core"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national",106,0.4906,0.3809,37,"core"
"shelter_expenses_by_hh_size < 488 & total_deductions_by_hh_size >= 320 & total_deductions_by_hh_size < 349 & utilities >= 391","4+","national",72,0.5139,0.3808,38,"core"
"HH_size_n >  4.500 & months_since_cert_n >  4.500 & percent_abawd <=  0.208 & total_deductions_by_hh_size > 45.700","4+","state",72,0.5139,0.3808,39,"core"
"HH_size_n > 4.500 & months_since_cert_n > 4.500 & rawben_rel_max <= 0.928","4+","state",70,0.5143,0.3794,40,"core"
"months_since_cert_n <=  10.500 & percent_abawd >   0.125 & total_deductions_by_hh_size > 647.000","2-3","national",33,0.5758,0.3793,41,"core"
"elderly_disabled_i >    0.5 & shelter_expenses_by_hh_size > 1030.0 & total_deductions_by_hh_size >  494.0 & utilities <=    8.0","1","national",132,0.4773,0.3791,42,"core"
"cat_elig < 2.000 & months_since_cert_n >= 3.000 & rawben_rel_max >= 0.372 & rawben_rel_max < 0.848","4+","state",68,0.5147,0.3779,43,"core"
"months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 622.000 & unc_rawben_rel_max >   0.776 & utilities <=  32.500","1","national",175,0.4629,0.3776,44,"core"
"children_i <   1 & total_deductions_by_hh_size >= 653 & unc_rawben_rel_max <   1","2-3","national",128,0.4766,0.3769,45,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size > 382.00 & unc_rawben_rel_max >   1.61","2-3","national",176,0.4602,0.3753,46,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size >  26.2 & total_deductions_by_hh_size > 284.0","4+","national",42,0.5476,0.374,47,"core"
"elderly_disabled_i >   0.500 & medical_deductions > 369.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max <=   0.991","1","national",71,0.507,0.3735,48,"core"
"rawben_rel_max <=   0.996 & shelter_expenses_by_hh_size > 848.000 & total_deductions_by_hh_size > 678.000","2-3","national",144,0.4653,0.3716,49,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 578.000","2-3","national",229,0.4454,0.3712,50,"core"
"months_since_cert_n <  30 & total_deductions_by_hh_size >= 477 & utilities >= 322 & utilities < 345","2-3","national",38,0.5526,0.3704,51,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.943 & total_deductions_by_hh_size >= 272.000 & utilities < 277.000","1","national",364,0.4286,0.3697,52,"core"
"rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 646.000 & utilities < 277.000","1","national",345,0.429,0.3686,53,"core"
"months_since_cert_n >  4.500 & rawben_rel_max <=  0.927 & shelter_expenses_by_hh_size > 80.000 & unc_rawben_rel_max >  0.309","4+","state",100,0.48,0.3678,54,"core"
"cat_elig >   0.500 & rawben_rel_max >   0.993 & shelter_expenses_by_hh_size > 453.000 & unc_rawben_rel_max <=   0.998","2-3","national",86,0.4884,0.3674,55,"core"
"HH_size_n >  4.50 & married <=  0.50 & total_deductions_by_hh_size > 51.20 & unc_rawben_rel_max <=  0.85","4+","state",34,0.5588,0.3666,56,"core"
"rawben_rel_max >=   0.494 & rawben_rel_max <   0.742 & total_deductions_by_hh_size >= 315.000 & total_deductions_by_hh_size < 332.000","4+","national",45,0.5333,0.3663,57,"core"
"HH_size_n > 4.5 & months_since_cert_n > 3.5 & months_since_cert_n <= 7.5","4+","state",45,0.5333,0.3663,58,"core"
"percent_abawd <=    3.000 & rawben_rel_max <=    0.993 & shelter_expenses_by_hh_size > 2630.000","1","national",32,0.5625,0.3646,59,"core"
"expedited_i <   1.000 & rawben_rel_max >=   0.755 & utilities >= 100.000 & utilities < 844.000","2-3","state",32,0.5625,0.3646,60,"core"
"children_i >    0.500 & months_since_cert_n >    4.500 & unc_rawben_rel_max <=    0.927 & utilities > 1040.000","4+","state",32,0.5625,0.3646,61,"core"
"expedited_i <=   0.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 968.000 & total_deductions_by_hh_size > 614.000","2-3","national",167,0.4491,0.3626,62,"core"
"elderly_disabled_i <= 0.500 & HH_size_n > 4.500 & married <= 0.500 & rawben_rel_max <= 0.847","4+","state",30,0.5667,0.3625,63,"core"
"elderly_disabled_i >   0.50 & medical_deductions <= 282.00 & unc_rawben_rel_max >   1.26 & utilities <=  29.50","1","national",182,0.4451,0.3622,64,"core"
"rawben_rel_max >   0.987 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 913.000 & unc_rawben_rel_max >   0.266","1","national",147,0.449,0.3571,65,"core"
"months_since_cert_n >   3.500 & shelter_expenses_by_hh_size <= 377.000 & unc_rawben_rel_max >   0.307 & unc_rawben_rel_max <=   0.929","4+","state",74,0.4865,0.3569,66,"core"
"months_since_cert_n >=   4.00000 & shelter_expenses_by_hh_size >= 382.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344","1","national",77,0.4805,0.3538,67,"core"
"cat_elig <= 1.500 & months_since_cert_n > 4.500 & percent_abawd <= 0.208 & rawben_rel_max <= 0.847","4+","state",77,0.4805,0.3538,68,"core"
"months_since_cert_n >   4.500 & rawben_rel_max <=   0.927 & shelter_expenses_by_hh_size <= 353.000 & total_deductions_by_hh_size >  93.100","4+","state",63,0.4921,0.3521,69,"core"
"expedited_i <=   0.5 & months_since_cert_n >   4.0 & total_deductions_by_hh_size >  56.6 & total_deductions_by_hh_size <= 134.0","4+","state",33,0.5455,0.3521,70,"buffer"
"total_deductions_by_hh_size >= 599.000 & unc_rawben_rel_max <   0.993 & utilities <  41.000","1","national",303,0.4158,0.352,71,"buffer"
"married >   0.500 & rawben_rel_max <=   0.605 & total_deductions_by_hh_size > 546.000","2-3","national",124,0.4516,0.3519,72,"buffer"
"months_since_cert_n <    4.000 & rawben_rel_max >=    0.896 & rawben_rel_max <    0.992 & total_deductions_by_hh_size >= 1070.000","1","national",59,0.4915,0.3473,73,"buffer"
"expedited_i <=  0.500 & months_since_cert_n >  4.500 & shelter_expenses_by_hh_size > 83.300 & unc_rawben_rel_max >  0.309","4+","state",113,0.4513,0.3472,74,"buffer"
"expedited_i <=   0.500 & shelter_expenses_by_hh_size > 898.000 & total_deductions_by_hh_size > 602.000 & unc_rawben_rel_max <=   0.997","2-3","national",226,0.4204,0.3467,75,"buffer"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 512.0 & unc_rawben_rel_max <=   1.0 & utilities <= 199.0","1","national",450,0.3978,0.3456,76,"buffer"
"months_since_cert_n >=   7.00 & shelter_expenses_by_hh_size < 954.00 & unc_rawben_rel_max >=   1.48 & utilities <  74.00","1","national",152,0.4342,0.3446,77,"buffer"
"HH_size_n > 4.500 & married <= 0.500 & rawben_rel_max <= 0.848","4+","state",36,0.5278,0.3437,78,"buffer"
"HH_size_n >= 3.00 & married < 1.00 & unc_rawben_rel_max >= 1.42","2-3","national",62,0.4839,0.3436,79,"buffer"
"elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 446.000 & unc_rawben_rel_max >   0.219 & utilities <= 604.000","1","state",43,0.5116,0.3432,80,"buffer"
"shelter_expenses_by_hh_size < 488.00 & total_deductions_by_hh_size >= 320.00 & unc_rawben_rel_max <   1.02 & utilities >= 368.00","4+","national",247,0.413,0.3427,81,"buffer"
"children_i <=   0.500 & total_deductions_by_hh_size > 471.000 & unc_rawben_rel_max <=   0.863 & utilities <= 490.000","2-3","national",135,0.437,0.3421,82,"buffer"
"elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 955.000 & unc_rawben_rel_max <=   0.997","2-3","national",222,0.4144,0.3404,83,"buffer"
"elderly_disabled_i >   0.500 & unc_rawben_rel_max >   0.762 & unc_rawben_rel_max <=   1.090 & utilities <= 604.000","1","state",34,0.5294,0.3404,84,"buffer"
"count_divisible_by_100 <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 631.0 & total_deductions_by_hh_size > 736.0","2-3","national",65,0.4769,0.3402,85,"buffer"
"months_since_cert_n > 4.500 & rawben_rel_max <= 0.847 & unc_rawben_rel_max > 0.252","4+","state",100,0.45,0.3398,86,"buffer"
"medical_deductions > 181.0 & total_deductions_by_hh_size > 468.0 & utilities >  30.5","2-3","national",149,0.4295,0.3393,87,"buffer"
"children_i <=   0.500 & married >   0.500 & total_deductions_by_hh_size > 541.000 & unc_rawben_rel_max <=   0.996","2-3","national",228,0.4123,0.3393,88,"buffer"
"elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 902.00 & unc_rawben_rel_max >   1.79","1","national",382,0.3953,0.339,89,"buffer"
"months_since_cert_n >  4.500 & percent_abawd <=  0.208 & rawben_rel_max >  0.309 & total_deductions_by_hh_size > 73.400","4+","state",108,0.4444,0.3385,90,"buffer"
"months_since_cert_n > 3.500 & rawben_rel_max <= 0.928 & unc_rawben_rel_max > 0.307","4+","state",116,0.4397,0.3375,91,"buffer"
"count_divisible_by_100 <   1 & months_since_cert_n >=   5 & months_since_cert_n <   8 & shelter_expenses_by_hh_size < 350","4+","state",32,0.5312,0.3369,92,"buffer"
"HH_size_n >= 5.000 & rawben_rel_max >= 0.871 & rawben_rel_max < 0.882","4+","national",91,0.4505,0.3354,93,"buffer"
"months_since_cert_n >  4.500 & total_deductions_by_hh_size > 51.200 & unc_rawben_rel_max <=  0.927","4+","state",122,0.4344,0.335,94,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 504.000 & utilities <=  14.500","1","national",415,0.388,0.3341,95,"buffer"
"children_i <=   0.500 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 539.000","2-3","national",333,0.3934,0.3333,96,"buffer"
"HH_size_n >=   5 & total_deductions_by_hh_size >= 375","4+","national",49,0.4898,0.3332,97,"buffer"
"cat_elig <   2.000 & rawben_rel_max >=   0.306 & rawben_rel_max <   0.594 & total_deductions_by_hh_size < 213.000","4+","state",30,0.5333,0.3332,98,"buffer"
"shelter_expenses_by_hh_size > 771 & total_deductions_by_hh_size >  62 & utilities > 284 & utilities <= 360","2-3","national",54,0.4815,0.3324,99,"buffer"
"rawben_rel_max <   0.704 & total_deductions_by_hh_size >= 566.000 & utilities < 414.000","2-3","national",64,0.4688,0.3318,100,"buffer"
"count_divisible_by_100 <   2.000 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 954.000 & utilities <  52.000","1","national",277,0.3971,0.3313,101,"buffer"
"HH_size_n > 4.500 & married <= 0.500 & unc_rawben_rel_max <= 0.926","4+","state",42,0.5,0.3311,102,"buffer"
"elderly_disabled_i >   0.500 & rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 943.000 & total_deductions_by_hh_size >  99.400","2-3","national",237,0.4008,0.3298,103,"buffer"
"rawben_rel_max <   0.787 & shelter_expenses_by_hh_size < 590.000 & total_deductions_by_hh_size >= 518.000","2-3","national",124,0.4274,0.3293,104,"buffer"
"cat_elig <= 1.500 & HH_size_n > 4.500 & months_since_cert_n > 1.500 & unc_rawben_rel_max <= 0.935","4+","state",67,0.4627,0.3292,105,"buffer"
"months_since_cert_n >=   5.00 & total_deductions_by_hh_size >= 680.00 & unc_rawben_rel_max <   1.16","2-3","national",159,0.4151,0.3285,106,"buffer"
"married >= 1.000 & rawben_rel_max >= 0.994 & unc_rawben_rel_max < 1.000","2-3","national",40,0.5,0.3274,107,"buffer"
"elderly_disabled_i <=   0.500 & HH_size_n >   2.500 & rawben_rel_max <=   0.926 & shelter_expenses_by_hh_size <= 463.000","2-3","state",40,0.5,0.3274,108,"buffer"
"cat_elig < 2.000 & months_since_cert_n >= 3.000 & rawben_rel_max < 0.848","4+","state",96,0.4375,0.3262,109,"buffer"
"HH_size_n >   4.500 & HH_size_n <=   6.500 & rawben_rel_max <=   0.928 & total_deductions_by_hh_size > 100.000","4+","state",83,0.4458,0.3261,110,"buffer"
"HH_size_n > 4.500 & HH_size_n <= 6.500 & rawben_rel_max > 0.313 & unc_rawben_rel_max <= 0.928","4+","state",73,0.4521,0.3246,111,"buffer"
"elderly_disabled_i >   0.500 & expedited_i <=   0.500 & rawben_rel_max <=   0.996 & total_deductions_by_hh_size > 541.000","2-3","national",331,0.3837,0.3239,112,"buffer"
"cat_elig < 2 & HH_size_n >= 5 & months_since_cert_n >= 3 & months_since_cert_n < 8","4+","state",38,0.5,0.3235,113,"buffer"
"elderly_disabled_i >=   1.000 & rawben_rel_max <   0.996 & shelter_expenses_by_hh_size >= 928.000 & total_deductions_by_hh_size >= 430.000","2-3","national",242,0.3926,0.3227,114,"buffer"
"cat_elig > 1.500 & percent_abawd <= 0.167 & rawben_rel_max > 0.994 & rawben_rel_max <= 0.997","2-3","national",58,0.4655,0.3227,115,"buffer"
"expedited_i <= 0.500 & months_since_cert_n > 4.500 & rawben_rel_max > 0.309","4+","state",121,0.4215,0.3226,116,"buffer"
"months_since_cert_n >=   5.00 & total_deductions_by_hh_size >= 763.00 & unc_rawben_rel_max <   1.42","2-3","national",100,0.43,0.3214,117,"buffer"
"elderly_disabled_i <=    0.500 & months_since_cert_n >    8.500 & rawben_rel_max <=    0.997 & shelter_expenses_by_hh_size > 1640.000","1","national",31,0.5161,0.3211,118,"buffer"
"rawben_rel_max >=   0.723 & shelter_expenses_by_hh_size < 472.000 & utilities >= 100.000 & utilities < 844.000","2-3","state",31,0.5161,0.3211,119,"buffer"
"HH_size_n >= 5.000 & HH_size_n < 7.000 & rawben_rel_max >= 0.279 & rawben_rel_max < 0.846","4+","state",66,0.4545,0.3209,120,"buffer"
"rawben_rel_max <   1 & shelter_expenses_by_hh_size >= 839 & total_deductions_by_hh_size >= 577","2-3","national",343,0.379,0.3204,121,"buffer"
"shelter_expenses_by_hh_size >= 1330.00 & shelter_expenses_by_hh_size < 1770.00 & unc_rawben_rel_max >=    2.52","1","national",114,0.4211,0.3195,122,"buffer"
"rawben_rel_max >=   0.988 & total_deductions_by_hh_size >= 489.000 & unc_rawben_rel_max <   1.000 & utilities < 819.000","1","national",632,0.3623,0.3192,123,"buffer"
"months_since_cert_n <=    5.500 & total_deductions_by_hh_size > 1330.000 & unc_rawben_rel_max <=    0.991 & utilities >   30.500","1","national",90,0.4333,0.3191,124,"buffer"
"HH_size_n >   4.500 & shelter_expenses_by_hh_size <= 439.000 & total_deductions_by_hh_size > 146.000 & unc_rawben_rel_max <=   0.897","4+","state",51,0.4706,0.3188,125,"buffer"
"cat_elig <   2 & HH_size_n >=   3 & months_since_cert_n >=   4 & total_deductions_by_hh_size >= 452","2-3","national",117,0.4188,0.3186,126,"buffer"
"shelter_expenses_by_hh_size >= 1990.000 & total_deductions_by_hh_size >= 1210.000 & unc_rawben_rel_max <    0.936","1","national",128,0.4141,0.3183,127,"buffer"
"children_i <  1.00000 & months_since_cert_n >=  7.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max < -0.00344","1","national",85,0.4353,0.3178,128,"buffer"
"expedited_i <   1 & months_since_cert_n >=   8 & utilities >= 353 & utilities < 364","2-3","national",85,0.4353,0.3178,129,"buffer"
"count_divisible_by_100 <=   0.500 & medical_deductions > 567.000 & rawben_rel_max <=   0.997","1","national",88,0.4318,0.3165,130,"buffer"
"HH_size_n >=   5.000 & rawben_rel_max >=   0.309 & shelter_expenses_by_hh_size >= 225.000 & total_deductions_by_hh_size < 224.000","4+","state",54,0.463,0.3158,131,"buffer"
"shelter_expenses_by_hh_size >= 470 & total_deductions_by_hh_size >= 242 & total_deductions_by_hh_size < 256","4+","national",67,0.4478,0.3157,132,"buffer"
"elderly_disabled_i >    0.5 & months_since_cert_n <=    5.5 & shelter_expenses_by_hh_size > 1830.0 & unc_rawben_rel_max <=    1.0","1","national",99,0.4242,0.3156,133,"buffer"
"elderly_disabled_i >   0.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 506.000","2-3","national",456,0.3662,0.3156,134,"buffer"
"children_i > 0.500 & months_since_cert_n > 2.500 & rawben_rel_max > 0.309 & unc_rawben_rel_max <= 0.847","4+","state",110,0.4182,0.3152,135,"buffer"
"married >   0.500 & shelter_expenses_by_hh_size > 939.000 & total_deductions_by_hh_size > 183.000 & unc_rawben_rel_max <=   0.997","2-3","national",188,0.3936,0.3148,136,"buffer"
"cat_elig <=   1.500 & rawben_rel_max <=   0.916 & shelter_expenses_by_hh_size > 192.000 & unc_rawben_rel_max >   0.312","4+","state",86,0.4302,0.3138,137,"buffer"
"children_i <=   0.500 & elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 869.000 & unc_rawben_rel_max <=   0.998","2-3","national",298,0.3758,0.3133,138,"buffer"
"rawben_rel_max >=   0.241 & total_deductions_by_hh_size >= 630.000 & unc_rawben_rel_max <   1.050 & utilities < 345.000","1","national",608,0.3569,0.3132,139,"buffer"
"months_since_cert_n > 4.500 & percent_abawd <= 0.208 & rawben_rel_max > 0.309","4+","state",122,0.4098,0.3122,140,"buffer"
"elderly_disabled_i >   0.500 & shelter_expenses_by_hh_size > 873.000 & unc_rawben_rel_max <=   0.998","2-3","national",364,0.3681,0.3117,141,"buffer"
"cat_elig <= 1.500 & months_since_cert_n > 2.500 & rawben_rel_max > 0.203 & rawben_rel_max <= 0.998","4+","state",103,0.4175,0.3114,142,"buffer"
"HH_size_n >   4.500 & HH_size_n <=   9.500 & total_deductions_by_hh_size > 104.000 & unc_rawben_rel_max <=   0.847","4+","state",84,0.4286,0.3111,143,"buffer"
"rawben_rel_max >   0.761 & total_deductions_by_hh_size <= 724.000 & unc_rawben_rel_max <=   1.000 & utilities <= 604.000","1","state",42,0.4762,0.3102,144,"buffer"
"total_deductions_by_hh_size > 468.00 & unc_rawben_rel_max <=   0.78 & utilities <= 578.00","2-3","national",623,0.3531,0.31,145,"buffer"
"elderly_disabled_i <=   0.500 & months_since_cert_n >   7.500 & rawben_rel_max <=   0.926 & utilities > 150.000","2-3","state",32,0.5,0.3099,146,"buffer"
"cat_elig <=   1.500 & unc_rawben_rel_max >   0.667 & utilities >  85.500 & utilities <= 604.000","2-3","state",32,0.5,0.3099,147,"buffer"
"rawben_rel_max <=   0.992 & total_deductions_by_hh_size >  15.200 & unc_rawben_rel_max >   0.782 & utilities <= 604.000","1","state",37,0.4865,0.3097,148,"buffer"
"children_i >   0.500 & HH_size_n >   2.500 & rawben_rel_max <=   0.926 & utilities <= 604.000","2-3","state",37,0.4865,0.3097,149,"buffer"
"months_since_cert_n >   3.500 & rawben_rel_max <=   0.927 & shelter_expenses_by_hh_size >  80.000 & total_deductions_by_hh_size <= 313.000","4+","state",137,0.4015,0.3096,150,"buffer"
"count_divisible_by_100 <   1.000 & shelter_expenses_by_hh_size >= 731.000 & total_deductions_by_hh_size >= 372.000 & unc_rawben_rel_max <  -0.203","2-3","national",45,0.4667,0.3068,151,"buffer"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 856.000","1","national",656,0.3476,0.3057,152,"buffer"
"rawben_rel_max >   0.755 & utilities >  60.000 & utilities <= 604.000","2-3","state",40,0.475,0.3056,153,"buffer"
"HH_size_n >   2.500 & rawben_rel_max <=   0.926 & utilities <= 604.000","2-3","state",40,0.475,0.3056,154,"buffer"
"elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 502.000 & unc_rawben_rel_max <=   0.997 & utilities >  30.500","2-3","national",462,0.355,0.3051,155,"buffer"
"cat_elig <=  1.5 & expedited_i <=  0.5 & months_since_cert_n >  3.5 & total_deductions_by_hh_size > 10.5","4+","state",105,0.4095,0.305,156,"buffer"
"rawben_rel_max >=   0.426 & shelter_expenses_by_hh_size < 358.000 & utilities >= 299.000 & utilities < 844.000","2-3","state",35,0.4857,0.3047,157,"buffer"
"elderly_disabled_i <= 0.500 & HH_size_n > 2.500 & months_since_cert_n > 5.500 & rawben_rel_max <= 0.926","2-3","state",35,0.4857,0.3047,158,"buffer"
"HH_size_n >   2.500 & total_deductions_by_hh_size <= 335.000 & unc_rawben_rel_max <=   0.961 & utilities <= 604.000","2-3","state",35,0.4857,0.3047,159,"buffer"
"cat_elig <=   1.500 & total_deductions_by_hh_size <= 129.000 & unc_rawben_rel_max >   0.313 & utilities > 174.000","4+","state",35,0.4857,0.3047,160,"buffer"
"HH_size_n <=    5.500 & shelter_expenses_by_hh_size <=  501.000 & unc_rawben_rel_max <=    0.926 & utilities > 1040.000","4+","state",35,0.4857,0.3047,161,"buffer"
"cat_elig >   0.500 & total_deductions_by_hh_size > 606.000 & unc_rawben_rel_max <=   0.991 & utilities <= 346.000","1","national",714,0.3445,0.3045,162,"buffer"
