"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
234,"buffer","count_divisible_by_100 <= 0.5 & medical_deductions > 419 & months_since_cert_n <= 5.5 & total_deductions_by_hh_size > 9.58","2-3","national","ranger","any_error",43,0.3953,0.2432,79.7,0,0,0,2,1,17,"medical deduction 0.45; shelter deduction 0.21; unearned income 0.21","wrong include/exclude decision 0.42; other 0.18; wrong amount, known item 0.15",0.393939393939394,0.941176470588235,0.727272727272727,0.666666666666667
235,"buffer","shelter_expenses_by_hh_size <= 279 & unc_rawben_rel_max > 0.682 & unc_rawben_rel_max <= 0.691","4+","national","ranger","any_error",106,0.3396,0.2428,66.35,0.0094,0.0278,0.0094,2,1,36,"earned income 0.37; unearned income 0.19; shelter deduction 0.16; other element 0.16","wrong amount, known item 0.40; wrong include/exclude decision 0.24; other 0.10; method or computation 0.06",0.419354838709677,0.638888888888889,0.612903225806452,0.580645161290323
236,"buffer","earned_by_hh_size <= 0.167 & shelter_expenses_by_hh_size <= 402 & total_deductions_by_hh_size > 273 & unc_rawben_rel_max <= 1","2-3","national","ranger","any_error",53,0.3774,0.2408,64.68,0.0189,0.05,0.0189,2,1,20,"medical deduction 0.41; shelter deduction 0.24; unearned income 0.16","wrong include/exclude decision 0.65; wrong amount, known item 0.16",0.513513513513513,0.9,0.621621621621622,0.648648648648649
237,"buffer","rawben_rel_max < 0.628 & unearned_by_hh_size >= 42.3 & unearned_by_hh_size < 100 & utilities >= 281","2-3","national","xgboost","any_error",207,0.3092,0.2401,44.52,0,0,0,4,3,64,"earned income 0.42; unearned income 0.32; shelter deduction 0.11","wrong amount, known item 0.42; wrong include/exclude decision 0.20; unreported source of income 0.16",0.352380952380952,0.65625,0.552380952380952,0.523809523809524
238,"buffer","earned_by_hh_size >= 0.5 & unc_rawben_rel_max < 1.06 & unearned_by_hh_size >= 217 & unearned_by_hh_size < 283","2-3","national","xgboost","any_error",371,0.2911,0.2396,53.01,0.0081,0.0278,0.0081,6,3,108,"earned income 0.43; unearned income 0.22; shelter deduction 0.15","wrong amount, known item 0.31; wrong include/exclude decision 0.21; unreported source of income 0.15; other 0.12",0.359550561797753,0.648148148148148,0.617977528089888,0.606741573033708
239,"buffer","gross_by_hh_size <= 281 & rawben_rel_max <= 0.975 & total_deductions_by_hh_size > 173","4+","national","ranger","any_error",57,0.3684,0.2373,77.44,0.0526,0.1429,0.0526,1,1,21,"earned income 0.45; other element 0.21; shelter deduction 0.15","wrong include/exclude decision 0.27; wrong amount, known item 0.21; household composition 0.15; unreported source of income 0.15",0.393939393939394,0.714285714285714,0.787878787878788,0.575757575757576
240,"buffer","earned_by_hh_size >= 269 & earned_by_hh_size < 358 & rawben_rel_max < 0.752","4+","national","xgboost","any_error",530,0.2792,0.2363,53.18,0,0,0,14,7,148,"earned income 0.44; unearned income 0.25; shelter deduction 0.16","wrong amount, known item 0.36; wrong include/exclude decision 0.24; unreported source of income 0.11; change in circumstances 0.09",0.388888888888889,0.594594594594595,0.594017094017094,0.598290598290598
241,"buffer","earned_by_hh_size >= 800 & months_since_cert_n < 2 & shelter_expenses_by_hh_size >= 362 & shelter_expenses_by_hh_size < 464","4+","national","xgboost","any_error",41,0.3902,0.236,65.85,0,0,0,2,1,16,"earned income 0.42; dep care or child support deduction 0.21; shelter deduction 0.17","wrong amount, known item 0.46; wrong include/exclude decision 0.21; method or computation 0.08",0.291666666666667,0.6875,0.791666666666667,0.5
242,"buffer","shelter_expenses_by_hh_size >= 869 & unc_rawben_rel_max >= 1.36 & unc_rawben_rel_max < 1.4 & utilities < 680","1","national","xgboost","any_error",141,0.3191,0.236,67.57,0,0,0,8,4,45,"earned income 0.63; other element 0.17","unreported source of income 0.25; change in circumstances 0.21; wrong include/exclude decision 0.21; wrong amount, known item 0.14",0.28169014084507,1,0.352112676056338,0.267605633802817
243,"buffer","percent_abawd > 0.25 & total_deductions_by_hh_size > 690 & unearned_by_hh_size > 212","1","national","ranger","any_error",54,0.3704,0.236,61.35,0.0185,0.05,0.0185,2,1,20,"earned income 0.33; shelter deduction 0.30; unearned income 0.20","wrong amount, known item 0.27; wrong include/exclude decision 0.23; unreported source of income 0.20; change in circumstances 0.20",0.366666666666667,0.9,0.3,0.4
244,"buffer","elderly_disabled_i <= 0 & expedited_i >= 1 & unearned_by_hh_size > 682","1","national","ranger","any_error",102,0.3333,0.2356,62.35,0.0784,0.2059,0.0686,2,1,34,"unearned income 0.56; shelter deduction 0.19; earned income 0.13","wrong amount, known item 0.28; wrong include/exclude decision 0.26; unreported source of income 0.22",0.169811320754717,0.735294117647059,0.566037735849057,0.351851851851852
245,"buffer","earned_by_hh_size < 1 & elderly_disabled_i <= 0 & unc_rawben_rel_max < 0.68 & unearned_by_hh_size < 1000","1","national","xgboost","any_error",163,0.3129,0.2356,45.31,0.0061,0.0196,0.0061,5,3,51,"unearned income 0.63; shelter deduction 0.14","wrong amount, known item 0.45; wrong include/exclude decision 0.23; other 0.11",0.464788732394366,0.117647058823529,0.563380281690141,0.71830985915493
246,"buffer","months_since_cert_n >= 2 & unearned_by_hh_size < 189 & utilities >= 81 & utilities < 306","4+","national","xgboost","any_error",352,0.2869,0.2344,52.03,0.0114,0.0198,0.0057,1,1,101,"earned income 0.55; unearned income 0.18; shelter deduction 0.12","wrong amount, known item 0.40; change in circumstances 0.22; wrong include/exclude decision 0.17",0.225,0.653465346534653,0.458333333333333,0.383333333333333
247,"buffer","rawben_rel_max >= 0.289 & unc_rawben_rel_max < 1.13 & unearned_by_hh_size >= 1760 & utilities >= 557","1","national","xgboost","any_error",212,0.3019,0.2342,37.61,0,0,0,2,2,64,"shelter deduction 0.36; medical deduction 0.25; unearned income 0.24","wrong include/exclude decision 0.36; wrong amount, known item 0.29; unreported source of income 0.14",0.421052631578947,0.796875,0.621052631578947,0.557894736842105
248,"buffer","earned_by_hh_size >= 323 & shelter_expenses_by_hh_size >= 492 & shelter_expenses_by_hh_size < 732 & utilities < 369","2-3","national","xgboost","any_error",314,0.2898,0.2342,55.27,0.0255,0.0769,0.0223,2,1,91,"earned income 0.47; shelter deduction 0.20; other element 0.11","wrong include/exclude decision 0.31; wrong amount, known item 0.25; unreported source of income 0.13; change in circumstances 0.10",0.333333333333333,0.78021978021978,0.586666666666667,0.533333333333333
249,"buffer","gross_by_hh_size >= 539 & gross_by_hh_size < 587 & shelter_expenses_by_hh_size < 126 & utilities >= 38","2-3","national","xgboost","any_error",35,0.4,0.2336,67.46,0,0,0,2,2,14,"unearned income 0.42; earned income 0.32; other element 0.11","wrong amount, known item 0.47; wrong include/exclude decision 0.21; household composition 0.11",0.631578947368421,0.428571428571429,0.842105263157895,0.736842105263158
250,"buffer","bbce_state_i >= 1 & gross_by_hh_size >= 376 & rawben_rel_max >= 0.851 & unc_rawben_rel_max < 0.865","2-3","national","xgboost","any_error",168,0.3095,0.2336,50.74,0.0119,0.0385,0.0119,3,2,52,"earned income 0.38; shelter deduction 0.30; unearned income 0.16","wrong include/exclude decision 0.34; wrong amount, known item 0.24; unreported source of income 0.12; other 0.11",0.364864864864865,0.730769230769231,0.702702702702703,0.540540540540541
251,"buffer","children_i <= 0 & earned_by_hh_size > 0.417 & percent_abawd <= 1.25 & utilities <= 346","2-3","national","ranger","any_error",399,0.2807,0.2316,48.4,0.0125,0.0357,0.01,4,2,112,"earned income 0.58; other element 0.18","wrong amount, known item 0.18; wrong include/exclude decision 0.18; change in circumstances 0.16; household composition 0.14; unreported source of income 0.14",0.339869281045752,0.714285714285714,0.568627450980392,0.477124183006536
252,"buffer","earned_by_hh_size >= 568 & gross_by_hh_size >= 602 & rawben_rel_max >= 0.471 & shelter_expenses_by_hh_size < 298","2-3","national","xgboost","any_error",207,0.2995,0.2313,50.67,0.0097,0.0323,0.0097,2,1,62,"earned income 0.48; shelter deduction 0.18; other element 0.12","wrong amount, known item 0.37; wrong include/exclude decision 0.24; change in circumstances 0.10; household composition 0.09",0.406593406593407,0.612903225806452,0.747252747252747,0.56043956043956
253,"buffer","children_i <= 0 & count_divisible_by_100 > 0.5 & gross_by_hh_size > 760","2-3","national","ranger","any_error",133,0.3158,0.2308,52.22,0,0,0,2,1,42,"earned income 0.28; unearned income 0.23; shelter deduction 0.23","wrong include/exclude decision 0.39; wrong amount, known item 0.19; unreported source of income 0.17",0.265625,0.833333333333333,0.59375,0.46875
254,"buffer","elderly_disabled_i >= 1 & homeless >= 1 & rawben_rel_max > 0.991 & shelter_expenses_by_hh_size > 14","1","national","ranger","any_error",97,0.3299,0.2304,49.26,0,0,0,2,1,32,"shelter deduction 0.47; unearned income 0.26; utility allowance 0.21","wrong include/exclude decision 0.63; change in circumstances 0.21",0.325581395348837,0.96875,0.372093023255814,0.488372093023256
255,"buffer","medical_deductions < 1 & unc_rawben_rel_max >= 0.293 & unearned_by_hh_size >= 957 & utilities < 1080","2-3","national","xgboost","any_error",126,0.3175,0.2302,59.19,0,0,0,2,1,40,"shelter deduction 0.44; unearned income 0.33","wrong include/exclude decision 0.37; wrong amount, known item 0.35; unreported source of income 0.11",0.277777777777778,0.85,0.611111111111111,0.5
256,"buffer","earned_by_hh_size <= 309 & rawben_rel_max <= 0.976 & shelter_expenses_by_hh_size <= 57.3 & unearned_by_hh_size <= 101","4+","national","ranger","any_error",335,0.2836,0.2301,63.73,0.0358,0.0947,0.0269,3,3,95,"earned income 0.53; unearned income 0.16; other element 0.13","wrong amount, known item 0.37; wrong include/exclude decision 0.21; unreported source of income 0.17; household composition 0.08",0.413533834586466,0.589473684210526,0.593984962406015,0.631578947368421
257,"buffer","rawben_rel_max > 0.998 & unearned_by_hh_size > 182 & utilities <= 386","1","national","ranger","any_error",1422,0.2539,0.228,41.71,0,0,0,81,41,361,"unearned income 0.44; shelter deduction 0.26; utility allowance 0.15","wrong include/exclude decision 0.53; unreported source of income 0.16; wrong amount, known item 0.14",0.373983739837398,0.983379501385042,0.552845528455285,0.558943089430894
258,"buffer","gross_by_hh_size >= 300 & shelter_expenses_by_hh_size >= 60.2 & shelter_expenses_by_hh_size < 87 & unearned_by_hh_size >= 200","4+","national","xgboost","any_error",98,0.3265,0.228,74.04,0,0,0,2,1,32,"unearned income 0.37; other element 0.27; earned income 0.26","wrong amount, known item 0.34; wrong include/exclude decision 0.18; household composition 0.15; unreported source of income 0.15",0.370967741935484,0.5625,0.548387096774194,0.564516129032258
259,"buffer","months_since_cert_n < 5 & total_deductions_by_hh_size >= 575 & total_deductions_by_hh_size < 676 & utilities < 600","2-3","national","xgboost","any_error",131,0.313,0.2277,66.17,0.0153,0.0488,0.0153,2,1,41,"earned income 0.31; unearned income 0.22; shelter deduction 0.20; other element 0.09","wrong amount, known item 0.29; wrong include/exclude decision 0.26; unreported source of income 0.18; change in circumstances 0.08",0.384615384615385,0.780487804878049,0.646153846153846,0.492307692307692
260,"buffer","shelter_expenses_by_hh_size >= 1370 & total_deductions_by_hh_size < 869 & unc_rawben_rel_max >= 1.01 & unc_rawben_rel_max < 1.36","1","national","xgboost","any_error",176,0.3011,0.2276,68.55,0,0,0,2,1,53,"earned income 0.62; unearned income 0.15","unreported source of income 0.32; wrong amount, known item 0.20; change in circumstances 0.18; wrong include/exclude decision 0.15",0.228571428571429,0.943396226415094,0.357142857142857,0.352112676056338
261,"buffer","count_divisible_by_100 >= 1 & earned_by_hh_size >= 551 & total_deductions_by_hh_size >= 256 & unearned_by_hh_size < 124","4+","national","xgboost","any_error",84,0.3333,0.227,80.65,0,0,0,1,1,28,"earned income 0.38; dep care or child support deduction 0.21; shelter deduction 0.18","wrong amount, known item 0.31; wrong include/exclude decision 0.28; unreported source of income 0.26",0.384615384615385,0.785714285714286,0.82051282051282,0.512820512820513
262,"buffer","earned_by_hh_size <= 0.127 & gross_by_hh_size > 99.5 & months_since_cert_n > 3.5 & rawben_rel_max <= 0.378","4+","national","ranger","any_error",124,0.3145,0.227,70.19,0,0,0,1,1,39,"unearned income 0.48; other element 0.22; shelter deduction 0.19","wrong amount, known item 0.36; wrong include/exclude decision 0.21; household composition 0.16; other 0.11",0.410958904109589,0.512820512820513,0.493150684931507,0.506849315068493
