"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
188,"buffer","children_i >= 1 & rawben_rel_max < 0.54 & utilities < 425","1","national","xgboost","any_error",75,0.3733,0.2561,53.95,0.04,0.1071,0.04,1,1,28,"other element 0.40; shelter deduction 0.23; earned income 0.15","household composition 0.40; wrong include/exclude decision 0.30; wrong amount, known item 0.17",0.475,0.214285714285714,0.8,0.75
189,"buffer","married >= 1 & shelter_expenses_by_hh_size >= 278 & shelter_expenses_by_hh_size < 367 & total_deductions_by_hh_size < 165","4+","national","xgboost","any_error",297,0.3131,0.2544,75.19,0.0101,0.0323,0.0101,5,4,93,"earned income 0.35; unearned income 0.24; shelter deduction 0.19","wrong amount, known item 0.30; wrong include/exclude decision 0.27; household composition 0.13; unreported source of income 0.10",0.459259259259259,0.67741935483871,0.733333333333333,0.546762589928058
190,"buffer","months_since_cert_n >= 5 & shelter_expenses_by_hh_size >= 621 & unc_rawben_rel_max < 0.324 & utilities < 494","2-3","national","xgboost","any_error",115,0.3478,0.2535,67.2,0.0609,0.175,0.0609,4,3,40,"other element 0.24; shelter deduction 0.23; earned income 0.23; unearned income 0.18","wrong include/exclude decision 0.28; wrong amount, known item 0.18; unreported source of income 0.12; other 0.11; limits and thresholds 0.10",0.27710843373494,0.875,0.301204819277108,0.385542168674699
191,"buffer","earned_by_hh_size > 65.1 & earned_by_hh_size <= 309 & utilities <= 26","4+","national","ranger","any_error",295,0.3119,0.253,73.81,0.0237,0.0761,0.0237,2,1,92,"earned income 0.55; utility allowance 0.12; unearned income 0.12","wrong amount, known item 0.32; wrong include/exclude decision 0.30; change in circumstances 0.12; unreported source of income 0.10",0.395348837209302,0.641304347826087,0.581395348837209,0.596899224806202
192,"buffer","gross_by_hh_size >= 502 & HH_size_n >= 3 & months_since_cert_n >= 3 & total_deductions_by_hh_size >= 329","2-3","national","xgboost","any_error",718,0.2897,0.252,50.42,0.007,0.0192,0.0056,13,9,208,"earned income 0.36; shelter deduction 0.19; unearned income 0.15; dep care or child support deduction 0.14","wrong amount, known item 0.30; wrong include/exclude decision 0.27; change in circumstances 0.10; other 0.10",0.339339339339339,0.663461538461538,0.567567567567568,0.504477611940298
193,"buffer","elderly_disabled_i <= 0 & months_since_cert_n > 5.5 & rawben_rel_max > 0.274 & unc_rawben_rel_max <= 0.818","1","national","ranger","any_error",513,0.2963,0.2517,37.46,0.037,0.125,0.037,4,3,152,"earned income 0.48; unearned income 0.21; shelter deduction 0.13","wrong amount, known item 0.37; wrong include/exclude decision 0.20; unreported source of income 0.14; change in circumstances 0.09",0.304147465437788,0.638157894736842,0.341013824884793,0.410958904109589
194,"buffer","expedited_i >= 1 & rawben_rel_max > 0.799 & total_deductions_by_hh_size <= 440 & unearned_by_hh_size > 435","1","national","ranger","any_error",70,0.3714,0.2509,58.83,0.0143,0,0,3,2,26,"unearned income 0.59; utility allowance 0.18","wrong include/exclude decision 0.56; unreported source of income 0.24",0.382352941176471,0.923076923076923,0.529411764705882,0.470588235294118
195,"buffer","earned_by_hh_size >= 126 & married >= 1 & unearned_by_hh_size >= 125 & unearned_by_hh_size < 400","2-3","national","xgboost","any_error",171,0.3275,0.2504,68.4,0.0234,0.0714,0.0234,5,3,56,"earned income 0.39; unearned income 0.24; other element 0.19","wrong amount, known item 0.28; wrong include/exclude decision 0.19; household composition 0.16; unreported source of income 0.14",0.284090909090909,0.625,0.522727272727273,0.534090909090909
196,"buffer","earned_by_hh_size >= 100 & gross_by_hh_size < 125 & total_deductions_by_hh_size < 147 & unc_rawben_rel_max >= 1.04","2-3","national","xgboost","any_error",30,0.4333,0.2496,123.93,0,0,0,1,1,13,"earned income 0.61; utility allowance 0.13; unearned income 0.09","wrong amount, known item 0.30; unreported source of income 0.30; wrong include/exclude decision 0.26",0.260869565217391,0.923076923076923,0.478260869565217,0.521739130434783
197,"buffer","earned_by_hh_size >= 78 & total_deductions_by_hh_size >= 280 & total_deductions_by_hh_size < 319","2-3","state","xgboost","any_error",30,0.4333,0.2496,89.33,0,0,0,30,16,218,"earned income 0.46; shelter deduction 0.20; other element 0.13","wrong amount, known item 0.31; wrong include/exclude decision 0.23; change in circumstances 0.10; method or computation 0.09; unreported source of income 0.09",0.408408408408408,0.711009174311927,0.633633633633634,0.543026706231454
