"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
123,"buffer","gross_by_hh_size < 531 & shelter_expenses_by_hh_size >= 767 & shelter_expenses_by_hh_size < 907 & unc_rawben_rel_max < 1.16","2-3","national","xgboost","any_error",131,0.3817,0.2895,105.17,0.0153,0.04,0.0153,4,2,50,"earned income 0.50; unearned income 0.29","unreported source of income 0.32; wrong amount, known item 0.29; wrong include/exclude decision 0.15",0.308823529411765,0.94,0.588235294117647,0.5
124,"buffer","bbce_state_i >= 1 & rawben_rel_max < 0.0819 & total_deductions_by_hh_size < 218 & unc_rawben_rel_max >= 0.079","1","national","xgboost","any_error",201,0.3632,0.2888,50.21,0.005,0.0137,0.005,6,3,73,"unearned income 0.37; shelter deduction 0.33; utility allowance 0.09","wrong include/exclude decision 0.47; wrong amount, known item 0.25; other 0.14",0.444444444444444,0.0273972602739726,0.657407407407407,0.75
125,"buffer","gross_by_hh_size < 417 & total_deductions_by_hh_size >= 85.5 & unc_rawben_rel_max < 1.01","1","national","xgboost","any_error",96,0.3958,0.2883,80.4,0.0312,0,0,1,1,38,"unearned income 0.69; shelter deduction 0.12","wrong include/exclude decision 0.50; unreported source of income 0.25",0.384615384615385,0.947368421052632,0.480769230769231,0.557692307692308
126,"buffer","rawben_rel_max >= 0.972 & unc_rawben_rel_max < 1.03 & unearned_by_hh_size >= 185 & utilities < 844","1","national","xgboost","any_error",2318,0.3102,0.2883,47.49,0.0086,0.0111,0.0035,110,55,719,"unearned income 0.44; shelter deduction 0.34","wrong include/exclude decision 0.51; wrong amount, known item 0.19; unreported source of income 0.13",0.404382470119522,0.988873435326843,0.528884462151394,0.576388888888889
127,"buffer","expedited_i >= 1 & percent_abawd > 0.167 & rawben_rel_max <= 0.901 & unearned_by_hh_size <= 440","2-3","national","ranger","any_error",48,0.4375,0.2858,101.62,0.0417,0.0952,0.0417,2,1,21,"earned income 0.35; other element 0.24; unearned income 0.21","wrong amount, known item 0.26; wrong include/exclude decision 0.24; household composition 0.21; unreported source of income 0.15",0.441176470588235,0.619047619047619,0.794117647058823,0.617647058823529
128,"buffer","earned_by_hh_size < 0.5 & gross_by_hh_size >= 531 & shelter_expenses_by_hh_size >= 1000","2-3","national","xgboost","any_error",194,0.3608,0.2854,68.52,0.0155,0.0429,0.0155,2,1,70,"shelter deduction 0.40; unearned income 0.31; medical deduction 0.13","wrong include/exclude decision 0.34; wrong amount, known item 0.34; unreported source of income 0.11",0.454545454545455,0.828571428571429,0.686868686868687,0.626262626262626
129,"buffer","gross_by_hh_size >= 887 & rawben_rel_max >= 0.292 & total_deductions_by_hh_size >= 340","4+","national","xgboost","any_error",65,0.4154,0.2851,86.45,0,0,0,2,1,27,"earned income 0.33; dep care or child support deduction 0.29; shelter deduction 0.15","wrong amount, known item 0.48; wrong include/exclude decision 0.27",0.442307692307692,0.703703703703704,0.615384615384615,0.519230769230769
130,"buffer","bbce_state_i >= 1 & gross_by_hh_size <= 1110 & medical_deductions > 146 & unc_rawben_rel_max <= 1.09","1","national","ranger","any_error",327,0.3425,0.2845,35.41,0.0031,0.0089,0.0031,22,11,112,"medical deduction 0.51; shelter deduction 0.20; unearned income 0.15","wrong include/exclude decision 0.69; wrong amount, known item 0.18",0.468926553672316,0.964285714285714,0.627118644067797,0.661016949152542
131,"buffer","months_since_cert_n < 2 & rawben_rel_max >= 0.524 & unearned_by_hh_size >= 1550","1","national","xgboost","any_error",40,0.45,0.2841,78.6,0.025,0.0556,0.025,2,1,18,"shelter deduction 0.31; unearned income 0.21; medical deduction 0.17; other element 0.17","wrong include/exclude decision 0.52; wrong amount, known item 0.24",0.310344827586207,0.944444444444444,0.758620689655172,0.586206896551724
132,"buffer","earned_by_hh_size <= 109 & medical_deductions > 726","2-3","national","ranger","any_error",32,0.4688,0.2834,122.25,0,0,0,1,1,15,"medical deduction 0.52; shelter deduction 0.17; unearned income 0.17","wrong include/exclude decision 0.45; wrong amount, known item 0.17; other 0.14",0.586206896551724,1,0.689655172413793,0.689655172413793
