"rank","role","rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","mm_share_flags","mm_share_errors","mm_inflation","n_flagged_state","n_new_at_rank","n_error_cases_national","element_groups_to_75","nature_groups_to_75","found_in_case_record","share_overissuance","timing_at_certification","cause_agency"
91,"buffer","earned_by_hh_size > 108 & earned_by_hh_size <= 246 & gross_by_hh_size > 204 & unc_rawben_rel_max <= 1.21","2-3","national","ranger","any_error",868,0.3076,0.2725,69.61,0.0104,0.0187,0.0058,4,2,267,"earned income 0.57; unearned income 0.16; shelter deduction 0.14","wrong amount, known item 0.34; wrong include/exclude decision 0.20; unreported source of income 0.15; change in circumstances 0.12",0.392947103274559,0.749063670411985,0.589420654911839,0.552763819095477
92,"buffer","earned_by_hh_size >= 0.333 & gross_by_hh_size < 678 & unearned_by_hh_size >= 228 & utilities >= 287","4+","national","xgboost","any_error",442,0.3213,0.272,76.51,0.0023,0.007,0.0023,1,1,142,"earned income 0.37; unearned income 0.28; shelter deduction 0.15","wrong amount, known item 0.32; wrong include/exclude decision 0.21; unreported source of income 0.16; household composition 0.11",0.452,0.626760563380282,0.644,0.564
93,"buffer","gross_by_hh_size > 183 & months_since_cert_n > 3.5 & unearned_by_hh_size > 0.155 & unearned_by_hh_size <= 189","4+","national","ranger","any_error",1297,0.2992,0.2705,64.1,0.0054,0.018,0.0054,6,3,388,"earned income 0.39; unearned income 0.26; shelter deduction 0.14","wrong amount, known item 0.35; wrong include/exclude decision 0.22; unreported source of income 0.13; change in circumstances 0.09",0.418960244648318,0.664948453608247,0.530581039755352,0.553869499241275
94,"buffer","count_divisible_by_100 > 1.5 & rawben_rel_max <= 0.75 & total_deductions_by_hh_size <= 293 & utilities <= 471","4+","national","ranger","any_error",39,0.4359,0.2705,96.05,0,0,0,1,1,17,"earned income 0.43; unearned income 0.32","wrong amount, known item 0.39; unreported source of income 0.18; wrong include/exclude decision 0.14; other 0.14",0.214285714285714,0.470588235294118,0.464285714285714,0.464285714285714
95,"buffer","gross_by_hh_size >= 943 & rawben_rel_max >= 0.505 & unc_rawben_rel_max >= -1.16 & utilities < 75","1","national","xgboost","any_error",568,0.3134,0.27,49.14,0.0123,0.0281,0.0088,6,4,178,"shelter deduction 0.40; utility allowance 0.28; medical deduction 0.10","wrong include/exclude decision 0.55; wrong amount, known item 0.21",0.299674267100977,0.904494382022472,0.661237785016287,0.52442996742671
96,"buffer","expedited_i >= 1 & unc_rawben_rel_max <= 0.788 & unearned_by_hh_size <= 401 & utilities <= 33.5","2-3","national","ranger","any_error",96,0.375,0.2696,69.92,0.0208,0.0556,0.0208,2,2,36,"earned income 0.33; unearned income 0.22; other element 0.22","wrong amount, known item 0.24; household composition 0.22; wrong include/exclude decision 0.19; unreported source of income 0.17",0.259259259259259,0.527777777777778,0.518518518518518,0.518518518518518
97,"buffer","HH_size_n > 2.5 & rawben_rel_max > 0.663 & total_deductions_by_hh_size > 354 & utilities > 362","2-3","national","ranger","any_error",359,0.3231,0.2687,70.36,0.0028,0,0,4,2,116,"earned income 0.28; shelter deduction 0.19; unearned income 0.18; dep care or child support deduction 0.16","wrong amount, known item 0.31; wrong include/exclude decision 0.29; unreported source of income 0.10; other 0.10",0.325966850828729,0.741379310344828,0.646408839779006,0.549450549450549
98,"buffer","earned_by_hh_size < 589 & medical_deductions < 14 & rawben_rel_max < 0.0825 & unc_rawben_rel_max >= 0.079","1","national","xgboost","any_error",381,0.3202,0.2675,46.56,0.0026,0.0082,0.0026,1,1,122,"unearned income 0.43; shelter deduction 0.31; utility allowance 0.09","wrong include/exclude decision 0.41; wrong amount, known item 0.31; other 0.13",0.532163742690059,0.0163934426229508,0.60233918128655,0.789473684210526
99,"buffer","expedited_i >= 1 & gross_by_hh_size > 120 & total_deductions_by_hh_size <= 112 & unc_rawben_rel_max <= 1","4+","national","ranger","any_error",208,0.3365,0.2653,57.67,0,0,0,1,1,70,"earned income 0.27; unearned income 0.27; other element 0.18; shelter deduction 0.16","wrong amount, known item 0.37; wrong include/exclude decision 0.29; household composition 0.12",0.566371681415929,0.514285714285714,0.52212389380531,0.707964601769911
100,"buffer","earned_by_hh_size > 0.167 & percent_abawd > 0.417 & rawben_rel_max <= 0.907 & utilities <= 30.5","2-3","national","ranger","any_error",79,0.3797,0.2643,73.57,0.0506,0.1333,0.0506,1,1,30,"earned income 0.46; other element 0.28; utility allowance 0.10","wrong include/exclude decision 0.24; household composition 0.18; wrong amount, known item 0.16; unreported source of income 0.12; other 0.12",0.3,0.633333333333333,0.58,0.5
101,"buffer","medical_deductions >= 147 & unc_rawben_rel_max < 1.1 & unearned_by_hh_size < 1080","1","national","xgboost","any_error",389,0.3162,0.2642,33.26,0.0026,0.0081,0.0026,6,3,123,"medical deduction 0.52; shelter deduction 0.19; unearned income 0.14","wrong include/exclude decision 0.70; wrong amount, known item 0.17",0.459459459459459,0.959349593495935,0.637837837837838,0.664864864864865
102,"buffer","expedited_i <= 0 & total_deductions_by_hh_size > 503 & utilities <= 8","1","national","ranger","any_error",609,0.3054,0.2639,52.15,0.0164,0.0376,0.0115,3,2,186,"shelter deduction 0.35; utility allowance 0.25; earned income 0.17","wrong include/exclude decision 0.52; wrong amount, known item 0.16; change in circumstances 0.12",0.31629392971246,0.951612903225806,0.562300319488818,0.482428115015974
103,"buffer","medical_deductions < 115 & rawben_rel_max < 0.0825 & unc_rawben_rel_max >= 0.079 & utilities < 827","1","national","xgboost","any_error",518,0.3089,0.2638,46.83,0.0019,0.0063,0.0019,3,2,160,"unearned income 0.35; shelter deduction 0.28; earned income 0.16","wrong include/exclude decision 0.41; wrong amount, known item 0.31; other 0.12",0.508620689655172,0.0125,0.616379310344828,0.771551724137931
104,"buffer","rawben_rel_max < 0.856 & shelter_expenses_by_hh_size >= 305 & shelter_expenses_by_hh_size < 310 & utilities >= 462","4+","national","xgboost","any_error",67,0.3881,0.263,81.99,0.0149,0.0385,0.0149,1,1,26,"earned income 0.34; unearned income 0.23; shelter deduction 0.17; other element 0.09","wrong amount, known item 0.34; wrong include/exclude decision 0.28; unreported source of income 0.17",0.404255319148936,0.615384615384615,0.638297872340426,0.595744680851064
105,"buffer","earned_by_hh_size < 891 & shelter_expenses_by_hh_size < 441 & total_deductions_by_hh_size >= 195 & unc_rawben_rel_max < 0.422","4+","national","xgboost","any_error",323,0.3189,0.262,59.45,0,0,0,1,1,103,"earned income 0.37; shelter deduction 0.22; unearned income 0.16","wrong amount, known item 0.32; wrong include/exclude decision 0.29; other 0.09; unreported source of income 0.09",0.430167597765363,0.621359223300971,0.64804469273743,0.558659217877095
106,"buffer","earned_by_hh_size > 0.5 & earned_by_hh_size <= 4 & rawben_rel_max <= 0.997","1","national","ranger","any_error",83,0.3735,0.2613,48.18,0,0,0,2,1,31,"earned income 0.78","unreported source of income 0.39; change in circumstances 0.25; wrong include/exclude decision 0.14",0.305555555555556,0.967741935483871,0.333333333333333,0.416666666666667
107,"buffer","rawben_rel_max < 0.0819 & total_deductions_by_hh_size < 198 & unc_rawben_rel_max >= 0.079","1","national","xgboost","any_error",235,0.3277,0.261,45.53,0.0043,0.013,0.0043,2,2,77,"unearned income 0.40; shelter deduction 0.31; utility allowance 0.10","wrong include/exclude decision 0.46; wrong amount, known item 0.27; other 0.13",0.460176991150442,0.025974025974026,0.663716814159292,0.778761061946903
108,"buffer","children_i <= 0 & earned_by_hh_size > 335 & unc_rawben_rel_max > 1.3","1","national","ranger","any_error",848,0.2948,0.2598,64.46,0,0,0,2,1,250,"earned income 0.67; shelter deduction 0.12","unreported source of income 0.30; change in circumstances 0.21; wrong amount, known item 0.17; wrong include/exclude decision 0.16",0.23342175066313,0.996,0.381962864721485,0.293650793650794
109,"buffer","medical_deductions < 156 & rawben_rel_max >= 0.467 & unearned_by_hh_size >= 1600","1","national","xgboost","any_error",189,0.3333,0.2592,51.5,0.0053,0.0159,0.0053,1,1,63,"shelter deduction 0.41; unearned income 0.28; medical deduction 0.14","wrong include/exclude decision 0.50; wrong amount, known item 0.17; unreported source of income 0.17",0.342105263157895,0.873015873015873,0.631578947368421,0.513157894736842
110,"buffer","shelter_expenses_by_hh_size >= 138 & total_deductions_by_hh_size < 120 & unearned_by_hh_size < 107","2-3","national","xgboost","any_error",159,0.3396,0.2588,49.52,0,0,0,1,1,54,"earned income 0.48; shelter deduction 0.22; utility allowance 0.09","wrong amount, known item 0.39; wrong include/exclude decision 0.27; method or computation 0.09",0.467532467532468,0.425925925925926,0.701298701298701,0.662337662337662
111,"buffer","earned_by_hh_size >= 181 & gross_by_hh_size < 232 & months_since_cert_n < 8 & total_deductions_by_hh_size < 268","2-3","national","xgboost","any_error",238,0.3235,0.2576,92.74,0.0168,0.039,0.0126,2,1,77,"earned income 0.67; shelter deduction 0.13","wrong amount, known item 0.27; unreported source of income 0.19; wrong include/exclude decision 0.18; change in circumstances 0.12",0.398148148148148,0.883116883116883,0.666666666666667,0.509259259259259
112,"buffer","earned_by_hh_size > 0.167 & months_since_cert_n > 5.5 & unearned_by_hh_size > 43.2","2-3","national","ranger","any_error",1159,0.2873,0.2574,54.27,0.0086,0.024,0.0069,2,1,333,"earned income 0.43; unearned income 0.20; other element 0.14","wrong amount, known item 0.27; wrong include/exclude decision 0.18; unreported source of income 0.14; change in circumstances 0.12; other 0.11",0.397868561278863,0.678678678678679,0.422735346358792,0.507964601769912
113,"buffer","HH_size_n >= 8 & months_since_cert_n >= 1 & total_deductions_by_hh_size < 234 & utilities < 277","4+","national","xgboost","any_error",56,0.3929,0.257,92.48,0,0,0,1,1,22,"earned income 0.35; unearned income 0.26; utility allowance 0.16","wrong amount, known item 0.29; wrong include/exclude decision 0.26; unreported source of income 0.16; household composition 0.13",0.419354838709677,0.681818181818182,0.580645161290323,0.548387096774194
114,"buffer","earned_by_hh_size >= 118 & HH_size_n >= 3 & unc_rawben_rel_max >= 1.08","2-3","national","xgboost","any_error",439,0.3052,0.2567,89.51,0,0,0,3,2,134,"earned income 0.68; shelter deduction 0.15","wrong amount, known item 0.33; wrong include/exclude decision 0.19; unreported source of income 0.19; change in circumstances 0.13",0.342105263157895,0.947761194029851,0.578947368421053,0.5
115,"buffer","earned_by_hh_size >= 670 & rawben_rel_max >= 0.639 & rawben_rel_max < 0.839","2-3","national","xgboost","any_error",533,0.3002,0.2562,50.72,0.0075,0.025,0.0075,4,3,160,"earned income 0.52; shelter deduction 0.14; unearned income 0.12","wrong amount, known item 0.34; wrong include/exclude decision 0.20; change in circumstances 0.13; unreported source of income 0.12",0.438914027149321,0.65,0.601809954751131,0.54954954954955
116,"buffer","rawben_rel_max >= 0.607 & rawben_rel_max < 0.61","4+","national","xgboost","any_error",47,0.4043,0.2562,78.51,0,0,0,4,2,19,"earned income 0.32; unearned income 0.24; dep care or child support deduction 0.16; shelter deduction 0.16","wrong amount, known item 0.48; wrong include/exclude decision 0.24; change in circumstances 0.08",0.4,0.736842105263158,0.8,0.56
117,"buffer","percent_abawd <= 0.167 & shelter_expenses_by_hh_size > 280 & shelter_expenses_by_hh_size <= 632 & total_deductions_by_hh_size > 523","2-3","national","ranger","any_error",271,0.3173,0.2557,63.73,0.0074,0.0116,0.0037,2,1,86,"earned income 0.29; dep care or child support deduction 0.24; shelter deduction 0.17; unearned income 0.11","wrong include/exclude decision 0.36; wrong amount, known item 0.30; other 0.11",0.361842105263158,0.813953488372093,0.565789473684211,0.486842105263158
118,"buffer","total_deductions_by_hh_size <= 450 & unc_rawben_rel_max > 1 & unearned_by_hh_size > 301 & unearned_by_hh_size <= 784","1","national","ranger","any_error",464,0.3017,0.2547,56.06,0,0,0,1,1,140,"unearned income 0.73; shelter deduction 0.10","wrong include/exclude decision 0.53; unreported source of income 0.21; wrong amount, known item 0.11",0.497354497354497,0.992857142857143,0.481481481481481,0.663157894736842
119,"buffer","gross_by_hh_size >= 880 & rawben_rel_max >= 0.211 & unearned_by_hh_size >= 26.5","2-3","national","xgboost","any_error",1039,0.2859,0.2544,45.34,0.0019,0.0067,0.0019,4,2,297,"shelter deduction 0.27; unearned income 0.26; earned income 0.20; medical deduction 0.11","wrong include/exclude decision 0.36; wrong amount, known item 0.28; unreported source of income 0.13",0.36986301369863,0.818181818181818,0.60958904109589,0.527149321266968
120,"buffer","married >= 1 & shelter_expenses_by_hh_size >= 278 & shelter_expenses_by_hh_size < 367 & total_deductions_by_hh_size < 165","4+","national","xgboost","any_error",297,0.3131,0.2544,75.19,0.0101,0.0323,0.0101,2,1,93,"earned income 0.35; unearned income 0.24; shelter deduction 0.19","wrong amount, known item 0.30; wrong include/exclude decision 0.27; household composition 0.13; unreported source of income 0.10",0.459259259259259,0.67741935483871,0.733333333333333,0.546762589928058
121,"buffer","earned_by_hh_size >= 88.2 & HH_size_n >= 6 & HH_size_n < 7 & rawben_rel_max >= 0.93","4+","national","xgboost","any_error",118,0.3475,0.2542,107.66,0.0339,0.0976,0.0339,2,1,41,"earned income 0.65; other element 0.15","wrong amount, known item 0.35; wrong include/exclude decision 0.22; unreported source of income 0.13; household composition 0.11",0.425925925925926,0.829268292682927,0.555555555555556,0.592592592592593
122,"buffer","count_divisible_by_100 > 0.5 & rawben_rel_max > 0.205 & rawben_rel_max <= 0.971 & shelter_expenses_by_hh_size > 626","2-3","national","ranger","any_error",246,0.3171,0.2526,52.44,0.0122,0.0256,0.0081,2,1,78,"unearned income 0.34; earned income 0.25; shelter deduction 0.20","wrong amount, known item 0.30; wrong include/exclude decision 0.25; unreported source of income 0.23",0.333333333333333,0.782051282051282,0.658333333333333,0.409836065573771
123,"buffer","medical_deductions >= 138 & medical_deductions < 282 & unc_rawben_rel_max >= 0.043 & unearned_by_hh_size >= 598","2-3","national","xgboost","any_error",299,0.311,0.2526,41.35,0.0033,0.0108,0.0033,2,1,93,"shelter deduction 0.30; medical deduction 0.28; unearned income 0.23","wrong include/exclude decision 0.48; wrong amount, known item 0.26; unreported source of income 0.09",0.460431654676259,0.817204301075269,0.62589928057554,0.618705035971223
124,"buffer","earned_by_hh_size >= 303 & months_since_cert_n < 27 & rawben_rel_max >= 0.432 & unearned_by_hh_size >= 63.7","2-3","national","xgboost","any_error",848,0.2866,0.2519,50.2,0.0047,0.0123,0.0035,4,3,243,"earned income 0.42; unearned income 0.22; shelter deduction 0.18","wrong amount, known item 0.31; wrong include/exclude decision 0.25; unreported source of income 0.13; change in circumstances 0.11",0.394666666666667,0.695473251028807,0.592,0.525333333333333
