"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"months_since_cert_n >   6.50 & shelter_expenses_by_hh_size >  14.50 & unc_rawben_rel_max >   1.93 & utilities <= 302.00","1","national","ranger","any_error",33,0.7576,0.5564,2,2,1,"core"
"medical_deductions > 148 & total_deductions_by_hh_size > 614 & utilities <= 578","2-3","national","ranger","any_error",35,0.7429,0.5472,1,1,2,"core"
"rawben_rel_max >=   0.556 & rawben_rel_max <   0.992 & shelter_expenses_by_hh_size >= 960.000 & utilities <  61.000","1","national","xgboost","any_error",137,0.6423,0.5433,2,2,3,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 360.000","1","national","xgboost","any_error",144,0.5694,0.4727,3,3,4,"core"
"count_divisible_by_100 <   1 & medical_deductions >= 144 & shelter_expenses_by_hh_size < 731 & total_deductions_by_hh_size >= 511","2-3","national","xgboost","any_error",47,0.6383,0.469,1,1,5,"core"
"medical_deductions >= 140.000 & rawben_rel_max >=   0.134 & total_deductions_by_hh_size >= 484.000 & utilities < 577.000","2-3","national","xgboost","any_error",73,0.6027,0.4669,3,1,6,"core"
"medical_deductions >= 240.000 & unc_rawben_rel_max >=   0.664 & utilities < 724.000","2-3","national","xgboost","any_error",44,0.6364,0.4616,2,1,7,"core"
"medical_deductions > 608.00 & rawben_rel_max >   0.74 & unc_rawben_rel_max <=   1.00","1","national","ranger","any_error",35,0.6571,0.4612,1,1,8,"core"
"children_i <=   0.5 & shelter_expenses_by_hh_size <= 679.0 & total_deductions_by_hh_size > 615.0","2-3","national","ranger","any_error",36,0.6389,0.4462,2,2,9,"core"
"medical_deductions >= 195.000 & unc_rawben_rel_max >=   0.671 & utilities < 601.000","2-3","national","xgboost","any_error",44,0.6136,0.4396,3,1,10,"core"
"elderly_disabled_i >    0.500 & rawben_rel_max <=    0.995 & shelter_expenses_by_hh_size > 2490.000 & unc_rawben_rel_max <=    1.790","1","national","ranger","any_error",33,0.6364,0.4356,3,2,11,"core"
"rawben_rel_max >=   0.841 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 673.000 & total_deductions_by_hh_size >= 653.000","2-3","national","xgboost","any_error",54,0.5926,0.4356,2,2,12,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size <= 679.00 & total_deductions_by_hh_size > 436.00 & unc_rawben_rel_max >   1.68","2-3","national","ranger","any_error",70,0.5714,0.4337,4,2,13,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national","ranger","any_error",105,0.5429,0.4305,5,4,14,"core"
