"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","n_flagged_state","n_new_at_rank","rank","role"
"elderly_disabled_i >   0.500 & rawben_rel_max >   0.994 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 371.000","2-3","national","ranger","any_error",35,0.7143,0.5178,1,1,1,"core"
"shelter_expenses_by_hh_size > 602.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",30,0.7,0.4877,2,1,2,"core"
"medical_deductions >= 365.000 & rawben_rel_max >=   0.688 & total_deductions_by_hh_size >=   5.670","2-3","national","xgboost","any_error",32,0.6875,0.482,1,1,3,"core"
"elderly_disabled_i >=   1.000 & rawben_rel_max >=   0.988 & rawben_rel_max <   1.000 & utilities < 360.000","1","national","xgboost","any_error",144,0.5694,0.4727,2,2,4,"core"
"medical_deductions > 192 & shelter_expenses_by_hh_size > 872 & utilities <= 773","2-3","national","ranger","any_error",31,0.6452,0.4379,2,2,5,"core"
"elderly_disabled_i >    0.500 & rawben_rel_max <=    0.995 & shelter_expenses_by_hh_size > 2490.000 & unc_rawben_rel_max <=    1.790","1","national","ranger","any_error",33,0.6364,0.4356,3,3,6,"core"
"rawben_rel_max >=   0.841 & rawben_rel_max <   1.000 & shelter_expenses_by_hh_size >= 673.000 & total_deductions_by_hh_size >= 653.000","2-3","national","xgboost","any_error",54,0.5926,0.4356,4,3,7,"core"
"homeless <=   0.50 & total_deductions_by_hh_size <= 842.00 & unc_rawben_rel_max >   1.96 & utilities <= 648.00","1","national","ranger","any_error",105,0.5429,0.4305,1,1,8,"core"
"medical_deductions >= 132 & total_deductions_by_hh_size >= 556 & utilities < 600","2-3","national","xgboost","any_error",65,0.5692,0.4265,1,1,9,"core"
"total_deductions_by_hh_size > 503.000 & unc_rawben_rel_max >   0.379 & unc_rawben_rel_max <=   0.991 & utilities <=   8.000","1","national","ranger","any_error",296,0.4932,0.4264,1,1,10,"core"
"months_since_cert_n >=  10.000 & total_deductions_by_hh_size >= 835.000 & unc_rawben_rel_max >=  -0.708","2-3","national","xgboost","any_error",30,0.6333,0.4235,3,3,11,"core"
"married <=   0.5 & medical_deductions > 104.0 & total_deductions_by_hh_size > 625.0 & utilities >  22.0","2-3","national","ranger","any_error",34,0.6176,0.4207,1,1,12,"core"
"medical_deductions >= 305.000 & rawben_rel_max >=   0.736","2-3","national","xgboost","any_error",38,0.6053,0.4191,3,1,13,"core"
"elderly_disabled_i >   0.5 & medical_deductions <= 116.0 & unc_rawben_rel_max >   1.5 & utilities <=  14.5","1","national","ranger","any_error",110,0.5273,0.4179,2,2,14,"core"
"cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size >   5.500","1","national","ranger","any_error",51,0.5686,0.4085,1,1,15,"core"
"months_since_cert_n >=  11 & total_deductions_by_hh_size >= 232 & total_deductions_by_hh_size < 261","4+","national","xgboost","any_error",43,0.5814,0.4071,3,3,16,"core"
"months_since_cert_n >=    4.000 & shelter_expenses_by_hh_size >= 1290.000 & total_deductions_by_hh_size >=   62.000 & unc_rawben_rel_max <    0.998","2-3","national","xgboost","any_error",37,0.5946,0.4068,3,2,17,"core"
"rawben_rel_max >    0.0441 & total_deductions_by_hh_size >  468.0000 & total_deductions_by_hh_size <= 1340.0000 & unc_rawben_rel_max >    1.9600","2-3","national","ranger","any_error",54,0.5556,0.4005,2,1,18,"core"
"children_i <=   0.500 & medical_deductions <= 300.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 685.000","2-3","national","ranger","any_error",71,0.5352,0.4,5,2,19,"core"
"rawben_rel_max >   0.997 & total_deductions_by_hh_size > 631.000 & unc_rawben_rel_max >   1.980 & utilities > 446.000","2-3","national","ranger","any_error",42,0.5714,0.3959,3,1,20,"core"
"medical_deductions >= 180.000 & rawben_rel_max >=   0.493 & total_deductions_by_hh_size >= 497.000","2-3","national","xgboost","any_error",85,0.5176,0.3944,5,2,21,"core"
"HH_size_n <=  11.500 & months_since_cert_n >   2.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 490.000","4+","national","ranger","any_error",36,0.5833,0.3939,1,1,22,"core"
"months_since_cert_n >=    4.000 & rawben_rel_max <    0.385 & shelter_expenses_by_hh_size >= 2100.000","1","national","xgboost","any_error",34,0.5882,0.3934,1,1,23,"core"
"rawben_rel_max <=    0.993 & shelter_expenses_by_hh_size > 1380.000 & total_deductions_by_hh_size >    3.900 & unc_rawben_rel_max >    0.987","1","national","ranger","any_error",112,0.5,0.3927,1,1,24,"core"
"children_i <=   0.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",112,0.5,0.3927,8,1,25,"core"
"medical_deductions > 140.000 & rawben_rel_max >   0.189 & shelter_expenses_by_hh_size > 855.000 & utilities <= 902.000","2-3","national","ranger","any_error",66,0.5303,0.3906,6,2,26,"core"
"rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 646.000 & utilities <=   5.000","1","national","ranger","any_error",209,0.4641,0.3858,4,3,27,"core"
"rawben_rel_max >=    0.263 & shelter_expenses_by_hh_size >= 1060.000 & unc_rawben_rel_max <    1.510 & utilities <   27.000","1","national","xgboost","any_error",119,0.4874,0.3837,1,1,28,"core"
"medical_deductions > 105.00 & months_since_cert_n >   0.50 & unc_rawben_rel_max >   2.58","1","national","ranger","any_error",39,0.5641,0.383,1,1,29,"core"
"medical_deductions <= 138.000 & months_since_cert_n >   4.500 & total_deductions_by_hh_size > 672.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",106,0.4906,0.3809,9,3,30,"core"
"medical_deductions >= 107 & months_since_cert_n <   7 & total_deductions_by_hh_size >= 566","2-3","national","xgboost","any_error",90,0.5,0.3809,5,1,31,"core"
"shelter_expenses_by_hh_size < 488 & total_deductions_by_hh_size >= 320 & total_deductions_by_hh_size < 349 & utilities >= 391","4+","national","xgboost","any_error",72,0.5139,0.3808,2,2,32,"core"
"expedited_i >   0.500 & rawben_rel_max <=   0.778 & total_deductions_by_hh_size > 988.000","1","national","ranger","any_error",50,0.54,0.3803,1,1,33,"core"
"medical_deductions > 128.000 & total_deductions_by_hh_size > 627.000 & unc_rawben_rel_max >   0.158","2-3","national","ranger","any_error",120,0.4833,0.3803,11,1,34,"core"
"HH_size_n >=   5 & shelter_expenses_by_hh_size < 342 & total_deductions_by_hh_size >= 320","4+","national","xgboost","any_error",50,0.54,0.3803,1,1,35,"core"
"medical_deductions > 116.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 524.000 & unc_rawben_rel_max >   0.128","2-3","national","ranger","any_error",134,0.4776,0.3801,9,2,36,"core"
"months_since_cert_n <=  10.500 & percent_abawd >   0.125 & total_deductions_by_hh_size > 647.000","2-3","national","ranger","any_error",33,0.5758,0.3793,2,1,37,"core"
"count_divisible_by_100 >   1.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.976 & total_deductions_by_hh_size <= 167.000","4+","national","ranger","any_error",31,0.5806,0.3781,2,2,38,"core"
"months_since_cert_n >   5.500 & shelter_expenses_by_hh_size > 622.000 & unc_rawben_rel_max >   0.776 & utilities <=  32.500","1","national","ranger","any_error",175,0.4629,0.3776,3,2,39,"core"
"expedited_i <=   0.500 & rawben_rel_max >   0.993 & total_deductions_by_hh_size <= 751.000 & unc_rawben_rel_max >   1.930","1","national","ranger","any_error",75,0.5067,0.3765,2,2,40,"core"
"cat_elig >   0.50 & shelter_expenses_by_hh_size > 382.00 & unc_rawben_rel_max >   1.61","2-3","national","ranger","any_error",176,0.4602,0.3753,5,1,41,"core"
"rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 630.000 & utilities < 800.000","1","national","xgboost","any_error",464,0.4267,0.3745,7,7,42,"core"
"cat_elig >   0.5 & HH_size_n >   5.5 & shelter_expenses_by_hh_size >  26.2 & total_deductions_by_hh_size > 284.0","4+","national","ranger","any_error",42,0.5476,0.374,3,2,43,"core"
"elderly_disabled_i >   0.500 & medical_deductions > 369.000 & rawben_rel_max >   0.826 & unc_rawben_rel_max <=   0.991","1","national","ranger","any_error",71,0.507,0.3735,1,1,44,"core"
"children_i >=   1.00 & elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 484.00 & unc_rawben_rel_max >=   1.39","2-3","national","xgboost","any_error",40,0.55,0.3722,2,1,45,"core"
"children_i <=   0.500 & rawben_rel_max <=   0.998 & total_deductions_by_hh_size > 578.000","2-3","national","ranger","any_error",229,0.4454,0.3712,17,4,46,"core"
