"state","vocab","budget","n_admitted","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_ratio"
"Kansas","pct",0.1,6197,872,87,19,0.2184,0.1044,0.2033,3
"Kentucky","ps",0.05,9729,841,34,9,0.2647,0.082,0.2024,3
"Kentucky","ps",0.1,9729,841,84,17,0.2024,0.082,0.3935,3
"Kentucky","pct",0.05,9691,841,41,13,0.3171,0.082,0.2446,3
"Kentucky","pct",0.1,9691,841,84,18,0.2143,0.082,0.3602,3
"Louisiana","ps",0.05,9726,873,41,11,0.2683,0.11,0.1242,3
"Louisiana","ps",0.1,9726,873,87,19,0.2184,0.11,0.1878,3
"Louisiana","pct",0.05,10773,873,41,15,0.3659,0.11,0.1561,3
"Louisiana","pct",0.1,10773,873,87,22,0.2529,0.11,0.2236,3
"Maine","ps",0.05,15282,928,37,14,0.3784,0.1239,0.0979,3
"Maine","ps",0.1,15282,928,91,30,0.3297,0.1239,0.306,3
"Maine","pct",0.05,13962,928,41,12,0.2927,0.1239,0.1505,3
"Maine","pct",0.1,13962,928,91,26,0.2857,0.1239,0.2945,3
"Maryland","ps",0.05,11797,677,28,10,0.3571,0.1433,0.1285,3
"Maryland","ps",0.1,11797,677,66,20,0.303,0.1433,0.2214,3
"Maryland","pct",0.05,11886,677,29,10,0.3448,0.1433,0.1195,3
"Maryland","pct",0.1,11886,677,66,21,0.3182,0.1433,0.209,3
"Massachusetts","ps",0.05,12638,764,36,5,0.1389,0.1545,0.0385,3
"Massachusetts","ps",0.1,12638,764,76,21,0.2763,0.1545,0.2016,3
"Massachusetts","pct",0.05,13908,764,36,6,0.1667,0.1545,0.057,3
"Massachusetts","pct",0.1,13908,764,75,23,0.3067,0.1545,0.2178,3
"Michigan","ps",0.05,14046,847,42,11,0.2619,0.1311,0.0756,3
"Michigan","ps",0.1,14046,847,84,24,0.2857,0.1311,0.192,3
"Michigan","pct",0.05,13137,847,42,11,0.2619,0.1311,0.0904,3
"Michigan","pct",0.1,13137,847,84,22,0.2619,0.1311,0.1794,3
"Minnesota","ps",0.05,11693,799,37,5,0.1351,0.1339,0.0445,3
"Minnesota","ps",0.1,11693,799,79,21,0.2658,0.1339,0.1488,3
"Minnesota","pct",0.05,9612,799,37,12,0.3243,0.1339,0.0817,3
"Minnesota","pct",0.1,9612,799,79,19,0.2405,0.1339,0.1438,3
"Mississippi","ps",0.05,17776,902,42,15,0.3571,0.1408,0.1209,3
"Mississippi","ps",0.1,17776,902,90,35,0.3889,0.1408,0.2494,3
"Mississippi","pct",0.05,15502,902,43,15,0.3488,0.1408,0.1258,3
"Mississippi","pct",0.1,15502,902,89,33,0.3708,0.1408,0.2542,3
"Missouri","ps",0.05,10445,756,37,9,0.2432,0.0899,0.1502,3
