"arm","seed","feature","family","n_admitted","share_admitted","n_window","share_window","best_rank"
"cand",20260805,"total_deductions_by_hh_size","incumbent",12380,0.209319626673881,4496,0.2248,4
"cand",20260805,"expedited_i","incumbent",3112,0.0526173407277154,1167,0.05835,8
"cand",20260805,"cat_elig","incumbent",3569,0.0603442445556608,1301,0.06505,50
"cand",20260805,"rawben_rel_max","incumbent",13410,0.226734749086974,5264,0.2632,1
"cand",20260805,"medical_deductions","incumbent",4356,0.0736507507101312,1037,0.05185,1
"cand",20260805,"shelter_expenses_by_hh_size","incumbent",10456,0.176788854321656,3252,0.1626,3
"cand",20260805,"utilities","incumbent",11233,0.189926281617747,3126,0.1563,1
"cand",20260805,"married","incumbent",1513,0.0255816312728256,545,0.02725,119
"cand",20260805,"homeless","incumbent",1424,0.0240768294332477,315,0.01575,44
"cand",20260805,"percent_abawd","incumbent",3473,0.0587210875152171,1176,0.0588,22
"cand",20260805,"unc_rawben_rel_max","incumbent",11398,0.192716082781009,4486,0.2243,2
"cand",20260805,"months_since_cert_n","incumbent",9341,0.157936561612336,3074,0.1537,37
"cand",20260805,"count_divisible_by_100","incumbent",2359,0.0398857026917354,842,0.0421,224
"cand",20260805,"gross_by_hh_size","new",10896,0.184228324090356,3766,0.1883,15
"cand",20260805,"earned_by_hh_size","new",10218,0.172764777492222,4242,0.2121,16
"cand",20260805,"unearned_by_hh_size","new",8030,0.135770323278777,2378,0.1189,2
"cand",20260805,"rawgrinc_p","new",11864,0.200595157581496,4244,0.2122,7
"cand",20260805,"rawearn_p","new",9303,0.157294061950494,3747,0.18735,28
"cand",20260805,"rawunearn_p","new",8807,0.148907750574868,2627,0.13135,9
"cand",20260805,"rawrent_p","new",12357,0.208930745299608,4037,0.20185,2
"cand",20260805,"rawmedded_p","new",3954,0.0668537806032734,923,0.04615,1
"cand",20260805,"rawcsded_p","new",2544,0.0430136615717571,740,0.037,16
"cand",20260805,"rawdepded_p","new",3193,0.0539868794805898,1748,0.0874,62
"cand",31415,"HH_size_n","incumbent",2806,0.0474852771948826,1538,0.0769,73
"cand",31415,"children_i","incumbent",1790,0.0302917484600284,349,0.01745,172
"cand",31415,"elderly_disabled_i","incumbent",2850,0.0482298788330062,765,0.03825,6
"cand",31415,"total_deductions_by_hh_size","incumbent",12399,0.209825357070331,4570,0.2285,1
"cand",31415,"expedited_i","incumbent",2949,0.0499052325187843,1176,0.0588,50
"cand",31415,"cat_elig","incumbent",3446,0.0583158464766804,1281,0.06405,25
"cand",31415,"rawben_rel_max","incumbent",13473,0.228000406146348,5194,0.2597,4
"cand",31415,"medical_deductions","incumbent",4441,0.0751539971569756,1071,0.05355,1
"cand",31415,"shelter_expenses_by_hh_size","incumbent",10865,0.183865836323022,3417,0.17085,5
"cand",31415,"utilities","incumbent",11615,0.196557909700129,3374,0.1687,3
"cand",31415,"married","incumbent",1447,0.0244872402355649,469,0.02345,292
"cand",31415,"homeless","incumbent",1382,0.0233872605428823,299,0.01495,147
"cand",31415,"percent_abawd","incumbent",3320,0.0561835781493265,1141,0.05705,50
"cand",31415,"unc_rawben_rel_max","incumbent",11510,0.194781019427334,4600,0.23,3
"cand",31415,"months_since_cert_n","incumbent",9117,0.154284843972111,2987,0.14935,53
"cand",31415,"count_divisible_by_100","incumbent",2605,0.0440838015298179,929,0.04645,97
"cand",31415,"gross_by_hh_size","new",10769,0.182241250930752,3697,0.18485,9
"cand",31415,"earned_by_hh_size","new",9482,0.160461653015637,3888,0.1944,52
"cand",31415,"unearned_by_hh_size","new",7921,0.134045217626752,2434,0.1217,18
"cand",31415,"rawgrinc_p","new",12155,0.205696202531646,4324,0.2162,2
"cand",31415,"rawearn_p","new",9615,0.16271238069451,3766,0.1883,60
"cand",31415,"rawunearn_p","new",8390,0.141981994178569,2547,0.12735,2
"cand",31415,"rawrent_p","new",12588,0.213023759561362,4191,0.20955,3
"cand",31415,"rawmedded_p","new",3829,0.0647972652812563,909,0.04545,1
"cand",31415,"rawcsded_p","new",2799,0.0473668178433629,799,0.03995,64
"cand",31415,"rawdepded_p","new",3385,0.0572835578420091,1885,0.09425,52
