"hh_size","rule_id","n_errors_targeted","max_error_jaccard","nearest_rule","mean_error_jaccard","n_near_duplicates"
"2","rule4718",77,0.41,"rule6993",0.07,0
"2","rule11220",39,0.507,"rule15092",0.019,0
"2","rule8032",53,0.427,"rule14634",0.056,0
"2","rule7095",36,0.75,"rule10918",0.048,0
"2","rule1375",79,0.442,"rule24040",0.084,0
"2","rule18297",44,0.511,"rule3074",0.059,0
"2","rule6266",122,0.878,"rule6264",0.09,1
"2","rule1118",46,0.404,"rule1375",0.049,0
"2","rule8822",26,0.426,"rule7984",0.048,0
"2","rule1076",76,0.304,"rule15283",0.045,0
"2","rule16565",59,0.234,"rule5696",0.014,0
"2","rule4112",28,0.5,"rule17016",0.042,0
"2","rule10918",34,0.75,"rule7095",0.046,0
"2","rule15092",65,0.507,"rule11220",0.027,0
"2","rule17016",23,0.5,"rule4112",0.035,0
"2","rule6264",139,0.878,"rule6266",0.095,1
"2","rule2664",80,0.721,"rule5977",0.066,0
"2","rule11695",53,0.265,"rule7108",0.046,0
"2","rule7984",51,0.436,"rule15797",0.064,0
"2","rule6993",119,0.41,"rule4718",0.09,0
"2","rule5696",120,0.234,"rule16565",0.055,0
"2","rule9451",56,0.468,"rule9204",0.06,0
"2","rule14772",33,0.103,"rule11695",0.022,0
"2","rule15283",130,0.425,"rule120",0.079,0
"2","rule4748",55,0.277,"rule15092",0.014,0
"2","rule5727",312,0.948,"rule7523",0.136,2
"2","rule7523",325,0.948,"rule5727",0.138,2
"2","rule7108",157,0.441,"rule14634",0.095,0
"2","rule17177",83,0.194,"rule15092",0.015,0
"2","rule5977",111,0.721,"rule2664",0.073,0
"2","rule18254",89,0.272,"rule514",0.08,0
"2","rule120",306,0.93,"rule7523",0.133,2
"2","rule3281",7,0.222,"rule1840",0.008,0
"2","rule1840",15,0.222,"rule3281",0.014,0
"2","rule11659",19,0.792,"rule1692",0.032,0
"2","rule16953",16,0.667,"rule1692",0.027,0
"2","rule1692",24,0.792,"rule11659",0.036,0
"2","rule12120",18,0.172,"rule16953",0.021,0
"2","rule6412",75,0.184,"rule1840",0.03,0
"2","rule30667",0,0,"rule218",0,0
"2","rule18326",3,0.13,"rule25044",0.003,0
