"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag","collapsed","dominated","dominated_by","pruned_conditions","rule_pruned","precision_recomputed","n_flagged_recomputed"
"1","rule3612","unc_rawben_rel_max >= 1.848 & shelter_expenses >= 1258 & shelter_expenses < 1580",3,"INCLUDE",-0.077,0.007,0.8,90,37,53,0.411,0.047,0.052,6.17,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.848 & shelter_expenses >= 1258 & shelter_expenses < 1580",NA,NA
"1","rule1573","rawunearn < 327.5 & shelter_expenses < 1022 & cat_elig >= 1.5 & rawben_rel_max < 0.8746",4,"INCLUDE",-0.133,0.014,1.1,132,54,78,0.409,0.068,0.062,6.14,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawunearn < 327.5 & shelter_expenses < 1022 & cat_elig >= 1.5 & rawben_rel_max < 0.8746",NA,NA
"1","rule121","unc_rawben_rel_max >= 1.785 & months_since_cert_n >= 5.5 & total_deductions < 894",3,"INCLUDE",-0.052,0.007,1.7,206,84,122,0.408,0.106,0.123,6.12,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.785 & months_since_cert_n >= 5.5 & total_deductions < 894",NA,NA
"1","rule7539","unc_rawben_rel_max >= 1.912 & utilities < 581.5 & shelter_expenses < 995.5",3,"INCLUDE",-0.341,0.029,0.7,84,34,50,0.405,0.043,0.043,6.07,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max >= 1.912 & utilities < 581.5 & shelter_expenses < 995.5",NA,NA
"1","rule2575","rawearn >= 1.5 & rawben_rel_max < 0.972 & rawearn < 83",3,"INCLUDE",-0.068,0.005,0.5,57,23,34,0.404,0.029,0.02,6.05,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn >= 1.5 & rawben_rel_max < 0.972 & rawearn < 83",NA,NA
"1","rule7333","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 5.5 & utilities >= 9.5 & total_deductions < 122.1",4,"INCLUDE",-0.057,0.003,0.4,43,17,26,0.395,0.021,0.02,5.93,0.067,"earned_overissuance",FALSE,FALSE,NA,"","elderly_disabled_i %in% c(""FALSE"") & months_since_cert_n >= 5.5 & utilities >= 9.5 & total_deductions < 122.1",NA,NA
"1","rule5000","rawearn >= 3.5 & rawben_rel_max < 0.9777 & rawben_rel_max >= 0.7027",3,"INCLUDE",-0.234,0.033,2.1,246,95,151,0.386,0.12,0.106,5.79,0.067,"earned_overissuance",FALSE,FALSE,NA,"","rawearn >= 3.5 & rawben_rel_max < 0.9777 & rawben_rel_max >= 0.7027",NA,NA
"1","rule9488","unc_rawben_rel_max < 1.543 & rawearn >= 5.5 & rawben_rel_max < 0.9562 & unc_rawben_rel_max >= 0.7772",4,"INCLUDE",-0.081,0.009,1.4,166,64,102,0.386,0.081,0.074,5.78,0.067,"earned_overissuance",FALSE,FALSE,NA,"","unc_rawben_rel_max < 1.543 & rawearn >= 5.5 & rawben_rel_max < 0.9562 & unc_rawben_rel_max >= 0.7772",NA,NA
"1","rule2982","elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.8287 & rawben_rel_max >= 0.6637",3,"INCLUDE",-0.125,0.013,1.1,133,51,82,0.383,0.064,0.052,5.75,0.067,"earned_overissuance",FALSE,FALSE,NA,"","elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.8287 & rawben_rel_max >= 0.6637",NA,NA
"1","rule5288","total_deductions < 1118 & rawgross < 27 & months_since_cert_n >= 5.5 & utilities >= 24.5",4,"INCLUDE",-0.04,0.006,2.2,267,100,167,0.375,0.126,0.143,5.62,0.067,"earned_overissuance",FALSE,FALSE,NA,"","total_deductions < 1118 & rawgross < 27 & months_since_cert_n >= 5.5 & utilities >= 24.5",NA,NA
