"hh","rule","source","n_flagged_train","clean_rate_train","clean_rate_train_lcb","n_flagged_holdout","clean_flagged_holdout","clean_rate_holdout","clean_cut_holdout","err_dollars_lost_holdout","workload_pct_holdout","stratum_base_error","stratum_clean_floor","safety_multiple"
"1","expedited_i <=   0.5000 & total_deductions_by_hh_size >   2.8000 & total_deductions_by_hh_size <= 152.0000 & unc_rawben_rel_max <=  -0.0463","ranger",762,0.99213,0.98485,356,348,0.9775,0.0157,0.0051,1.479,0.0772,0.9846,5.1
"1","elderly_disabled_i >   0.5 & homeless <=   0.5 & total_deductions_by_hh_size <=   7.8 & utilities > 242.0","ranger",930,0.9914,0.9848,445,440,0.9888,0.0198,0.003,1.849,0.0772,0.9846,5.1
"1","cat_elig <= 0.50 & count_divisible_by_100 <= 0.50 & elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.02","ranger",1890,0.98942,0.98479,981,966,0.9847,0.0435,0.01,4.077,0.0772,0.9846,5.1
"1","medical_deductions >  3.500 & months_since_cert_n <= 26.500 & rawben_rel_max <=  0.085","ranger",1095,0.99087,0.98478,488,482,0.9877,0.0217,0.0028,2.028,0.0772,0.9846,5.1
"1","homeless <=   0.5000 & rawben_rel_max >   0.0795 & total_deductions_by_hh_size <=   2.8000 & utilities > 245.0000","ranger",581,0.99312,0.98475,442,436,0.9864,0.0196,0.0047,1.837,0.0772,0.9846,5.1
"1","cat_elig <=  0.500 & medical_deductions <= 70.000 & shelter_expenses_by_hh_size <=  5.500 & unc_rawben_rel_max >  0.943","ranger",1723,0.98955,0.98469,899,884,0.9833,0.0398,0.0097,3.736,0.0772,0.9846,5
"1","cat_elig <=    0.500 & rawben_rel_max >    0.971 & shelter_expenses_by_hh_size <=   14.500 & total_deductions_by_hh_size <= 2930.000","ranger",1722,0.98955,0.98468,900,884,0.9822,0.0398,0.0106,3.74,0.0772,0.9846,5
"1","cat_elig <= 0.500 & shelter_expenses_by_hh_size <= 5.500 & unc_rawben_rel_max > 0.991 & unc_rawben_rel_max <= 1.290","ranger",1641,0.98964,0.98465,886,873,0.9853,0.0393,0.0088,3.682,0.0772,0.9846,5
"1","cat_elig <=   0.5 & total_deductions_by_hh_size <=  65.5 & utilities <= 424.0","ranger",2253,0.9889,0.98464,1191,1169,0.9815,0.0526,0.0142,4.95,0.0772,0.9846,5
"1","elderly_disabled_i >=   1.000 & total_deductions_by_hh_size < 321.000 & unc_rawben_rel_max <  -0.004","xgboost",2850,0.98842,0.98463,1336,1321,0.9888,0.0594,0.0083,5.552,0.0772,0.9846,5
"1","months_since_cert_n >=   1.000 & total_deductions_by_hh_size < 202.000 & unc_rawben_rel_max <  -0.004","xgboost",2326,0.98882,0.98463,1100,1086,0.9873,0.0489,0.0078,4.571,0.0772,0.9846,5
"1","cat_elig <=  0.500 & months_since_cert_n <= 37.000 & shelter_expenses_by_hh_size <=  5.500 & unc_rawben_rel_max >  0.976","ranger",1713,0.98949,0.9846,897,881,0.9822,0.0396,0.0106,3.728,0.0772,0.9846,5
"1","cat_elig <= 0.500 & rawben_rel_max > 0.991 & shelter_expenses_by_hh_size <= 5.500","ranger",1713,0.98949,0.9846,895,879,0.9821,0.0395,0.0106,3.719,0.0772,0.9846,5
"1","cat_elig <= 0.500 & total_deductions_by_hh_size <= 1.800 & unc_rawben_rel_max > 0.991","ranger",1636,0.98961,0.9846,860,847,0.9849,0.0381,0.0088,3.574,0.0772,0.9846,5
"2-3","medical_deductions > 296.000 & rawben_rel_max <=   0.157","ranger",93,1,0.97173,41,40,0.9756,0.0045,0.0013,0.391,0.1475,0.9705,5.2
"4+","expedited_i >   0.5 & unc_rawben_rel_max >   1.0 & utilities > 340.0 & utilities <= 428.0","ranger",71,1,0.96329,37,30,0.8108,0.0068,0.0073,0.669,0.2038,0.9592,5.6
"4+","children_i >   0.500 & expedited_i >   0.500 & rawben_rel_max >   0.998 & utilities > 568.000","ranger",70,1,0.96278,42,41,0.9762,0.0092,7e-04,0.76,0.2038,0.9592,5.5
