"state","arm","budget","n_pool","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Pennsylvania","state",0.05,1382,7,10,760,36,12,0.3333,0.1434,0.1265,0,0
"Pennsylvania","state",0.1,1382,4,16,760,74,21,0.2838,0.1434,0.1715,1,0
"Pennsylvania","national",0.05,53420,38,71,760,38,15,0.3947,0.1434,0.1405,0,0
"Pennsylvania","national",0.1,53420,63,123,760,76,29,0.3816,0.1434,0.3282,0,0
"Pennsylvania","blended",0.05,54802,38,60,760,38,15,0.3947,0.1434,0.1405,0,0
"Pennsylvania","blended",0.1,54802,63,102,760,76,29,0.3816,0.1434,0.3282,0,0
"Rhode Island","state",0.05,7455,3,8,933,42,16,0.381,0.1801,0.0951,0,0
"Rhode Island","state",0.1,7455,8,16,933,89,29,0.3258,0.1801,0.1821,0,0
"Rhode Island","national",0.05,53420,24,54,933,46,20,0.4348,0.1801,0.1075,0,0
"Rhode Island","national",0.1,53420,48,73,933,93,33,0.3548,0.1801,0.1821,0,0
"Rhode Island","blended",0.05,60787,11,23,933,46,20,0.4348,0.1801,0.1155,0,0
"Rhode Island","blended",0.1,60787,19,36,933,93,38,0.4086,0.1801,0.2135,0,0
"South Carolina","state",0.05,4639,3,9,828,39,13,0.3333,0.1329,0.1492,0,0
"South Carolina","state",0.1,4639,7,15,828,81,24,0.2963,0.1329,0.2865,0,0
"South Carolina","national",0.05,53420,41,45,828,41,12,0.2927,0.1329,0.1058,0,0
"South Carolina","national",0.1,53420,66,87,828,82,22,0.2683,0.1329,0.2804,0,0
"South Carolina","blended",0.05,58040,27,33,828,41,11,0.2683,0.1329,0.1343,0,0
"South Carolina","blended",0.1,58040,46,81,828,82,25,0.3049,0.1329,0.2732,0,0
"South Dakota","state",0.05,0,0,0,590,0,0,NA,0.0492,NA,NA,NA
"South Dakota","state",0.1,0,0,0,590,0,0,NA,0.0492,NA,NA,NA
"South Dakota","national",0.05,53420,31,55,590,29,5,0.1724,0.0492,0.2053,0,0
"South Dakota","national",0.1,53420,58,103,590,59,8,0.1356,0.0492,0.2624,0,0
"South Dakota","blended",0.05,53420,31,55,590,29,5,0.1724,0.0492,0.2053,0,0
"South Dakota","blended",0.1,53420,58,103,590,59,8,0.1356,0.0492,0.2624,0,0
"Tennessee","state",0.05,5492,6,8,938,40,8,0.2,0.0991,0.0876,0,0
"Tennessee","state",0.1,5492,7,22,938,92,13,0.1413,0.0991,0.1806,0,0
"Tennessee","national",0.05,53420,37,64,938,46,11,0.2391,0.0991,0.121,0,0
