"bucket","rules","med_train_n","med_lcb","mean_prec_train","share_n24_lt10","n_scored","mean_d_raw","med_d_raw","mean_d_lcb","med_d_lcb"
"<=2%",241,119,0.134910957434069,0.206410887864368,0.352697095435685,156,-0.0349579608567418,-0.0344113446235462,0.0308448934460052,0.0222294010988416
"2-5%",525,256,0.120119690040538,0.181219819483425,0.0666666666666667,490,-0.0352696246449558,-0.0332763445753888,0.0198808208790575,0.0167647169530765
"5-15%",1184,356,0.117783930050726,0.170258571729014,0.0135135135135135,1168,-0.0157920722791118,-0.00854028880901003,0.0325796737345543,0.026694599357127
"15-50%",2239,834,0.121604005503792,0.165210768630718,0.00357302367128182,2231,-0.000617496827078149,0.0105924839315907,0.0375602020625714,0.032680423647744
">50%",2128,2208,0.115372780121781,0.147943712089579,0.000469924812030075,2127,0.006480366577681,0.0142377138651843,0.0349837038746542,0.0285922042827308
"one-sided/non-dollar ref",44552,1221,0.129726368806839,0.168175883372845,0.00237924223379422,44446,0.00362216570099327,0.0151112438028982,0.0381394259190496,0.03279335818142
