"variable","era","rules","med_train_n","reach_collapse","med_d_raw","med_d_lcb","med_d_raw_others","excess_vs_others"
"(ALL BAND RULES)","2022-23 -> 2024",13992,122,0.0223699256718125,-0.0206398348813207,0.0567276115805224,NA,NA
"bbce_state_i","2022-23 -> 2024",725,128,0.0193103448275862,-0.0195045496103443,0.0504065238049665,-0.0207273356559941,0.00122278604564983
"children_i","2022-23 -> 2024",1044,128,0.00670498084291188,-0.0196176344699671,0.0449644852810932,-0.0207508949389069,0.00113326046893975
"count_divisible_by_100","2022-23 -> 2024",964,101,0.0103734439834025,-0.0461734168088256,0.0409315018886261,-0.0189255189255189,-0.0272478978833067
"earned_by_hh_size","2022-23 -> 2024",4104,121,0.0177875243664717,-0.0168421052631579,0.0619538213390052,-0.0219022154316271,0.0050601101684692
"elderly_disabled_i","2022-23 -> 2024",906,123.5,0.0143487858719647,-0.0137043290996743,0.0610918497414135,-0.0208878235317401,0.00718349443206579
"expedited_i","2022-23 -> 2024",1085,120,0.0129032258064516,-0.0156824307767707,0.0593956525010445,-0.0209415283901586,0.00525909761338791
"gross_by_hh_size","2022-23 -> 2024",3921,123,0.0232083652129559,-0.0214736302795481,0.0545734300594916,-0.0202366127023665,-0.00123701757718161
"HH_size_n","2022-23 -> 2024",987,119,0.0212765957446809,-0.0272697712063381,0.0550164414249918,-0.0202761000862808,-0.00699367112005726
"homeless","2022-23 -> 2024",461,125,0.00650759219088937,-0.00445205594990716,0.0641851110999163,-0.0211462213144299,0.0166941653645227
"married","2022-23 -> 2024",617,107,0.0145867098865478,-0.012019796682718,0.0601279760940207,-0.0209212376933898,0.00890144101067181
"medical_deductions","2022-23 -> 2024",2118,107,0.0118035882908404,-0.0318165001849798,0.0470225977733431,-0.0185596197882911,-0.0132568803966887
"months_since_cert_n","2022-23 -> 2024",3360,116,0.0279761904761905,-0.0195387062566275,0.0573685513922837,-0.0209364293871338,0.00139772313050633
"percent_abawd","2022-23 -> 2024",1373,122,0.0189366351056082,0.00506268081002845,0.0835580175004637,-0.0226585296977143,0.0277212105077428
"rawben_rel_max","2022-23 -> 2024",3616,122,0.0287610619469027,-0.0171733920562415,0.0607279473788388,-0.0218315425202405,0.00465815046399903
"shelter_expenses_by_hh_size","2022-23 -> 2024",4450,123,0.0168539325842697,-0.0181134654818861,0.0613856268623972,-0.0217480545441567,0.00363458906227063
"total_deductions_by_hh_size","2022-23 -> 2024",4506,126,0.0173102529960053,-0.022227065775453,0.0552063039301308,-0.0201465201465204,-0.00208054562893261
"unc_rawben_rel_max","2022-23 -> 2024",3395,118,0.022680412371134,-0.0209127317874164,0.0588038441152041,-0.020588235294118,-0.00032449649329841
"unearned_by_hh_size","2022-23 -> 2024",3127,122,0.0140709945634794,-0.0245001408054071,0.0513264585852115,-0.01948012295472,-0.00502001785068709
"utilities","2022-23 -> 2024",4159,123,0.0418369800432796,-0.023019034971226,0.0520615651273643,-0.01961701252705,-0.00340202244417599
"(ALL BAND RULES)","2017-18 -> 2019",13871,123,0.0163650782207483,-0.0269721275662013,0.0444268076142983,NA,NA
"cat_elig","2017-18 -> 2019",1182,126,0.0194585448392555,-0.0338680926916222,0.0362865170137404,-0.0263157894736843,-0.00755230321793787
"children_i","2017-18 -> 2019",1013,133,0.0118460019743337,-0.0208449655685838,0.0422961937502651,-0.0278901129549572,0.00704514738637335
"count_divisible_by_100","2017-18 -> 2019",993,103,0.0181268882175227,-0.0247326203208561,0.0527480219568637,-0.0271646859083189,0.00243206558746281
"elderly_disabled_i","2017-18 -> 2019",1461,114,0.0253251197809719,-0.0301081827500617,0.0459198525096643,-0.0267521929824562,-0.00335598976760557
"expedited_i","2017-18 -> 2019",1214,119,0.0057660626029654,-0.0356472795497188,0.0383221652416622,-0.0261387163561076,-0.00950856319361124
"HH_size_n","2017-18 -> 2019",1481,122,0.0114787305874409,-0.0574580490503411,0.0207994571759271,-0.0242552390118312,-0.0332028100385099
"homeless","2017-18 -> 2019",586,120.5,0,0.000342012356575661,0.0630454823160799,-0.0284627197085102,0.0288047320650859
"married","2017-18 -> 2019",908,121,0.0242290748898678,-0.0284348940607108,0.0382640429509883,-0.0268278819388628,-0.00160701212184797
"medical_deductions","2017-18 -> 2019",2874,118.5,0.0125260960334029,-0.0141877725079211,0.0593505545086233,-0.0308606744133059,0.0166729019053848
"months_since_cert_n","2017-18 -> 2019",3773,125,0.012987012987013,-0.0230618815147116,0.0465789870857002,-0.028466876077308,0.00540499456259648
"percent_abawd","2017-18 -> 2019",2004,127,0.0199600798403194,-0.0424706246134815,0.0336140899775363,-0.0249218148693019,-0.0175488097441796
"rawben_rel_max","2017-18 -> 2019",4687,122,0.0106678045658204,-0.023021582733813,0.0500304853446259,-0.0290006988120193,0.00597911607820631
"shelter_expenses_by_hh_size","2017-18 -> 2019",5259,121,0.0135006655257654,-0.0248120181979023,0.0457778742038328,-0.0280936724054592,0.00328165420755683
"total_deductions_by_hh_size","2017-18 -> 2019",5598,121,0.011611289746338,-0.0263157894736839,0.044713151991715,-0.0274841437632132,0.00116835428952927
"unc_rawben_rel_max","2017-18 -> 2019",4831,114,0.0109708134961706,-0.0359136404626624,0.0397613325232578,-0.0220941472282925,-0.0138194932343699
"utilities","2017-18 -> 2019",5076,125,0.0293538219070134,-0.0244016267751187,0.0443732074392908,-0.0285204991087347,0.00411887233361602
