"bucket","rules","med_train_n","med_lcb","mean_prec_train","share_n24_lt10","n_scored","mean_d_raw","med_d_raw","mean_d_lcb","med_d_lcb"
"<=2%",153,106,0.1827528379881,0.268053238867497,0.313725490196078,105,-0.0803609594084486,-0.069047619047619,0.00782352611961773,0.00626854019309583
"2-5%",328,110,0.185097181357478,0.268673465220708,0.100609756097561,295,-0.0809265752405259,-0.0697977821265492,0.00724623495355021,0.00928182542064751
"5-15%",578,128,0.177992731095431,0.264643270590297,0.0259515570934256,563,-0.0530124098296711,-0.0475259936582848,0.0311088380713272,0.028032556649856
"15-50%",728,143,0.183180495362304,0.260924937175399,0.00824175824175824,722,-0.0328530366633868,-0.0308363625743578,0.0491893895689724,0.0430545571249981
">50%",479,140,0.187279736975735,0.272734790468197,0.0208768267223382,469,-0.0350155771059987,-0.030514385353095,0.0489053179040043,0.0456697286450333
"one-sided/non-dollar ref",11726,121,0.183714224942811,0.267164628145354,0.0171413951901757,11525,-0.0199436144919506,-0.0168866579909525,0.0663079507551688,0.0607352914032994
