"bucket","rules","med_train_n","med_lcb","mean_prec_train","share_n24_lt10","n_scored","mean_d_raw","med_d_raw","mean_d_lcb","med_d_lcb"
"<=2%",213,107,0.138084881486966,0.215977454428928,0.36150234741784,136,-0.038669901280164,-0.043436353384965,0.031968695406203,0.0227309304853057
"2-5%",305,135,0.134554667959243,0.213194053005983,0.0852459016393443,279,-0.050009666179495,-0.0517997462324422,0.0234176281189698,0.0145887329054135
"5-15%",538,128,0.132327050452382,0.212733273483811,0.016728624535316,529,-0.0360580156808057,-0.0366300366300366,0.0399332103930674,0.0299372900658978
"15-50%",690,126.5,0.146742532446292,0.230268373831608,0.0115942028985507,682,-0.0321617017443002,-0.0245116640465478,0.046626887503614,0.0445073254280969
">50%",457,131,0.144440736195595,0.222867287899282,0.00218818380743982,456,-0.0267601063779992,-0.0237007018716577,0.0491279164647583,0.0450323794937669
"one-sided/non-dollar ref",11668,122,0.150213400974305,0.237827476464905,0.00908467603702434,11562,-0.0323009505270415,-0.0261937164795093,0.0486929975740068,0.0460770628730869
