"arm","rules","reach_collapse","med_n24_ratio","med_d_raw","mean_d_raw"
"maxA",4159,0.0305361865833133,0.636363636363636,-0.0282974008269324,-0.032287630571884
"modeA",4159,0.0134647751863429,0.619047619047619,-0.0217483108108108,-0.0266298971041101
"raw",4159,0.0418369800432796,0.585034013605442,-0.0230190349712262,-0.0268378539962542
