"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total","precision_base","dollar_base","d_precision","d_dollar_recall"
"Illinois","floor05",0.05,63086,634,12,31,818,40,15,0.375,0.165,0.1129,0,0,0.375,0.1129,0,0
"Illinois","floor05",0.1,63086,634,25,86,818,81,26,0.321,0.165,0.1804,0,0,0.321,0.1804,0,0
"Indiana","floor02",0.05,60093,196,16,28,875,43,17,0.3953,0.144,0.1686,0,0,0.3953,0.1686,0,0
"Indiana","floor02",0.1,60093,196,27,115,875,87,28,0.3218,0.144,0.3025,0,0,0.3218,0.3025,0,0
"Indiana","floor05",0.05,59650,639,16,28,875,43,17,0.3953,0.144,0.1686,0,0,0.3953,0.1686,0,0
"Indiana","floor05",0.1,59650,639,27,115,875,87,28,0.3218,0.144,0.3025,0,0,0.3218,0.3025,0,0
"Iowa","floor02",0.05,54266,193,49,74,936,46,14,0.3043,0.0791,0.2083,0,0,0.3043,0.2083,0,0
"Iowa","floor02",0.1,54266,193,83,163,936,93,24,0.2581,0.0791,0.3604,0,0,0.2581,0.3604,0,0
"Iowa","floor05",0.05,53825,634,49,74,936,46,15,0.3261,0.0791,0.2169,0,0,0.3043,0.2083,0.0218,0.0086
"Iowa","floor05",0.1,53825,634,80,166,936,93,23,0.2473,0.0791,0.3557,0,0,0.2581,0.3604,-0.0108,-0.00469999999999998
"Kansas","floor02",0.05,54032,193,36,71,872,43,11,0.2558,0.1044,0.1962,0,0,0.2558,0.1962,0,0
"Kansas","floor02",0.1,54032,193,64,131,872,87,16,0.1839,0.1044,0.261,0,0,0.1839,0.261,0,0
"Kansas","floor05",0.05,53590,635,36,71,872,43,11,0.2558,0.1044,0.1962,0,0,0.2558,0.1962,0,0
"Kansas","floor05",0.1,53590,635,64,128,872,87,16,0.1839,0.1044,0.261,0,0,0.1839,0.261,0,0
"Kentucky","floor02",0.05,56384,193,41,66,841,42,16,0.381,0.082,0.3406,0,0,0.3571,0.327,0.0239,0.0136
"Kentucky","floor02",0.1,56384,193,82,116,841,84,25,0.2976,0.082,0.4755,0,0,0.2976,0.4755,0,0
"Kentucky","floor05",0.05,55938,639,41,65,841,42,16,0.381,0.082,0.3406,0,0,0.3571,0.327,0.0239,0.0136
"Kentucky","floor05",0.1,55938,639,81,116,841,84,27,0.3214,0.082,0.5025,0,0,0.2976,0.4755,0.0238,0.027
"Louisiana","floor02",0.05,56900,193,31,61,873,43,12,0.2791,0.11,0.1552,0,0,0.2791,0.1552,0,0
"Louisiana","floor02",0.1,56900,193,54,126,873,87,23,0.2644,0.11,0.2783,0,0,0.2644,0.2783,0,0
"Louisiana","floor05",0.05,56459,634,30,62,873,43,12,0.2791,0.11,0.1552,0,0,0.2791,0.1552,0,0
"Louisiana","floor05",0.1,56459,634,55,124,873,87,23,0.2644,0.11,0.2783,0,0,0.2644,0.2783,0,0
"Maine","floor02",0.05,59342,193,14,56,928,46,15,0.3261,0.1239,0.2468,0,0,0.3261,0.2468,0,0
"Maine","floor02",0.1,59342,193,37,110,928,92,25,0.2717,0.1239,0.3305,0,0,0.2717,0.3305,0,0
"Maine","floor05",0.05,58901,634,14,57,928,46,15,0.3261,0.1239,0.2468,0,0,0.3261,0.2468,0,0
"Maine","floor05",0.1,58901,634,37,111,928,92,24,0.2609,0.1239,0.3177,0,0,0.2717,0.3305,-0.0108,-0.0128
"Maryland","floor02",0.05,58183,193,9,14,677,32,13,0.4062,0.1433,0.1007,0,0,0.4062,0.1007,0,0
"Maryland","floor02",0.1,58183,193,12,41,677,67,28,0.4179,0.1433,0.2323,0,0,0.4179,0.2323,0,0
"Maryland","floor05",0.05,57742,634,9,14,677,32,13,0.4062,0.1433,0.1007,0,0,0.4062,0.1007,0,0
"Maryland","floor05",0.1,57742,634,12,44,677,67,28,0.4179,0.1433,0.2323,0,0,0.4179,0.2323,0,0
"Massachusetts","floor02",0.05,58114,193,25,55,764,38,17,0.4474,0.1545,0.1352,0,0,0.4474,0.1352,0,0
"Massachusetts","floor02",0.1,58114,193,57,85,764,76,33,0.4342,0.1545,0.2668,0,0,0.4342,0.2668,0,0
"Massachusetts","floor05",0.05,57655,652,25,56,764,38,17,0.4474,0.1545,0.1352,0,0,0.4474,0.1352,0,0
"Massachusetts","floor05",0.1,57655,652,56,97,764,76,33,0.4342,0.1545,0.2668,0,0,0.4342,0.2668,0,0
"Michigan","floor02",0.05,56114,193,22,41,847,42,17,0.4048,0.1311,0.131,0,0,0.4048,0.131,0,0
"Michigan","floor02",0.1,56114,193,45,108,847,84,27,0.3214,0.1311,0.2734,0,0,0.3214,0.2734,0,0
"Michigan","floor05",0.05,55672,635,22,41,847,42,17,0.4048,0.1311,0.131,0,0,0.4048,0.131,0,0
"Michigan","floor05",0.1,55672,635,45,108,847,84,27,0.3214,0.1311,0.2734,0,0,0.3214,0.2734,0,0
"Minnesota","floor02",0.05,57596,194,26,66,799,39,17,0.4359,0.1339,0.1874,0,0,0.4359,0.1874,0,0
"Minnesota","floor02",0.1,57596,194,56,104,799,79,27,0.3418,0.1339,0.3013,0,0,0.3418,0.3013,0,0
"Minnesota","floor05",0.05,57153,637,26,66,799,39,17,0.4359,0.1339,0.1874,0,0,0.4359,0.1874,0,0
"Minnesota","floor05",0.1,57153,637,57,104,799,79,28,0.3544,0.1339,0.3069,0,0,0.3418,0.3013,0.0126,0.00559999999999999
"Mississippi","floor02",0.05,60108,193,25,27,902,45,20,0.4444,0.1408,0.1523,0,0,0.4444,0.1523,0,0
"Mississippi","floor02",0.1,60108,193,27,120,902,90,34,0.3778,0.1408,0.2893,0,0,0.3778,0.2893,0,0
"Mississippi","floor05",0.05,59667,634,25,27,902,45,20,0.4444,0.1408,0.1523,0,0,0.4444,0.1523,0,0
"Mississippi","floor05",0.1,59667,634,27,121,902,90,34,0.3778,0.1408,0.2893,0,0,0.3778,0.2893,0,0
"Missouri","floor02",0.05,55346,193,22,56,756,37,10,0.2703,0.0899,0.1732,0,0,0.2703,0.1732,0,0
"Missouri","floor02",0.1,55346,193,44,115,756,75,20,0.2667,0.0899,0.3551,0,0,0.2667,0.3551,0,0
"Missouri","floor05",0.05,54905,634,22,56,756,37,10,0.2703,0.0899,0.1732,0,0,0.2703,0.1732,0,0
"Missouri","floor05",0.1,54905,634,44,116,756,75,21,0.28,0.0899,0.3667,0,0,0.2667,0.3551,0.0133,0.0116
"Montana","floor02",0.05,54072,193,31,41,575,28,11,0.3929,0.1113,0.2084,0,0,0.3929,0.2084,0,0
"Montana","floor02",0.1,54072,193,59,92,575,57,14,0.2456,0.1113,0.2598,0,0,0.2456,0.2598,0,0
"Montana","floor05",0.05,53631,634,31,40,575,28,11,0.3929,0.1113,0.2084,0,0,0.3929,0.2084,0,0
"Montana","floor05",0.1,53631,634,57,97,575,57,14,0.2456,0.1113,0.2598,0,0,0.2456,0.2598,0,0
"Nebraska","floor02",0.05,53797,193,41,73,881,44,5,0.1136,0.0613,0.0974,0,0,0.1364,0.1087,-0.0228,-0.0113
"Nebraska","floor02",0.1,53797,193,83,116,881,88,9,0.1023,0.0613,0.1839,0,0,0.1023,0.1839,0,0
"Nebraska","floor05",0.05,53346,644,40,75,881,44,5,0.1136,0.0613,0.0974,0,0,0.1364,0.1087,-0.0228,-0.0113
"Nebraska","floor05",0.1,53346,644,81,119,881,88,10,0.1136,0.0613,0.1917,0,0,0.1023,0.1839,0.0113,0.0078
"Nevada","floor02",0.05,60716,193,37,63,911,45,14,0.3111,0.0911,0.2249,0,0,0.3111,0.2249,0,0
"Nevada","floor02",0.1,60716,193,72,130,911,91,22,0.2418,0.0911,0.3278,0,0,0.2418,0.3278,0,0
"Nevada","floor05",0.05,60274,635,37,62,911,45,14,0.3111,0.0911,0.2249,0,0,0.3111,0.2249,0,0
"Nevada","floor05",0.1,60274,635,69,128,911,91,22,0.2418,0.0911,0.3278,0,0,0.2418,0.3278,0,0
"New Hampshire","floor02",0.05,56960,194,34,45,620,31,10,0.3226,0.1113,0.1866,0,0,0.3226,0.1866,0,0
"New Hampshire","floor02",0.1,56960,194,57,68,620,62,18,0.2903,0.1113,0.2999,0,0,0.2903,0.2999,0,0
"New Hampshire","floor05",0.05,56514,640,34,45,620,31,10,0.3226,0.1113,0.1866,0,0,0.3226,0.1866,0,0
"New Hampshire","floor05",0.1,56514,640,56,73,620,62,18,0.2903,0.1113,0.2999,0,0,0.2903,0.2999,0,0
"New Jersey","floor02",0.05,56150,193,29,51,621,31,7,0.2258,0.095,0.11,0,0,0.2258,0.11,0,0
"New Jersey","floor02",0.1,56150,193,58,101,621,62,16,0.2581,0.095,0.3269,0,0,0.2419,0.3184,0.0162,0.00850000000000001
"New Jersey","floor05",0.05,55709,634,29,51,621,31,7,0.2258,0.095,0.11,0,0,0.2258,0.11,0,0
"New Jersey","floor05",0.1,55709,634,58,100,621,62,16,0.2581,0.095,0.3269,0,0,0.2419,0.3184,0.0162,0.00850000000000001
"New Mexico","floor02",0.05,62200,193,17,31,959,47,22,0.4681,0.1575,0.151,0,0,0.4681,0.151,0,0
"New Mexico","floor02",0.1,62200,193,33,71,959,95,36,0.3789,0.1575,0.251,0,0,0.3789,0.251,0,0
"New Mexico","floor05",0.05,61757,636,17,27,959,47,21,0.4468,0.1575,0.1387,0,0,0.4681,0.151,-0.0213,-0.0123
"New Mexico","floor05",0.1,61757,636,33,68,959,95,37,0.3895,0.1575,0.242,0,0,0.3789,0.251,0.0106,-0.00900000000000001
"New York","floor02",0.05,55673,193,25,42,673,33,7,0.2121,0.1456,0.0531,0,0,0.2121,0.0531,0,0
"New York","floor02",0.1,55673,193,46,83,673,67,20,0.2985,0.1456,0.2017,0,0,0.2985,0.2017,0,0
"New York","floor05",0.05,55232,634,25,42,673,33,7,0.2121,0.1456,0.0531,0,0,0.2121,0.0531,0,0
"New York","floor05",0.1,55232,634,46,83,673,67,20,0.2985,0.1456,0.2017,0,0,0.2985,0.2017,0,0
"North Carolina","floor02",0.05,57521,193,45,59,878,43,11,0.2558,0.131,0.1165,0,0,0.2558,0.1165,0,0
"North Carolina","floor02",0.1,57521,193,69,119,878,87,23,0.2644,0.131,0.221,0,0,0.2644,0.221,0,0
"North Carolina","floor05",0.05,57076,638,45,58,878,43,13,0.3023,0.131,0.1293,0,0,0.2558,0.1165,0.0465,0.0128
"North Carolina","floor05",0.1,57076,638,68,129,878,87,23,0.2644,0.131,0.2191,0,0,0.2644,0.221,0,-0.00190000000000001
"North Dakota","floor02",0.05,54485,193,27,46,434,21,4,0.1905,0.0968,0.1236,0,0,0.1905,0.1236,0,0
"North Dakota","floor02",0.1,54485,193,49,65,434,43,8,0.186,0.0968,0.2138,0,0,0.186,0.2138,0,0
"North Dakota","floor05",0.05,54044,634,27,46,434,21,4,0.1905,0.0968,0.1236,0,0,0.1905,0.1236,0,0
"North Dakota","floor05",0.1,54044,634,49,65,434,43,8,0.186,0.0968,0.2138,0,0,0.186,0.2138,0,0
"Ohio","floor02",0.05,54583,193,32,63,895,44,16,0.3636,0.1017,0.2727,0,0,0.3636,0.2727,0,0
"Ohio","floor02",0.1,54583,193,69,146,895,89,28,0.3146,0.1017,0.3896,0,0,0.3146,0.3896,0,0
"Ohio","floor05",0.05,54140,636,32,63,895,44,16,0.3636,0.1017,0.2727,0,0,0.3636,0.2727,0,0
"Ohio","floor05",0.1,54140,636,69,145,895,89,28,0.3146,0.1017,0.3896,0,0,0.3146,0.3896,0,0
"Oklahoma","floor02",0.05,62021,194,36,47,873,43,15,0.3488,0.1592,0.1097,0,0,0.3488,0.1097,0,0
"Oklahoma","floor02",0.1,62021,194,56,129,873,87,30,0.3448,0.1592,0.2158,0,0,0.3448,0.2158,0,0
"Oklahoma","floor05",0.05,61578,637,36,47,873,43,15,0.3488,0.1592,0.1097,0,0,0.3488,0.1097,0,0
"Oklahoma","floor05",0.1,61578,637,56,126,873,87,30,0.3448,0.1592,0.2158,0,0,0.3448,0.2158,0,0
"Oregon","floor02",0.05,61117,193,11,11,823,41,15,0.3659,0.1507,0.1152,0,0,0.3659,0.1152,0,0
"Oregon","floor02",0.1,61117,193,21,86,823,82,35,0.4268,0.1507,0.3238,0,0,0.4268,0.3238,0,0
"Oregon","floor05",0.05,60676,634,11,11,823,41,15,0.3659,0.1507,0.1152,0,0,0.3659,0.1152,0,0
"Oregon","floor05",0.1,60676,634,21,86,823,82,35,0.4268,0.1507,0.3238,0,0,0.4268,0.3238,0,0
"Pennsylvania","floor02",0.05,54609,193,37,59,760,38,15,0.3947,0.1434,0.1405,0,0,0.3947,0.1405,0,0
"Pennsylvania","floor02",0.1,54609,193,63,98,760,76,29,0.3816,0.1434,0.3282,0,0,0.3816,0.3282,0,0
"Pennsylvania","floor05",0.05,54168,634,37,58,760,38,15,0.3947,0.1434,0.1405,0,0,0.3947,0.1405,0,0
"Pennsylvania","floor05",0.1,54168,634,62,107,760,76,30,0.3947,0.1434,0.3843,0,0,0.3816,0.3282,0.0131,0.0561
"Rhode Island","floor02",0.05,60593,194,11,23,933,46,20,0.4348,0.1801,0.1155,0,0,0.4348,0.1155,0,0
"Rhode Island","floor02",0.1,60593,194,19,36,933,93,38,0.4086,0.1801,0.2135,0,0,0.4086,0.2135,0,0
"Rhode Island","floor05",0.05,60150,637,11,23,933,46,20,0.4348,0.1801,0.1155,0,0,0.4348,0.1155,0,0
"Rhode Island","floor05",0.1,60150,637,19,36,933,93,38,0.4086,0.1801,0.2135,0,0,0.4086,0.2135,0,0
"South Carolina","floor02",0.05,57847,193,27,33,828,41,11,0.2683,0.1329,0.1343,0,0,0.2683,0.1343,0,0
"South Carolina","floor02",0.1,57847,193,46,81,828,82,25,0.3049,0.1329,0.2732,0,0,0.3049,0.2732,0,0
"South Carolina","floor05",0.05,57403,637,27,33,828,41,11,0.2683,0.1329,0.1343,0,0,0.2683,0.1343,0,0
"South Carolina","floor05",0.1,57403,637,46,81,828,82,25,0.3049,0.1329,0.2732,0,0,0.3049,0.2732,0,0
"South Dakota","floor02",0.05,53227,193,33,53,590,29,5,0.1724,0.0492,0.2053,0,0,0.1724,0.2053,0,0
"South Dakota","floor02",0.1,53227,193,58,103,590,59,8,0.1356,0.0492,0.2624,0,0,0.1356,0.2624,0,0
"South Dakota","floor05",0.05,52786,634,32,52,590,29,5,0.1724,0.0492,0.2053,0,0,0.1724,0.2053,0,0
"South Dakota","floor05",0.1,52786,634,59,102,590,59,8,0.1356,0.0492,0.2624,0,0,0.1356,0.2624,0,0
"Tennessee","floor02",0.05,58678,193,24,42,938,46,11,0.2391,0.0991,0.1206,0,0,0.2391,0.1206,0,0
"Tennessee","floor02",0.1,58678,193,42,130,938,93,19,0.2043,0.0991,0.2336,0,0,0.2043,0.2336,0,0
"Tennessee","floor05",0.05,58237,634,24,42,938,46,11,0.2391,0.0991,0.1206,0,0,0.2391,0.1206,0,0
"Tennessee","floor05",0.1,58237,634,42,128,938,93,19,0.2043,0.0991,0.2336,0,0,0.2043,0.2336,0,0
"Texas","floor02",0.05,55052,193,19,40,832,41,13,0.3171,0.149,0.1043,0,0,0.3171,0.1043,0,0
"Texas","floor02",0.1,55052,193,39,110,832,83,23,0.2771,0.149,0.1844,0,0,0.2771,0.1844,0,0
"Texas","floor05",0.05,54611,634,19,40,832,41,13,0.3171,0.149,0.1043,0,0,0.3171,0.1043,0,0
"Texas","floor05",0.1,54611,634,39,110,832,83,23,0.2771,0.149,0.1844,0,0,0.2771,0.1844,0,0
"Utah","floor02",0.05,54980,193,38,75,982,49,8,0.1633,0.0438,0.1556,0,0,0.1429,0.1358,0.0204,0.0198
"Utah","floor02",0.1,54980,193,78,131,982,98,11,0.1122,0.0438,0.2246,0,0,0.1122,0.2246,0,0
"Utah","floor05",0.05,54537,636,38,75,982,49,8,0.1633,0.0438,0.1556,0,0,0.1429,0.1358,0.0204,0.0198
"Utah","floor05",0.1,54537,636,78,129,982,98,11,0.1122,0.0438,0.2246,0,0,0.1122,0.2246,0,0
"Vermont","floor02",0.05,53419,193,27,46,631,31,7,0.2258,0.0634,0.2185,0,0,0.2258,0.2185,0,0
"Vermont","floor02",0.1,53419,193,45,91,631,63,11,0.1746,0.0634,0.3657,0,0,0.1746,0.3657,0,0
"Vermont","floor05",0.05,52978,634,27,43,631,31,7,0.2258,0.0634,0.2185,0,0,0.2258,0.2185,0,0
"Vermont","floor05",0.1,52978,634,48,84,631,63,11,0.1746,0.0634,0.3657,0,0,0.1746,0.3657,0,0
"Virginia","floor02",0.05,59976,193,32,23,695,34,17,0.5,0.1698,0.1735,0,0,0.5,0.1735,0,0
"Virginia","floor02",0.1,59976,193,35,68,695,69,29,0.4203,0.1698,0.2654,0,0,0.4203,0.2654,0,0
"Virginia","floor05",0.05,59535,634,31,18,695,34,16,0.4706,0.1698,0.1679,0,0,0.5,0.1735,-0.0294,-0.00559999999999999
"Virginia","floor05",0.1,59535,634,35,76,695,69,28,0.4058,0.1698,0.2588,0,0,0.4203,0.2654,-0.0145,-0.00660000000000005
"Washington","floor02",0.05,56433,193,24,67,678,33,9,0.2727,0.09,0.1463,0,0,0.2727,0.1463,0,0
"Washington","floor02",0.1,56433,193,53,138,678,67,15,0.2239,0.09,0.2697,0,0,0.2239,0.2697,0,0
"Washington","floor05",0.05,55992,634,24,67,678,33,9,0.2727,0.09,0.1463,0,0,0.2727,0.1463,0,0
"Washington","floor05",0.1,55992,634,53,133,678,67,15,0.2239,0.09,0.2697,0,0,0.2239,0.2697,0,0
"West Virginia","floor02",0.05,57385,195,47,43,643,32,8,0.25,0.0715,0.1423,0,0,0.25,0.1423,0,0
"West Virginia","floor02",0.1,57385,195,66,148,643,64,15,0.2344,0.0715,0.2701,0,0,0.2344,0.2701,0,0
"West Virginia","floor05",0.05,56944,636,47,43,643,32,8,0.25,0.0715,0.1423,0,0,0.25,0.1423,0,0
"West Virginia","floor05",0.1,56944,636,66,137,643,64,15,0.2344,0.0715,0.2701,0,0,0.2344,0.2701,0,0
"Wisconsin","floor02",0.05,57444,193,45,92,979,48,4,0.0833,0.0603,0.0523,0,0,0.0833,0.0523,0,0
"Wisconsin","floor02",0.1,57444,193,90,166,979,97,9,0.0928,0.0603,0.1346,0,0,0.0928,0.1346,0,0
"Wisconsin","floor05",0.05,57003,634,46,86,979,48,4,0.0833,0.0603,0.0523,0,0,0.0833,0.0523,0,0
"Wisconsin","floor05",0.1,57003,634,89,162,979,97,9,0.0928,0.0603,0.1346,0,0,0.0928,0.1346,0,0
"Wyoming","floor02",0.05,53227,193,21,38,266,13,2,0.1538,0.0752,0.1009,0,0,0.1538,0.1009,0,0
"Wyoming","floor02",0.1,53227,193,41,70,266,26,5,0.1923,0.0752,0.2206,0,0,0.1923,0.2206,0,0
"Wyoming","floor05",0.05,52786,634,21,37,266,13,3,0.2308,0.0752,0.1338,0,0,0.1538,0.1009,0.077,0.0329
"Wyoming","floor05",0.1,52786,634,41,68,266,26,6,0.2308,0.0752,0.2443,0,0,0.1923,0.2206,0.0385,0.0237
