"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Idaho","floor05",0.05,54687,634,38,53,936,46,12,0.2609,0.0502,0.2491,0,0
"Idaho","floor05",0.1,54687,634,62,144,936,93,17,0.1828,0.0502,0.4518,0,0
"Illinois","unfiltered",0.05,63720,0,12,31,818,40,15,0.375,0.165,0.1129,0,0
"Illinois","unfiltered",0.1,63720,0,25,90,818,81,26,0.321,0.165,0.1804,0,0
"Illinois","floor02",0.05,63527,193,12,31,818,40,15,0.375,0.165,0.1129,0,0
"Illinois","floor02",0.1,63527,193,25,86,818,81,26,0.321,0.165,0.1804,0,0
"Illinois","floor05",0.05,63086,634,12,31,818,40,15,0.375,0.165,0.1129,0,0
"Illinois","floor05",0.1,63086,634,25,86,818,81,26,0.321,0.165,0.1804,0,0
"Indiana","unfiltered",0.05,60289,0,16,28,875,43,17,0.3953,0.144,0.1686,0,0
"Indiana","unfiltered",0.1,60289,0,27,116,875,87,28,0.3218,0.144,0.3025,0,0
"Indiana","floor02",0.05,60093,196,16,28,875,43,17,0.3953,0.144,0.1686,0,0
"Indiana","floor02",0.1,60093,196,27,115,875,87,28,0.3218,0.144,0.3025,0,0
"Indiana","floor05",0.05,59650,639,16,28,875,43,17,0.3953,0.144,0.1686,0,0
"Indiana","floor05",0.1,59650,639,27,115,875,87,28,0.3218,0.144,0.3025,0,0
"Iowa","unfiltered",0.05,54459,0,46,76,936,46,14,0.3043,0.0791,0.2083,0,0
"Iowa","unfiltered",0.1,54459,0,84,164,936,93,24,0.2581,0.0791,0.3604,0,0
"Iowa","floor02",0.05,54266,193,49,74,936,46,14,0.3043,0.0791,0.2083,0,0
"Iowa","floor02",0.1,54266,193,83,163,936,93,24,0.2581,0.0791,0.3604,0,0
"Iowa","floor05",0.05,53825,634,49,74,936,46,15,0.3261,0.0791,0.2169,0,0
"Iowa","floor05",0.1,53825,634,80,166,936,93,23,0.2473,0.0791,0.3557,0,0
"Kansas","unfiltered",0.05,54225,0,36,71,872,43,11,0.2558,0.1044,0.1962,0,0
"Kansas","unfiltered",0.1,54225,0,64,133,872,87,16,0.1839,0.1044,0.261,0,0
"Kansas","floor02",0.05,54032,193,36,71,872,43,11,0.2558,0.1044,0.1962,0,0
"Kansas","floor02",0.1,54032,193,64,131,872,87,16,0.1839,0.1044,0.261,0,0
"Kansas","floor05",0.05,53590,635,36,71,872,43,11,0.2558,0.1044,0.1962,0,0
"Kansas","floor05",0.1,53590,635,64,128,872,87,16,0.1839,0.1044,0.261,0,0
"Kentucky","unfiltered",0.05,56577,0,44,64,841,42,15,0.3571,0.082,0.327,0,0
"Kentucky","unfiltered",0.1,56577,0,83,117,841,84,25,0.2976,0.082,0.4755,0,0
"Kentucky","floor02",0.05,56384,193,41,66,841,42,16,0.381,0.082,0.3406,0,0
"Kentucky","floor02",0.1,56384,193,82,116,841,84,25,0.2976,0.082,0.4755,0,0
"Kentucky","floor05",0.05,55938,639,41,65,841,42,16,0.381,0.082,0.3406,0,0
"Kentucky","floor05",0.1,55938,639,81,116,841,84,27,0.3214,0.082,0.5025,0,0
"Louisiana","unfiltered",0.05,57093,0,32,60,873,43,12,0.2791,0.11,0.1552,0,0
"Louisiana","unfiltered",0.1,57093,0,55,125,873,87,23,0.2644,0.11,0.2783,0,0
"Louisiana","floor02",0.05,56900,193,31,61,873,43,12,0.2791,0.11,0.1552,0,0
"Louisiana","floor02",0.1,56900,193,54,126,873,87,23,0.2644,0.11,0.2783,0,0
"Louisiana","floor05",0.05,56459,634,30,62,873,43,12,0.2791,0.11,0.1552,0,0
"Louisiana","floor05",0.1,56459,634,55,124,873,87,23,0.2644,0.11,0.2783,0,0
"Maine","unfiltered",0.05,59535,0,14,56,928,46,15,0.3261,0.1239,0.2468,0,0
"Maine","unfiltered",0.1,59535,0,37,112,928,92,25,0.2717,0.1239,0.3305,0,0
"Maine","floor02",0.05,59342,193,14,56,928,46,15,0.3261,0.1239,0.2468,0,0
"Maine","floor02",0.1,59342,193,37,110,928,92,25,0.2717,0.1239,0.3305,0,0
"Maine","floor05",0.05,58901,634,14,57,928,46,15,0.3261,0.1239,0.2468,0,0
"Maine","floor05",0.1,58901,634,37,111,928,92,24,0.2609,0.1239,0.3177,0,0
"Maryland","unfiltered",0.05,58376,0,9,14,677,32,13,0.4062,0.1433,0.1007,0,0
