"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Washington","floor05",0.05,55992,634,24,67,678,33,9,0.2727,0.09,0.1463,0,0
"Washington","floor05",0.1,55992,634,53,133,678,67,15,0.2239,0.09,0.2697,0,0
"West Virginia","unfiltered",0.05,57580,0,47,44,643,32,8,0.25,0.0715,0.1423,0,0
"West Virginia","unfiltered",0.1,57580,0,66,149,643,64,15,0.2344,0.0715,0.2701,0,0
"West Virginia","floor02",0.05,57385,195,47,43,643,32,8,0.25,0.0715,0.1423,0,0
"West Virginia","floor02",0.1,57385,195,66,148,643,64,15,0.2344,0.0715,0.2701,0,0
"West Virginia","floor05",0.05,56944,636,47,43,643,32,8,0.25,0.0715,0.1423,0,0
"West Virginia","floor05",0.1,56944,636,66,137,643,64,15,0.2344,0.0715,0.2701,0,0
"Wisconsin","unfiltered",0.05,57637,0,45,92,979,48,4,0.0833,0.0603,0.0523,0,0
"Wisconsin","unfiltered",0.1,57637,0,89,167,979,97,9,0.0928,0.0603,0.1346,0,0
"Wisconsin","floor02",0.05,57444,193,45,92,979,48,4,0.0833,0.0603,0.0523,0,0
"Wisconsin","floor02",0.1,57444,193,90,166,979,97,9,0.0928,0.0603,0.1346,0,0
"Wisconsin","floor05",0.05,57003,634,46,86,979,48,4,0.0833,0.0603,0.0523,0,0
"Wisconsin","floor05",0.1,57003,634,89,162,979,97,9,0.0928,0.0603,0.1346,0,0
"Wyoming","unfiltered",0.05,53420,0,21,38,266,13,2,0.1538,0.0752,0.1009,0,0
"Wyoming","unfiltered",0.1,53420,0,41,70,266,26,5,0.1923,0.0752,0.2206,0,0
"Wyoming","floor02",0.05,53227,193,21,38,266,13,2,0.1538,0.0752,0.1009,0,0
"Wyoming","floor02",0.1,53227,193,41,70,266,26,5,0.1923,0.0752,0.2206,0,0
"Wyoming","floor05",0.05,52786,634,21,37,266,13,3,0.2308,0.0752,0.1338,0,0
"Wyoming","floor05",0.1,52786,634,41,68,266,26,6,0.2308,0.0752,0.2443,0,0
