"state","fy","raw_cases","errors_over_thr","err_dollars_wtd","ineligible_units","completed_reviews"
"Indiana",2023,953,128,7018918,24,978
"Indiana",2024,916,133,6968271,21,940
"Iowa",2017,950,128,3077483,20,970
"Iowa",2018,908,104,2455226,23,931
"Iowa",2019,901,138,2816510,26,927
"Iowa",2022,968,105,3108767,9,978
"Iowa",2023,1016,79,1713761,7,1024
"Iowa",2024,980,75,1770973,12,992
"Kansas",2017,946,46,547817,12,958
"Kansas",2018,910,72,836578,21,932
"Kansas",2019,908,69,640733,41,953
"Kansas",2022,909,56,778113,52,966
"Kansas",2023,909,76,1326757,63,974
"Kansas",2024,920,95,1215726,51,979
"Kentucky",2017,1200,107,3360414,22,1223
"Kentucky",2018,1007,87,3388173,24,1032
"Kentucky",2019,1073,94,2652027,26,1099
"Kentucky",2022,1012,78,2889077,15,1027
"Kentucky",2023,1063,70,3033479,41,1104
"Kentucky",2024,1016,88,4311929,48,1070
"Louisiana",2017,820,25,1170498,7,829
"Louisiana",2018,767,30,1705763,5,773
"Louisiana",2019,866,38,2809375,14,880
"Louisiana",2022,880,80,5200491,19,919
"Louisiana",2023,887,78,7372366,15,910
"Louisiana",2024,939,103,8868906,8,948
"Maine",2017,910,126,1479808,33,947
"Maine",2018,913,118,1533113,42,956
"Maine",2019,979,198,2047727,46,1026
"Maine",2022,897,98,1452571,64,962
"Maine",2023,953,131,2348577,43,997
"Maine",2024,960,121,2103800,22,991
"Maryland",2017,776,63,4321972,6,785
"Maryland",2018,768,78,4261421,6,777
"Maryland",2019,589,61,4099896,6,607
"Maryland",2022,441,80,10205260,112,557
"Maryland",2023,707,134,11671827,85,796
"Maryland",2024,745,112,10912791,29,796
"Massachusetts",2017,968,60,3975341,5,974
"Massachusetts",2018,971,56,3883635,8,980
"Massachusetts",2019,948,67,3818500,9,959
"Massachusetts",2022,922,97,11293526,46,970
"Massachusetts",2023,950,103,12223599,22,973
"Massachusetts",2024,907,124,22879803,23,932
"Michigan",2017,914,143,16009993,14,929
"Michigan",2018,845,135,15768032,15,861
"Michigan",2019,871,154,14170420,28,899
"Michigan",2022,863,142,20613476,24,889
"Michigan",2023,934,146,22753900,16,950
"Michigan",2024,920,123,20461089,21,950
"Minnesota",2017,1031,124,2698146,25,1057
"Minnesota",2018,978,132,3213860,20,998
"Minnesota",2019,1026,124,3238840,22,1051
"Minnesota",2022,1025,140,4868546,10,1037
"Minnesota",2023,1056,112,3857453,18,1075
"Minnesota",2024,1011,129,5684123,7,1020
"Mississippi",2017,1013,47,1695518,7,1021
"Mississippi",2018,991,38,1374593,7,1003
"Mississippi",2019,956,84,2169109,8,977
"Mississippi",2022,1067,108,3355181,40,1111
"Mississippi",2023,1181,120,3441964,54,1237
"Mississippi",2024,1137,140,4067432,50,1190
"Missouri",2017,871,95,4726078,34,906
"Missouri",2018,909,104,5093462,31,942
"Missouri",2019,869,73,3189943,21,893
"Missouri",2022,715,78,4326116,63,778
"Missouri",2023,746,59,4331278,58,805
"Missouri",2024,793,74,5146350,35,837
"Montana",2017,778,95,854723,14,792
"Montana",2018,724,93,998984,19,745
"Montana",2019,677,75,662760,15,692
"Montana",2022,597,89,1096509,11,614
"Montana",2023,600,49,599049,13,619
"Montana",2024,608,65,670869,15,636
"Nebraska",2017,894,49,464044,17,912
"Nebraska",2018,863,62,526576,19,883
"Nebraska",2019,924,72,650189,22,949
"Nebraska",2022,958,70,853830,35,993
"Nebraska",2023,924,63,911272,27,952
"Nebraska",2024,950,57,911354,25,975
"Nevada",2017,995,110,2643845,11,1008
"Nevada",2018,913,76,2515142,12,930
"Nevada",2019,883,71,2205644,21,908
"Nevada",2022,1056,94,3142282,27,1084
"Nevada",2023,1047,72,3503744,17,1064
"Nevada",2024,1005,92,5201328,22,1028
"New Hampshire",2017,667,32,291904,13,685
"New Hampshire",2018,621,42,323728,13,648
"New Hampshire",2019,610,60,560570,11,622
"New Hampshire",2022,555,83,689490,27,584
"New Hampshire",2023,635,52,619547,41,677
"New Hampshire",2024,666,77,735859,9,682
"New Jersey",2017,798,51,2730084,3,802
"New Jersey",2018,727,64,3053948,6,752
"New Jersey",2019,733,79,5091408,2,746
"New Jersey",2022,613,44,4036197,6,622
"New Jersey",2023,615,58,4826992,191,809
"New Jersey",2024,651,64,7188609,0,677
"New Mexico",2017,964,123,2927524,27,991
"New Mexico",2018,953,119,3146495,30,983
"New Mexico",2019,910,135,3397169,29,939
"New Mexico",2022,967,141,5958765,29,997
"New Mexico",2023,991,154,6436887,45,1038
"New Mexico",2024,1017,173,7596200,38,1055
"New York",2017,919,76,18175063,11,932
"New York",2018,902,79,18307008,27,933
"New York",2019,919,70,14111258,17,937
"New York",2022,896,102,30825191,55,955
"New York",2023,856,95,33116887,51,912
"New York",2024,885,115,47059430,44,931
"North Carolina",2017,997,78,5239222,12,1009
"North Carolina",2018,1077,84,6204394,10,1087
"North Carolina",2019,964,73,5519326,14,979
"North Carolina",2022,893,110,19393921,30,924
"North Carolina",2023,1126,125,16734701,20,1149
"North Carolina",2024,955,127,16820897,17,973
"North Dakota",2017,479,24,178211,11,490
"North Dakota",2018,458,20,161888,11,469
"North Dakota",2019,469,32,195162,8,477
"North Dakota",2022,455,51,506152,19,474
"North Dakota",2023,404,49,374536,20,424
"North Dakota",2024,463,50,569241,8,472
"Ohio",2017,988,81,7193833,14,1002
"Ohio",2018,959,88,8508701,17,976
"Ohio",2019,892,93,9846280,16,908
"Ohio",2022,920,73,9118142,20,940
"Ohio",2023,915,87,11100750,24,939
"Ohio",2024,934,95,11954305,21,960
"Oklahoma",2017,1017,98,2835154,16,1035
"Oklahoma",2018,1015,89,3339143,36,1051
"Oklahoma",2019,1063,116,3386907,39,1102
"Oklahoma",2022,971,111,4689957,45,1019
"Oklahoma",2023,1093,144,8216208,33,1142
"Oklahoma",2024,932,151,10495592,25,968
"Oregon",2017,939,81,4862912,10,949
"Oregon",2018,883,100,5358824,19,902
"Oregon",2019,812,97,5411266,10,823
"Oregon",2022,756,116,10775786,99,856
"Oregon",2023,769,112,13040267,42,813
"Oregon",2024,868,131,14250118,29,907
"Pennsylvania",2017,835,64,9372628,3,838
"Pennsylvania",2018,807,93,12208383,9,818
"Pennsylvania",2019,810,95,11073739,8,818
"Pennsylvania",2022,817,95,19002179,61,878
"Pennsylvania",2023,817,97,19650863,75,892
"Pennsylvania",2024,814,114,27255651,24,840
"Rhode Island",2017,681,118,1998706,13,694
"Rhode Island",2018,417,85,1805970,13,430
"Rhode Island",2019,946,261,3134931,59,1005
"Rhode Island",2022,671,103,1688743,38,709
"Rhode Island",2023,984,197,2797057,34,1018
"Rhode Island",2024,980,187,3240838,16,1000
"South Carolina",2017,980,84,2954228,8,988
"South Carolina",2018,1013,77,2350986,22,1035
"South Carolina",2019,1108,90,2258825,17,1125
"South Carolina",2022,941,104,4537065,16,967
"South Carolina",2023,805,116,6297950,113,925
"South Carolina",2024,961,123,6058180,15,983
"South Dakota",2017,719,17,82336,5,726
"South Dakota",2018,705,14,82323,3,708
"South Dakota",2019,688,17,113638,7,701
"South Dakota",2022,605,18,182292,12,619
"South Dakota",2023,616,18,154407,13,632
