"hh_size","rule","source","n_flagged_train","precision_train","precision_train_lcb","n_flagged","workload_pct","errors_caught","clean_flagged","precision_holdout","recall_holdout","dollar_recall","precision_any_holdout","train_stat"
"2-3","unc_rawben_rel_max >= 1.335 & utilities < 339.5 & shelter_expenses_by_hh_size < 317.2 & shelter_expenses_by_hh_size >= 282.6","boosted",21,0.381,0.23,1,0.01,0,1,0,0,0,0,0.23
"2-3","elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max < 0.9187 & total_deductions_by_hh_size >= 518.4 & total_deductions_by_hh_size < 527.8","boosted",32,0.344,0.223,15,0.18,3,12,0.2,0.009,0.005,0.2,0.223
"2-3","HH_size_n <= 2.5 & shelter_expenses_by_hh_size > 1347.5 & rawben_rel_max <= 0.966670738908232","rf",12,0.417,0.22,15,0.18,3,12,0.2,0.009,0.014,0.2,0.22
"2-3","unc_rawben_rel_max > 1.48691588785047 & cat_elig <= 0.5 & elderly_disabled_i %in% c(FALSE) & utilities <= 352.5","rf",12,0.417,0.22,1,0.01,0,1,0,0,0,0,0.22
"2-3","unc_rawben_rel_max <= 1.34057830120549 & married > 0.5 & rawben_rel_max <= 0.292626033865083 & total_deductions_by_hh_size > 505.1","rf",19,0.368,0.214,20,0.23,2,18,0.1,0.006,0.01,0.217,0.214
"2-3","total_deductions_by_hh_size >= 193.6 & utilities < 301.5 & unc_rawben_rel_max >= 1.338 & unc_rawben_rel_max < 1.347","boosted",16,0.375,0.208,4,0.05,0,4,0,0,0,0,0.208
"2-3","elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max < 0.9698 & shelter_expenses_by_hh_size >= 823.8 & utilities < 416","boosted",35,0.314,0.203,31,0.36,3,28,0.097,0.009,0.007,0.097,0.203
"2-3","shelter_expenses_by_hh_size > 1348.75 & expedited_i %in% c(FALSE) & rawben_rel_max > 0.775700934579439 & utilities > 717.5","rf",13,0.385,0.202,9,0.11,1,8,0.111,0.003,0.001,0.111,0.202
"2-3","unc_rawben_rel_max <= 1.34057830120549 & unc_rawben_rel_max <= 0.973843992425631 & shelter_expenses_by_hh_size > 1342.5","rf",13,0.385,0.202,15,0.18,3,12,0.2,0.009,0.014,0.2,0.202
"4+","shelter_expenses_by_hh_size > 465.125 & months_since_cert_n <= 6.5 & elderly_disabled_i %in% c(TRUE) & months_since_cert_n > 3.5","rf",15,0.467,0.277,7,0.16,0,7,0,0,0,0.364,0.277
"4+","count_divisible_by_100 <= 0.5 & medical_deductions <= 1.5 & homeless %in% c(FALSE) & unc_rawben_rel_max > 1.38335046248715","rf",10,0.5,0.269,8,0.19,1,7,0.125,0.004,0.005,0.3,0.269
"4+","medical_deductions <= 0.5 & HH_size_n <= 13 & unc_rawben_rel_max > 1.39170014637641","rf",10,0.5,0.269,11,0.26,2,9,0.182,0.008,0.008,0.308,0.269
"4+","months_since_cert_n > 5.5 & expedited_i %in% c(TRUE) & rawben_rel_max <= 0.864521606138373 & rawben_rel_max > 0.78397022641627","rf",10,0.5,0.269,6,0.14,0,6,0,0,0,0.25,0.269
"4+","percent_abawd <= 0.267857142857143 & unc_rawben_rel_max > 1.39170014637641 & HH_size_n <= 4.5","rf",10,0.5,0.269,11,0.26,2,9,0.182,0.008,0.008,0.25,0.269
"4+","percent_abawd > 0.05 & shelter_expenses_by_hh_size > 520.625 & months_since_cert_n <= 5.5","rf",10,0.5,0.269,5,0.12,0,5,0,0,0,0.167,0.269
"4+","total_deductions_by_hh_size > 126.55 & unc_rawben_rel_max > 1.38774701368076 & expedited_i %in% c(FALSE)","rf",10,0.5,0.269,12,0.28,3,9,0.25,0.012,0.009,0.357,0.269
"4+","total_deductions_by_hh_size > 17.5625 & unc_rawben_rel_max > 1.38774701368076 & count_divisible_by_100 <= 0.5","rf",10,0.5,0.269,11,0.26,1,10,0.091,0.004,0.005,0.231,0.269
