"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","approach"
0.05,2743,14669,0.437554064131245,0.0485377326334447,0.826945412311266,0.851634979156124,0.826945412311266,"Optimal (boosted only)"
0.1,1134,7391,0.220462341536167,0.0656203490731971,0.563298490127758,0.594313115978698,0.563298490127758,"Optimal (boosted only)"
0.15,495,4284,0.127785234899329,0.0788982259570495,0.392566782810685,0.423393334779151,0.392566782810685,"Optimal (boosted only)"
0.2,195,1881,0.0561073825503356,0.0951621477937267,0.207897793263647,0.251851851851852,0.207897793263647,"Optimal (boosted only)"
0.25,72,769,0.022938105891126,0.0962288686605982,0.0859465737514518,0.101081953782019,0.0859465737514518,"Optimal (boosted only)"
0.3,27,281,0.00838180462341536,0.0889679715302491,0.0290360046457607,0.0264729270584833,0.0290360046457607,"Optimal (boosted only)"
0.35,8,78,0.00232662192393736,0.115384615384615,0.0104529616724739,0.00874237933444179,0.0104529616724739,"Optimal (boosted only)"
0.4,1,28,0.000835197613721104,0.0357142857142857,0.00116144018583043,0.00186992457649582,0.00116144018583043,"Optimal (boosted only)"
0.05,42548,20593,0.614258016405667,0.037876948477638,0.905923344947735,0.927766934142991,0.905923344947735,"Optimal + RF (mtry = 1)"
0.1,10640,11503,0.343117076808352,0.0543336520907589,0.725900116144019,0.742827538012964,0.725900116144019,"Optimal + RF (mtry = 1)"
0.15,3455,6408,0.191140939597315,0.0653870162297129,0.48664343786295,0.51506783295983,0.48664343786295,"Optimal + RF (mtry = 1)"
0.2,1522,3517,0.104906785980611,0.07989764003412,0.326364692218351,0.37947902359093,0.326364692218351,"Optimal + RF (mtry = 1)"
0.25,685,1919,0.0572408650260999,0.085461177696717,0.19047619047619,0.229142870912552,0.19047619047619,"Optimal + RF (mtry = 1)"
0.3,304,1058,0.031558538404176,0.0935727788279773,0.114982578397213,0.128624786139425,0.114982578397213,"Optimal + RF (mtry = 1)"
0.35,129,463,0.0138105891126025,0.101511879049676,0.0545876887340302,0.0607436323766838,0.0545876887340302,"Optimal + RF (mtry = 1)"
0.4,67,214,0.00638329604772558,0.0841121495327103,0.0209059233449477,0.0275331935709294,0.0209059233449477,"Optimal + RF (mtry = 1)"
0.45,23,82,0.00244593586875466,0.0975609756097561,0.00929152148664344,0.0115087110532784,0.00929152148664344,"Optimal + RF (mtry = 1)"
0.5,10,40,0.00119313944817301,0.1,0.00464576074332172,0.00477601869924577,0.00464576074332172,"Optimal + RF (mtry = 1)"
