"step","n_flagged","workload","recall","dollar_recall","precision","x","approach"
1,2,5.96569724086503e-05,0.00116144018583043,0.00140726282561026,0.5,0.00116144018583043,"1/2/3/4/5+"
2,14,0.000417598806860552,0.00580720092915215,0.00626521120990867,0.357142857142857,0.00580720092915215,"1/2/3/4/5+"
3,38,0.00113348247576435,0.0127758420441347,0.0174799392756452,0.289473684210526,0.0127758420441347,"1/2/3/4/5+"
4,64,0.00190902311707681,0.0197444831591173,0.0235330971830647,0.265625,0.0197444831591173,"1/2/3/4/5+"
5,95,0.00283370618941089,0.0278745644599303,0.0303332610424348,0.252631578947368,0.0278745644599303,"1/2/3/4/5+"
6,122,0.00363907531692767,0.0348432055749129,0.03603942263669,0.245901639344262,0.0348432055749129,"1/2/3/4/5+"
7,135,0.00402684563758389,0.0383275261324042,0.0409070098074652,0.244444444444444,0.0383275261324042,"1/2/3/4/5+"
8,158,0.00471290082028337,0.0441347270615563,0.0484734571917396,0.240506329113924,0.0441347270615563,"1/2/3/4/5+"
9,186,0.00554809843400447,0.0511033681765389,0.052088002120533,0.236559139784946,0.0511033681765389,"1/2/3/4/5+"
10,227,0.0067710663683818,0.0603948896631823,0.063259355647124,0.229074889867841,0.0603948896631823,"1/2/3/4/5+"
11,269,0.00802386278896346,0.0696864111498258,0.0689221427022338,0.223048327137546,0.0696864111498258,"1/2/3/4/5+"
12,349,0.0104101416853095,0.0859465737514518,0.0923443938408154,0.212034383954155,0.0859465737514518,"1/2/3/4/5+"
13,378,0.0112751677852349,0.0917537746806039,0.0987831032073062,0.208994708994709,0.0917537746806039,"1/2/3/4/5+"
14,396,0.0118120805369128,0.0952380952380952,0.105732668257066,0.207070707070707,0.0952380952380952,"1/2/3/4/5+"
15,414,0.0123489932885906,0.0987224157955865,0.109872527048845,0.205314009661836,0.0987224157955865,"1/2/3/4/5+"
16,467,0.0139299030574198,0.10801393728223,0.116841369671558,0.199143468950749,0.10801393728223,"1/2/3/4/5+"
17,500,0.0149142431021626,0.113821138211382,0.120682426082556,0.196,0.113821138211382,"1/2/3/4/5+"
18,561,0.0167337807606264,0.124274099883856,0.127270536639437,0.190730837789661,0.124274099883856,"1/2/3/4/5+"
19,574,0.0171215510812826,0.126596980255517,0.129352514518422,0.189895470383275,0.126596980255517,"1/2/3/4/5+"
20,580,0.0173005219985086,0.127758420441347,0.129694691438348,0.189655172413793,0.127758420441347,"1/2/3/4/5+"
21,586,0.0174794929157345,0.128919860627178,0.130070604110942,0.189419795221843,0.128919860627178,"1/2/3/4/5+"
22,627,0.0187024608501119,0.13588850174216,0.137902118123328,0.186602870813397,0.13588850174216,"1/2/3/4/5+"
23,760,0.0226696495152871,0.159117305458769,0.163203932624883,0.180263157894737,0.159117305458769,"1/2/3/4/5+"
24,840,0.0250559284116331,0.171893147502904,0.173825875322297,0.176190476190476,0.171893147502904,"1/2/3/4/5+"
25,869,0.0259209545115585,0.176538908246225,0.17771030627244,0.174913693901036,0.176538908246225,"1/2/3/4/5+"
26,982,0.0292915734526473,0.193960511033682,0.188206944745657,0.170061099796334,0.193960511033682,"1/2/3/4/5+"
27,988,0.0294705443698732,0.195121951219512,0.188958770090846,0.17004048582996,0.195121951219512,"1/2/3/4/5+"
28,1050,0.0313199105145414,0.204413472706156,0.195243258873708,0.167619047619048,0.204413472706156,"1/2/3/4/5+"
29,1057,0.0315287099179717,0.205574912891986,0.196486662329213,0.167455061494797,0.205574912891986,"1/2/3/4/5+"
30,1088,0.0324533929903057,0.210220673635308,0.200173498156582,0.166360294117647,0.210220673635308,"1/2/3/4/5+"
31,1103,0.0329008202833706,0.212543554006969,0.203961541241958,0.165911151405258,0.212543554006969,"1/2/3/4/5+"
32,1185,0.0353467561521253,0.224157955865273,0.216429311549676,0.162869198312236,0.224157955865273,"1/2/3/4/5+"
33,1218,0.036331096196868,0.228803716608595,0.219759512277404,0.161740558292282,0.228803716608595,"1/2/3/4/5+"
34,1234,0.0368083519761372,0.231126596980256,0.22282946577026,0.161264181523501,0.231126596980256,"1/2/3/4/5+"
35,1302,0.0388366890380313,0.240418118466899,0.235191209426733,0.158986175115207,0.240418118466899,"1/2/3/4/5+"
36,1319,0.0393437733035048,0.24274099883856,0.238829851321719,0.158453373768006,0.24274099883856,"1/2/3/4/5+"
37,1327,0.0395824011931394,0.24390243902439,0.240820260729174,0.158251695553881,0.24390243902439,"1/2/3/4/5+"
38,1354,0.0403877703206562,0.247386759581882,0.242709462878624,0.157311669128508,0.247386759581882,"1/2/3/4/5+"
39,1381,0.041193139448173,0.250871080139373,0.249586737029808,0.156408399710355,0.250871080139373,"1/2/3/4/5+"
40,1436,0.0428337061894109,0.257839721254355,0.253297669823369,0.154596100278552,0.257839721254355,"1/2/3/4/5+"
41,1444,0.0430723340790455,0.259001161440186,0.254714571435456,0.154432132963989,0.259001161440186,"1/2/3/4/5+"
42,1471,0.0438777032065623,0.262485481997677,0.258064049736138,0.153636981645139,0.262485481997677,"1/2/3/4/5+"
43,1499,0.0447129008202834,0.265969802555168,0.260358080917612,0.152768512341561,0.265969802555168,"1/2/3/4/5+"
44,1586,0.0473079791200597,0.276422764227642,0.278657317043784,0.150063051702396,0.276422764227642,"1/2/3/4/5+"
45,1664,0.049634601043997,0.285714285714286,0.287650304826622,0.147836538461538,0.285714285714286,"1/2/3/4/5+"
46,1990,0.059358687546607,0.32404181184669,0.337453914552158,0.140201005025126,0.32404181184669,"1/2/3/4/5+"
47,2029,0.0605219985085757,0.328687572590012,0.341044362514759,0.139477575160177,0.328687572590012,"1/2/3/4/5+"
48,2057,0.0613571961222968,0.332171893147503,0.343815513626834,0.13903743315508,0.332171893147503,"1/2/3/4/5+"
49,2086,0.0622222222222222,0.335656213704994,0.347545723993349,0.138542665388303,0.335656213704994,"1/2/3/4/5+"
50,2165,0.0645786726323639,0.344947735191638,0.354731439311791,0.137182448036952,0.344947735191638,"1/2/3/4/5+"
51,2196,0.065503355704698,0.348432055749129,0.356789320224584,0.136612021857924,0.348432055749129,"1/2/3/4/5+"
52,2227,0.0664280387770321,0.35191637630662,0.359652039808188,0.136057476425685,0.35191637630662,"1/2/3/4/5+"
53,2311,0.0689336316181954,0.361207897793264,0.372982481505578,0.134573777585461,0.361207897793264,"1/2/3/4/5+"
54,2352,0.0701565995525727,0.365853658536585,0.376876551242199,0.133928571428571,0.365853658536585,"1/2/3/4/5+"
55,2360,0.0703952274422073,0.367015098722416,0.378004289259982,0.133898305084746,0.367015098722416,"1/2/3/4/5+"
56,2380,0.0709917971662938,0.369337979094077,0.379604327815128,0.133613445378151,0.369337979094077,"1/2/3/4/5+"
57,2411,0.0719164802386279,0.372822299651568,0.382524880117593,0.133139776026545,0.372822299651568,"1/2/3/4/5+"
58,2474,0.0737956748695004,0.379790940766551,0.391594978192246,0.132174616006467,0.379790940766551,"1/2/3/4/5+"
59,2536,0.0756450410141685,0.386759581881533,0.403166341357623,0.131309148264984,0.386759581881533,"1/2/3/4/5+"
60,2568,0.0765995525727069,0.390243902439024,0.406804983252608,0.130841121495327,0.390243902439024,"1/2/3/4/5+"
61,2600,0.0775540641312453,0.393728222996516,0.410038796115569,0.130384615384615,0.393728222996516,"1/2/3/4/5+"
