"step","n_flagged","workload","recall","dollar_recall","precision","x","approach"
1,2,5.96569724086503e-05,0.00116144018583043,0.00140726282561026,0.5,0.00116144018583043,"1/2/3/4/5+"
2,15,0.000447427293064877,0.00580720092915215,0.00571098098749367,0.333333333333333,0.00580720092915215,"1/2/3/4/5+"
3,29,0.000865026099925429,0.0104529616724739,0.0101159064073833,0.310344827586207,0.0104529616724739,"1/2/3/4/5+"
4,48,0.00143176733780761,0.016260162601626,0.0200968698040917,0.291666666666667,0.016260162601626,"1/2/3/4/5+"
5,64,0.00190902311707681,0.0209059233449477,0.0230848936118943,0.28125,0.0209059233449477,"1/2/3/4/5+"
6,73,0.00217747949291573,0.0232288037166086,0.0243234776741608,0.273972602739726,0.0232288037166086,"1/2/3/4/5+"
7,82,0.00244593586875466,0.0255516840882695,0.0281115207595364,0.268292682926829,0.0255516840882695,"1/2/3/4/5+"
8,112,0.00334079045488441,0.032520325203252,0.0339478059712282,0.25,0.032520325203252,"1/2/3/4/5+"
9,163,0.004862043251305,0.0441347270615563,0.0523675269283597,0.233128834355828,0.0441347270615563,"1/2/3/4/5+"
10,183,0.0054586129753915,0.0487804878048781,0.0583917684763488,0.229508196721311,0.0487804878048781,"1/2/3/4/5+"
11,224,0.00668158090976883,0.0580720092915215,0.0640545555314586,0.223214285714286,0.0580720092915215,"1/2/3/4/5+"
12,282,0.00841163310961969,0.0708478513356562,0.0775151208462855,0.216312056737589,0.0708478513356562,"1/2/3/4/5+"
13,292,0.00870991797166294,0.0731707317073171,0.0797127641629919,0.215753424657534,0.0731707317073171,"1/2/3/4/5+"
14,342,0.0102013422818792,0.0836236933797909,0.086821369189619,0.210526315789474,0.0836236933797909,"1/2/3/4/5+"
15,364,0.0108575689783743,0.0882694541231127,0.0891780524831924,0.208791208791209,0.0882694541231127,"1/2/3/4/5+"
16,393,0.0117225950782998,0.0940766550522648,0.0946384250222897,0.206106870229008,0.0940766550522648,"1/2/3/4/5+"
17,403,0.012020879940343,0.0963995354239257,0.096662570182414,0.205955334987593,0.0963995354239257,"1/2/3/4/5+"
18,462,0.0137807606263982,0.10801393728223,0.110701462685848,0.201298701298701,0.10801393728223,"1/2/3/4/5+"
19,565,0.0168530947054437,0.127758420441347,0.127525964481072,0.194690265486726,0.127758420441347,"1/2/3/4/5+"
20,664,0.0198061148396719,0.146341463414634,0.157223065616039,0.189759036144578,0.146341463414634,"1/2/3/4/5+"
21,669,0.0199552572706935,0.147502903600465,0.158211041229909,0.1898355754858,0.147502903600465,"1/2/3/4/5+"
22,694,0.0207009694258016,0.152148664343786,0.164028048868647,0.188760806916427,0.152148664343786,"1/2/3/4/5+"
23,726,0.02165548098434,0.157955865272938,0.166885949059013,0.18732782369146,0.157955865272938,"1/2/3/4/5+"
24,772,0.023027591349739,0.166085946573751,0.174018651051833,0.185233160621762,0.166085946573751,"1/2/3/4/5+"
25,798,0.0238031319910515,0.170731707317073,0.184568302850671,0.184210526315789,0.170731707317073,"1/2/3/4/5+"
26,804,0.0239821029082774,0.171893147502904,0.185088797320417,0.18407960199005,0.171893147502904,"1/2/3/4/5+"
27,817,0.0243698732289336,0.174216027874564,0.186867153425384,0.18359853121175,0.174216027874564,"1/2/3/4/5+"
28,823,0.0245488441461596,0.175377468060395,0.188284055037471,0.183475091130012,0.175377468060395,"1/2/3/4/5+"
29,865,0.0258016405667412,0.182346109175377,0.195431215210005,0.18150289017341,0.182346109175377,"1/2/3/4/5+"
30,907,0.0270544369873229,0.18931475029036,0.201209667702836,0.179713340683572,0.18931475029036,"1/2/3/4/5+"
31,942,0.0280984340044743,0.195121951219512,0.210732788741897,0.178343949044586,0.195121951219512,"1/2/3/4/5+"
32,985,0.0293810589112603,0.202090592334495,0.22103183209234,0.176649746192893,0.202090592334495,"1/2/3/4/5+"
33,1007,0.0300372856077554,0.205574912891986,0.223687317766693,0.175769612711023,0.205574912891986,"1/2/3/4/5+"
34,1026,0.0306040268456376,0.209059233449477,0.2258849610834,0.175438596491228,0.209059233449477,"1/2/3/4/5+"
35,1056,0.0314988814317673,0.213704994192799,0.229894696257741,0.174242424242424,0.213704994192799,"1/2/3/4/5+"
36,1071,0.0319463087248322,0.21602787456446,0.23049712041254,0.173669467787115,0.21602787456446,"1/2/3/4/5+"
37,1086,0.0323937360178971,0.218350754936121,0.234940600978337,0.173112338858195,0.218350754936121,"1/2/3/4/5+"
38,1118,0.0333482475764355,0.222996515679443,0.236622569218535,0.171735241502683,0.222996515679443,"1/2/3/4/5+"
39,1150,0.0343027591349739,0.227642276422764,0.241798597556568,0.170434782608696,0.227642276422764,"1/2/3/4/5+"
40,1174,0.0350186428038777,0.231126596980256,0.244145642063664,0.169505962521295,0.231126596980256,"1/2/3/4/5+"
41,1198,0.0357345264727815,0.234610917537747,0.246377021133039,0.168614357262103,0.234610917537747,"1/2/3/4/5+"
42,1239,0.0369574944071588,0.240418118466899,0.251591604616979,0.167070217917676,0.240418118466899,"1/2/3/4/5+"
43,1298,0.038717375093214,0.248548199767712,0.258642376924745,0.164869029275809,0.248548199767712,"1/2/3/4/5+"
44,1331,0.0397017151379567,0.253193960511034,0.262570182414034,0.163786626596544,0.253193960511034,"1/2/3/4/5+"
45,1339,0.0399403430275913,0.254355400696864,0.263813585869539,0.163554891710232,0.254355400696864,"1/2/3/4/5+"
46,1347,0.0401789709172259,0.255516840882695,0.265056989325044,0.163325909428359,0.255516840882695,"1/2/3/4/5+"
47,1355,0.0404175988068605,0.256678281068525,0.266300392780549,0.16309963099631,0.256678281068525,"1/2/3/4/5+"
48,1399,0.0417300521998509,0.262485481997677,0.273818646232439,0.161543959971408,0.262485481997677,"1/2/3/4/5+"
49,1544,0.046055182699478,0.281068524970964,0.305241090146751,0.156735751295337,0.281068524970964,"1/2/3/4/5+"
50,1571,0.0468605518269948,0.284552845528455,0.307245957733921,0.155951623169955,0.284552845528455,"1/2/3/4/5+"
51,1682,0.0501715137956749,0.29849012775842,0.31824381310393,0.152794292508918,0.29849012775842,"1/2/3/4/5+"
52,1812,0.0540492170022371,0.314750290360046,0.334138172004145,0.149558498896247,0.314750290360046,"1/2/3/4/5+"
53,1857,0.0553914988814318,0.320557491289199,0.337964770235427,0.148626817447496,0.320557491289199,"1/2/3/4/5+"
54,1903,0.0567636092468307,0.326364692218351,0.341338345502301,0.147661586967945,0.326364692218351,"1/2/3/4/5+"
55,1918,0.0572110365398956,0.328687572590012,0.343314296730042,0.14754953076121,0.328687572590012,"1/2/3/4/5+"
56,1994,0.0594780014914243,0.337979094076655,0.356654377213909,0.145937813440321,0.337979094076655,"1/2/3/4/5+"
57,2127,0.0634451901565996,0.354239256678281,0.372230656160389,0.143394452280207,0.354239256678281,"1/2/3/4/5+"
58,2155,0.0642803877703207,0.357723577235772,0.375112653316947,0.14292343387471,0.357723577235772,"1/2/3/4/5+"
59,2174,0.0648471290082028,0.360046457607433,0.378529603122967,0.142594296228151,0.360046457607433,"1/2/3/4/5+"
60,2264,0.0675316927665921,0.370499419279907,0.396568592014265,0.140901060070671,0.370499419279907,"1/2/3/4/5+"
61,2347,0.0700074571215511,0.380952380952381,0.40886768355864,0.13975287601193,0.380952380952381,"1/2/3/4/5+"
62,2440,0.0727815063385533,0.391405342624855,0.420583628521169,0.138114754098361,0.391405342624855,"1/2/3/4/5+"
63,2481,0.0740044742729307,0.396051103368177,0.424366852213306,0.137444578798871,0.396051103368177,"1/2/3/4/5+"
64,2533,0.0755555555555556,0.401858304297329,0.427513915997976,0.136596920647454,0.401858304297329,"1/2/3/4/5+"
65,2550,0.0760626398210291,0.40418118466899,0.428362129207933,0.136470588235294,0.40418118466899,"1/2/3/4/5+"
66,2581,0.0769873228933632,0.407665505226481,0.431114002747054,0.135993800852383,0.407665505226481,"1/2/3/4/5+"
67,2612,0.0779120059656972,0.411149825783972,0.433191161232801,0.135528330781011,0.411149825783972,"1/2/3/4/5+"
68,2644,0.0788665175242356,0.414634146341463,0.436921371599316,0.135022692889561,0.414634146341463,"1/2/3/4/5+"
69,2696,0.0804175988068606,0.420441347270616,0.441813055736283,0.134272997032641,0.420441347270616,"1/2/3/4/5+"
70,2739,0.0817002237136465,0.425087108013937,0.445075784958674,0.133625410733844,0.425087108013937,"1/2/3/4/5+"
71,2848,0.084951528709918,0.436701509872242,0.455885683992385,0.132022471910112,0.436701509872242,"1/2/3/4/5+"
72,2928,0.087337807606264,0.444831591173055,0.466623292127521,0.130806010928962,0.444831591173055,"1/2/3/4/5+"
73,2962,0.088351976137211,0.448315911730546,0.470353502494036,0.13031735313977,0.448315911730546,"1/2/3/4/5+"
74,2996,0.0893661446681581,0.451800232288037,0.471399310826767,0.129839786381842,0.451800232288037,"1/2/3/4/5+"
75,3030,0.0903803131991051,0.455284552845528,0.475760861707511,0.129372937293729,0.455284552845528,"1/2/3/4/5+"
76,3052,0.0910365398956003,0.457607433217189,0.4765126870527,0.129095674967235,0.457607433217189,"1/2/3/4/5+"
77,3075,0.0917225950782998,0.45993031358885,0.478045254102508,0.128780487804878,0.45993031358885,"1/2/3/4/5+"
78,3119,0.0930350484712901,0.464576074332172,0.482551386780404,0.128246232766912,0.464576074332172,"1/2/3/4/5+"
79,3141,0.0936912751677852,0.466898954703833,0.484430950143377,0.127984718242598,0.466898954703833,"1/2/3/4/5+"
80,3152,0.0940193885160328,0.468060394889663,0.485288802139811,0.127855329949239,0.468060394889663,"1/2/3/4/5+"
81,3187,0.0950633855331842,0.471544715447154,0.486498469842647,0.127392532161908,0.471544715447154,"1/2/3/4/5+"
82,3197,0.0953616703952274,0.472706155632985,0.488088869611316,0.127306850172036,0.472706155632985,"1/2/3/4/5+"
83,3220,0.0960477255779269,0.475029036004646,0.489621436661124,0.127018633540373,0.475029036004646,"1/2/3/4/5+"
84,3352,0.0999850857568978,0.48780487804878,0.503539844333598,0.125298329355609,0.48780487804878,"1/2/3/4/5+"
85,3376,0.100700969425802,0.490127758420441,0.506180871828237,0.125,0.490127758420441,"1/2/3/4/5+"
86,3665,0.109321401938852,0.516840882694541,0.519858309838791,0.121418826739427,0.516840882694541,"1/2/3/4/5+"
87,3677,0.109679343773304,0.518002322880372,0.520976409070098,0.121294533587163,0.518002322880372,"1/2/3/4/5+"
88,3702,0.110425055928412,0.520325203252033,0.523993349237331,0.121015667206915,0.520325203252033,"1/2/3/4/5+"
