"approach","mean_precision","max_recall","n_steps","delta_vs_baseline"
"1/2/3/4/5+",0.132531172228993,0.961672473867596,326,0
"1/2-3/4+",0.140339319667979,0.953542392566783,221,0.00780814743898611
"1/2/3-4/5+",0.132498277964337,0.958188153310105,232,-3.28942646563302e-05
