"hh_size","rule","source","n_flagged_train","precision_train","n_flagged","workload_pct","errors_caught","clean_flagged","precision_holdout","recall_holdout","dollar_recall","precision_any_holdout"
"1","rawben_rel_max <= 0.975972508591065 & expedited_i %in% c(TRUE) & months_since_cert_n > 9.5 & percent_abawd > 0.5","rf",11,0.273,5,0.02,1,4,0.2,0.004,0.004,0.2
"1","rawben_rel_max > 0.277175257731959 & shelter_expenses_by_hh_size > 2849.5 & shelter_expenses_by_hh_size <= 3098.5","rf",11,0.273,9,0.04,1,8,0.111,0.004,0.005,0.2
"1","shelter_expenses_by_hh_size > 2045.5 & months_since_cert_n > 8.5 & medical_deductions <= 152.5 & rawben_rel_max <= 0.558419243986254","rf",11,0.273,6,0.03,2,4,0.333,0.007,0.009,0.333
"1","utilities <= 160.5 & expedited_i %in% c(FALSE) & total_deductions_by_hh_size > 18.7 & total_deductions_by_hh_size <= 19.4","rf",11,0.273,7,0.03,0,7,0,0,0,0
"1","homeless %in% c(TRUE) & unc_rawben_rel_max <= 0.925635738831615 & unc_rawben_rel_max > 0.876","rf",15,0.267,8,0.04,0,8,0,0,0,0.111
"1","married > 0.5 & elderly_disabled_i %in% c(TRUE) & total_deductions_by_hh_size > 850","rf",15,0.267,5,0.02,0,5,0,0,0,0.286
"1","percent_abawd <= 0.75 & shelter_expenses_by_hh_size > 2465 & rawben_rel_max <= 0.833333333333333","rf",15,0.267,8,0.04,1,7,0.125,0.004,0.005,0.417
"1","percent_abawd > 0.5 & children_i %in% c(FALSE) & total_deductions_by_hh_size > 1011.2 & utilities <= 414.5","rf",15,0.267,8,0.04,1,7,0.125,0.004,0.002,0.125
"1","rawben_rel_max <= 0.77259793814433 & shelter_expenses_by_hh_size > 2440","rf",15,0.267,10,0.05,1,9,0.1,0.004,0.005,0.4
"1","elderly_disabled_i %in% c(TRUE) & percent_abawd > 0.5 & total_deductions_by_hh_size > 640","rf",19,0.263,10,0.05,0,10,0,0,0,0.231
"1","expedited_i %in% c(TRUE) & total_deductions_by_hh_size > 992 & unc_rawben_rel_max <= 0.769759450171821","rf",19,0.263,8,0.04,5,3,0.625,0.018,0.021,0.727
"1","rawben_rel_max <= 0.63586941580756 & percent_abawd > 0.5 & shelter_expenses_by_hh_size > 1648.5","rf",19,0.263,11,0.05,2,9,0.182,0.007,0.01,0.25
"1","unc_rawben_rel_max >= 1.824 & utilities < 319 & months_since_cert_n >= 3.5 & utilities >= 52","boosted",42,0.262,14,0.07,1,13,0.071,0.004,0.005,0.188
"1","percent_abawd > 0.5 & unc_rawben_rel_max > 0.288329896907216 & total_deductions_by_hh_size > 1013.7","rf",31,0.258,11,0.05,1,10,0.091,0.004,0.002,0.167
"1","children_i %in% c(FALSE) & elderly_disabled_i %in% c(FALSE) & shelter_expenses_by_hh_size > 2997.5","rf",12,0.25,7,0.03,1,6,0.143,0.004,0.005,0.25
"1","count_divisible_by_100 > 1.5 & shelter_expenses_by_hh_size <= 245 & count_divisible_by_100 <= 2.5 & rawben_rel_max > 0.179518900343643","rf",12,0.25,11,0.05,1,10,0.091,0.004,0.001,0.091
"1","expedited_i %in% c(FALSE) & count_divisible_by_100 <= 0.5 & married > 0.5 & unc_rawben_rel_max > 1.808","rf",12,0.25,9,0.04,1,8,0.111,0.004,0.001,0.111
"1","expedited_i %in% c(TRUE) & total_deductions_by_hh_size > 822.3 & unc_rawben_rel_max <= 0.655333333333333 & months_since_cert_n > 8","rf",16,0.25,9,0.04,2,7,0.222,0.007,0.007,0.3
"1","expedited_i %in% c(TRUE) & unc_rawben_rel_max > 2.43642611683849 & shelter_expenses_by_hh_size <= 1566","rf",16,0.25,10,0.05,2,8,0.2,0.007,0.01,0.273
"1","homeless %in% c(FALSE) & unc_rawben_rel_max > 1.6267147766323 & shelter_expenses_by_hh_size <= 354","rf",12,0.25,6,0.03,0,6,0,0,0,0.25
"1","homeless %in% c(TRUE) & total_deductions_by_hh_size > 370 & unc_rawben_rel_max <= -0.317821305841924","rf",12,0.25,13,0.06,2,11,0.154,0.007,0.01,0.154
"1","married <= 0.5 & percent_abawd <= 0.5 & shelter_expenses_by_hh_size > 2999.5 & total_deductions_by_hh_size <= 2623.4","rf",12,0.25,6,0.03,0,6,0,0,0,0
"1","married <= 0.5 & shelter_expenses_by_hh_size > 1649 & children_i %in% c(FALSE) & unc_rawben_rel_max <= -0.547986254295533","rf",20,0.25,7,0.03,3,4,0.429,0.011,0.014,0.429
"1","married > 0.5 & unc_rawben_rel_max > 1.85008934707904 & months_since_cert_n > 3.5","rf",12,0.25,8,0.04,1,7,0.125,0.004,0.001,0.125
"1","medical_deductions <= 0.5 & percent_abawd > 0.75 & unc_rawben_rel_max <= 0.97 & rawben_rel_max > 0.937353951890034","rf",16,0.25,11,0.05,0,11,0,0,0,0
"1","medical_deductions <= 1.5 & homeless %in% c(FALSE) & unc_rawben_rel_max > 1.57122336769759 & children_i %in% c(FALSE) & shelter_expenses_by_hh_size <= 301.5","rf",16,0.25,5,0.02,0,5,0,0,0,0.286
"1","medical_deductions <= 6.5 & children_i %in% c(FALSE) & count_divisible_by_100 <= 0.5 & shelter_expenses_by_hh_size > 1659.5 & shelter_expenses_by_hh_size <= 1661.5","rf",12,0.25,8,0.04,0,8,0,0,0,0.111
"1","rawben_rel_max <= 0.637587628865979 & total_deductions_by_hh_size > 1123.5 & percent_abawd > 0.5","rf",16,0.25,7,0.03,2,5,0.286,0.007,0.01,0.375
"1","rawben_rel_max <= 0.648742268041237 & total_deductions_by_hh_size > 680.1 & rawben_rel_max > 0.643305841924399","rf",16,0.25,12,0.06,0,12,0,0,0,0
"1","rawben_rel_max <= 0.883580756013746 & shelter_expenses_by_hh_size > 2473.5","rf",16,0.25,12,0.06,1,11,0.083,0.004,0.005,0.389
"1","rawben_rel_max > 0.279175257731959 & total_deductions_by_hh_size > 1120 & percent_abawd > 0.5","rf",16,0.25,8,0.04,1,7,0.125,0.004,0.002,0.125
"1","shelter_expenses_by_hh_size > 2480 & percent_abawd > 0.5","rf",12,0.25,7,0.03,1,6,0.143,0.004,0.005,0.4
"1","total_deductions_by_hh_size > 596.6 & rawben_rel_max <= 0.802343642611684 & homeless %in% c(FALSE) & expedited_i %in% c(TRUE) & medical_deductions <= 33 & total_deductions_by_hh_size > 1010.3","rf",16,0.25,6,0.03,3,3,0.5,0.011,0.011,0.571
"1","total_deductions_by_hh_size > 596.6 & shelter_expenses_by_hh_size > 2849.5 & total_deductions_by_hh_size <= 2233.3","rf",20,0.25,15,0.07,2,13,0.133,0.007,0.01,0.235
"1","total_deductions_by_hh_size > 797.3 & rawben_rel_max <= 0.970536082474227 & utilities > 902 & percent_abawd > 0.5","rf",16,0.25,4,0.02,1,3,0.25,0.004,0.005,0.25
"1","total_deductions_by_hh_size > 819.2 & rawben_rel_max <= 0.796907216494845 & unc_rawben_rel_max <= -1.7125704467354","rf",16,0.25,6,0.03,1,5,0.167,0.004,0.005,0.286
"1","unc_rawben_rel_max <= -2.59106529209622 & months_since_cert_n > 2.5 & percent_abawd <= 0.5","rf",12,0.25,8,0.04,0,8,0,0,0,0
"1","unc_rawben_rel_max <= 1.55091408934708 & shelter_expenses_by_hh_size > 2775","rf",12,0.25,9,0.04,0,9,0,0,0,0.25
"1","unc_rawben_rel_max > 1.986 & total_deductions_by_hh_size <= 1722.5 & percent_abawd > 0.5","rf",12,0.25,6,0.03,1,5,0.167,0.004,0.002,0.167
"1","utilities <= 299.5 & elderly_disabled_i %in% c(TRUE) & shelter_expenses_by_hh_size > 1485 & cat_elig <= 1.5","rf",12,0.25,13,0.06,1,12,0.077,0.004,0.005,0.143
"1","utilities <= 302.5 & unc_rawben_rel_max > 1.78403436426117 & expedited_i %in% c(TRUE) & elderly_disabled_i %in% c(TRUE)","rf",12,0.25,8,0.04,2,6,0.25,0.007,0.01,0.4
"1","utilities > 12.5 & shelter_expenses_by_hh_size <= 22 & total_deductions_by_hh_size > 15.5","rf",20,0.25,5,0.02,0,5,0,0,0,0.167
"1","utilities > 76.5 & unc_rawben_rel_max <= -2.70623367697595 & months_since_cert_n > 3.5","rf",12,0.25,3,0.01,0,3,0,0,0,0
"1","utilities > 902 & children_i %in% c(FALSE) & shelter_expenses_by_hh_size > 2460.5","rf",16,0.25,23,0.11,1,22,0.043,0.004,0.005,0.154
"1","unc_rawben_rel_max >= 1.767 & utilities < 293 & months_since_cert_n >= 6.5","boosted",45,0.244,13,0.06,3,10,0.231,0.011,0.014,0.474
"1","elderly_disabled_i %in% c(TRUE) & unc_rawben_rel_max > 1.84468041237113 & utilities <= 303","rf",33,0.242,15,0.07,2,13,0.133,0.007,0.01,0.435
"1","percent_abawd > 0.5 & rawben_rel_max <= 0.97 & total_deductions_by_hh_size > 959.8","rf",62,0.242,19,0.09,3,16,0.158,0.011,0.014,0.238
"1","unc_rawben_rel_max >= 1.571 & utilities < 319 & expedited_i %in% c(""FALSE"") & months_since_cert_n >= 5.5","boosted",66,0.242,22,0.11,3,19,0.136,0.011,0.014,0.367
"1","total_deductions_by_hh_size > 1307.3 & medical_deductions <= 45.5 & total_deductions_by_hh_size > 1309.5 & rawben_rel_max <= 0.797189003436426","rf",29,0.241,15,0.07,3,12,0.2,0.011,0.011,0.478
"1","unc_rawben_rel_max > 1.77259793814433 & utilities <= 460.5 & utilities > 448.5","rf",58,0.241,36,0.17,4,32,0.111,0.015,0.016,0.158
"1","unc_rawben_rel_max >= 2.083 & shelter_expenses_by_hh_size >= 1398 & shelter_expenses_by_hh_size < 1574","boosted",25,0.24,12,0.06,1,11,0.083,0.004,0.005,0.214
"1","total_deductions_by_hh_size > 596.6 & elderly_disabled_i %in% c(TRUE) & percent_abawd > 0.5","rf",21,0.238,14,0.07,0,14,0,0,0,0.176
"1","utilities <= 293 & unc_rawben_rel_max > 2.094 & shelter_expenses_by_hh_size > 392","rf",21,0.238,8,0.04,1,7,0.125,0.004,0.005,0.364
"1","percent_abawd > 0.5 & shelter_expenses_by_hh_size > 399.5 & total_deductions_by_hh_size > 1004.9","rf",55,0.236,17,0.08,3,14,0.176,0.011,0.012,0.3
"1","elderly_disabled_i %in% c(TRUE) & married > 0.5 & total_deductions_by_hh_size > 692.9","rf",17,0.235,8,0.04,0,8,0,0,0,0.2
"1","expedited_i %in% c(FALSE) & rawben_rel_max <= 0.537800687285223 & percent_abawd > 0.5 & total_deductions_by_hh_size > 1010.4","rf",34,0.235,5,0.02,0,5,0,0,0,0.286
"1","expedited_i %in% c(TRUE) & unc_rawben_rel_max > 1.98197250859107 & total_deductions_by_hh_size <= 825","rf",17,0.235,10,0.05,0,10,0,0,0,0.231
"1","percent_abawd > 0.5 & total_deductions_by_hh_size > 951.5 & utilities <= 414.5","rf",17,0.235,10,0.05,1,9,0.1,0.004,0.002,0.182
"1","rawben_rel_max <= 0.639587628865979 & total_deductions_by_hh_size > 1498.8","rf",17,0.235,14,0.07,1,13,0.071,0.004,0.003,0.235
"1","shelter_expenses_by_hh_size > 2465 & utilities > 893.5","rf",17,0.235,23,0.11,1,22,0.043,0.004,0.005,0.154
"1","unc_rawben_rel_max <= -2.59106529209622 & total_deductions_by_hh_size > 480.5","rf",17,0.235,4,0.02,0,4,0,0,0,0.2
"1","children_i %in% c(FALSE) & elderly_disabled_i %in% c(FALSE) & unc_rawben_rel_max <= 0.97 & cat_elig > 1.5 & months_since_cert_n > 9.5","rf",77,0.234,9,0.04,0,9,0,0,0,0.1
"1","total_deductions_by_hh_size > 1014.6 & percent_abawd > 0.5 & total_deductions_by_hh_size <= 1330","rf",47,0.234,13,0.06,2,11,0.154,0.007,0.007,0.267
"1","elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.97 & months_since_cert_n >= 10.5 & total_deductions_by_hh_size >= 530.4","boosted",60,0.233,17,0.08,1,16,0.059,0.004,0.004,0.111
"1","percent_abawd > 0.5 & rawben_rel_max <= 0.822652920962199 & percent_abawd <= 2.5 & total_deductions_by_hh_size > 959.8","rf",60,0.233,19,0.09,3,16,0.158,0.011,0.014,0.2
"1","shelter_expenses_by_hh_size > 2000.5 & utilities > 851 & total_deductions_by_hh_size <= 750","rf",30,0.233,17,0.08,2,15,0.118,0.007,0.01,0.118
"1","utilities > 585.5 & months_since_cert_n > 4.5 & shelter_expenses_by_hh_size > 2451","rf",30,0.233,22,0.11,2,20,0.091,0.007,0.01,0.167
"1","cat_elig <= 1.5 & medical_deductions <= 1.5 & shelter_expenses_by_hh_size > 2775","rf",13,0.231,22,0.11,2,20,0.091,0.007,0.01,0.2
"1","count_divisible_by_100 <= 1.5 & children_i %in% c(FALSE) & shelter_expenses_by_hh_size <= 668 & unc_rawben_rel_max > 2.002","rf",13,0.231,6,0.03,0,6,0,0,0,0
"1","count_divisible_by_100 > 1.5 & cat_elig > 0.5 & shelter_expenses_by_hh_size <= 250","rf",13,0.231,11,0.05,2,9,0.182,0.007,0.006,0.182
"1","count_divisible_by_100 > 1.5 & shelter_expenses_by_hh_size <= 275 & rawben_rel_max > 0.179518900343643","rf",13,0.231,11,0.05,1,10,0.091,0.004,0.001,0.091
"1","elderly_disabled_i %in% c(""FALSE"") & total_deductions_by_hh_size >= 29.5 & total_deductions_by_hh_size < 41.2 & unc_rawben_rel_max >= 1.239","boosted",26,0.231,6,0.03,0,6,0,0,0,0.143
"1","elderly_disabled_i %in% c(FALSE) & total_deductions_by_hh_size > 486.5 & rawben_rel_max <= 0.97 & unc_rawben_rel_max <= -2.57927835051546","rf",13,0.231,3,0.01,0,3,0,0,0,0.25
"1","expedited_i %in% c(FALSE) & total_deductions_by_hh_size > 1221.6 & percent_abawd > 0.5","rf",13,0.231,5,0.02,0,5,0,0,0,0.167
"1","expedited_i %in% c(TRUE) & rawben_rel_max <= 0.957381443298969 & unc_rawben_rel_max > -1.02628178694158 & total_deductions_by_hh_size > 1014.6","rf",26,0.231,7,0.03,3,4,0.429,0.011,0.011,0.636
"1","married <= 0.5 & months_since_cert_n > 2.5 & count_divisible_by_100 <= 1.5 & shelter_expenses_by_hh_size > 2987.5","rf",13,0.231,11,0.05,1,10,0.091,0.004,0.005,0.091
