"approach","mean_precision","max_recall","n_steps","delta_vs_baseline"
"1/2/3/4/5+",0.127054981105983,0.958188153310105,260,0
"1/2-3/4+",0.148270369912072,0.957026713124274,210,0.0212153888060891
"1/2/3-4/5+",0.139218132615267,0.951219512195122,292,0.0121631515092844
"Pooled (all HH)",0.100570970656547,0.960511033681765,27,-0.0264840104494356
